#STIG ID,Legacy Group ID,Legacy Rule ID,Old Rule ID,New Group ID,New Rule ID
F5BI-AP-000003,V-59929,SV-74359,SV-74359r1_rule,V-215714,SV-215714r557355_rule
F5BI-AP-000023,V-59931,SV-74361,SV-74361r1_rule,V-215715,SV-215715r557355_rule
F5BI-AP-000025,V-59933,SV-74363,SV-74363r1_rule,V-215716,SV-215716r557355_rule
F5BI-AP-000027,V-60025,SV-74455,SV-74455r1_rule,V-215717,SV-215717r557355_rule
F5BI-AP-000073,V-60027,SV-74457,SV-74457r1_rule,V-215718,SV-215718r557355_rule
F5BI-AP-000075,V-60029,SV-74459,SV-74459r1_rule,V-215719,SV-215719r557355_rule
F5BI-AP-000077,V-60031,SV-74461,SV-74461r1_rule,V-215720,SV-215720r557355_rule
F5BI-AP-000079,V-60033,SV-74463,SV-74463r1_rule,V-215721,SV-215721r557355_rule
F5BI-AP-000085,V-60035,SV-74465,SV-74465r1_rule,V-215722,SV-215722r557355_rule
F5BI-AP-000087,V-60037,SV-74467,SV-74467r1_rule,V-215723,SV-215723r557355_rule
F5BI-AP-000147,V-60039,SV-74469,SV-74469r1_rule,V-230211,SV-230211r561151_rule
F5BI-AP-000151,V-60041,SV-74471,SV-74471r1_rule,V-230212,SV-230212r561153_rule
F5BI-AP-000153,V-60043,SV-74473,SV-74473r1_rule,V-215726,SV-215726r557355_rule
F5BI-AP-000191,V-60045,SV-74475,SV-74475r1_rule,V-215727,SV-215727r557355_rule
F5BI-AP-000193,V-60047,SV-74477,SV-74477r1_rule,V-215728,SV-215728r557355_rule
F5BI-AP-000195,V-60049,SV-74479,SV-74479r1_rule,V-215729,SV-215729r557355_rule
F5BI-AP-000211,V-60061,SV-74491,SV-74491r1_rule,V-215735,SV-215735r557355_rule
F5BI-AP-000229,V-60063,SV-74493,SV-74493r1_rule,V-215736,SV-215736r557355_rule
