#STIG ID,Legacy Group ID,Legacy Rule ID,Old Rule ID,New Group ID,New Rule ID
F5BI-LT-000003,V-60257,SV-74687,SV-74687r1_rule,V-215738,SV-215738r557356_rule
F5BI-LT-000005,V-60259,SV-74689,SV-74689r1_rule,V-215739,SV-215739r557356_rule
F5BI-LT-000007,V-60261,SV-74691,SV-74691r1_rule,V-215740,SV-215740r557356_rule
F5BI-LT-000023,V-60263,SV-74693,SV-74693r1_rule,V-215741,SV-215741r557356_rule
F5BI-LT-000025,V-60265,SV-74695,SV-74695r1_rule,V-215742,SV-215742r557356_rule
F5BI-LT-000027,V-60267,SV-74697,SV-74697r1_rule,V-215743,SV-215743r557356_rule
F5BI-LT-000029,V-60269,SV-74699,SV-74699r1_rule,V-215744,SV-215744r557356_rule
F5BI-LT-000031,V-60271,SV-74701,SV-74701r1_rule,V-215745,SV-215745r557356_rule
F5BI-LT-000033,V-60273,SV-74703,SV-74703r2_rule,V-215746,SV-215746r557356_rule
F5BI-LT-000035,V-60275,SV-74705,SV-74705r1_rule,V-215747,SV-215747r557356_rule
F5BI-LT-000037,V-60277,SV-74707,SV-74707r1_rule,V-215748,SV-215748r557356_rule
F5BI-LT-000055,V-60279,SV-74709,SV-74709r1_rule,V-215749,SV-215749r557356_rule
F5BI-LT-000057,V-60281,SV-74711,SV-74711r2_rule,V-215750,SV-215750r557356_rule
F5BI-LT-000059,V-60283,SV-74713,SV-74713r2_rule,V-215751,SV-215751r557356_rule
F5BI-LT-000061,V-60285,SV-74715,SV-74715r2_rule,V-215752,SV-215752r557356_rule
F5BI-LT-000063,V-60287,SV-74717,SV-74717r2_rule,V-215753,SV-215753r557356_rule
F5BI-LT-000065,V-60289,SV-74719,SV-74719r2_rule,V-215754,SV-215754r557356_rule
F5BI-LT-000067,V-60291,SV-74721,SV-74721r1_rule,V-215755,SV-215755r557356_rule
F5BI-LT-000069,V-60293,SV-74723,SV-74723r1_rule,V-215756,SV-215756r557356_rule
F5BI-LT-000071,V-60295,SV-74725,SV-74725r1_rule,V-215757,SV-215757r557356_rule
F5BI-LT-000073,V-60297,SV-74727,SV-74727r1_rule,V-215758,SV-215758r557356_rule
F5BI-LT-000075,V-60299,SV-74729,SV-74729r1_rule,V-215759,SV-215759r557356_rule
F5BI-LT-000077,V-60301,SV-74731,SV-74731r1_rule,V-215760,SV-215760r557356_rule
F5BI-LT-000079,V-60303,SV-74733,SV-74733r1_rule,V-215761,SV-215761r557356_rule
F5BI-LT-000083,V-60305,SV-74735,SV-74735r1_rule,V-215762,SV-215762r557356_rule
F5BI-LT-000085,V-60307,SV-74737,SV-74737r1_rule,V-215763,SV-215763r557356_rule
F5BI-LT-000087,V-60309,SV-74739,SV-74739r1_rule,V-215764,SV-215764r557356_rule
F5BI-LT-000093,V-60311,SV-74741,SV-74741r2_rule,V-215765,SV-215765r557356_rule
