#STIG ID,Legacy Group ID,Legacy Rule ID,Old Rule ID,New Group ID,New Rule ID
MCAC-PO-000100,V-74175,SV-88849,SV-88849r1_rule,V-213316,SV-213316r506897_rule
MCAC-PO-000101,V-74219,SV-88893,SV-88893r2_rule,V-213317,SV-213317r506897_rule
MCAC-PO-000102,V-74221,SV-88895,SV-88895r1_rule,V-213318,SV-213318r506897_rule
MCAC-PO-000103,V-74195,SV-88869,SV-88869r2_rule,V-213319,SV-213319r506897_rule
MCAC-PO-000104,V-74197,SV-88871,SV-88871r2_rule,V-213320,SV-213320r506897_rule
MCAC-PO-000105,V-74199,SV-88873,SV-88873r1_rule,V-213321,SV-213321r506897_rule
MCAC-PO-000106,V-74201,SV-88875,SV-88875r1_rule,V-213322,SV-213322r506897_rule
MCAC-PO-000108,V-74203,SV-88877,SV-88877r1_rule,V-213323,SV-213323r506897_rule
MCAC-PO-000109,V-74205,SV-88879,SV-88879r1_rule,V-213324,SV-213324r506897_rule
MCAC-PO-000110,V-74207,SV-88881,SV-88881r1_rule,V-213325,SV-213325r506897_rule
MCAC-TE-000100,V-74209,SV-88883,SV-88883r2_rule,V-213326,SV-213326r506897_rule
MCAC-TE-000101,V-74211,SV-88885,SV-88885r2_rule,V-213327,SV-213327r506897_rule
MCAC-TE-000102,V-74213,SV-88887,SV-88887r1_rule,V-213328,SV-213328r506897_rule
MCAC-TE-000103,V-74215,SV-88889,SV-88889r3_rule,V-213329,SV-213329r506897_rule
MCAC-TE-000104,V-74217,SV-88891,SV-88891r3_rule,V-213330,SV-213330r506897_rule
MCAC-TE-000105,V-74223,SV-88897,SV-88897r2_rule,V-213331,SV-213331r506897_rule
MCAC-TE-000106,V-74225,SV-88899,SV-88899r2_rule,V-213332,SV-213332r506897_rule
MCAC-TE-000107,V-74227,SV-88901,SV-88901r2_rule,V-213333,SV-213333r506897_rule
MCAC-TE-000108,V-74229,SV-88903,SV-88903r2_rule,V-213334,SV-213334r506897_rule
MCAC-TE-000109,V-74231,SV-88905,SV-88905r2_rule,V-213335,SV-213335r506897_rule
MCAC-TE-000110,V-74233,SV-88907,SV-88907r2_rule,V-213336,SV-213336r506897_rule
MCAC-TE-000111,V-74235,SV-88909,SV-88909r2_rule,V-213337,SV-213337r506897_rule
MCAC-TE-000112,V-74237,SV-88911,SV-88911r2_rule,V-213338,SV-213338r561345_rule
MCAC-TE-000113,V-74239,SV-88913,SV-88913r2_rule,V-213339,SV-213339r506897_rule
MCAC-TE-000114,V-74241,SV-88915,SV-88915r2_rule,V-213340,SV-213340r506897_rule
MCAC-TE-000115,V-74243,SV-88917,SV-88917r3_rule,V-213341,SV-213341r557322_rule
MCAC-TE-000117,V-74247,SV-88921,SV-88921r2_rule,V-213342,SV-213342r506897_rule
MCAC-TE-000118,V-74249,SV-88923,SV-88923r2_rule,V-213343,SV-213343r506897_rule
MCAC-TE-000119,V-74251,SV-88925,SV-88925r2_rule,V-213344,SV-213344r506897_rule
MCAC-TE-000120,V-74253,SV-88927,SV-88927r2_rule,V-213345,SV-213345r506897_rule
MCAC-TE-000121,V-74255,SV-88929,SV-88929r2_rule,V-213346,SV-213346r506897_rule
MCAC-TE-000123,V-74257,SV-88931,SV-88931r2_rule,V-213347,SV-213347r506897_rule
