"Title","Description","Version","Release","BenchmarkDate","ReleaseInfo","Source","Notice","Rule_VulnID","Rule_RuleID","Rule_StigID","Rule_Severity","Rule_Cat","Rule_Classification","Rule_GroupTitle","Rule_RuleTitle","Rule_Description","Rule_VulnDiscussion","Rule_FalsePositives","Rule_FalseNegatives","Rule_Documentable","Rule_Mitigations","Rule_SeverityOverrideGuidance","Rule_PotentialImpacts","Rule_ThirdPartyTools","Rule_MitigationControl","Rule_Responsibility","Rule_IAControls","Rule_CheckText","Rule_FixText","Rule_CCI"
"Apache Server 2.4 Windows Site Security Technical Implementation Guide","This Security Technical Implementation Guide is published as a tool to improve the security of Department of Defense (DoD) information systems. The requirements are derived from the National Institute of Standards and Technology (NIST) 800-53 and related documents. Comments or proposed revisions to this document should be sent via email to the following address: disa.stig_spt@mail.mil.","2","1 ","27 Oct 2021","Release: 1 Benchmark Date: 27 Oct 2021","STIG.DOD.MIL","terms-of-use","V-214362","SV-214362r395442_rule","AS24-W2-000010","medium","CAT II","","SRG-APP-000001-WSR-000001","The Apache web server must limit the number of allowed simultaneous session requests.","<VulnDiscussion>Web server management includes the ability to control the number of users and user sessions that utilize a web server. Limiting the number of allowed users and sessions per user is helpful in limiting risks related to several types of denial-of-service (DoS) attacks.

Although there is some latitude concerning the settings, they should follow DoD-recommended values, but the settings should be configurable to allow for future DoD direction. While the DoD will specify recommended values, the values can be adjusted to accommodate the operational requirement of a given system.</VulnDiscussion><FalsePositives></FalsePositives><FalseNegatives></FalseNegatives><Documentable>false</Documentable><Mitigations></Mitigations><SeverityOverrideGuidance></SeverityOverrideGuidance><PotentialImpacts></PotentialImpacts><ThirdPartyTools></ThirdPartyTools><MitigationControl></MitigationControl><Responsibility></Responsibility><IAControls></IAControls>","Web server management includes the ability to control the number of users and user sessions that utilize a web server. Limiting the number of allowed users and sessions per user is helpful in limiting risks related to several types of denial-of-service (DoS) attacks.

Although there is some latitude concerning the settings, they should follow DoD-recommended values, but the settings should be configurable to allow for future DoD direction. While the DoD will specify recommended values, the values can be adjusted to accommodate the operational requirement of a given system.","","","false","","","","","","","","Open the <'INSTALL PATH'>\conf\httpd.conf file with an editor and search for the following directive:

MaxKeepAliveRequests

Verify the value is ""100"" or greater.

If the directive is not set to ""100"" or greater, this is a finding.","Open the <'INSTALL PATH'>\conf\httpd.conf file with an editor and search for the following directive:

MaxKeepAliveRequests

Set the directive to a value of ""100"" or greater; add the directive if it does not exist.

Restart the Apache service.","SV-102573,V-92485,CCI-000054"
"Apache Server 2.4 Windows Site Security Technical Implementation Guide","This Security Technical Implementation Guide is published as a tool to improve the security of Department of Defense (DoD) information systems. The requirements are derived from the National Institute of Standards and Technology (NIST) 800-53 and related documents. Comments or proposed revisions to this document should be sent via email to the following address: disa.stig_spt@mail.mil.","2","1 ","27 Oct 2021","Release: 1 Benchmark Date: 27 Oct 2021","STIG.DOD.MIL","terms-of-use","V-214363","SV-214363r395442_rule","AS24-W2-000020","medium","CAT II","","SRG-APP-000001-WSR-000002","The Apache web server must perform server-side session management.","<VulnDiscussion>Session management is the practice of protecting the bulk of the user authorization and identity information. Storing of this data can occur on the client system or on the server.

When the session information is stored on the client, the session ID, along with the user authorization and identity information, is sent along with each client request and is stored in a cookie, embedded in the uniform resource locator (URL), or placed in a hidden field on the displayed form. Each of these offers advantages and disadvantages. The biggest disadvantage to all three is the hijacking of a session along with all of the user's credentials.

When the user authorization and identity information is stored on the server in a protected and encrypted database, the communication between the client and web server will only send the session identifier, and the server can then retrieve user credentials for the session when needed. If, during transmission, the session were to be hijacked, the user's credentials would not be compromised.</VulnDiscussion><FalsePositives></FalsePositives><FalseNegatives></FalseNegatives><Documentable>false</Documentable><Mitigations></Mitigations><SeverityOverrideGuidance></SeverityOverrideGuidance><PotentialImpacts></PotentialImpacts><ThirdPartyTools></ThirdPartyTools><MitigationControl></MitigationControl><Responsibility></Responsibility><IAControls></IAControls>","Session management is the practice of protecting the bulk of the user authorization and identity information. Storing of this data can occur on the client system or on the server.

When the session information is stored on the client, the session ID, along with the user authorization and identity information, is sent along with each client request and is stored in a cookie, embedded in the uniform resource locator (URL), or placed in a hidden field on the displayed form. Each of these offers advantages and disadvantages. The biggest disadvantage to all three is the hijacking of a session along with all of the user's credentials.

When the user authorization and identity information is stored on the server in a protected and encrypted database, the communication between the client and web server will only send the session identifier, and the server can then retrieve user credentials for the session when needed. If, during transmission, the session were to be hijacked, the user's credentials would not be compromised.","","","false","","","","","","","","In a command line, navigate to <'INSTALL PATH'>\bin. Run ""httpd -M"" to view a list of installed modules.

If the module ""mod_session"" is not enabled, this is a finding.","Uncomment the ""mod_session"" module in the <'INSTALLED PATH'>\conf\httpd.conf file.

Additional documentation can be found at: 

https://httpd.apache.org/docs/2.4/mod/mod_usertrack.html

https://httpd.apache.org/docs/2.4/mod/mod_session.html","SV-102575,V-92487,CCI-000054"
"Apache Server 2.4 Windows Site Security Technical Implementation Guide","This Security Technical Implementation Guide is published as a tool to improve the security of Department of Defense (DoD) information systems. The requirements are derived from the National Institute of Standards and Technology (NIST) 800-53 and related documents. Comments or proposed revisions to this document should be sent via email to the following address: disa.stig_spt@mail.mil.","2","1 ","27 Oct 2021","Release: 1 Benchmark Date: 27 Oct 2021","STIG.DOD.MIL","terms-of-use","V-214364","SV-214364r395721_rule","AS24-W2-000090","medium","CAT II","","SRG-APP-000095-WSR-000056","The Apache web server must produce log records containing sufficient information to establish what type of events occurred.","<VulnDiscussion>Web server logging capability is critical for accurate forensic analysis. Without sufficient and accurate information, a correct replay of the events cannot be determined.

Ascertaining the correct type of event that occurred is important during forensic analysis. The correct determination of the event and when it occurred is important in relation to other events that happened at that same time.

Without sufficient information establishing what type of log event occurred, investigation into the cause of event is severely hindered. Log record content that may be necessary to satisfy the requirement of this control includes but is not limited to time stamps, source and destination IP addresses, user/process identifiers, event descriptions, application-specific events, success/fail indications, file names involved, access control, and flow control rules invoked.

Satisfies: SRG-APP-000095-WSR-000056, SRG-APP-000098-WSR-000060, SRG-APP-000099-WSR-000061, SRG-APP-000100-WSR-000064</VulnDiscussion><FalsePositives></FalsePositives><FalseNegatives></FalseNegatives><Documentable>false</Documentable><Mitigations></Mitigations><SeverityOverrideGuidance></SeverityOverrideGuidance><PotentialImpacts></PotentialImpacts><ThirdPartyTools></ThirdPartyTools><MitigationControl></MitigationControl><Responsibility></Responsibility><IAControls></IAControls>","Web server logging capability is critical for accurate forensic analysis. Without sufficient and accurate information, a correct replay of the events cannot be determined.

Ascertaining the correct type of event that occurred is important during forensic analysis. The correct determination of the event and when it occurred is important in relation to other events that happened at that same time.

Without sufficient information establishing what type of log event occurred, investigation into the cause of event is severely hindered. Log record content that may be necessary to satisfy the requirement of this control includes but is not limited to time stamps, source and destination IP addresses, user/process identifiers, event descriptions, application-specific events, success/fail indications, file names involved, access control, and flow control rules invoked.

Satisfies: SRG-APP-000095-WSR-000056, SRG-APP-000098-WSR-000060, SRG-APP-000099-WSR-000061, SRG-APP-000100-WSR-000064","","","false","","","","","","","","Review the access log file. If necessary, review the <'INSTALLED PATH'>\conf\httpd.conf file to determine the location of the logs.

Items to be logged are as shown in this sample line in the <'INSTALLED PATH'>\conf\httpd.conf file:

<IfModule log_config_module>
LogFormat ""%a %A %h %H %l %m %s %t %u %U \""%{Referer}i\"" "" combined
</IfModule>

If the web server is not configured to capture the required audit events for all sites and virtual directories, this is a finding.","Open the <'INSTALLED PATH'>\conf\httpd.conf file.

Configure the ""LogFormat"" to look like the following within the <IfModule log_config_module> block: 

LogFormat ""%a %A %h %H %l %m %s %t %u %U \""%{Referer}i\"" "" combined","SV-102583,V-92495,CCI-000130,CCI-000133,CCI-000134,CCI-001487"
"Apache Server 2.4 Windows Site Security Technical Implementation Guide","This Security Technical Implementation Guide is published as a tool to improve the security of Department of Defense (DoD) information systems. The requirements are derived from the National Institute of Standards and Technology (NIST) 800-53 and related documents. Comments or proposed revisions to this document should be sent via email to the following address: disa.stig_spt@mail.mil.","2","1 ","27 Oct 2021","Release: 1 Benchmark Date: 27 Oct 2021","STIG.DOD.MIL","terms-of-use","V-214365","SV-214365r395853_rule","AS24-W2-000240","medium","CAT II","","SRG-APP-000141-WSR-000015","The Apache web server must not perform user management for hosted applications.","<VulnDiscussion>User management and authentication can be an essential part of any application hosted by the web server. Along with authenticating users, the user management function must perform several other tasks such as password complexity, locking users after a configurable number of failed logons, and management of temporary and emergency accounts. All of this must be done enterprise-wide.

The web server contains a minimal user management function, but the web server user management function does not offer enterprise-wide user management, and user management is not the primary function of the web server. User management for the hosted applications should be done through a facility that is built for enterprise-wide user management, such as LDAP and Active Directory.</VulnDiscussion><FalsePositives></FalsePositives><FalseNegatives></FalseNegatives><Documentable>false</Documentable><Mitigations></Mitigations><SeverityOverrideGuidance></SeverityOverrideGuidance><PotentialImpacts></PotentialImpacts><ThirdPartyTools></ThirdPartyTools><MitigationControl></MitigationControl><Responsibility></Responsibility><IAControls></IAControls>","User management and authentication can be an essential part of any application hosted by the web server. Along with authenticating users, the user management function must perform several other tasks such as password complexity, locking users after a configurable number of failed logons, and management of temporary and emergency accounts. All of this must be done enterprise-wide.

The web server contains a minimal user management function, but the web server user management function does not offer enterprise-wide user management, and user management is not the primary function of the web server. User management for the hosted applications should be done through a facility that is built for enterprise-wide user management, such as LDAP and Active Directory.","","","false","","","","","","","","Interview the System Administrator (SA) about the role of the Apache web server.

If the web server is hosting an application, have the SA provide supporting documentation on how the application's user management is accomplished outside of the web server.

If the web server is not hosting an application, this is Not Applicable.

If the web server is performing user management for hosted applications, this is a finding.

If the web server is hosting an application and the SA cannot provide supporting documentation on how the application's user management is accomplished outside of the Apache web server, this is a finding.","Reconfigure any hosted applications on the Apache web server to perform user management outside the web server.

Document how the hosted application user management is accomplished.","SV-102591,V-92503,CCI-000381"
"Apache Server 2.4 Windows Site Security Technical Implementation Guide","This Security Technical Implementation Guide is published as a tool to improve the security of Department of Defense (DoD) information systems. The requirements are derived from the National Institute of Standards and Technology (NIST) 800-53 and related documents. Comments or proposed revisions to this document should be sent via email to the following address: disa.stig_spt@mail.mil.","2","1 ","27 Oct 2021","Release: 1 Benchmark Date: 27 Oct 2021","STIG.DOD.MIL","terms-of-use","V-214366","SV-214366r395853_rule","AS24-W2-000300","medium","CAT II","","SRG-APP-000141-WSR-000081","The Apache web server must have resource mappings set to disable the serving of certain file types.","<VulnDiscussion>Resource mapping is the process of tying a particular file type to a process in the web server that can serve that type of file to a requesting client and to identify which file types are not to be delivered to a client.

By not specifying which files can and cannot be served to a user, the web server could deliver to a user web server configuration files, log files, password files, etc.

The web server must only allow hosted application file types to be served to a user, and all other types must be disabled.

Satisfies: SRG-APP-000141-WSR-000081, SRG-APP-000141-WSR-000083</VulnDiscussion><FalsePositives></FalsePositives><FalseNegatives></FalseNegatives><Documentable>false</Documentable><Mitigations></Mitigations><SeverityOverrideGuidance></SeverityOverrideGuidance><PotentialImpacts></PotentialImpacts><ThirdPartyTools></ThirdPartyTools><MitigationControl></MitigationControl><Responsibility></Responsibility><IAControls></IAControls>","Resource mapping is the process of tying a particular file type to a process in the web server that can serve that type of file to a requesting client and to identify which file types are not to be delivered to a client.

By not specifying which files can and cannot be served to a user, the web server could deliver to a user web server configuration files, log files, password files, etc.

The web server must only allow hosted application file types to be served to a user, and all other types must be disabled.

Satisfies: SRG-APP-000141-WSR-000081, SRG-APP-000141-WSR-000083","","","false","","","","","","","","Review the <'INSTALLED PATH'>\conf\httpd.conf file.

If ""Action"" or ""AddHandler"" exist and they configure .exe, .dll, .com, .bat, or .csh, or any other shell as a viewer for documents, this is a finding.","Disable MIME types for .exe, .dll, .com, .bat, and .csh programs.

If ""Action"" or ""AddHandler"" exist and they configure .exe, .dll, .com, .bat, or .csh, remove those references.","SV-102593,V-92505,CCI-000381"
"Apache Server 2.4 Windows Site Security Technical Implementation Guide","This Security Technical Implementation Guide is published as a tool to improve the security of Department of Defense (DoD) information systems. The requirements are derived from the National Institute of Standards and Technology (NIST) 800-53 and related documents. Comments or proposed revisions to this document should be sent via email to the following address: disa.stig_spt@mail.mil.","2","1 ","27 Oct 2021","Release: 1 Benchmark Date: 27 Oct 2021","STIG.DOD.MIL","terms-of-use","V-214367","SV-214367r395853_rule","AS24-W2-000310","medium","CAT II","","SRG-APP-000141-WSR-000082","The Apache web server must allow the mappings to unused and vulnerable scripts to be removed.","<VulnDiscussion>Scripts allow server-side processing on behalf of the hosted application user or as processes needed in the implementation of hosted applications. Removing scripts not needed for application operation or deemed vulnerable helps to secure the web server.

To ensure scripts are not added to the web server and run maliciously, script mappings that are not needed or used by the web server for hosted application operation must be removed.</VulnDiscussion><FalsePositives></FalsePositives><FalseNegatives></FalseNegatives><Documentable>false</Documentable><Mitigations></Mitigations><SeverityOverrideGuidance></SeverityOverrideGuidance><PotentialImpacts></PotentialImpacts><ThirdPartyTools></ThirdPartyTools><MitigationControl></MitigationControl><Responsibility></Responsibility><IAControls></IAControls>","Scripts allow server-side processing on behalf of the hosted application user or as processes needed in the implementation of hosted applications. Removing scripts not needed for application operation or deemed vulnerable helps to secure the web server.

To ensure scripts are not added to the web server and run maliciously, script mappings that are not needed or used by the web server for hosted application operation must be removed.","","","false","","","","","","","","Locate cgi-bin files and directories enabled in the Apache configuration via ""Script"", ""ScriptAlias"" or ""ScriptAliasMatch"", or ""ScriptInterpreterSource"" directives.

If any script is present that is not needed for application operation, this is a finding.","Remove any scripts in cgi-bin directory if they are not needed for application operation.","SV-102595,V-92507,CCI-000381"
"Apache Server 2.4 Windows Site Security Technical Implementation Guide","This Security Technical Implementation Guide is published as a tool to improve the security of Department of Defense (DoD) information systems. The requirements are derived from the National Institute of Standards and Technology (NIST) 800-53 and related documents. Comments or proposed revisions to this document should be sent via email to the following address: disa.stig_spt@mail.mil.","2","1 ","27 Oct 2021","Release: 1 Benchmark Date: 27 Oct 2021","STIG.DOD.MIL","terms-of-use","V-214368","SV-214368r395853_rule","AS24-W2-000350","medium","CAT II","","SRG-APP-000141-WSR-000087","Users and scripts running on behalf of users must be contained to the document root or home directory tree of the Apache web server.","<VulnDiscussion>A web server is designed to deliver content and execute scripts or applications on the request of a client or user. Containing user requests to files in the directory tree of the hosted web application and limiting the execution of scripts and applications guarantees that the user is not accessing information protected outside the application's realm.

The web server must also prohibit users from jumping outside the hosted application directory tree through access to the user's home directory, symbolic links or shortcuts, or through search paths for missing files.</VulnDiscussion><FalsePositives></FalsePositives><FalseNegatives></FalseNegatives><Documentable>false</Documentable><Mitigations></Mitigations><SeverityOverrideGuidance></SeverityOverrideGuidance><PotentialImpacts></PotentialImpacts><ThirdPartyTools></ThirdPartyTools><MitigationControl></MitigationControl><Responsibility></Responsibility><IAControls></IAControls>","A web server is designed to deliver content and execute scripts or applications on the request of a client or user. Containing user requests to files in the directory tree of the hosted web application and limiting the execution of scripts and applications guarantees that the user is not accessing information protected outside the application's realm.

The web server must also prohibit users from jumping outside the hosted application directory tree through access to the user's home directory, symbolic links or shortcuts, or through search paths for missing files.","","","false","","","","","","","","Review the <'INSTALLED PATH'>\conf\httpd.conf file and search for the following directive:

Directory

For every root directory entry (i.e., <Directory />), verify the following exists. If it does not, this is a finding:

Require all denied

If the statement above is not found in the root directory statement, this is a finding.","Edit the <'INSTALLED PATH'>\conf\httpd.conf file and set the root directory directive as follows:

Directory

Require all denied","SV-102599,V-92511,CCI-000381"
"Apache Server 2.4 Windows Site Security Technical Implementation Guide","This Security Technical Implementation Guide is published as a tool to improve the security of Department of Defense (DoD) information systems. The requirements are derived from the National Institute of Standards and Technology (NIST) 800-53 and related documents. Comments or proposed revisions to this document should be sent via email to the following address: disa.stig_spt@mail.mil.","2","1 ","27 Oct 2021","Release: 1 Benchmark Date: 27 Oct 2021","STIG.DOD.MIL","terms-of-use","V-214369","SV-214369r395856_rule","AS24-W2-000360","medium","CAT II","","SRG-APP-000142-WSR-000089","The Apache web server must be configured to use a specified IP address and port.","<VulnDiscussion>The web server must be configured to listen on a specified IP address and port. Without specifying an IP address and port for the web server to use, the web server will listen on all IP addresses available to the hosting server. If the web server has multiple IP addresses, i.e., a management IP address, the web server will also accept connections on the management IP address.

Accessing the hosted application through an IP address normally used for non-application functions opens the possibility of user access to resources, utilities, files, ports, and protocols that are protected on the desired application IP address.</VulnDiscussion><FalsePositives></FalsePositives><FalseNegatives></FalseNegatives><Documentable>false</Documentable><Mitigations></Mitigations><SeverityOverrideGuidance></SeverityOverrideGuidance><PotentialImpacts></PotentialImpacts><ThirdPartyTools></ThirdPartyTools><MitigationControl></MitigationControl><Responsibility></Responsibility><IAControls></IAControls>","The web server must be configured to listen on a specified IP address and port. Without specifying an IP address and port for the web server to use, the web server will listen on all IP addresses available to the hosting server. If the web server has multiple IP addresses, i.e., a management IP address, the web server will also accept connections on the management IP address.

Accessing the hosted application through an IP address normally used for non-application functions opens the possibility of user access to resources, utilities, files, ports, and protocols that are protected on the desired application IP address.","","","false","","","","","","","","Review the <'INSTALLED PATH'>\conf\httpd.conf file and search for the following directive:

Listen

For any enabled ""Listen"" directives, verify they specify both an IP address and port number.

If the ""Listen"" directive is found with only an IP address or only a port number specified, this is finding.
 
If the IP address is all zeros (i.e. 0.0.0.0:80 or [::ffff:0.0.0.0]:80), this is a finding.

If the ""Listen"" directive does not exist, this is a finding.","Edit the <'INSTALLED PATH'>\conf\httpd.conf file and set the ""Listen"" directive to listen on a specific IP address and port.","SV-102601,V-92513,CCI-000382"
"Apache Server 2.4 Windows Site Security Technical Implementation Guide","This Security Technical Implementation Guide is published as a tool to improve the security of Department of Defense (DoD) information systems. The requirements are derived from the National Institute of Standards and Technology (NIST) 800-53 and related documents. Comments or proposed revisions to this document should be sent via email to the following address: disa.stig_spt@mail.mil.","2","1 ","27 Oct 2021","Release: 1 Benchmark Date: 27 Oct 2021","STIG.DOD.MIL","terms-of-use","V-214370","SV-214370r505100_rule","AS24-W2-000380","medium","CAT II","","SRG-APP-000175-WSR-000095","The Apache web server must perform RFC 5280-compliant certification path validation.","<VulnDiscussion>A certificate's certification path is the path from the end entity certificate to a trusted root certification authority (CA). Certification path validation is necessary for a relying party to make an informed decision regarding acceptance of an end entity certificate. Certification path validation includes checks such as certificate issuer trust, time validity, and revocation status for each certificate in the certification path. Revocation status information for CA and subject certificates in a certification path is commonly provided via certificate revocation lists (CRLs) or online certificate status protocol (OCSP) responses.</VulnDiscussion><FalsePositives></FalsePositives><FalseNegatives></FalseNegatives><Documentable>false</Documentable><Mitigations></Mitigations><SeverityOverrideGuidance></SeverityOverrideGuidance><PotentialImpacts></PotentialImpacts><ThirdPartyTools></ThirdPartyTools><MitigationControl></MitigationControl><Responsibility></Responsibility><IAControls></IAControls>","A certificate's certification path is the path from the end entity certificate to a trusted root certification authority (CA). Certification path validation is necessary for a relying party to make an informed decision regarding acceptance of an end entity certificate. Certification path validation includes checks such as certificate issuer trust, time validity, and revocation status for each certificate in the certification path. Revocation status information for CA and subject certificates in a certification path is commonly provided via certificate revocation lists (CRLs) or online certificate status protocol (OCSP) responses.","","","false","","","","","","","","Review the <'INSTALLED PATH'>\conf\httpd.conf file to determine if the ""SSLVerifyClient"" and ""SSLVerifyDepth"" directives exist and look like the following.

If they do not, this is a finding.

SSLVerifyClient require

SSLVerifyDepth 1 

If ""SSLVerifyDepth"" is set to ""0"", this is a finding.","Ensure that client verification is enabled. For each enabled hosted application on the server, enable and set ""SSLVerifyClient"" to ""require"" and ensure that the server is configured to verify the client certificate by enabling ""SSLVerifyDepth"".
 
Example:
 
SSLVerifyClient require
 
Find the line ""SSLVerifyDepth"" and ensure it is set properly:
 
SSLVerifyDepth 1
 
""SSLVerifyDepth"" is set based on the number of CAs that are required in the certificate chain to check, before the client certificate is accepted as valid. A setting of ""0"" would allow self-signed CAs to validate client certificates, which is not desirable in this context.

Additional Information:

https://httpd.apache.org/docs/current/mod/mod_ssl.html","SV-102605,V-92517,CCI-000185"
"Apache Server 2.4 Windows Site Security Technical Implementation Guide","This Security Technical Implementation Guide is published as a tool to improve the security of Department of Defense (DoD) information systems. The requirements are derived from the National Institute of Standards and Technology (NIST) 800-53 and related documents. Comments or proposed revisions to this document should be sent via email to the following address: disa.stig_spt@mail.mil.","2","1 ","27 Oct 2021","Release: 1 Benchmark Date: 27 Oct 2021","STIG.DOD.MIL","terms-of-use","V-214371","SV-214371r397597_rule","AS24-W2-000390","medium","CAT II","","SRG-APP-000176-WSR-000096","Only authenticated system administrators or the designated PKI Sponsor for the Apache web server must have access to the Apache web servers private key.","<VulnDiscussion>The web server's private key is used to prove the identity of the server to clients and securely exchange the shared secret key used to encrypt communications between the web server and clients.

By gaining access to the private key, an attacker can pretend to be an authorized server and decrypt the SSL traffic between a client and the web server.</VulnDiscussion><FalsePositives></FalsePositives><FalseNegatives></FalseNegatives><Documentable>false</Documentable><Mitigations></Mitigations><SeverityOverrideGuidance></SeverityOverrideGuidance><PotentialImpacts></PotentialImpacts><ThirdPartyTools></ThirdPartyTools><MitigationControl></MitigationControl><Responsibility></Responsibility><IAControls></IAControls>","The web server's private key is used to prove the identity of the server to clients and securely exchange the shared secret key used to encrypt communications between the web server and clients.

By gaining access to the private key, an attacker can pretend to be an authorized server and decrypt the SSL traffic between a client and the web server.","","","false","","","","","","","","If the Apache web server does not have a private key, this is Not Applicable.

Review the private key path in the ""SSLCertificateFile"" directive. Verify only authenticated System Administrators and the designated PKI Sponsor for the web server can access the web server private key.

If the private key is accessible by unauthenticated or unauthorized users, this is a finding.","Configure the Apache web server to ensure only authenticated and authorized users can access the web server's private key.","SV-102607,V-92519,CCI-000186"
