"Title","Description","Version","Release","BenchmarkDate","ReleaseInfo","Source","Notice","Rule_VulnID","Rule_RuleID","Rule_StigID","Rule_Severity","Rule_Cat","Rule_Classification","Rule_GroupTitle","Rule_RuleTitle","Rule_Description","Rule_VulnDiscussion","Rule_FalsePositives","Rule_FalseNegatives","Rule_Documentable","Rule_Mitigations","Rule_SeverityOverrideGuidance","Rule_PotentialImpacts","Rule_ThirdPartyTools","Rule_MitigationControl","Rule_Responsibility","Rule_IAControls","Rule_CheckText","Rule_FixText","Rule_CCI"
"Cisco ASA NDM Security Technical Implementation Guide","This Security Technical Implementation Guide is published as a tool to improve the security of Department of Defense (DoD) information systems. The requirements are derived from the National Institute of Standards and Technology (NIST) 800-53 and related documents. Comments or proposed revisions to this document should be sent via email to the following address: disa.stig_spt@mail.mil.","1","3 ","26 Jan 2023","Release: 3 Benchmark Date: 26 Jan 2023","STIG.DOD.MIL","terms-of-use","V-239896","SV-239896r666051_rule","CASA-ND-000010","medium","CAT II","","SRG-APP-000001-NDM-000200","The Cisco ASA must be configured to limit the number of concurrent management sessions to an organization-defined number.","<VulnDiscussion>Device management includes the ability to control the number of administrators and management sessions that manage a device. Limiting the number of allowed administrators and sessions per administrator based on account type, role, or access type is helpful in limiting risks related to DoS attacks.

This requirement addresses concurrent sessions for administrative accounts and does not address concurrent sessions by a single administrator via multiple administrative accounts. The maximum number of concurrent sessions should be defined based upon mission needs and the operational environment for each system. At a minimum, limits must be set for SSH, HTTPS, account of last resort, and root account sessions.</VulnDiscussion><FalsePositives></FalsePositives><FalseNegatives></FalseNegatives><Documentable>false</Documentable><Mitigations></Mitigations><SeverityOverrideGuidance></SeverityOverrideGuidance><PotentialImpacts></PotentialImpacts><ThirdPartyTools></ThirdPartyTools><MitigationControl></MitigationControl><Responsibility></Responsibility><IAControls></IAControls>","Device management includes the ability to control the number of administrators and management sessions that manage a device. Limiting the number of allowed administrators and sessions per administrator based on account type, role, or access type is helpful in limiting risks related to DoS attacks.

This requirement addresses concurrent sessions for administrative accounts and does not address concurrent sessions by a single administrator via multiple administrative accounts. The maximum number of concurrent sessions should be defined based upon mission needs and the operational environment for each system. At a minimum, limits must be set for SSH, HTTPS, account of last resort, and root account sessions.","","","false","","","","","","","","Review the ASA configuration to determine if concurrent management sessions are limited as show in the example below:

quota management-session 2

Note: This requirement is not applicable to file transfer actions such as FTP, SCP, and SFTP. The default is 5 sessions, which would not be shown in the configuration unless the show run all command is used.
 
If the ASA is not configured to limit the number of concurrent management sessions, this is a finding.","Configure the ASA to limit the number of concurrent management sessions to an organization-defined number as shown in the example below.

ASA(config)# quota management-session 2","CCI-000054"
"Cisco ASA NDM Security Technical Implementation Guide","This Security Technical Implementation Guide is published as a tool to improve the security of Department of Defense (DoD) information systems. The requirements are derived from the National Institute of Standards and Technology (NIST) 800-53 and related documents. Comments or proposed revisions to this document should be sent via email to the following address: disa.stig_spt@mail.mil.","1","3 ","26 Jan 2023","Release: 3 Benchmark Date: 26 Jan 2023","STIG.DOD.MIL","terms-of-use","V-239897","SV-239897r666054_rule","CASA-ND-000090","medium","CAT II","","SRG-APP-000026-NDM-000208","The Cisco ASA must be configured to automatically audit account creation.","<VulnDiscussion>Upon gaining access to a network device, an attacker will often first attempt to create a persistent method of reestablishing access. One way to accomplish this is to create a new account. Notification of account creation helps to mitigate this risk. Auditing account creation provides the necessary reconciliation that account management procedures are being followed. Without this audit trail, personnel without the proper authorization may gain access to critical network nodes.</VulnDiscussion><FalsePositives></FalsePositives><FalseNegatives></FalseNegatives><Documentable>false</Documentable><Mitigations></Mitigations><SeverityOverrideGuidance></SeverityOverrideGuidance><PotentialImpacts></PotentialImpacts><ThirdPartyTools></ThirdPartyTools><MitigationControl></MitigationControl><Responsibility></Responsibility><IAControls></IAControls>","Upon gaining access to a network device, an attacker will often first attempt to create a persistent method of reestablishing access. One way to accomplish this is to create a new account. Notification of account creation helps to mitigate this risk. Auditing account creation provides the necessary reconciliation that account management procedures are being followed. Without this audit trail, personnel without the proper authorization may gain access to critical network nodes.","","","false","","","","","","","","Review the ASA configuration to determine if it automatically audits account creation. The configuration should look similar to the example below:

logging enable
logging buffered informational

Note: The ASA will log all EXEC-mode commands.

If account creation is not automatically audited, this is a finding.","Configure the ASA to log account creation using the following commands:

ASA(config)# logging enable
ASA(config)# logging buffered informational
ASA(config)# end","CCI-000018"
"Cisco ASA NDM Security Technical Implementation Guide","This Security Technical Implementation Guide is published as a tool to improve the security of Department of Defense (DoD) information systems. The requirements are derived from the National Institute of Standards and Technology (NIST) 800-53 and related documents. Comments or proposed revisions to this document should be sent via email to the following address: disa.stig_spt@mail.mil.","1","3 ","26 Jan 2023","Release: 3 Benchmark Date: 26 Jan 2023","STIG.DOD.MIL","terms-of-use","V-239898","SV-239898r666057_rule","CASA-ND-000100","medium","CAT II","","SRG-APP-000027-NDM-000209","The Cisco ASA must be configured to automatically audit account modification.","<VulnDiscussion>Since the accounts in the network device are privileged or system-level accounts, account management is vital to the security of the network device. Account management by a designated authority ensures access to the network device is being controlled in a secure manner by granting access to only authorized personnel with the appropriate and necessary privileges. Auditing account modification along with an automatic notification to appropriate individuals will provide the necessary reconciliation that account management procedures are being followed. If modifications to management accounts are not audited, reconciliation of account management procedures cannot be tracked.</VulnDiscussion><FalsePositives></FalsePositives><FalseNegatives></FalseNegatives><Documentable>false</Documentable><Mitigations></Mitigations><SeverityOverrideGuidance></SeverityOverrideGuidance><PotentialImpacts></PotentialImpacts><ThirdPartyTools></ThirdPartyTools><MitigationControl></MitigationControl><Responsibility></Responsibility><IAControls></IAControls>","Since the accounts in the network device are privileged or system-level accounts, account management is vital to the security of the network device. Account management by a designated authority ensures access to the network device is being controlled in a secure manner by granting access to only authorized personnel with the appropriate and necessary privileges. Auditing account modification along with an automatic notification to appropriate individuals will provide the necessary reconciliation that account management procedures are being followed. If modifications to management accounts are not audited, reconciliation of account management procedures cannot be tracked.","","","false","","","","","","","","Review the ASA configuration to determine if it automatically audits account modification. The configuration should look similar to the example below:

logging enable
logging buffered informational

Note: The ASA will log all EXEC-mode commands.

If account modification is not automatically audited, this is a finding.","Configure the ASA to log account modification using the following commands:

ASA(config)# logging enable
ASA(config)# logging buffered informational
ASA(config)# end","CCI-001403"
"Cisco ASA NDM Security Technical Implementation Guide","This Security Technical Implementation Guide is published as a tool to improve the security of Department of Defense (DoD) information systems. The requirements are derived from the National Institute of Standards and Technology (NIST) 800-53 and related documents. Comments or proposed revisions to this document should be sent via email to the following address: disa.stig_spt@mail.mil.","1","3 ","26 Jan 2023","Release: 3 Benchmark Date: 26 Jan 2023","STIG.DOD.MIL","terms-of-use","V-239899","SV-239899r682909_rule","CASA-ND-000110","medium","CAT II","","SRG-APP-000028-NDM-000210","The Cisco ASA must be configured to automatically audit account-disabling actions.","<VulnDiscussion>Account management, as a whole, ensures access to the network device is being controlled in a secure manner by granting access to only authorized personnel. Auditing account disabling actions will support account management procedures. When device management accounts are disabled, user or service accessibility may be affected. Auditing also ensures authorized active accounts remain enabled and available for use when required.</VulnDiscussion><FalsePositives></FalsePositives><FalseNegatives></FalseNegatives><Documentable>false</Documentable><Mitigations></Mitigations><SeverityOverrideGuidance></SeverityOverrideGuidance><PotentialImpacts></PotentialImpacts><ThirdPartyTools></ThirdPartyTools><MitigationControl></MitigationControl><Responsibility></Responsibility><IAControls></IAControls>","Account management, as a whole, ensures access to the network device is being controlled in a secure manner by granting access to only authorized personnel. Auditing account disabling actions will support account management procedures. When device management accounts are disabled, user or service accessibility may be affected. Auditing also ensures authorized active accounts remain enabled and available for use when required.","","","false","","","","","","","","Review the ASA configuration to determine if it automatically audits account disabling. The configuration should look similar to the example below:

logging enable
logging buffered informational

Note: The ASA will log all EXEC-mode commands.

If account disabling is not automatically audited, this is a finding.","Configure the ASA to log account disabling using the following commands:

ASA(config)# logging enable
ASA(config)# logging buffered informational
ASA(config)# end","CCI-001404"
"Cisco ASA NDM Security Technical Implementation Guide","This Security Technical Implementation Guide is published as a tool to improve the security of Department of Defense (DoD) information systems. The requirements are derived from the National Institute of Standards and Technology (NIST) 800-53 and related documents. Comments or proposed revisions to this document should be sent via email to the following address: disa.stig_spt@mail.mil.","1","3 ","26 Jan 2023","Release: 3 Benchmark Date: 26 Jan 2023","STIG.DOD.MIL","terms-of-use","V-239900","SV-239900r666063_rule","CASA-ND-000120","medium","CAT II","","SRG-APP-000029-NDM-000211","The Cisco ASA must be configured to automatically audit account removal actions.","<VulnDiscussion>Account management, as a whole, ensures access to the network device is being controlled in a secure manner by granting access to only authorized personnel. Auditing account removal actions will support account management procedures. When device management accounts are terminated, user or service accessibility may be affected. Auditing also ensures authorized active accounts remain enabled and available for use when required.</VulnDiscussion><FalsePositives></FalsePositives><FalseNegatives></FalseNegatives><Documentable>false</Documentable><Mitigations></Mitigations><SeverityOverrideGuidance></SeverityOverrideGuidance><PotentialImpacts></PotentialImpacts><ThirdPartyTools></ThirdPartyTools><MitigationControl></MitigationControl><Responsibility></Responsibility><IAControls></IAControls>","Account management, as a whole, ensures access to the network device is being controlled in a secure manner by granting access to only authorized personnel. Auditing account removal actions will support account management procedures. When device management accounts are terminated, user or service accessibility may be affected. Auditing also ensures authorized active accounts remain enabled and available for use when required.","","","false","","","","","","","","Review the ASA configuration to determine if it automatically audits account removal. The configuration should look similar to the example below:

logging enable
logging buffered informational

Note: The ASA will log all EXEC-mode commands.

If account removal is not automatically audited, this is a finding.","Configure the ASA to log account removal using the following commands:

ASA(config)# logging enable
ASA(config)# logging buffered informational
ASA(config)# end","CCI-001405"
"Cisco ASA NDM Security Technical Implementation Guide","This Security Technical Implementation Guide is published as a tool to improve the security of Department of Defense (DoD) information systems. The requirements are derived from the National Institute of Standards and Technology (NIST) 800-53 and related documents. Comments or proposed revisions to this document should be sent via email to the following address: disa.stig_spt@mail.mil.","1","3 ","26 Jan 2023","Release: 3 Benchmark Date: 26 Jan 2023","STIG.DOD.MIL","terms-of-use","V-239901","SV-239901r666066_rule","CASA-ND-000140","medium","CAT II","","SRG-APP-000038-NDM-000213","The Cisco ASA must be configured to enforce approved authorizations for controlling the flow of management information within the Cisco ASA based on information flow control policies.","<VulnDiscussion>A mechanism to detect and prevent unauthorized communication flow must be configured or provided as part of the system design. If management information flow is not enforced based on approved authorizations, the network device may become compromised. Information flow control regulates where management information is allowed to travel within a network device. The flow of all management information must be monitored and controlled so it does not introduce any unacceptable risk to the network device or data. 

Application-specific examples of enforcement occur in systems that employ rule sets or establish configuration settings that restrict information system services or message-filtering capability based on message content (e.g., implementing key word searches or using document characteristics).

Applications providing information flow control must be able to enforce approved authorizations for controlling the flow of management information within the system in accordance with applicable policy.</VulnDiscussion><FalsePositives></FalsePositives><FalseNegatives></FalseNegatives><Documentable>false</Documentable><Mitigations></Mitigations><SeverityOverrideGuidance></SeverityOverrideGuidance><PotentialImpacts></PotentialImpacts><ThirdPartyTools></ThirdPartyTools><MitigationControl></MitigationControl><Responsibility></Responsibility><IAControls></IAControls>","A mechanism to detect and prevent unauthorized communication flow must be configured or provided as part of the system design. If management information flow is not enforced based on approved authorizations, the network device may become compromised. Information flow control regulates where management information is allowed to travel within a network device. The flow of all management information must be monitored and controlled so it does not introduce any unacceptable risk to the network device or data. 

Application-specific examples of enforcement occur in systems that employ rule sets or establish configuration settings that restrict information system services or message-filtering capability based on message content (e.g., implementing key word searches or using document characteristics).

Applications providing information flow control must be able to enforce approved authorizations for controlling the flow of management information within the system in accordance with applicable policy.","","","false","","","","","","","","Review the Cisco ASA configuration to verify that management access is restricted to specific IP address space as shown in the example below. 

ssh x.x.x.0 255.255.255.0 INSIDE

If the Cisco ASA is not configured to enforce approved authorizations for controlling the flow of management information within the device based on control policies, this is a finding.","Configure the Cisco ASA to restrict management access to specific IP addresses via SSH as shown in the example below.

ASA(config)# ssh x.x.x.0 255.255.255.0 INSIDE 
ASA(config)# end","CCI-001368"
"Cisco ASA NDM Security Technical Implementation Guide","This Security Technical Implementation Guide is published as a tool to improve the security of Department of Defense (DoD) information systems. The requirements are derived from the National Institute of Standards and Technology (NIST) 800-53 and related documents. Comments or proposed revisions to this document should be sent via email to the following address: disa.stig_spt@mail.mil.","1","3 ","26 Jan 2023","Release: 3 Benchmark Date: 26 Jan 2023","STIG.DOD.MIL","terms-of-use","V-239902","SV-239902r666069_rule","CASA-ND-000160","medium","CAT II","","SRG-APP-000068-NDM-000215","The Cisco ASA must be configured to display the Standard Mandatory DoD Notice and Consent Banner before granting access to the device.","<VulnDiscussion>Display of the DoD-approved use notification before granting access to the network device ensures privacy and security notification verbiage used is consistent with applicable federal laws, Executive Orders, directives, policies, regulations, standards, and guidance.

System use notifications are required only for access via logon interfaces with human users.</VulnDiscussion><FalsePositives></FalsePositives><FalseNegatives></FalseNegatives><Documentable>false</Documentable><Mitigations></Mitigations><SeverityOverrideGuidance></SeverityOverrideGuidance><PotentialImpacts></PotentialImpacts><ThirdPartyTools></ThirdPartyTools><MitigationControl></MitigationControl><Responsibility></Responsibility><IAControls></IAControls>","Display of the DoD-approved use notification before granting access to the network device ensures privacy and security notification verbiage used is consistent with applicable federal laws, Executive Orders, directives, policies, regulations, standards, and guidance.

System use notifications are required only for access via logon interfaces with human users.","","","false","","","","","","","","Review the Cisco ASA configuration to verify that it is compliant with this requirement as shown in the example below.

banner login You are accessing a U.S. Government (USG) Information System (IS) that is provided
banner login for USG-authorized use only.
banner login 
banner login By using this IS (which includes any device attached to this IS), you consent to the
banner login following conditions:
banner login 
banner login -The USG routinely intercepts and monitors communications on this IS for purposes
banner login including, but not limited to, penetration testing, COMSEC monitoring, network
banner login operations and defense, personnel misconduct (PM), law enforcement (LE), and 
banner login counterintelligence (CI) investigations.
banner login 
banner login -At any time, the USG may inspect and seize data stored on this IS.
banner login 
banner login -Communications using, or data stored on, this IS are not private, are subject to routine
banner login monitoring, interception, and search, and may be disclosed or used for any USG-
banner login authorized purpose.
banner login 
banner login -This IS includes security measures (e.g., authentication and access controls) to protect
banner login USG interests--not for your personal benefit or privacy.
banner login 
banner login -Notwithstanding the above, using this IS does not constitute consent to PM, LE or CI
banner login investigative searching or monitoring of the content of privileged communications, or 
banner login work product, related to personal representation or services by attorneys, 
banner login psychotherapists, or clergy, and their assistants.  Such communications and work product
banner login are private and banner login confidential.  See User Agreement for details.

If the Cisco ASA is not configured to display the Standard Mandatory DoD Notice and Consent Banner before granting access to the device, this is a finding.","ASA(config)# banner login You are accessing a U.S. Government (USG) Information System (IS) that is provided
ASA(config)# banner login for USG-authorized use only.
ASA(config)# banner login 
ASA(config)# banner login By using this IS (which includes any device attached to this IS), you consent to the
ASA(config)# banner login following conditions:
ASA(config)# banner login 
ASA(config)# banner login -The USG routinely intercepts and monitors communications on this IS for purposes
ASA(config)# banner login including, but not limited to, penetration testing, COMSEC monitoring, network
ASA(config)# banner login operations and defense, personnel misconduct (PM), law enforcement (LE), and 
ASA(config)# banner login counterintelligence (CI) investigations.
ASA(config)# banner login 
ASA(config)# banner login -At any time, the USG may inspect and seize data stored on this IS.
ASA(config)# banner login 
ASA(config)# banner login -Communications using, or data stored on, this IS are not private, are subject to routine
ASA(config)# banner login monitoring, interception, and search, and may be disclosed or used for any USG-
ASA(config)# banner login authorized purpose.
ASA(config)# banner login 
ASA(config)# banner login -This IS includes security measures (e.g., authentication and access controls) to protect
ASA(config)# banner login USG interests--not for your personal benefit or privacy.
ASA(config)# banner login 
ASA(config)# banner login -Notwithstanding the above, using this IS does not constitute consent to PM, LE or CI
ASA(config)# banner login investigative searching or monitoring of the content of privileged communications, or 
ASA(config)# banner login work product, related to personal representation or services by attorneys, 
ASA(config)# banner login psychotherapists, or clergy, and their assistants.  Such communications and work product
ASA(config)# banner login are private and ASA(config)# banner login confidential.  See User Agreement for details.
ASA(config)# end","CCI-000048"
"Cisco ASA NDM Security Technical Implementation Guide","This Security Technical Implementation Guide is published as a tool to improve the security of Department of Defense (DoD) information systems. The requirements are derived from the National Institute of Standards and Technology (NIST) 800-53 and related documents. Comments or proposed revisions to this document should be sent via email to the following address: disa.stig_spt@mail.mil.","1","3 ","26 Jan 2023","Release: 3 Benchmark Date: 26 Jan 2023","STIG.DOD.MIL","terms-of-use","V-239903","SV-239903r666072_rule","CASA-ND-000210","medium","CAT II","","SRG-APP-000080-NDM-000220","The Cisco ASA must be configured to protect against an individual (or process acting on behalf of an individual) falsely denying having performed organization-defined actions to be covered by non-repudiation.","<VulnDiscussion>This requirement supports non-repudiation of actions taken by an administrator and is required in order to maintain the integrity of the configuration management process. All configuration changes to the network device are logged. To meet this requirement, the network device must log administrator access and activity.</VulnDiscussion><FalsePositives></FalsePositives><FalseNegatives></FalseNegatives><Documentable>false</Documentable><Mitigations></Mitigations><SeverityOverrideGuidance></SeverityOverrideGuidance><PotentialImpacts></PotentialImpacts><ThirdPartyTools></ThirdPartyTools><MitigationControl></MitigationControl><Responsibility></Responsibility><IAControls></IAControls>","This requirement supports non-repudiation of actions taken by an administrator and is required in order to maintain the integrity of the configuration management process. All configuration changes to the network device are logged. To meet this requirement, the network device must log administrator access and activity.","","","false","","","","","","","","Review the Cisco ASA configuration to verify that it is compliant with this requirement. The configuration should look similar to the example below:

logging enable
logging buffered informational

Note: The ASA will log all EXEC-mode commands that include the name of the user. The ASA also logs the name of the user entering the enable command.

If logging of administrator activity is not configured, this is a finding.","Configure the ASA to log administrator activity as shown below.

ASA(config)# logging enable
ASA(config)# logging buffered informational
ASA(config)# end","CCI-000166"
"Cisco ASA NDM Security Technical Implementation Guide","This Security Technical Implementation Guide is published as a tool to improve the security of Department of Defense (DoD) information systems. The requirements are derived from the National Institute of Standards and Technology (NIST) 800-53 and related documents. Comments or proposed revisions to this document should be sent via email to the following address: disa.stig_spt@mail.mil.","1","3 ","26 Jan 2023","Release: 3 Benchmark Date: 26 Jan 2023","STIG.DOD.MIL","terms-of-use","V-239904","SV-239904r666075_rule","CASA-ND-000240","medium","CAT II","","SRG-APP-000091-NDM-000223","The Cisco ASA must be configured to generate audit records when successful/unsuccessful attempts to access privileges occur.","<VulnDiscussion>Without generating audit records that are specific to the security and mission needs of the organization, it would be difficult to establish, correlate, and investigate the events relating to an incident or identify those responsible for one. 

Audit records can be generated from various components within the information system (e.g., module or policy filter).</VulnDiscussion><FalsePositives></FalsePositives><FalseNegatives></FalseNegatives><Documentable>false</Documentable><Mitigations></Mitigations><SeverityOverrideGuidance></SeverityOverrideGuidance><PotentialImpacts></PotentialImpacts><ThirdPartyTools></ThirdPartyTools><MitigationControl></MitigationControl><Responsibility></Responsibility><IAControls></IAControls>","Without generating audit records that are specific to the security and mission needs of the organization, it would be difficult to establish, correlate, and investigate the events relating to an incident or identify those responsible for one. 

Audit records can be generated from various components within the information system (e.g., module or policy filter).","","","false","","","","","","","","Review the Cisco ASA configuration to verify that it is compliant with this requirement. The configuration should look similar to the example below:

logging enable
logging buffered informational

Note: The ASA will log all login attempts as well as the name of the user entering the enable command.

If the Cisco ASA is not configured to generate audit records when successful/unsuccessful attempts to logon, this is a finding.","Configure the Cisco ASA as shown in the example below.

ASA(config)# logging enable
ASA(config)# logging buffered informational
ASA(config)# end","CCI-000172"
"Cisco ASA NDM Security Technical Implementation Guide","This Security Technical Implementation Guide is published as a tool to improve the security of Department of Defense (DoD) information systems. The requirements are derived from the National Institute of Standards and Technology (NIST) 800-53 and related documents. Comments or proposed revisions to this document should be sent via email to the following address: disa.stig_spt@mail.mil.","1","3 ","26 Jan 2023","Release: 3 Benchmark Date: 26 Jan 2023","STIG.DOD.MIL","terms-of-use","V-239905","SV-239905r666078_rule","CASA-ND-000260","medium","CAT II","","SRG-APP-000095-NDM-000225","The Cisco ASA must be configured to produce audit log records containing sufficient information to establish what type of event occurred.","<VulnDiscussion>It is essential for security personnel to know what is being done, what was attempted, where it was done, when it was done, and by whom it was done in order to compile an accurate risk assessment. Associating event types with detected events in the application and audit logs provides a means of investigating an attack; recognizing resource utilization or capacity thresholds; or identifying an improperly configured network device. Without this capability, it would be difficult to establish, correlate, and investigate the events leading up to an outage or attack.</VulnDiscussion><FalsePositives></FalsePositives><FalseNegatives></FalseNegatives><Documentable>false</Documentable><Mitigations></Mitigations><SeverityOverrideGuidance></SeverityOverrideGuidance><PotentialImpacts></PotentialImpacts><ThirdPartyTools></ThirdPartyTools><MitigationControl></MitigationControl><Responsibility></Responsibility><IAControls></IAControls>","It is essential for security personnel to know what is being done, what was attempted, where it was done, when it was done, and by whom it was done in order to compile an accurate risk assessment. Associating event types with detected events in the application and audit logs provides a means of investigating an attack; recognizing resource utilization or capacity thresholds; or identifying an improperly configured network device. Without this capability, it would be difficult to establish, correlate, and investigate the events leading up to an outage or attack.","","","false","","","","","","","","Review the Cisco ASA configuration to verify that it is compliant with this requirement. The configuration should look similar to the example below:

logging enable
logging buffered informational

If the ASA is not configured to generate audit records containing information to establish what type of event occurred, this is a finding.","Configure the Cisco ASA as shown in the example below.

ASA(config)# logging enable
ASA(config)# logging buffered informational
ASA(config)# end","CCI-000130"
