"Title","Description","Version","Release","BenchmarkDate","ReleaseInfo","Source","Notice","Rule_VulnID","Rule_RuleID","Rule_StigID","Rule_Severity","Rule_Cat","Rule_Classification","Rule_GroupTitle","Rule_RuleTitle","Rule_Description","Rule_VulnDiscussion","Rule_FalsePositives","Rule_FalseNegatives","Rule_Documentable","Rule_Mitigations","Rule_SeverityOverrideGuidance","Rule_PotentialImpacts","Rule_ThirdPartyTools","Rule_MitigationControl","Rule_Responsibility","Rule_IAControls","Rule_CheckText","Rule_FixText","Rule_CCI"
"HPE 3PAR SSMC Web Server Security Technical Implementation Guide","This Security Technical Implementation Guide is published as a tool to improve the security of Department of Defense (DOD) information systems. The requirements are derived from the National Institute of Standards and Technology (NIST) 800-53 and related documents. Comments or proposed revisions to this document should be sent via email to the following address: disa.stig_spt@mail.mil.","1","1 ","09 Nov 2022","Release: 1 Benchmark Date: 09 Nov 2022","STIG.DOD.MIL","terms-of-use","V-255251","SV-255251r869922_rule","SSMC-WS-010010","high","CAT I","","SRG-APP-000179-WSR-000111","The SSMC web server must use cryptographic modules that meet the requirements of applicable federal laws, Executive Orders, directives, policies, regulations, standards, and guidance for such authentication.","<VulnDiscussion>Encryption is only as good as the encryption modules utilized. Unapproved cryptographic module algorithms cannot be verified and cannot be relied upon to provide confidentiality or integrity, and DOD data may be compromised due to weak algorithms. 

FIPS 140-2 is the current standard for validating cryptographic modules and NSA Type-X (where X=1, 2, 3, 4) products are NSA-certified, hardware-based encryption modules. 

The web server must provide FIPS-compliant encryption modules when authenticating users and processes.

Satisfies: SRG-APP-000179-WSR-000111, SRG-APP-000014-WSR-000006, SRG-APP-000015-WSR-000014, SRG-APP-000179-WSR-000110, SRG-APP-000224-WSR-000135, SRG-APP-000224-WSR-000136, SRG-APP-000224-WSR-000139, SRG-APP-000416-WSR-000118, SRG-APP-000439-WSR-000156, SRG-APP-000441-WSR-000181, SRG-APP-000442-WSR-000182</VulnDiscussion><FalsePositives></FalsePositives><FalseNegatives></FalseNegatives><Documentable>false</Documentable><Mitigations></Mitigations><SeverityOverrideGuidance></SeverityOverrideGuidance><PotentialImpacts></PotentialImpacts><ThirdPartyTools></ThirdPartyTools><MitigationControl></MitigationControl><Responsibility></Responsibility><IAControls></IAControls>","Encryption is only as good as the encryption modules utilized. Unapproved cryptographic module algorithms cannot be verified and cannot be relied upon to provide confidentiality or integrity, and DOD data may be compromised due to weak algorithms. 

FIPS 140-2 is the current standard for validating cryptographic modules and NSA Type-X (where X=1, 2, 3, 4) products are NSA-certified, hardware-based encryption modules. 

The web server must provide FIPS-compliant encryption modules when authenticating users and processes.

Satisfies: SRG-APP-000179-WSR-000111, SRG-APP-000014-WSR-000006, SRG-APP-000015-WSR-000014, SRG-APP-000179-WSR-000110, SRG-APP-000224-WSR-000135, SRG-APP-000224-WSR-000136, SRG-APP-000224-WSR-000139, SRG-APP-000416-WSR-000118, SRG-APP-000439-WSR-000156, SRG-APP-000441-WSR-000181, SRG-APP-000442-WSR-000182","","","false","","","","","","","","Verify that SSMC utilizes FIPS 140-2 approved mode of encryption for authenticating users by doing the following:

1. Log on to SSMC Administrator Console on web GUI as ssmcadmin. 

2. Click the information icon on top right corner and verify ""FIPS mode enabled"" displays ""true"".

3. Log on to SSMC appliance as ssmcadmin via SSH, press ""X"" to escape to general bash shell from the TUI menu, and issue the following command:

$ sudo /ssmc/bin/config_security.sh -o fips_mode -a status
The output of the command must read ""FIPS mode is enabled"".

If the observations do not indicate FIPS mode as enabled in both steps 1 and 2, this is a finding.","Configure SSMC to utilize FIPS 140-2 approved mode of encryption for authenticating users by doing the following:

1. Log on to the SSMC administrator console as ""ssmcadmin"" and enable FIPS 140-2 mode.

a. Navigate to Actions >> Preferences >> FIPS 140-2 Enabled setting and toggle the switch to ""yes"". Select ""OK"". 

2. Log on as ""ssmcadmin"" on the appliance and enable FIPS 140-2 approved mode by doing the following: 

a. Press ""X"" to escape to general bash shell.

b. Execute the following command:

$ sudo /ssmc/bin/config_security.sh -o fips_mode -a enable

c. Reboot the appliance when prompted.","CCI-000068,CCI-000803,CCI-001188,CCI-001453,CCI-002418,CCI-002420,CCI-002422,CCI-002450"
"HPE 3PAR SSMC Web Server Security Technical Implementation Guide","This Security Technical Implementation Guide is published as a tool to improve the security of Department of Defense (DOD) information systems. The requirements are derived from the National Institute of Standards and Technology (NIST) 800-53 and related documents. Comments or proposed revisions to this document should be sent via email to the following address: disa.stig_spt@mail.mil.","1","1 ","09 Nov 2022","Release: 1 Benchmark Date: 09 Nov 2022","STIG.DOD.MIL","terms-of-use","V-255252","SV-255252r870275_rule","SSMC-WS-010020","medium","CAT II","","SRG-APP-000001-WSR-000001","SSMC web server must limit the number of allowed simultaneous session requests.","<VulnDiscussion>Web server management includes the ability to control the number of users and user sessions that utilize a web server. Limiting the number of allowed users and sessions per user is helpful in limiting risks related to several types of Denial of Service attacks. 

Although there is some latitude concerning the settings themselves, the settings should follow DoD-recommended values, but the settings should be configurable to allow for future DOD direction. While the DOD will specify recommended values, the values can be adjusted to accommodate the operational requirement of a given system.</VulnDiscussion><FalsePositives></FalsePositives><FalseNegatives></FalseNegatives><Documentable>false</Documentable><Mitigations></Mitigations><SeverityOverrideGuidance></SeverityOverrideGuidance><PotentialImpacts></PotentialImpacts><ThirdPartyTools></ThirdPartyTools><MitigationControl></MitigationControl><Responsibility></Responsibility><IAControls></IAControls>","Web server management includes the ability to control the number of users and user sessions that utilize a web server. Limiting the number of allowed users and sessions per user is helpful in limiting risks related to several types of Denial of Service attacks. 

Although there is some latitude concerning the settings themselves, the settings should follow DoD-recommended values, but the settings should be configurable to allow for future DOD direction. While the DOD will specify recommended values, the values can be adjusted to accommodate the operational requirement of a given system.","","","false","","","","","","","","Verify that SSMC limits the number of concurrent sessions by doing the following:

1. Log on to SSMC TUI via SSH as ssmcadmin. Press ""X"" to escape to general bash shell.

2. Execute the following commands:

$ grep ^security.max.active.ui.sessions /opt/hpe/ssmc/ssmcbase/resources/ssmc.properties

security.max.active.ui.sessions=10

$ grep ^security.max.active.per.user.sessions /opt/hpe/ssmc/ssmcbase/resources/ssmc.properties
security.max.active.per.user.sessions=1

If the output of the above commands does not show the values for ""security.max.active.ui.sessions"" and ""security.max.active.per.user.sessions"" properties with values set as ""10"" and ""1"" respectively, this is a finding.","Configure SSMC to limit the number of allowed simultaneous web session requests by doing the following:

1. Log on to SSMC TUI via SSH as ssmcadmin. Press ""X"" to escape to general bash shell.

2. Edit /opt/hpe/ssmc/ssmcbase/resources/ssmc.properties (Use vi to edit).

3. Locate (or add a fresh entry) property security.max.active.ui.sessions. Set the value to ""10"".

4. Locate (or add a fresh entry) property security.max.active.per.user.sessions. Set the value to ""1"".

5. Save the file and exit.

6. Type ""config_appliance"" to return to TUI. Restart (stop and start) SSMC services using TUI menu option 2.","CCI-000054"
"HPE 3PAR SSMC Web Server Security Technical Implementation Guide","This Security Technical Implementation Guide is published as a tool to improve the security of Department of Defense (DOD) information systems. The requirements are derived from the National Institute of Standards and Technology (NIST) 800-53 and related documents. Comments or proposed revisions to this document should be sent via email to the following address: disa.stig_spt@mail.mil.","1","1 ","09 Nov 2022","Release: 1 Benchmark Date: 09 Nov 2022","STIG.DOD.MIL","terms-of-use","V-255253","SV-255253r869928_rule","SSMC-WS-010040","high","CAT I","","SRG-APP-000014-WSR-000006","SSMC web server must use encryption strength in accordance with the categorization of data hosted by the web server when remote connections are provided.","<VulnDiscussion>The SSMC web server has several remote communications channels. Examples are user requests via http/https, communication to a backend database, or communication to authenticate users. The encryption used to communicate must match the data that is being retrieved or presented.

Methods of communication are http for publicly displayed information, https to encrypt when user data is being transmitted, VPN tunneling, or other encryption methods to a database.

Satisfies: SRG-APP-000014-WSR-000006, SRG-APP-000172-WSR-000104, SRG-APP-000439-WSR-000151, SRG-APP-000439-WSR-000156, SRG-APP-000441-WSR-000181, SRG-APP-000442-WSR-000182</VulnDiscussion><FalsePositives></FalsePositives><FalseNegatives></FalseNegatives><Documentable>false</Documentable><Mitigations></Mitigations><SeverityOverrideGuidance></SeverityOverrideGuidance><PotentialImpacts></PotentialImpacts><ThirdPartyTools></ThirdPartyTools><MitigationControl></MitigationControl><Responsibility></Responsibility><IAControls></IAControls>","The SSMC web server has several remote communications channels. Examples are user requests via http/https, communication to a backend database, or communication to authenticate users. The encryption used to communicate must match the data that is being retrieved or presented.

Methods of communication are http for publicly displayed information, https to encrypt when user data is being transmitted, VPN tunneling, or other encryption methods to a database.

Satisfies: SRG-APP-000014-WSR-000006, SRG-APP-000172-WSR-000104, SRG-APP-000439-WSR-000151, SRG-APP-000439-WSR-000156, SRG-APP-000441-WSR-000181, SRG-APP-000442-WSR-000182","","","false","","","","","","","","Verify that SSMC uses encryption strength equal to the categorization of data hosted by doing the following:

1. Log on to SSH as ssmcadmin. Press ""X"" to escape to general bash shell.

2. Execute the following:

$ grep ^ssmc.secure.tls.only /opt/hpe/ssmc/ssmcbase/resources/ssmc.properties
ssmc.secure.tls.only = true

If the command output does not read ""ssmc.secure.tls.only = true"", this is a finding.","Configure SSMC to use encryption strength equal to the categorization of data hosted by doing the following: 

1. Log on to SSH as ssmcadmin. Press ""X"" to escape to general bash shell.

2. Using vi edit ssmc.properties and set ""ssmc.secure.tls.only=true"". Save and exit.

3. Type ""config_appliance"" to return to TUI. Restart (stop and start) SSMC services using TUI menu option 2.","CCI-000068,CCI-000197,CCI-002418,CCI-002420,CCI-002422"
"HPE 3PAR SSMC Web Server Security Technical Implementation Guide","This Security Technical Implementation Guide is published as a tool to improve the security of Department of Defense (DOD) information systems. The requirements are derived from the National Institute of Standards and Technology (NIST) 800-53 and related documents. Comments or proposed revisions to this document should be sent via email to the following address: disa.stig_spt@mail.mil.","1","1 ","09 Nov 2022","Release: 1 Benchmark Date: 09 Nov 2022","STIG.DOD.MIL","terms-of-use","V-255254","SV-255254r869931_rule","SSMC-WS-010051","high","CAT I","","SRG-APP-000015-WSR-000014","SSMC web server must use cryptography to protect the integrity of remote sessions.","<VulnDiscussion>Data exchanged between the user and the web server can range from static display data to credentials used to Log on to the hosted application. Even when data appears to be static, the nondisplayed logic in a web page may expose business logic or trusted system relationships. The integrity of all data being exchanged between the user and web server must always be trusted. To protect the integrity and trust, encryption methods should be used to protect the complete communication session.</VulnDiscussion><FalsePositives></FalsePositives><FalseNegatives></FalseNegatives><Documentable>false</Documentable><Mitigations></Mitigations><SeverityOverrideGuidance></SeverityOverrideGuidance><PotentialImpacts></PotentialImpacts><ThirdPartyTools></ThirdPartyTools><MitigationControl></MitigationControl><Responsibility></Responsibility><IAControls></IAControls>","Data exchanged between the user and the web server can range from static display data to credentials used to Log on to the hosted application. Even when data appears to be static, the nondisplayed logic in a web page may expose business logic or trusted system relationships. The integrity of all data being exchanged between the user and web server must always be trusted. To protect the integrity and trust, encryption methods should be used to protect the complete communication session.","","","false","","","","","","","","Verify that SSMC encrypts log exports to a remote syslog server with the following command: 

$ sudo /ssmc/bin/config_security.sh -o remote_syslog_appliance -a status | grep tls

ssmc.rsyslog.server.tls-enabled=1

If ""ssmc.rsyslog.server.tls-enabled"" does not equal ""1"", this is a finding.","Configure SSMC to encrypt log exports to a remote syslog server:

1. Configure rsyslog parameters in /ssmc/conf/security_config.properties like below (use vi editor):
ssmc.rsyslog.server.tls-enabled=1

2. Execute ""sudo /ssmc/bin/config_security.sh -o remote_syslog_appliance -a set -f"" to commit the configuration and enable the service.","CCI-001453"
"HPE 3PAR SSMC Web Server Security Technical Implementation Guide","This Security Technical Implementation Guide is published as a tool to improve the security of Department of Defense (DOD) information systems. The requirements are derived from the National Institute of Standards and Technology (NIST) 800-53 and related documents. Comments or proposed revisions to this document should be sent via email to the following address: disa.stig_spt@mail.mil.","1","1 ","09 Nov 2022","Release: 1 Benchmark Date: 09 Nov 2022","STIG.DOD.MIL","terms-of-use","V-255255","SV-255255r869934_rule","SSMC-WS-010060","medium","CAT II","","SRG-APP-000016-WSR-000005","SSMC web server must generate information to be used by external applications or entities to monitor and control remote access.","<VulnDiscussion>Remote access to the web server is any access that communicates through an external, non-organization-controlled network. Remote access can be used to access hosted applications or to perform management functions. 

By providing remote access information to an external monitoring system, the organization can monitor for cyber attacks and monitor compliance with remote access policies. The organization can also look at data organization wide and determine an attack or anomaly is occurring on the organization which might not be noticed if the data were kept local to the web server.

Examples of external applications used to monitor or control access would be audit log monitoring systems, dynamic firewalls, or infrastructure monitoring systems.</VulnDiscussion><FalsePositives></FalsePositives><FalseNegatives></FalseNegatives><Documentable>false</Documentable><Mitigations></Mitigations><SeverityOverrideGuidance></SeverityOverrideGuidance><PotentialImpacts></PotentialImpacts><ThirdPartyTools></ThirdPartyTools><MitigationControl></MitigationControl><Responsibility></Responsibility><IAControls></IAControls>","Remote access to the web server is any access that communicates through an external, non-organization-controlled network. Remote access can be used to access hosted applications or to perform management functions. 

By providing remote access information to an external monitoring system, the organization can monitor for cyber attacks and monitor compliance with remote access policies. The organization can also look at data organization wide and determine an attack or anomaly is occurring on the organization which might not be noticed if the data were kept local to the web server.

Examples of external applications used to monitor or control access would be audit log monitoring systems, dynamic firewalls, or infrastructure monitoring systems.","","","false","","","","","","","","Verify that SSMC monitors remote access by doing the following:

1. Log on to SSH as ssmcadmin. Press ""X"" to escape to general bash shell.

2. Execute the following command to enable HTTP access logs:

$ sudo /ssmc/bin/config_security.sh -o  http_access_log  -a status

HTTP access logging is enabled.

If the command output does not read ""HTTP access logging is enabled"", this is a finding.","Configure SSMC to be monitored for remote access by doing the following:

1. Log on to SSH as ssmcadmin. Press ""X"" to escape to general bash shell.

2. Execute the following command to enable HTTP access logs:

$ sudo /ssmc/bin/config_security.sh -o http_access_log -a enable -f","CCI-000067"
"HPE 3PAR SSMC Web Server Security Technical Implementation Guide","This Security Technical Implementation Guide is published as a tool to improve the security of Department of Defense (DOD) information systems. The requirements are derived from the National Institute of Standards and Technology (NIST) 800-53 and related documents. Comments or proposed revisions to this document should be sent via email to the following address: disa.stig_spt@mail.mil.","1","1 ","09 Nov 2022","Release: 1 Benchmark Date: 09 Nov 2022","STIG.DOD.MIL","terms-of-use","V-255256","SV-255256r869937_rule","SSMC-WS-010070","medium","CAT II","","SRG-APP-000016-WSR-000005","SSMC web server must generate information to be used by external applications or entities to monitor and control remote access.","<VulnDiscussion>Remote access to the web server is any access that communicates through an external, non-organization-controlled network. Remote access can be used to access hosted applications or to perform management functions. 

By providing remote access information to an external monitoring system, the organization can monitor for cyber attacks and monitor compliance with remote access policies. The organization can also look at data organization wide and determine an attack or anomaly is occurring on the organization which might not be noticed if the data were kept local to the web server.

Examples of external applications used to monitor or control access would be audit log monitoring systems, dynamic firewalls, or infrastructure monitoring systems.</VulnDiscussion><FalsePositives></FalsePositives><FalseNegatives></FalseNegatives><Documentable>false</Documentable><Mitigations></Mitigations><SeverityOverrideGuidance></SeverityOverrideGuidance><PotentialImpacts></PotentialImpacts><ThirdPartyTools></ThirdPartyTools><MitigationControl></MitigationControl><Responsibility></Responsibility><IAControls></IAControls>","Remote access to the web server is any access that communicates through an external, non-organization-controlled network. Remote access can be used to access hosted applications or to perform management functions. 

By providing remote access information to an external monitoring system, the organization can monitor for cyber attacks and monitor compliance with remote access policies. The organization can also look at data organization wide and determine an attack or anomaly is occurring on the organization which might not be noticed if the data were kept local to the web server.

Examples of external applications used to monitor or control access would be audit log monitoring systems, dynamic firewalls, or infrastructure monitoring systems.","","","false","","","","","","","","Verify that SSMC monitors remote access by doing the following:

1. Log on to SSH as ssmcadmin. Press ""X"" to escape to general bash shell.

2. Execute the following command to enable TCP access logs:

$ sudo /ssmc/bin/config_security.sh -o  tcp_access_log  -a status

TCP access logging is enabled

If the command output does not read ""TCP access logging is enabled"", this is a finding.","Configure SSMC to be monitored for remote access by doing the following:

1. Log on to SSH as ssmcadmin. Press ""X"" to escape to general bash shell.

2. Execute the following command to enable TCP access logs:

$ sudo /ssmc/bin/config_security.sh -o tcp_access_log -a enable -f","CCI-000067"
"HPE 3PAR SSMC Web Server Security Technical Implementation Guide","This Security Technical Implementation Guide is published as a tool to improve the security of Department of Defense (DOD) information systems. The requirements are derived from the National Institute of Standards and Technology (NIST) 800-53 and related documents. Comments or proposed revisions to this document should be sent via email to the following address: disa.stig_spt@mail.mil.","1","1 ","09 Nov 2022","Release: 1 Benchmark Date: 09 Nov 2022","STIG.DOD.MIL","terms-of-use","V-255257","SV-255257r869940_rule","SSMC-WS-010080","medium","CAT II","","SRG-APP-000016-WSR-000005","SSMC web server must generate information to be used by external applications or entities to monitor and control remote access.","<VulnDiscussion>Remote access to the web server is any access that communicates through an external, non-organization-controlled network. Remote access can be used to access hosted applications or to perform management functions. 

By providing remote access information to an external monitoring system, the organization can monitor for cyber attacks and monitor compliance with remote access policies. The organization can also look at data organization wide and determine an attack or anomaly is occurring on the organization which might not be noticed if the data were kept local to the web server.

Examples of external applications used to monitor or control access would be audit log monitoring systems, dynamic firewalls, or infrastructure monitoring systems.

Satisfies: SRG-APP-000016-WSR-000005, SRG-APP-000358-WSR-000163, SRG-APP-000358-WSR-000063, SRG-APP-000125-WSR-000071</VulnDiscussion><FalsePositives></FalsePositives><FalseNegatives></FalseNegatives><Documentable>false</Documentable><Mitigations></Mitigations><SeverityOverrideGuidance></SeverityOverrideGuidance><PotentialImpacts></PotentialImpacts><ThirdPartyTools></ThirdPartyTools><MitigationControl></MitigationControl><Responsibility></Responsibility><IAControls></IAControls>","Remote access to the web server is any access that communicates through an external, non-organization-controlled network. Remote access can be used to access hosted applications or to perform management functions. 

By providing remote access information to an external monitoring system, the organization can monitor for cyber attacks and monitor compliance with remote access policies. The organization can also look at data organization wide and determine an attack or anomaly is occurring on the organization which might not be noticed if the data were kept local to the web server.

Examples of external applications used to monitor or control access would be audit log monitoring systems, dynamic firewalls, or infrastructure monitoring systems.

Satisfies: SRG-APP-000016-WSR-000005, SRG-APP-000358-WSR-000163, SRG-APP-000358-WSR-000063, SRG-APP-000125-WSR-000071","","","false","","","","","","","","Verify that SSMC monitors remote access by enabling exports to a remote syslog server with the following command: 

$ sudo /ssmc/bin/config_security.sh -o remote_syslog_appliance -a status | sed 1q

Remote syslog service status is OK

If the output does not read ""Remote syslog service status is OK"", this is a finding.","Configure SSMC to be monitored for remote access by enabling exports to a remote syslog server:

1. Configure rsyslog parameters in /ssmc/conf/security_config.properties like below (use vi editor):

ssmc.rsyslog.server.host=<rsyslog_server>
ssmc.rsyslog.server.port=<rsyslog_port>
ssmc.rsyslog.server.protocol=tcp
ssmc.rsyslog.server.tls-enabled=1
ssmc.rsyslog.cert.caroot=<ca_root_cert_pem>
ssmc.rsyslog.cert.clientcert=<ssmc_client_cert_pem>
ssmc.rsyslog.cert.clientkey=<ssmc_client_key_pem>
ssmc.rsyslog.server.authMode=<x509/name | x509/certvalid>
ssmc.rsyslog.server.permittedPeers=<cn_of_rsyslog_server>
ssmc.rsyslog.server.device=<ens160|ens192|eth0|eth1>
ssmc.rsyslog.queue.maxdiskspace=6
ssmc.rsyslog.smtp.alert=true
ssmc.rsyslog.smtp.server=<smtp_server_ip>
ssmc.rsyslog.smtp.port=<smtp_port>
ssmc.rsyslog.smtp.recipient=[""id1@domain"",""id2@domain""]
ssmc.rsyslog.smtp.notify-interval=300
ssmc.rsyslog.smtp.mailFrom=id@domain

2. Execute ""sudo /ssmc/bin/config_security.sh -o remote_syslog_appliance -a set -f"" to commit the configuration and enable the service.","CCI-000067,CCI-001348,CCI-001851"
"HPE 3PAR SSMC Web Server Security Technical Implementation Guide","This Security Technical Implementation Guide is published as a tool to improve the security of Department of Defense (DOD) information systems. The requirements are derived from the National Institute of Standards and Technology (NIST) 800-53 and related documents. Comments or proposed revisions to this document should be sent via email to the following address: disa.stig_spt@mail.mil.","1","1 ","09 Nov 2022","Release: 1 Benchmark Date: 09 Nov 2022","STIG.DOD.MIL","terms-of-use","V-255258","SV-255258r869943_rule","SSMC-WS-010090","medium","CAT II","","SRG-APP-000142-WSR-000089","The SSMC web server must be configured to use a specified IP address and port.","<VulnDiscussion>The web server must be configured to listen on a specified IP address and port. Without specifying an IP address and port for the web server to utilize, the web server will listen on all IP addresses available to the hosting server. If the web server has multiple IP addresses, i.e., a management IP address, the web server will also accept connections on the management IP address.

Accessing the hosted application through an IP address normally used for nonapplication functions opens the possibility of user access to resources, utilities, files, ports, and protocols that are protected on the desired application IP address.</VulnDiscussion><FalsePositives></FalsePositives><FalseNegatives></FalseNegatives><Documentable>false</Documentable><Mitigations></Mitigations><SeverityOverrideGuidance></SeverityOverrideGuidance><PotentialImpacts></PotentialImpacts><ThirdPartyTools></ThirdPartyTools><MitigationControl></MitigationControl><Responsibility></Responsibility><IAControls></IAControls>","The web server must be configured to listen on a specified IP address and port. Without specifying an IP address and port for the web server to utilize, the web server will listen on all IP addresses available to the hosting server. If the web server has multiple IP addresses, i.e., a management IP address, the web server will also accept connections on the management IP address.

Accessing the hosted application through an IP address normally used for nonapplication functions opens the possibility of user access to resources, utilities, files, ports, and protocols that are protected on the desired application IP address.","","","false","","","","","","","","Verify that SSMC web server is configured to listen on a specific network IP address, by doing the following:

1. Log on to ssmc appliance as ssmcadmin. Press ""X"" to escape to general bash shell.

2. Execute the command:

$ sudo /ssmc/bin/config_security.sh -o webserver_service_network -a status
Webserver service is listening on <ip_address>

If the command output does not display a specific IP address assigned to the SSMC host but reads ""default IP address"", this is a finding.","Configure SSMC web server to listen on a specified network IP address by doing the following:

1. Log on to ssmc appliance as ssmcadmin; escape to general bash shell.

2. Edit (using vi editor) file /ssmc/conf/security_config.properties and set the property ssmc.webserver.service.network=<interface_name>

The property value can be any of ens160 or ens192 in an ESX environment; eth0 or eth1 in a Hyper-V environment.

3. Execute the command:

$ sudo /ssmc/bin/config_security.sh -o webserver_service_network -a set -f","CCI-000382"
"HPE 3PAR SSMC Web Server Security Technical Implementation Guide","This Security Technical Implementation Guide is published as a tool to improve the security of Department of Defense (DOD) information systems. The requirements are derived from the National Institute of Standards and Technology (NIST) 800-53 and related documents. Comments or proposed revisions to this document should be sent via email to the following address: disa.stig_spt@mail.mil.","1","1 ","09 Nov 2022","Release: 1 Benchmark Date: 09 Nov 2022","STIG.DOD.MIL","terms-of-use","V-255259","SV-255259r869946_rule","SSMC-WS-010100","medium","CAT II","","SRG-APP-000175-WSR-000095","The SSMC web server must perform RFC 5280-compliant certification path validation.","<VulnDiscussion>A certificate's certification path is the path from the end entity certificate to a trusted root certification authority (CA). Certification path validation is necessary for a relying party to make an informed decision regarding acceptance of an end entity certificate. Certification path validation includes checks such as certificate issuer trust, time validity and revocation status for each certificate in the certification path. Revocation status information for CA and subject certificates in a certification path is commonly provided via certificate revocation lists (CRLs) or online certificate status protocol (OCSP) responses.</VulnDiscussion><FalsePositives></FalsePositives><FalseNegatives></FalseNegatives><Documentable>false</Documentable><Mitigations></Mitigations><SeverityOverrideGuidance></SeverityOverrideGuidance><PotentialImpacts></PotentialImpacts><ThirdPartyTools></ThirdPartyTools><MitigationControl></MitigationControl><Responsibility></Responsibility><IAControls></IAControls>","A certificate's certification path is the path from the end entity certificate to a trusted root certification authority (CA). Certification path validation is necessary for a relying party to make an informed decision regarding acceptance of an end entity certificate. Certification path validation includes checks such as certificate issuer trust, time validity and revocation status for each certificate in the certification path. Revocation status information for CA and subject certificates in a certification path is commonly provided via certificate revocation lists (CRLs) or online certificate status protocol (OCSP) responses.","","","false","","","","","","","","To verify SSMC always validates PKI certificates of all remote hosts that it connects to, in accordance with RFC 5280, do the following:

1. Log on to ssmc appliance as ssmcadmin and escape to general bash shell.

2. Execute the following command:
$ grep ^ssmc.tls.trustmanager.enabled /opt/hpe/ssmc/ssmcbase/resources/ssmc.properties

ssmc.tls.trustmanager.enabled=true

If the command output does not show the property ssmc.tls.trustmanager.enabled as set to true, this is a finding.","Configure SSMC to always validate PKI certificates in accordance with RFC 5280 for all connections to remote hosts (as a client), by doing the following:

1. Log on to ssmc appliance as ssmcadmin and escape to general bash shell.

2. Edit (using vi editor) file /opt/hpe/ssmc/ssmcbase/resources/ssmc.properties and set the property ssmc.tls.trustmanager.enabled=true

3. Save the file and exit.

4. Type ""config_appliance"" to return to TUI. Restart (stop and start) SSMC services using TUI menu option 2.","CCI-000185"
"HPE 3PAR SSMC Web Server Security Technical Implementation Guide","This Security Technical Implementation Guide is published as a tool to improve the security of Department of Defense (DOD) information systems. The requirements are derived from the National Institute of Standards and Technology (NIST) 800-53 and related documents. Comments or proposed revisions to this document should be sent via email to the following address: disa.stig_spt@mail.mil.","1","1 ","09 Nov 2022","Release: 1 Benchmark Date: 09 Nov 2022","STIG.DOD.MIL","terms-of-use","V-255260","SV-255260r869949_rule","SSMC-WS-010150","medium","CAT II","","SRG-APP-000295-WSR-000012","SSMC web server must set an absolute timeout for sessions.","<VulnDiscussion>Leaving sessions open indefinitely is a major security risk. An attacker can easily use an already authenticated session to access the hosted application as the previously authenticated user. By closing sessions after an absolute period of time, the user is forced to re-authenticate guaranteeing the session is still in use. Enabling an absolute timeout for sessions closes sessions that are still active. Examples would be a runaway process accessing the web server or an attacker using a hijacked session to slowly probe the web server.</VulnDiscussion><FalsePositives></FalsePositives><FalseNegatives></FalseNegatives><Documentable>false</Documentable><Mitigations></Mitigations><SeverityOverrideGuidance></SeverityOverrideGuidance><PotentialImpacts></PotentialImpacts><ThirdPartyTools></ThirdPartyTools><MitigationControl></MitigationControl><Responsibility></Responsibility><IAControls></IAControls>","Leaving sessions open indefinitely is a major security risk. An attacker can easily use an already authenticated session to access the hosted application as the previously authenticated user. By closing sessions after an absolute period of time, the user is forced to re-authenticate guaranteeing the session is still in use. Enabling an absolute timeout for sessions closes sessions that are still active. Examples would be a runaway process accessing the web server or an attacker using a hijacked session to slowly probe the web server.","","","false","","","","","","","","Verify that SSMC is configured to close web sessions after an absolute period of time by doing the following:

1. Log on to SSMC appliance as ssmcadmin. Press ""X"" to escape to general bash shell.

2. Execute the following command: 

$ grep ^server.absolute.session.timeout /opt/hpe/ssmc/ssmcbase/resources/ssmc.properties

server.absolute.session.timeout=60

If the command output does not read ""server.absolute.session.timeout=60"", this is a finding.","Configure SSMC to close web sessions after an absolute period of time by doing the following:

1. Log on to SSMC appliance as ssmcadmin. Press ""X"" to escape to general bash shell.

2. Use vi editor to locate and set the value of property ""server.absolute.session.timeout"" to 60 in /opt/hpe/ssmc/ssmcbase/resources/ssmc.properties. Uncomment it if required. Save and exit.

3. Type ""config_appliance"" to return to TUI. Restart (stop and start) SSMC services using TUI menu option 2.","CCI-002361"
