"Title","Description","Version","Release","BenchmarkDate","ReleaseInfo","Source","Notice","Rule_VulnID","Rule_RuleID","Rule_StigID","Rule_Severity","Rule_Cat","Rule_Classification","Rule_GroupTitle","Rule_RuleTitle","Rule_Description","Rule_VulnDiscussion","Rule_FalsePositives","Rule_FalseNegatives","Rule_Documentable","Rule_Mitigations","Rule_SeverityOverrideGuidance","Rule_PotentialImpacts","Rule_ThirdPartyTools","Rule_MitigationControl","Rule_Responsibility","Rule_IAControls","Rule_CheckText","Rule_FixText","Rule_CCI"
"HYCU for Nutanix Security Technical Implementation Guide","This Security Technical Implementation Guide is published as a tool to improve the security of Department of Defense (DoD) information systems. The requirements are derived from the National Institute of Standards and Technology (NIST) 800-53 and related documents. Comments or proposed revisions to this document should be sent via email to the following address: disa.stig_spt@mail.mil.","1","1 ","03 Aug 2021","Release: 1 Benchmark Date: 03 Aug 2021","STIG.DOD.MIL","terms-of-use","V-246819","SV-246819r768121_rule","HYCU-AC-000001","medium","CAT II","","SRG-APP-000001-NDM-000200","The HYCU 4.1 application and server must limit the number of concurrent sessions to an organization-defined number for each administrator account and/or administrator account type.","<VulnDiscussion>Device management includes the ability to control the number of administrators and management sessions that manage a device. Limiting the number of allowed administrators and sessions per administrator based on account type, role, or access type is helpful in limiting risks related to DoS attacks.</VulnDiscussion><FalsePositives></FalsePositives><FalseNegatives></FalseNegatives><Documentable>false</Documentable><Mitigations></Mitigations><SeverityOverrideGuidance></SeverityOverrideGuidance><PotentialImpacts></PotentialImpacts><ThirdPartyTools></ThirdPartyTools><MitigationControl></MitigationControl><Responsibility></Responsibility><IAControls></IAControls>","Device management includes the ability to control the number of administrators and management sessions that manage a device. Limiting the number of allowed administrators and sessions per administrator based on account type, role, or access type is helpful in limiting risks related to DoS attacks.","","","false","","","","","","","","In the HYCU Web UI, only one logon can be used at a time.

If the previous connection is not logged upon logging on to the Web UI again with the same credentials, this is a finding.

Log on to the HYCU VM console. To check number of allowed concurrent session connections, grep file ""/etc/security/limits.conf"" by executing the following command:
grep maxlogins /etc/security/limits.conf

Verify the following line exists:
hycu            hard    maxlogins       1

If the ""maxlogins"" value is not set to 1 or is missing, this is a finding.","The Web UI will only always allow one user session at a time.

For CLI, configure the operating system to limit the max number of concurrent sessions to 1 by adding the following line to ""/etc/security/limits.conf"":
hycu            hard    maxlogins       1","CCI-000054"
"HYCU for Nutanix Security Technical Implementation Guide","This Security Technical Implementation Guide is published as a tool to improve the security of Department of Defense (DoD) information systems. The requirements are derived from the National Institute of Standards and Technology (NIST) 800-53 and related documents. Comments or proposed revisions to this document should be sent via email to the following address: disa.stig_spt@mail.mil.","1","1 ","03 Aug 2021","Release: 1 Benchmark Date: 03 Aug 2021","STIG.DOD.MIL","terms-of-use","V-246820","SV-246820r768124_rule","HYCU-AC-000002","medium","CAT II","","SRG-APP-000003-NDM-000202","The HYCU 4.1 application and server must initiate a session lock after a 15-minute period of inactivity.","<VulnDiscussion>A session lock is a temporary network device or administrator-initiated action taken when the administrator stops work but does not log out of the network device. Rather than relying on the user to manually lock their management session prior to vacating the vicinity, network devices need to be able to identify when a management session has idled and take action to initiate the session lock. Once invoked, the session lock must remain in place until the administrator reauthenticates. No other system activity aside from reauthentication must unlock the management session.</VulnDiscussion><FalsePositives></FalsePositives><FalseNegatives></FalseNegatives><Documentable>false</Documentable><Mitigations></Mitigations><SeverityOverrideGuidance></SeverityOverrideGuidance><PotentialImpacts></PotentialImpacts><ThirdPartyTools></ThirdPartyTools><MitigationControl></MitigationControl><Responsibility></Responsibility><IAControls></IAControls>","A session lock is a temporary network device or administrator-initiated action taken when the administrator stops work but does not log out of the network device. Rather than relying on the user to manually lock their management session prior to vacating the vicinity, network devices need to be able to identify when a management session has idled and take action to initiate the session lock. Once invoked, the session lock must remain in place until the administrator reauthenticates. No other system activity aside from reauthentication must unlock the management session.","","","false","","","","","","","","Log on to the VM console.

grep ClientAliveInterval /etc/ssh/sshd_config 

If ""ClientAliveInterval"" is missing or commented out, this is a finding.

If ""ClientAliveInterval"" exists and is configured to less than 15 minutes, this is a finding.

Log on to the Web UI console and leave the session open. Determine if the VM console session locks after 15 minutes. 

If it does not, this is a finding. 

The Web UI will also time out automatically after 15 minutes of user inactivity. 

If the Web UI session does not log out the inactive user, this is a finding.","Log on to the VM console and use the following command to edit the ""sshd_config"" file:
vi /etc/ssh/sshd_config
ClientAliveInterval 15m          # 15 minutes
ClientAliveCountMax 0           # 0 times

Web UI by default performs an automatic logout after 15 minutes of user inactivity. Do the following to further tweak the inactivity timeout if required:

If the ""config.properties"" file is not yet created, copy the ""config.properties.template"" file to become the ""config.properties"" file by typing:
cp /opt/grizzly/config.properties.template /opt/grizzly/config.properties

Edit the ""/opt/grizzly/config.properties"" file by running:
sudo vi /opt/grizzly/config.properties

Locate the following setting:
# api.session.expiration.minutes=15 #int

Change the number from 15 to the desired value, uncomment the line by removing the #, and save the file by typing:
:wq!

Restart the grizzly service by running:
service grizzly restart","CCI-000057"
"HYCU for Nutanix Security Technical Implementation Guide","This Security Technical Implementation Guide is published as a tool to improve the security of Department of Defense (DoD) information systems. The requirements are derived from the National Institute of Standards and Technology (NIST) 800-53 and related documents. Comments or proposed revisions to this document should be sent via email to the following address: disa.stig_spt@mail.mil.","1","1 ","03 Aug 2021","Release: 1 Benchmark Date: 03 Aug 2021","STIG.DOD.MIL","terms-of-use","V-246821","SV-246821r768127_rule","HYCU-AC-000003","medium","CAT II","","SRG-APP-000317-NDM-000282","The HYCU server must terminate shared/group account credentials when members leave the group.","<VulnDiscussion>A shared/group account credential is a shared form of authentication that allows multiple individuals to access the network device using a single account. If shared/group account credentials are not terminated when individuals leave the group, the user that left the group can still gain access even though they are no longer authorized. There may also be instances when specific user actions need to be performed on the network device without unique administrator identification or authentication. Examples of credentials include passwords and group membership certificates.</VulnDiscussion><FalsePositives></FalsePositives><FalseNegatives></FalseNegatives><Documentable>false</Documentable><Mitigations></Mitigations><SeverityOverrideGuidance></SeverityOverrideGuidance><PotentialImpacts></PotentialImpacts><ThirdPartyTools></ThirdPartyTools><MitigationControl></MitigationControl><Responsibility></Responsibility><IAControls></IAControls>","A shared/group account credential is a shared form of authentication that allows multiple individuals to access the network device using a single account. If shared/group account credentials are not terminated when individuals leave the group, the user that left the group can still gain access even though they are no longer authorized. There may also be instances when specific user actions need to be performed on the network device without unique administrator identification or authentication. Examples of credentials include passwords and group membership certificates.","","","false","","","","","","","","Within the HYCU Web UI in the Self-Service menu, check for users or groups that no longer need access.

If any old or unused accounts or groups exist, this is a finding.","Within the HYCU Web UI, remove the users or groups that no longer need access.
 
If any AD users or groups have been left within the HYCU Web UI in the Self-Service menu, remove users that are no longer needed from their respective AD groups.","CCI-002142"
"HYCU for Nutanix Security Technical Implementation Guide","This Security Technical Implementation Guide is published as a tool to improve the security of Department of Defense (DoD) information systems. The requirements are derived from the National Institute of Standards and Technology (NIST) 800-53 and related documents. Comments or proposed revisions to this document should be sent via email to the following address: disa.stig_spt@mail.mil.","1","1 ","03 Aug 2021","Release: 1 Benchmark Date: 03 Aug 2021","STIG.DOD.MIL","terms-of-use","V-246822","SV-246822r768130_rule","HYCU-AC-000004","high","CAT I","","SRG-APP-000033-NDM-000212","The HYCU 4.1 Application must enforce the assigned privilege level for each administrator and authorizations for access to all commands relative to the privilege level in accordance with applicable policy for the device.","<VulnDiscussion>To mitigate the risk of unauthorized access to sensitive information by entities that have been issued certificates by DoD-approved PKIs, all DoD systems must be properly configured to incorporate access control methods that do not rely solely on the possession of a certificate for access. Successful authentication must not automatically give an entity access to an asset or security boundary. Authorization procedures and controls must be implemented to ensure each authenticated entity also has a validated and current authorization. Authorization is the process of determining whether an entity, once authenticated, is permitted to access a specific asset. Network devices use access control policies and enforcement mechanisms to implement this requirement.</VulnDiscussion><FalsePositives></FalsePositives><FalseNegatives></FalseNegatives><Documentable>false</Documentable><Mitigations></Mitigations><SeverityOverrideGuidance></SeverityOverrideGuidance><PotentialImpacts></PotentialImpacts><ThirdPartyTools></ThirdPartyTools><MitigationControl></MitigationControl><Responsibility></Responsibility><IAControls></IAControls>","To mitigate the risk of unauthorized access to sensitive information by entities that have been issued certificates by DoD-approved PKIs, all DoD systems must be properly configured to incorporate access control methods that do not rely solely on the possession of a certificate for access. Successful authentication must not automatically give an entity access to an asset or security boundary. Authorization procedures and controls must be implemented to ensure each authenticated entity also has a validated and current authorization. Authorization is the process of determining whether an entity, once authenticated, is permitted to access a specific asset. Network devices use access control policies and enforcement mechanisms to implement this requirement.","","","false","","","","","","","","Review the Self-Service menu within HYCU to view accounts and user roles (Administrator, Backup Operator, Restore Operator, Backup and Restore Operator, or Viewer).

User roles have a predefined and non-changeable set of user privileges. To check exact set of privileges of each user, navigate to Self-Service context in the HYCU UI.

Click on the question mark in the upper-right corner, followed by ""Help with This Page"". Scroll down to the ""User Roles"" section.

If users can perform more functions than those specified for their role, this is a finding.","Apply the appropriate user role to the required user from one of the predefined and non-changeable roles: Administrator, Backup Operator, Restore Operator, Backup and Restore Operator, or Viewer.","CCI-000213"
"HYCU for Nutanix Security Technical Implementation Guide","This Security Technical Implementation Guide is published as a tool to improve the security of Department of Defense (DoD) information systems. The requirements are derived from the National Institute of Standards and Technology (NIST) 800-53 and related documents. Comments or proposed revisions to this document should be sent via email to the following address: disa.stig_spt@mail.mil.","1","1 ","03 Aug 2021","Release: 1 Benchmark Date: 03 Aug 2021","STIG.DOD.MIL","terms-of-use","V-246823","SV-246823r768133_rule","HYCU-AC-000005","medium","CAT II","","SRG-APP-000328-NDM-000286","If the HYCU Server or Web UI uses discretionary access control, the network device must enforce organization-defined discretionary access control policies over defined subjects and objects.","<VulnDiscussion>Discretionary Access Control (DAC) is based on the notion that individual network administrators are ""owners"" of objects and therefore have discretion over who should be authorized to access the object and in which mode (e.g., read or write). Ownership is usually acquired as a consequence of creating the object or via specified ownership assignment. DAC allows the owner to determine who will have access to objects they control. An example of DAC includes user-controlled file permissions.

Satisfies: SRG-APP-000328-NDM-000286, SRG-APP-000329-NDM-000287</VulnDiscussion><FalsePositives></FalsePositives><FalseNegatives></FalseNegatives><Documentable>false</Documentable><Mitigations></Mitigations><SeverityOverrideGuidance></SeverityOverrideGuidance><PotentialImpacts></PotentialImpacts><ThirdPartyTools></ThirdPartyTools><MitigationControl></MitigationControl><Responsibility></Responsibility><IAControls></IAControls>","Discretionary Access Control (DAC) is based on the notion that individual network administrators are ""owners"" of objects and therefore have discretion over who should be authorized to access the object and in which mode (e.g., read or write). Ownership is usually acquired as a consequence of creating the object or via specified ownership assignment. DAC allows the owner to determine who will have access to objects they control. An example of DAC includes user-controlled file permissions.

Satisfies: SRG-APP-000328-NDM-000286, SRG-APP-000329-NDM-000287","","","false","","","","","","","","HYCU offers the capability to leverage RBAC controls within the Web UI's Self-Service menu. The organization would need to generate and document its own specific requirements around using RBAC in HYCU. 

For the HYCU VM console, administrators should only allow access to anyone else deemed to be qualified as a server administrator for the system. 

Review the groups and accounts within Web UI's Self-Service menu.

If any RBAC setting does not meet the organization's own guidelines, this is a finding.","Ensure the correct RBAC controls and access are applied properly within the HYCU Web UI's Self-Service menu. Avoid granting too much access to any particular user or group. 

Ensure that any needed DACLs are also being applied to and enforced on any OUs or groups in Active Directory that are being leveraged within the HYCU Web UI Self-Service menu. 

For the HYCU VM console, administrators should only allow access to anyone else deemed to be qualified as a server administrator for the system. 

To check for any unauthorized users, run the following command within the HYCU Web console: 
cat /etc/passwd

Use the ""userdel"" command to remove any unauthorized users.","CCI-000366,CCI-002165,CCI-002169"
"HYCU for Nutanix Security Technical Implementation Guide","This Security Technical Implementation Guide is published as a tool to improve the security of Department of Defense (DoD) information systems. The requirements are derived from the National Institute of Standards and Technology (NIST) 800-53 and related documents. Comments or proposed revisions to this document should be sent via email to the following address: disa.stig_spt@mail.mil.","1","1 ","03 Aug 2021","Release: 1 Benchmark Date: 03 Aug 2021","STIG.DOD.MIL","terms-of-use","V-246824","SV-246824r768136_rule","HYCU-AC-000006","medium","CAT II","","SRG-APP-000038-NDM-000213","The HYCU virtual machine must enforce approved authorizations for controlling the flow of management information within the network device based on information flow control policies.","<VulnDiscussion>A mechanism to detect and prevent unauthorized communication flow must be configured or provided as part of the system design. If management information flow is not enforced based on approved authorizations, the network device may become compromised. Information flow control regulates where management information is allowed to travel within a network device. The flow of all management information must be monitored and controlled so it does not introduce any unacceptable risk to the network device or data.</VulnDiscussion><FalsePositives></FalsePositives><FalseNegatives></FalseNegatives><Documentable>false</Documentable><Mitigations></Mitigations><SeverityOverrideGuidance></SeverityOverrideGuidance><PotentialImpacts></PotentialImpacts><ThirdPartyTools></ThirdPartyTools><MitigationControl></MitigationControl><Responsibility></Responsibility><IAControls></IAControls>","A mechanism to detect and prevent unauthorized communication flow must be configured or provided as part of the system design. If management information flow is not enforced based on approved authorizations, the network device may become compromised. Information flow control regulates where management information is allowed to travel within a network device. The flow of all management information must be monitored and controlled so it does not introduce any unacceptable risk to the network device or data.","","","false","","","","","","","","By default, HYCU firewall is locked and enabled. The firewall only permits DHCP, SMB, and access to the web UI port 8443.

Verify the firewall is running by executing the following command:
sudo firewall-cmd --state

If service is not running, this is a finding.

Determine which services and ports are open by executing the following command:
sudo firewall-cmd --list-all

Output should show the following two lines:
'services: cockpit dhcpv6-client iscsi-target samba ssh'
'ports: 8443/tcp'

If more services than those listed above are open, this is a finding.","Enable the firewall by executing the following commands:
sudo systemctl enable firewalld

sudo systemctl start firewalld","CCI-001368"
"HYCU for Nutanix Security Technical Implementation Guide","This Security Technical Implementation Guide is published as a tool to improve the security of Department of Defense (DoD) information systems. The requirements are derived from the National Institute of Standards and Technology (NIST) 800-53 and related documents. Comments or proposed revisions to this document should be sent via email to the following address: disa.stig_spt@mail.mil.","1","1 ","03 Aug 2021","Release: 1 Benchmark Date: 03 Aug 2021","STIG.DOD.MIL","terms-of-use","V-246825","SV-246825r768139_rule","HYCU-AC-000007","medium","CAT II","","SRG-APP-000343-NDM-000289","The HYCU server and Web UI must audit the execution of privileged functions.","<VulnDiscussion>Misuse of privileged functions, either intentionally or unintentionally by authorized users, or by unauthorized external entities that have compromised information system accounts, is a serious and ongoing concern and can have significant adverse impacts on organizations. Auditing the use of privileged functions is one way to detect such misuse and identify the risk from insider threats and the advanced persistent threat.</VulnDiscussion><FalsePositives></FalsePositives><FalseNegatives></FalseNegatives><Documentable>false</Documentable><Mitigations></Mitigations><SeverityOverrideGuidance></SeverityOverrideGuidance><PotentialImpacts></PotentialImpacts><ThirdPartyTools></ThirdPartyTools><MitigationControl></MitigationControl><Responsibility></Responsibility><IAControls></IAControls>","Misuse of privileged functions, either intentionally or unintentionally by authorized users, or by unauthorized external entities that have compromised information system accounts, is a serious and ongoing concern and can have significant adverse impacts on organizations. Auditing the use of privileged functions is one way to detect such misuse and identify the risk from insider threats and the advanced persistent threat.","","","false","","","","","","","","Check the contents of the ""/var/log/audit/audit.log"" file.

HYCU also maintains Event (Audit) information in the HYCU Web UI Events menu.

Verify the audit log contains records showing when the execution of privileged functions occurred.

If the audit log is not configured or does not have the required contents, this is a finding.","Log on to the HYCU VM console and load the STIG audit rules by using the following commands:

1. cp /usr/share/doc/audit/rules/10-base-config.rules /usr/share/doc/audit/rules/30-stig.rules /usr/share/doc/audit/rules/31-privileged.rules /usr/share/doc/audit/rules/99-finalize.rules /etc/audit/rules.d/

2. augenrules --load","CCI-002234"
"HYCU for Nutanix Security Technical Implementation Guide","This Security Technical Implementation Guide is published as a tool to improve the security of Department of Defense (DoD) information systems. The requirements are derived from the National Institute of Standards and Technology (NIST) 800-53 and related documents. Comments or proposed revisions to this document should be sent via email to the following address: disa.stig_spt@mail.mil.","1","1 ","03 Aug 2021","Release: 1 Benchmark Date: 03 Aug 2021","STIG.DOD.MIL","terms-of-use","V-246826","SV-246826r768142_rule","HYCU-AC-000008","medium","CAT II","","SRG-APP-000065-NDM-000214","The HYCU VM console must be configured to enforce the limit of three consecutive invalid logon attempts, after which time it must block any logon attempt for 15 minutes.","<VulnDiscussion>By limiting the number of failed logon attempts, the risk of unauthorized system access via user password guessing, otherwise known as brute-forcing, is reduced.</VulnDiscussion><FalsePositives></FalsePositives><FalseNegatives></FalseNegatives><Documentable>false</Documentable><Mitigations></Mitigations><SeverityOverrideGuidance></SeverityOverrideGuidance><PotentialImpacts></PotentialImpacts><ThirdPartyTools></ThirdPartyTools><MitigationControl></MitigationControl><Responsibility></Responsibility><IAControls></IAControls>","By limiting the number of failed logon attempts, the risk of unauthorized system access via user password guessing, otherwise known as brute-forcing, is reduced.","","","false","","","","","","","","Log on to the HYCU VM console and go to the ""/etc/pam.d/"" folder. Verify that ""password-auth"" and ""system-auth"" contain the following three lines, and the values for deny and unlock_time are as shown.

Commands:
sudo grep pam_faillock.so /etc/pam.d/password-auth
sudo grep pam_faillock.so /etc/pam.d/system-auth

Both should displays the following three lines:
auth        required                                     pam_faillock.so preauth silent audit deny=3 even_deny_root fail_interval=60 unlock_time=900
auth        required                                     pam_faillock.so authfail audit unlock_time=900
account     required                                     pam_faillock.so

If the required content is not present, this is a finding.","Go to the ""/etc/pam.d/"" folder.

Move the current configuration and make new copies to be edited by executing the following commands:
sudo mv password-auth password-auth-as

sudo mv system-auth system-auth-as

sudo cp password-auth-as password-auth

sudo cp system-auth-as system-auth

Edit the files ""password-auth"" and ""system-auth"".

Add the lines:
auth        required                                     pam_faillock.so preauth silent audit deny=3 even_deny_root fail_interval=60 unlock_time=900
 after line 
auth        required                                     pam_env.so

Add:
auth        required                                     pam_faillock.so authfail audit unlock_time=900
after
auth        sufficient                                   pam_unix.so nullok try_first_pass

Add:
account     required                                     pam_faillock.so
before 
account     required                                     pam_unix.so

The files ""system-auth"" and ""password-auth"" are identical, so the procedure can be done on one of the files and copied to the second one.

Restart sssd service:
sudo systemctl restart sssd.service","CCI-000044"
"HYCU for Nutanix Security Technical Implementation Guide","This Security Technical Implementation Guide is published as a tool to improve the security of Department of Defense (DoD) information systems. The requirements are derived from the National Institute of Standards and Technology (NIST) 800-53 and related documents. Comments or proposed revisions to this document should be sent via email to the following address: disa.stig_spt@mail.mil.","1","1 ","03 Aug 2021","Release: 1 Benchmark Date: 03 Aug 2021","STIG.DOD.MIL","terms-of-use","V-246827","SV-246827r790581_rule","HYCU-AC-000009","medium","CAT II","","SRG-APP-000068-NDM-000215","The HYCU VM console must display the Standard Mandatory DoD Notice and Consent Banner before granting access to the device.","<VulnDiscussion>Display of the DoD-approved use notification before granting access to the network device ensures privacy and security notification verbiage used is consistent with applicable federal laws, Executive Orders, directives, policies, regulations, standards, and guidance.</VulnDiscussion><FalsePositives></FalsePositives><FalseNegatives></FalseNegatives><Documentable>false</Documentable><Mitigations></Mitigations><SeverityOverrideGuidance></SeverityOverrideGuidance><PotentialImpacts></PotentialImpacts><ThirdPartyTools></ThirdPartyTools><MitigationControl></MitigationControl><Responsibility></Responsibility><IAControls></IAControls>","Display of the DoD-approved use notification before granting access to the network device ensures privacy and security notification verbiage used is consistent with applicable federal laws, Executive Orders, directives, policies, regulations, standards, and guidance.","","","false","","","","","","","","Log on to the HYCU VM console and verify the banner setting is in use in the ""/etc/ssh/sshd_config"" file by executing the following command:
grep Banner /etc/ssh/sshd_config

If the banner is not set to ""/etc/issue.net"", this is a finding.

Verify ""/etc/issue"" contains valid DoD notice text by executing the following command:
sudo cat /etc/issue

If the DoD notice is not present in the ""/etc/issue"" file, this is a finding.

Open the HYCU Web UI logon page and verify the mandatory notice is present on the welcome page.

If the mandatory notice is not present at the HYCU Web UI welcome page, this is a finding.","The GUI logon page welcome message and look of the logon can be changed by following the procedure below:

1. Open a remote session to the HYCU backup controller:
ssh hycu@<HYCUBackupControllerIPAddress>

2. Copy custom images to the custom-images folder at the following location:
/opt/grizzly/www/webapp/resources/

3. Open the ""customBranding.json"" file from the following location:
/opt/grizzly/www/webapp/

4. In the ""customBranding.json file"", do the following:
a. To modify the images, specify the names of the custom files added to the custom-images folder. The logon page image recommended size is 1574x1920.
b. To modify the welcome message, replace ""customWelcomeTitle"" and ""customWelcomeSubtitle"" with the desired text.

5. Perform a hard reload of the HYCU Web UI page in the web browser.

The console and ssh logon can be configured to display the DoD banner by modifying ""/etc/issue"" with the required text and editing the ""/etc/ssh/sshd_config"" file to uncomment the banner keyword and configure it to point to ""/etc/issue"" as shown below:
banner=/etc/issue","CCI-000048"
"HYCU for Nutanix Security Technical Implementation Guide","This Security Technical Implementation Guide is published as a tool to improve the security of Department of Defense (DoD) information systems. The requirements are derived from the National Institute of Standards and Technology (NIST) 800-53 and related documents. Comments or proposed revisions to this document should be sent via email to the following address: disa.stig_spt@mail.mil.","1","1 ","03 Aug 2021","Release: 1 Benchmark Date: 03 Aug 2021","STIG.DOD.MIL","terms-of-use","V-246828","SV-246828r768148_rule","HYCU-AC-000010","medium","CAT II","","SRG-APP-000069-NDM-000216","The HYCU VM console must retain the Standard Mandatory DoD Notice and Consent Banner on the screen until the administrator acknowledges the usage conditions and takes explicit actions to log on for further access.","<VulnDiscussion>The banner must be acknowledged by the administrator prior to the device allowing the administrator access to the network device. This provides assurance that the administrator has seen the message and accepted the conditions for access. If the consent banner is not acknowledged by the administrator, DoD will not comply with system use notifications required by law.</VulnDiscussion><FalsePositives></FalsePositives><FalseNegatives></FalseNegatives><Documentable>false</Documentable><Mitigations></Mitigations><SeverityOverrideGuidance></SeverityOverrideGuidance><PotentialImpacts></PotentialImpacts><ThirdPartyTools></ThirdPartyTools><MitigationControl></MitigationControl><Responsibility></Responsibility><IAControls></IAControls>","The banner must be acknowledged by the administrator prior to the device allowing the administrator access to the network device. This provides assurance that the administrator has seen the message and accepted the conditions for access. If the consent banner is not acknowledged by the administrator, DoD will not comply with system use notifications required by law.","","","false","","","","","","","","Log on to the HYCU VM console and verify the banner setting is in use in the ""/etc/ssh/sshd_config"" file by executing the following command:
grep Banner /etc/ssh/sshd_config

If the banner is not set to ""/etc/issue.net"", this is a finding.

Verify ""/etc/issue.net"" contains valid DoD notice text by executing the following command:
sudo cat /etc/issue.net

If DoD Notice is not present in the ""/etc/issue.net"" file, this is a finding.

Open the HYCU Web UI logon page and verify the mandatory notice is present on the Welcome page.

If the mandatory notice is not present at HYCU Web UI welcome page, this is a finding.","The GUI logon page welcome message and look of the logon can be changed by following the procedure below:

1. Open a remote session to the HYCU backup controller:
ssh hycu@<HYCUBackupControllerIPAddress>

2. Copy custom images to the custom-images folder at the following location:
/opt/grizzly/www/webapp/resources/

3. Open the ""customBranding.json"" file from the following location:
/opt/grizzly/www/webapp/

4. In the customBranding.json file, do the following:
a. To modify the images, specify the names of the custom files added to the custom-images folder. The logon page image recommended size is 1574x1920.
b. To modify the welcome message, replace ""customWelcomeTitle"" and ""customWelcomeSubtitle"" with the desired text.

5. Perform a hard reload of the HYCU Web UI page in the web browser.

The console and ssh logon can be configured to display the DoD banner by modifying ""/etc/issue.net"" with the required text and editing the ""/etc/ssh/sshd_config"" file to uncomment the banner keyword and configure it to point to ""/etc/issue"" as shown below:
banner=/etc/issue.net","CCI-000050"
