"Title","Description","Version","Release","BenchmarkDate","ReleaseInfo","Source","Notice","Rule_VulnID","Rule_RuleID","Rule_StigID","Rule_Severity","Rule_Cat","Rule_Classification","Rule_GroupTitle","Rule_RuleTitle","Rule_Description","Rule_VulnDiscussion","Rule_FalsePositives","Rule_FalseNegatives","Rule_Documentable","Rule_Mitigations","Rule_SeverityOverrideGuidance","Rule_PotentialImpacts","Rule_ThirdPartyTools","Rule_MitigationControl","Rule_Responsibility","Rule_IAControls","Rule_CheckText","Rule_FixText","Rule_CCI"
"Mozilla Firefox Security Technical Implementation Guide","This Security Technical Implementation Guide is published as a tool to improve the security of Department of Defense (DoD) information systems. The requirements are derived from the National Institute of Standards and Technology (NIST) 800-53 and related documents. Comments or proposed revisions to this document should be sent via email to the following address: disa.stig_spt@mail.mil.","6","4 ","27 Oct 2022","Release: 4 Benchmark Date: 27 Oct 2022","STIG.DOD.MIL","terms-of-use","V-251545","SV-251545r849960_rule","FFOX-00-000001","high","CAT I","","SRG-APP-000456","The installed version of Firefox must be supported.","<VulnDiscussion>Using versions of an application that are not supported by the vendor is not permitted. Vendors respond to security flaws with updates and patches. These updates are not available for unsupported versions, which can leave the application vulnerable to attack.</VulnDiscussion><FalsePositives></FalsePositives><FalseNegatives></FalseNegatives><Documentable>false</Documentable><Mitigations></Mitigations><SeverityOverrideGuidance></SeverityOverrideGuidance><PotentialImpacts></PotentialImpacts><ThirdPartyTools></ThirdPartyTools><MitigationControl></MitigationControl><Responsibility></Responsibility><IAControls></IAControls>","Using versions of an application that are not supported by the vendor is not permitted. Vendors respond to security flaws with updates and patches. These updates are not available for unsupported versions, which can leave the application vulnerable to attack.","","","false","","","","","","","","Run Firefox. Click the ellipsis button >> Help >> About Firefox, and view the version number.

If the Firefox version is not a supported version, this is a finding.","Upgrade the version of the browser to an approved version by obtaining software from the vendor or other trusted source.","CCI-002605"
"Mozilla Firefox Security Technical Implementation Guide","This Security Technical Implementation Guide is published as a tool to improve the security of Department of Defense (DoD) information systems. The requirements are derived from the National Institute of Standards and Technology (NIST) 800-53 and related documents. Comments or proposed revisions to this document should be sent via email to the following address: disa.stig_spt@mail.mil.","6","4 ","27 Oct 2022","Release: 4 Benchmark Date: 27 Oct 2022","STIG.DOD.MIL","terms-of-use","V-251546","SV-251546r820745_rule","FFOX-00-000002","high","CAT I","","SRG-APP-000560","Firefox must be configured to allow only TLS 1.2 or above.","<VulnDiscussion>Use of versions prior to TLS 1.2 are not permitted. SSL 2.0 and SSL 3.0 contain a number of security flaws. These versions must be disabled in compliance with the Network Infrastructure and Secure Remote Computing STIGs.</VulnDiscussion><FalsePositives></FalsePositives><FalseNegatives></FalseNegatives><Documentable>false</Documentable><Mitigations></Mitigations><SeverityOverrideGuidance></SeverityOverrideGuidance><PotentialImpacts></PotentialImpacts><ThirdPartyTools></ThirdPartyTools><MitigationControl></MitigationControl><Responsibility></Responsibility><IAControls></IAControls>","Use of versions prior to TLS 1.2 are not permitted. SSL 2.0 and SSL 3.0 contain a number of security flaws. These versions must be disabled in compliance with the Network Infrastructure and Secure Remote Computing STIGs.","","","false","","","","","","","","Type ""about:policies"" in the browser window. 

If ""SSLVersionMin"" is not displayed under Policy Name or the Policy Value is not ""tls1.2"" or ""tls1.3"", this is a finding.","Windows group policy:
1. Open the group policy editor tool with ""gpedit.msc"".
2. Navigate to Policy Path: Computer Configuration\Administrative Templates\Mozilla\Firefox\
Policy Name: Minimum SSL version enabled
Policy State: Enabled
Policy Value: TLS 1.2   (or TLS 1.3)

macOS ""plist"" file:
Add the following:
<key>SSLVersionMin</key>
<string>tls1.2</string>   (or <string>tls1.3</string>)

Linux ""policies.json"" file:
Add the following in the policies section:
""SSLVersionMin"": ""tls1.2""   or (""SSLVersionMin"": ""tls1.3"")","CCI-001453"
"Mozilla Firefox Security Technical Implementation Guide","This Security Technical Implementation Guide is published as a tool to improve the security of Department of Defense (DoD) information systems. The requirements are derived from the National Institute of Standards and Technology (NIST) 800-53 and related documents. Comments or proposed revisions to this document should be sent via email to the following address: disa.stig_spt@mail.mil.","6","4 ","27 Oct 2022","Release: 4 Benchmark Date: 27 Oct 2022","STIG.DOD.MIL","terms-of-use","V-251547","SV-251547r807113_rule","FFOX-00-000003","medium","CAT II","","SRG-APP-000177","Firefox must be configured to ask which certificate to present to a website when a certificate is required.","<VulnDiscussion>When a website asks for a certificate for user authentication, Firefox must be configured to have the user choose which certificate to present. Websites within DoD require user authentication for access, which increases security for DoD information. Access will be denied to the user if certificate management is not configured.</VulnDiscussion><FalsePositives></FalsePositives><FalseNegatives></FalseNegatives><Documentable>false</Documentable><Mitigations></Mitigations><SeverityOverrideGuidance></SeverityOverrideGuidance><PotentialImpacts></PotentialImpacts><ThirdPartyTools></ThirdPartyTools><MitigationControl></MitigationControl><Responsibility></Responsibility><IAControls></IAControls>","When a website asks for a certificate for user authentication, Firefox must be configured to have the user choose which certificate to present. Websites within DoD require user authentication for access, which increases security for DoD information. Access will be denied to the user if certificate management is not configured.","","","false","","","","","","","","Type ""about:policies"" in the browser address bar. 

If ""security.default_personal_cert"" is not displayed with a value of ""Ask Every Time"", this is a finding.","Windows group policy:
1. Open the group policy editor tool with ""gpedit.msc"".
2. Navigate to Policy Path: Computer Configuration\Administrative Templates\Mozilla\Firefox\
Policy Name: Preferences
Policy State: Enabled
Policy Value:
{
  ""security.default_personal_cert"": {
    ""Value"": ""Ask Every Time"",
    ""Status"": ""locked""
  }
}

macOS ""plist"" file:
Add the following:
<key>Preferences</key>
<dict>
  <key>security.default_personal_cert</key>
  <dict>
    <key>Value</key>
    <string>Ask Every Time</string>
    <key>Status</key>
    <string>locked</string>
  </dict>
</dict>

Linux ""policies.json"" file:
Add the following in the policies section:
""Preferences"": {
  ""security.default_personal_cert"": {
    ""Value"": ""Ask Every Time"",
    ""Status"": ""locked""
  }
}","CCI-000187"
"Mozilla Firefox Security Technical Implementation Guide","This Security Technical Implementation Guide is published as a tool to improve the security of Department of Defense (DoD) information systems. The requirements are derived from the National Institute of Standards and Technology (NIST) 800-53 and related documents. Comments or proposed revisions to this document should be sent via email to the following address: disa.stig_spt@mail.mil.","6","4 ","27 Oct 2022","Release: 4 Benchmark Date: 27 Oct 2022","STIG.DOD.MIL","terms-of-use","V-251548","SV-251548r807116_rule","FFOX-00-000004","medium","CAT II","","SRG-APP-000141","Firefox must be configured to not automatically check for updated versions of installed search plugins.","<VulnDiscussion>Updates must be controlled and installed from authorized and trusted servers. This setting overrides a number of other settings that may direct the application to access external URLs.</VulnDiscussion><FalsePositives></FalsePositives><FalseNegatives></FalseNegatives><Documentable>false</Documentable><Mitigations></Mitigations><SeverityOverrideGuidance></SeverityOverrideGuidance><PotentialImpacts></PotentialImpacts><ThirdPartyTools></ThirdPartyTools><MitigationControl></MitigationControl><Responsibility></Responsibility><IAControls></IAControls>","Updates must be controlled and installed from authorized and trusted servers. This setting overrides a number of other settings that may direct the application to access external URLs.","","","false","","","","","","","","Type ""about:policies"" in the browser address bar. 

If ""browser.search.update"" is not displayed with a value of ""false"", this is a finding.","Windows group policy:
1. Open the group policy editor tool with ""gpedit.msc"".
2. Navigate to Policy Path: Computer Configuration\Administrative Templates\Mozilla\Firefox\
Policy Name: Preferences
Policy State: Enabled
Policy Value:
{
  ""browser.search.update"": {
    ""Value"": false,
    ""Status"": ""locked""
  }
}

macOS ""plist"" file:
Add the following:
<key>Preferences</key>
<dict>
  <key>browser.search.update</key>
  <dict>
    <key>Value</key>
    <false/>
    <key>Status</key>
    <string>locked</string>
  </dict>
</dict>

Linux ""policies.json"" file:
Add the following in the policies section:
""Preferences"": {
  ""browser.search.update"": {
    ""Value"": false,
    ""Status"": ""locked""
  }
}","CCI-000381"
"Mozilla Firefox Security Technical Implementation Guide","This Security Technical Implementation Guide is published as a tool to improve the security of Department of Defense (DoD) information systems. The requirements are derived from the National Institute of Standards and Technology (NIST) 800-53 and related documents. Comments or proposed revisions to this document should be sent via email to the following address: disa.stig_spt@mail.mil.","6","4 ","27 Oct 2022","Release: 4 Benchmark Date: 27 Oct 2022","STIG.DOD.MIL","terms-of-use","V-251549","SV-251549r807119_rule","FFOX-00-000005","medium","CAT II","","SRG-APP-000141","Firefox must be configured to not automatically update installed add-ons and plugins.","<VulnDiscussion>Set this to false to disable checking for updated versions of the Extensions/Themes. Automatic updates from untrusted sites puts the enclave at risk of attack and may override security settings.</VulnDiscussion><FalsePositives></FalsePositives><FalseNegatives></FalseNegatives><Documentable>false</Documentable><Mitigations></Mitigations><SeverityOverrideGuidance></SeverityOverrideGuidance><PotentialImpacts></PotentialImpacts><ThirdPartyTools></ThirdPartyTools><MitigationControl></MitigationControl><Responsibility></Responsibility><IAControls></IAControls>","Set this to false to disable checking for updated versions of the Extensions/Themes. Automatic updates from untrusted sites puts the enclave at risk of attack and may override security settings.","","","false","","","","","","","","Type ""about:policies"" in the browser window.

If ""ExtensionUpdate"" is not displayed under Policy Name or the Policy Value is not ""false"", this is a finding.","Windows group policy:
1. Open the group policy editor tool with ""gpedit.msc"".
2. Navigate to Policy Path: Computer Configuration\Administrative Templates\Mozilla\Firefox\Extensions
Policy Name: Extension Update
Policy State: Disabled

macOS ""plist"" file:
Add the following:
<key>ExtensionUpdate</key>
<false/>

Linux ""policies.json"" file:
Add the following in the policies section:
""ExtensionUpdate"": false","CCI-000381"
"Mozilla Firefox Security Technical Implementation Guide","This Security Technical Implementation Guide is published as a tool to improve the security of Department of Defense (DoD) information systems. The requirements are derived from the National Institute of Standards and Technology (NIST) 800-53 and related documents. Comments or proposed revisions to this document should be sent via email to the following address: disa.stig_spt@mail.mil.","6","4 ","27 Oct 2022","Release: 4 Benchmark Date: 27 Oct 2022","STIG.DOD.MIL","terms-of-use","V-251550","SV-251550r832305_rule","FFOX-00-000006","medium","CAT II","","SRG-APP-000278","Firefox must be configured to not automatically execute or download MIME types that are not authorized for auto-download.","<VulnDiscussion>Some files can be downloaded or execute without user interaction. This setting ensures these files are not downloaded and executed.</VulnDiscussion><FalsePositives></FalsePositives><FalseNegatives></FalseNegatives><Documentable>false</Documentable><Mitigations></Mitigations><SeverityOverrideGuidance></SeverityOverrideGuidance><PotentialImpacts></PotentialImpacts><ThirdPartyTools></ThirdPartyTools><MitigationControl></MitigationControl><Responsibility></Responsibility><IAControls></IAControls>","Some files can be downloaded or execute without user interaction. This setting ensures these files are not downloaded and executed.","","","false","","","","","","","","Type ""about:preferences"" in the browser address bar. 

Type ""Applications"" in the Find bar in the upper-right corner. 

Determine if any of the following file extensions are listed: HTA, JSE, JS, MOCHA, SHS, VBE, VBS, SCT, WSC, FDF, XFDF, LSL, LSO, LSS, IQY, RQY, DOS, BAT, PS, EPS, WCH, WCM, WB1, WB3, WCH, WCM, AD.

If the entry exists and the ""Action"" is ""Save File"" or ""Always Ask"", this is not a finding.
 
If an extension exists and the entry in the Action column is associated with an application that does/can execute the code, this is a finding.","Remove any unauthorized extensions from the auto-download list.","CCI-001242"
"Mozilla Firefox Security Technical Implementation Guide","This Security Technical Implementation Guide is published as a tool to improve the security of Department of Defense (DoD) information systems. The requirements are derived from the National Institute of Standards and Technology (NIST) 800-53 and related documents. Comments or proposed revisions to this document should be sent via email to the following address: disa.stig_spt@mail.mil.","6","4 ","27 Oct 2022","Release: 4 Benchmark Date: 27 Oct 2022","STIG.DOD.MIL","terms-of-use","V-251551","SV-251551r807125_rule","FFOX-00-000007","medium","CAT II","","SRG-APP-000141","Firefox must be configured to disable form fill assistance.","<VulnDiscussion>To protect privacy and sensitive data, Firefox provides the ability to configure the program so that data entered into forms is not saved. This mitigates the risk of a website gleaning private information from prefilled information.</VulnDiscussion><FalsePositives></FalsePositives><FalseNegatives></FalseNegatives><Documentable>false</Documentable><Mitigations></Mitigations><SeverityOverrideGuidance></SeverityOverrideGuidance><PotentialImpacts></PotentialImpacts><ThirdPartyTools></ThirdPartyTools><MitigationControl></MitigationControl><Responsibility></Responsibility><IAControls></IAControls>","To protect privacy and sensitive data, Firefox provides the ability to configure the program so that data entered into forms is not saved. This mitigates the risk of a website gleaning private information from prefilled information.","","","false","","","","","","","","Type ""about:policies"" in the browser window. 

If ""DisableFormHistory"" is not displayed under Policy Name or the Policy Value is not ""true"", this is a finding.","Windows group policy:
1. Open the group policy editor tool with ""gpedit.msc"".
2. Navigate to Policy Path: Computer Configuration\Administrative Templates\Mozilla\Firefox
Policy Name: Disable Form History
Policy State: Enabled

macOS ""plist"" file:
Add the following:
<key>DisableFormHistory</key>
<true/>

Linux ""policies.json"" file:
Add the following in the policies section:
""DisableFormHistory"": true","CCI-000381"
"Mozilla Firefox Security Technical Implementation Guide","This Security Technical Implementation Guide is published as a tool to improve the security of Department of Defense (DoD) information systems. The requirements are derived from the National Institute of Standards and Technology (NIST) 800-53 and related documents. Comments or proposed revisions to this document should be sent via email to the following address: disa.stig_spt@mail.mil.","6","4 ","27 Oct 2022","Release: 4 Benchmark Date: 27 Oct 2022","STIG.DOD.MIL","terms-of-use","V-251552","SV-251552r822411_rule","FFOX-00-000008","medium","CAT II","","SRG-APP-000141","Firefox must be configured to not use a password store with or without a master password.","<VulnDiscussion>Firefox can be set to store passwords for sites visited by the user. These individual passwords are stored in a file and can be protected by a master password. Autofill of the password can then be enabled when the site is visited. This feature could also be used to autofill the certificate PIN, which could lead to compromise of DoD information.</VulnDiscussion><FalsePositives></FalsePositives><FalseNegatives></FalseNegatives><Documentable>false</Documentable><Mitigations></Mitigations><SeverityOverrideGuidance></SeverityOverrideGuidance><PotentialImpacts></PotentialImpacts><ThirdPartyTools></ThirdPartyTools><MitigationControl></MitigationControl><Responsibility></Responsibility><IAControls></IAControls>","Firefox can be set to store passwords for sites visited by the user. These individual passwords are stored in a file and can be protected by a master password. Autofill of the password can then be enabled when the site is visited. This feature could also be used to autofill the certificate PIN, which could lead to compromise of DoD information.","","","false","","","","","","","","Type ""about:policies"" in the browser window. 

If ""PasswordManagerEnabled"" is not displayed under Policy Name or the Policy Value is not ""false"", this is a finding.","Windows group policy:
1. Open the group policy editor tool with ""gpedit.msc"".
2. Navigate to Policy Path: Computer Configuration\Administrative Templates\Mozilla\Firefox
Policy Name: PasswordManager
Policy State: Disabled

macOS ""plist"" file:
Add the following:
<key>PasswordManagerEnabled</key>
<false/>

Linux ""policies.json"" file:
Add the following in the policies section:
""PasswordManagerEnabled"": false","CCI-000381"
"Mozilla Firefox Security Technical Implementation Guide","This Security Technical Implementation Guide is published as a tool to improve the security of Department of Defense (DoD) information systems. The requirements are derived from the National Institute of Standards and Technology (NIST) 800-53 and related documents. Comments or proposed revisions to this document should be sent via email to the following address: disa.stig_spt@mail.mil.","6","4 ","27 Oct 2022","Release: 4 Benchmark Date: 27 Oct 2022","STIG.DOD.MIL","terms-of-use","V-251553","SV-251553r862958_rule","FFOX-00-000009","medium","CAT II","","SRG-APP-000141","Firefox must be configured to block pop-up windows.","<VulnDiscussion>Pop-up windows may be used to launch an attack within a new browser window with altered settings. This setting blocks pop-up windows created while the page is loading.</VulnDiscussion><FalsePositives></FalsePositives><FalseNegatives></FalseNegatives><Documentable>false</Documentable><Mitigations></Mitigations><SeverityOverrideGuidance></SeverityOverrideGuidance><PotentialImpacts></PotentialImpacts><ThirdPartyTools></ThirdPartyTools><MitigationControl></MitigationControl><Responsibility></Responsibility><IAControls></IAControls>","Pop-up windows may be used to launch an attack within a new browser window with altered settings. This setting blocks pop-up windows created while the page is loading.","","","false","","","","","","","","Type ""about:policies"" in the browser address bar.

If ""PopupBlocking"" is not displayed under Policy Name or the Policy Value is not ""Default"" ""true"", this is a finding.
If ""PopupBlocking"" is not displayed under Policy Name or the Policy Value is not ""Locked"" ""true"", this is a finding.

""PopupBlocking"" ""Enabled"" may be used to specify an allowlist of sites where pop-ups are desired, this is optional.","Windows group policy:
1. Open the group policy editor tool with ""gpedit.msc"".
2. Navigate to Policy Path: Computer Configuration\Administrative Templates\Mozilla\Firefox\Popups
Policy Name: Block pop-ups from websites
Policy State: Enabled

Policy Name: Do not allow preferences to be changed
Policy State: Enabled

Optional:
Policy Name: Allowed Sites
Policy State: Enabled
Click ""Show..."" and enter a list of websites to be allowlisted.

macOS ""plist"" file:
Add the following:
<key>PopupBlocking</key>
  <dict>
    <key>Allow</key>
    <array>
      <string>http://example.mil</string>
      <string>http://example.gov</string>
    </array>
    <key>Default</key>
    <true/>
    <key>Locked</key>
    <true/>
  </dict>

Linux ""policies.json"" file:
Add the following in the policies section:
""PopupBlocking"": {
      ""Allow"": [""http://example.mil/"",
                ""http://example.gov/""],
      ""Default"": true,
      ""Locked"": true}","CCI-000381"
"Mozilla Firefox Security Technical Implementation Guide","This Security Technical Implementation Guide is published as a tool to improve the security of Department of Defense (DoD) information systems. The requirements are derived from the National Institute of Standards and Technology (NIST) 800-53 and related documents. Comments or proposed revisions to this document should be sent via email to the following address: disa.stig_spt@mail.mil.","6","4 ","27 Oct 2022","Release: 4 Benchmark Date: 27 Oct 2022","STIG.DOD.MIL","terms-of-use","V-251554","SV-251554r807134_rule","FFOX-00-000010","medium","CAT II","","SRG-APP-000141","Firefox must be configured to prevent JavaScript from moving or resizing windows.","<VulnDiscussion>JavaScript can make changes to the browser's appearance. This activity can help disguise an attack taking place in a minimized background window. Configure the browser setting to prevent scripts on visited websites from moving and resizing browser windows.</VulnDiscussion><FalsePositives></FalsePositives><FalseNegatives></FalseNegatives><Documentable>false</Documentable><Mitigations></Mitigations><SeverityOverrideGuidance></SeverityOverrideGuidance><PotentialImpacts></PotentialImpacts><ThirdPartyTools></ThirdPartyTools><MitigationControl></MitigationControl><Responsibility></Responsibility><IAControls></IAControls>","JavaScript can make changes to the browser's appearance. This activity can help disguise an attack taking place in a minimized background window. Configure the browser setting to prevent scripts on visited websites from moving and resizing browser windows.","","","false","","","","","","","","Type ""about:policies"" in the browser address bar. 

If ""dom.disable_window_move_resize"" is not displayed with a value of ""true"", this is a finding.","Windows group policy:
1. Open the group policy editor tool with ""gpedit.msc"".
2. Navigate to Policy Path: Computer Configuration\Administrative Templates\Mozilla\Firefox\
Policy Name: Preferences
Policy State: Enabled
Policy Value:
{
  ""dom.disable_window_move_resize"": {
    ""Value"": true,
    ""Status"": ""locked""
  }
}

macOS ""plist"" file:
Add the following:
<key>Preferences</key>
<dict>
  <key>dom.disable_window_move_resize</key>
  <dict>
    <key>Value</key>
    <true/>
    <key>Status</key>
    <string>locked</string>
  </dict>
</dict>

Linux ""policies.json"" file:
Add the following in the policies section:
""Preferences"": {
  ""dom.disable_window_move_resize"": {
    ""Value"": true,
    ""Status"": ""locked""
  }
}","CCI-000381"
