"Title","Description","Version","Release","BenchmarkDate","ReleaseInfo","Source","Notice","Rule_VulnID","Rule_RuleID","Rule_StigID","Rule_Severity","Rule_Cat","Rule_Classification","Rule_GroupTitle","Rule_RuleTitle","Rule_Description","Rule_VulnDiscussion","Rule_FalsePositives","Rule_FalseNegatives","Rule_Documentable","Rule_Mitigations","Rule_SeverityOverrideGuidance","Rule_PotentialImpacts","Rule_ThirdPartyTools","Rule_MitigationControl","Rule_Responsibility","Rule_IAControls","Rule_CheckText","Rule_FixText","Rule_CCI"
"Microsoft Defender Antivirus Security Technical Implementation Guide","This Security Technical Implementation Guide is published as a tool to improve the security of Department of Defense (DoD) information systems. The requirements are derived from the National Institute of Standards and Technology (NIST) 800-53 and related documents. Comments or proposed revisions to this document should be sent via email to the following address: disa.stig_spt@mail.mil.","2","4 ","31 May 2022","Release: 4 Benchmark Date: 31 May 2022","STIG.DOD.MIL","terms-of-use","V-213426","SV-213426r823024_rule","WNDF-AV-000001","high","CAT I","","SRG-APP-000279","Microsoft Defender AV must be configured to block the Potentially Unwanted Application (PUA) feature.","<VulnDiscussion>After enabling this feature, PUA protection blocking takes effect on endpoint clients after the next signature update or computer restart. Signature updates take place daily under typical circumstances. PUA will be blocked and automatically quarantined.</VulnDiscussion><FalsePositives></FalsePositives><FalseNegatives></FalseNegatives><Documentable>false</Documentable><Mitigations></Mitigations><SeverityOverrideGuidance></SeverityOverrideGuidance><PotentialImpacts></PotentialImpacts><ThirdPartyTools></ThirdPartyTools><MitigationControl></MitigationControl><Responsibility></Responsibility><IAControls></IAControls>","After enabling this feature, PUA protection blocking takes effect on endpoint clients after the next signature update or computer restart. Signature updates take place daily under typical circumstances. PUA will be blocked and automatically quarantined.","","","false","","","","","","","","Verify the policy value for Computer Configuration >> Administrative Templates >> Windows Components >> Microsoft Defender Antivirus >> ""Configure detection for potentially unwanted applications"" is set to ""Enabled"" and ""Block"".

Use the Windows Registry Editor to navigate to the following key: 

HKLM\Software\Policies\Microsoft\Windows Defender

If the value ""PUAProtection"" does not exist, this is a finding.

If the value ""PUAProtection"" is REG_DWORD = 1, this is not a finding.","Set the policy value for Computer Configuration >> Administrative Templates >> Windows Components >> Microsoft Defender Antivirus >> ""Configure Detection for Potentially Unwanted Applications"" to ""Enabled"" and ""Block"".","SV-89827,V-75147,CCI-001243"
"Microsoft Defender Antivirus Security Technical Implementation Guide","This Security Technical Implementation Guide is published as a tool to improve the security of Department of Defense (DoD) information systems. The requirements are derived from the National Institute of Standards and Technology (NIST) 800-53 and related documents. Comments or proposed revisions to this document should be sent via email to the following address: disa.stig_spt@mail.mil.","2","4 ","31 May 2022","Release: 4 Benchmark Date: 31 May 2022","STIG.DOD.MIL","terms-of-use","V-213427","SV-213427r823026_rule","WNDF-AV-000003","medium","CAT II","","SRG-APP-000279","Microsoft Defender AV must be configured to automatically take action on all detected tasks.","<VulnDiscussion>This policy setting allows Microsoft Defender configuration to automatically take action on all detected threats. The action to be taken on a particular threat is determined by the combination of the policy-defined action user-defined action and the signature-defined action. If this policy setting is enabled, Microsoft Defender does not automatically take action on the detected threats but prompts users to choose from the actions available for each threat. If this policy setting is disabled or not configured, Microsoft Defender automatically takes action on all detected threats after a nonconfigurable delay of approximately five seconds.</VulnDiscussion><FalsePositives></FalsePositives><FalseNegatives></FalseNegatives><Documentable>false</Documentable><Mitigations></Mitigations><SeverityOverrideGuidance></SeverityOverrideGuidance><PotentialImpacts></PotentialImpacts><ThirdPartyTools></ThirdPartyTools><MitigationControl></MitigationControl><Responsibility></Responsibility><IAControls></IAControls>","This policy setting allows Microsoft Defender configuration to automatically take action on all detected threats. The action to be taken on a particular threat is determined by the combination of the policy-defined action user-defined action and the signature-defined action. If this policy setting is enabled, Microsoft Defender does not automatically take action on the detected threats but prompts users to choose from the actions available for each threat. If this policy setting is disabled or not configured, Microsoft Defender automatically takes action on all detected threats after a nonconfigurable delay of approximately five seconds.","","","false","","","","","","","","Verify the policy value for Computer Configuration >> Administrative Templates >> Windows Components >> Microsoft Defender Antivirus >> ""Turn off routine remediation"" is set to ""Disabled"" or ""Not Configured"".
 
Procedure: Use the Windows Registry Editor to navigate to the following key: 
HKLM\Software\Policies\Microsoft\Windows Defender

Criteria: If the value ""DisableRoutinelyTakingAction"" is REG_DWORD = 0, this is not a finding.

If the value does not exist, this is not a finding.

If the value is 1, this is a finding.","Set the policy value for Computer Configuration >> Administrative Templates >> Windows Components >> Microsoft Defender Antivirus >> ""Turn off routine remediation"" to ""Disabled"" or ""Not Configured"".","SV-89831,V-75151,CCI-001243"
"Microsoft Defender Antivirus Security Technical Implementation Guide","This Security Technical Implementation Guide is published as a tool to improve the security of Department of Defense (DoD) information systems. The requirements are derived from the National Institute of Standards and Technology (NIST) 800-53 and related documents. Comments or proposed revisions to this document should be sent via email to the following address: disa.stig_spt@mail.mil.","2","4 ","31 May 2022","Release: 4 Benchmark Date: 31 May 2022","STIG.DOD.MIL","terms-of-use","V-213428","SV-213428r823028_rule","WNDF-AV-000004","high","CAT I","","SRG-APP-000278","Microsoft Defender AV must be configured to run and scan for malware and other potentially unwanted software.","<VulnDiscussion>This policy setting turns off Microsoft Defender Antivirus. If this policy setting is enabled, Microsoft Defender Antivirus does not run and computers are not scanned for malware or other potentially unwanted software. 

When the setting is disabled and a third-party antivirus solution is installed, the two applications can both simultaneously try to protect the system. The two AV solutions both attempt to quarantine the same threat and will fight for access to delete the file. Users will see conflicts and the system may lock up until the two solutions finish processing. 

When the setting is not configured and a third-party antivirus solution is installed, both applications coexist on the system without conflicts.  Defender Antivirus will automatically disable itself and will enable if the third-party solution stops functioning.  When the setting is not configured and Defender Antivirus is the only AV solution, Defender AV will run (default state) and receive definition updates. An administrator account is needed to turn off the service. A standard user cannot disable the service.</VulnDiscussion><FalsePositives></FalsePositives><FalseNegatives></FalseNegatives><Documentable>false</Documentable><Mitigations></Mitigations><SeverityOverrideGuidance></SeverityOverrideGuidance><PotentialImpacts></PotentialImpacts><ThirdPartyTools></ThirdPartyTools><MitigationControl></MitigationControl><Responsibility></Responsibility><IAControls></IAControls>","This policy setting turns off Microsoft Defender Antivirus. If this policy setting is enabled, Microsoft Defender Antivirus does not run and computers are not scanned for malware or other potentially unwanted software. 

When the setting is disabled and a third-party antivirus solution is installed, the two applications can both simultaneously try to protect the system. The two AV solutions both attempt to quarantine the same threat and will fight for access to delete the file. Users will see conflicts and the system may lock up until the two solutions finish processing. 

When the setting is not configured and a third-party antivirus solution is installed, both applications coexist on the system without conflicts.  Defender Antivirus will automatically disable itself and will enable if the third-party solution stops functioning.  When the setting is not configured and Defender Antivirus is the only AV solution, Defender AV will run (default state) and receive definition updates. An administrator account is needed to turn off the service. A standard user cannot disable the service.","","","false","","","","","","","","Verify the policy value for Computer Configuration >> Administrative Templates >> Windows Components >> Microsoft Defender Antivirus >> ""Turn off Windows Defender Antivirus"" is set to “Not Configured”.

For Windows 10:
Procedure: Use the Windows Registry Editor to navigate to the following key: 
HKLM\Software\Policies\Microsoft\Windows Defender

Criteria: If the value ""DisableAntiSpyware"" does not exist, this is not a finding.","For Windows 10: Set the policy value for Computer Configuration >> Administrative Templates >> Windows Components >> Microsoft Defender Antivirus ""Turn off Microsoft Defender Antivirus"" to ""Not Configured"".","SV-89833,V-75153,CCI-001242"
"Microsoft Defender Antivirus Security Technical Implementation Guide","This Security Technical Implementation Guide is published as a tool to improve the security of Department of Defense (DoD) information systems. The requirements are derived from the National Institute of Standards and Technology (NIST) 800-53 and related documents. Comments or proposed revisions to this document should be sent via email to the following address: disa.stig_spt@mail.mil.","2","4 ","31 May 2022","Release: 4 Benchmark Date: 31 May 2022","STIG.DOD.MIL","terms-of-use","V-213429","SV-213429r823030_rule","WNDF-AV-000005","medium","CAT II","","SRG-APP-000278","Microsoft Defender AV must be configured to not exclude files for scanning.","<VulnDiscussion>This policy setting allows disabling of scheduled and real-time scanning for files under the paths specified or for the fully qualified resources specified. Paths should be added under the Options for this setting. Each entry must be listed as a name value pair where the name should be a string representation of a path or a fully qualified resource name. As an example, a path might be defined as: ""c:\Windows"" to exclude all files in this directory. A fully qualified resource name might be defined as: ""C:\Windows\App.exe"". The value is not used and it is recommended that this be set to 0.

Exceptions can be made to allow file/folders that are impacting enterprise applications to be excluded from being scanned. All exclusions should be documented and approved.</VulnDiscussion><FalsePositives></FalsePositives><FalseNegatives></FalseNegatives><Documentable>false</Documentable><Mitigations></Mitigations><SeverityOverrideGuidance></SeverityOverrideGuidance><PotentialImpacts></PotentialImpacts><ThirdPartyTools></ThirdPartyTools><MitigationControl></MitigationControl><Responsibility></Responsibility><IAControls></IAControls>","This policy setting allows disabling of scheduled and real-time scanning for files under the paths specified or for the fully qualified resources specified. Paths should be added under the Options for this setting. Each entry must be listed as a name value pair where the name should be a string representation of a path or a fully qualified resource name. As an example, a path might be defined as: ""c:\Windows"" to exclude all files in this directory. A fully qualified resource name might be defined as: ""C:\Windows\App.exe"". The value is not used and it is recommended that this be set to 0.

Exceptions can be made to allow file/folders that are impacting enterprise applications to be excluded from being scanned. All exclusions should be documented and approved.","","","false","","","","","","","","Verify the policy value for Computer Configuration >> Administrative Templates >> Windows Components >> Microsoft Defender Antivirus >> Exclusions >> ""Path Exclusions"" is set to ""Disabled"" or ""Not Configured.
 
Procedure: Use the Windows Registry Editor to navigate to the following key: 
HKLM\Software\Policies\Microsoft\Windows Defender\Exclusions
 
Criteria: If the value ""Exclusions_Paths"" does not exist, this is not a finding.","Set the policy value for Computer Configuration >> Administrative Templates >> Windows Components >> Microsoft Defender Antivirus >> Exclusions >> ""Path Exclusions"" to ""Disabled"" or ""Not Configured"".","SV-89835,V-75155,CCI-001242"
"Microsoft Defender Antivirus Security Technical Implementation Guide","This Security Technical Implementation Guide is published as a tool to improve the security of Department of Defense (DoD) information systems. The requirements are derived from the National Institute of Standards and Technology (NIST) 800-53 and related documents. Comments or proposed revisions to this document should be sent via email to the following address: disa.stig_spt@mail.mil.","2","4 ","31 May 2022","Release: 4 Benchmark Date: 31 May 2022","STIG.DOD.MIL","terms-of-use","V-213430","SV-213430r823032_rule","WNDF-AV-000006","medium","CAT II","","SRG-APP-000278","Microsoft Defender AV must be configured to not exclude files opened by specified processes.","<VulnDiscussion>This policy setting allows the disabling of scheduled and real-time scanning for any file opened by any of the specified processes. The process itself will not be excluded. To exclude the process, use the Path exclusion. Processes should be added under the options for this setting. Each entry must be listed as a name value pair where the name should be a string representation of the path to the process image. Note that only executables can be excluded. For example, a process might be defined as: ""c:\windows\app.exe"". The value is not used and it is recommended that this be set to 0.</VulnDiscussion><FalsePositives></FalsePositives><FalseNegatives></FalseNegatives><Documentable>false</Documentable><Mitigations></Mitigations><SeverityOverrideGuidance></SeverityOverrideGuidance><PotentialImpacts></PotentialImpacts><ThirdPartyTools></ThirdPartyTools><MitigationControl></MitigationControl><Responsibility></Responsibility><IAControls></IAControls>","This policy setting allows the disabling of scheduled and real-time scanning for any file opened by any of the specified processes. The process itself will not be excluded. To exclude the process, use the Path exclusion. Processes should be added under the options for this setting. Each entry must be listed as a name value pair where the name should be a string representation of the path to the process image. Note that only executables can be excluded. For example, a process might be defined as: ""c:\windows\app.exe"". The value is not used and it is recommended that this be set to 0.","","","false","","","","","","","","Verify the policy value for Computer Configuration >> Administrative Templates >> Windows Components >> Microsoft Defender Antivirus >> Exclusions >> ""Process Exclusions"" is set to ""Disabled"" or ""Not Configured"".
  
Procedure: Use the Windows Registry Editor to navigate to the following key: 
HKLM\Software\Policies\Microsoft\Windows Defender\Exclusions

Criteria: If the value ""Exclusions_Processes"" does not exist, this is not a finding.","Set the policy value for Computer Configuration >> Administrative Templates >> Windows Components >> Microsoft  Defender Antivirus >> Exclusions >> ""Process Exclusions"" to ""Disabled"" or ""Not Configured"".","SV-89837,V-75157,CCI-001242"
"Microsoft Defender Antivirus Security Technical Implementation Guide","This Security Technical Implementation Guide is published as a tool to improve the security of Department of Defense (DoD) information systems. The requirements are derived from the National Institute of Standards and Technology (NIST) 800-53 and related documents. Comments or proposed revisions to this document should be sent via email to the following address: disa.stig_spt@mail.mil.","2","4 ","31 May 2022","Release: 4 Benchmark Date: 31 May 2022","STIG.DOD.MIL","terms-of-use","V-213431","SV-213431r823034_rule","WNDF-AV-000007","medium","CAT II","","SRG-APP-000278","Microsoft Defender AV must be configured to enable the Automatic Exclusions feature.","<VulnDiscussion>This setting allows an administrator to specify if Automatic Exclusions feature for Server SKUs should be turned off.</VulnDiscussion><FalsePositives></FalsePositives><FalseNegatives></FalseNegatives><Documentable>false</Documentable><Mitigations></Mitigations><SeverityOverrideGuidance></SeverityOverrideGuidance><PotentialImpacts></PotentialImpacts><ThirdPartyTools></ThirdPartyTools><MitigationControl></MitigationControl><Responsibility></Responsibility><IAControls></IAControls>","This setting allows an administrator to specify if Automatic Exclusions feature for Server SKUs should be turned off.","","","false","","","","","","","","Verify the policy value for Computer Configuration >> Administrative Templates >> Windows Components >> Microsoft Defender Antivirus >> Exclusions >> ""Turn off Auto Exclusions"" is set to ""Disabled"".
     
Procedure: Use the Windows Registry Editor to navigate to the following key: 
HKLM\Software\Policies\Microsoft\Windows Defender\Exclusions

Criteria: If the value ""DisableAutoExclusions"" is REG_DWORD = 0, this is not a finding.","Set the policy value for Computer Configuration >> Administrative Templates >> Windows Components >> Microsoft Defender Antivirus >> Exclusions >> ""Turn off Auto Exclusions"" to ""Disabled"".","SV-89839,V-75159,CCI-001242"
"Microsoft Defender Antivirus Security Technical Implementation Guide","This Security Technical Implementation Guide is published as a tool to improve the security of Department of Defense (DoD) information systems. The requirements are derived from the National Institute of Standards and Technology (NIST) 800-53 and related documents. Comments or proposed revisions to this document should be sent via email to the following address: disa.stig_spt@mail.mil.","2","4 ","31 May 2022","Release: 4 Benchmark Date: 31 May 2022","STIG.DOD.MIL","terms-of-use","V-213432","SV-213432r823036_rule","WNDF-AV-000008","medium","CAT II","","SRG-APP-000210","Microsoft Defender AV must be configured to disable local setting override for reporting to Microsoft MAPS.","<VulnDiscussion>This policy setting configures a local override for the configuration to join Microsoft MAPS. This setting can only be set by Group Policy. If this setting is enabled, the local preference setting will take priority over Group Policy. If this setting is disabled or not configured, Group Policy will take priority over the local preference setting.</VulnDiscussion><FalsePositives></FalsePositives><FalseNegatives></FalseNegatives><Documentable>false</Documentable><Mitigations></Mitigations><SeverityOverrideGuidance></SeverityOverrideGuidance><PotentialImpacts></PotentialImpacts><ThirdPartyTools></ThirdPartyTools><MitigationControl></MitigationControl><Responsibility></Responsibility><IAControls></IAControls>","This policy setting configures a local override for the configuration to join Microsoft MAPS. This setting can only be set by Group Policy. If this setting is enabled, the local preference setting will take priority over Group Policy. If this setting is disabled or not configured, Group Policy will take priority over the local preference setting.","","","false","","","","","","","","This is applicable to unclassified systems. For other systems this is NA.

Verify the policy value for Computer Configuration >> Administrative Templates >> Windows Components >> Microsoft Defender Antivirus >> MAPS >> ""Configure local setting override for reporting to Microsoft MAPS"" is set to ""Disabled"" or ""Not Configured"".
     
Procedure: Use the Windows Registry Editor to navigate to the following key: 
HKLM\Software\Policies\Microsoft\Windows Defender\Spynet

Criteria: If the value ""LocalSettingOverrideSpynetReporting"" is REG_DWORD = 0, this is not a finding.

If the value does not exist, this is not a finding.

If the value is 1, this is a finding.","This is applicable to unclassified systems. For other systems this is NA.

Set the policy value for Computer Configuration >> Administrative Templates >> Windows Components >> Microsoft Defender Antivirus >> MAPS >> ""Configure local setting override for reporting to Microsoft MAPS"" to ""Disabled"" or ""Not Configured"".","SV-89841,V-75161,CCI-001170"
"Microsoft Defender Antivirus Security Technical Implementation Guide","This Security Technical Implementation Guide is published as a tool to improve the security of Department of Defense (DoD) information systems. The requirements are derived from the National Institute of Standards and Technology (NIST) 800-53 and related documents. Comments or proposed revisions to this document should be sent via email to the following address: disa.stig_spt@mail.mil.","2","4 ","31 May 2022","Release: 4 Benchmark Date: 31 May 2022","STIG.DOD.MIL","terms-of-use","V-213433","SV-213433r823038_rule","WNDF-AV-000009","medium","CAT II","","SRG-APP-000278","Microsoft Defender AV must be configured to check in real time with MAPS before content is run or accessed.","<VulnDiscussion>This feature ensures the device checks in real time with the Microsoft Active Protection Service (MAPS) before allowing certain content to be run or accessed. If this feature is disabled, the check will not occur, which will lower the protection state of the device. 

Enabled - The Block at First Sight setting is turned on. 
Disabled - The Block at First Sight setting is turned off. 

This feature requires these Group Policy settings to be set as follows: 
MAPS >> The ""Join Microsoft MAPS"" must be enabled or the ""Block at First Sight"" feature will not function. 
MAPS >> The ""Send file samples when further analysis is required"" should be set to 1 (Send safe samples) or 3 (Send all samples). Setting to 0 (Always Prompt) will lower the protection state of the device. Setting to 2 (Never send) means the ""Block at First Sight"" feature will not function. 
Real-time Protection >> The ""Scan all downloaded files and attachments"" policy must be enabled or the ""Block at First Sight"" feature will not function. 
Real-time Protection >> Do not enable the ""Turn off real-time protection"" policy or the ""Block at First Sight"" feature will not function.</VulnDiscussion><FalsePositives></FalsePositives><FalseNegatives></FalseNegatives><Documentable>false</Documentable><Mitigations></Mitigations><SeverityOverrideGuidance></SeverityOverrideGuidance><PotentialImpacts></PotentialImpacts><ThirdPartyTools></ThirdPartyTools><MitigationControl></MitigationControl><Responsibility></Responsibility><IAControls></IAControls>","This feature ensures the device checks in real time with the Microsoft Active Protection Service (MAPS) before allowing certain content to be run or accessed. If this feature is disabled, the check will not occur, which will lower the protection state of the device. 

Enabled - The Block at First Sight setting is turned on. 
Disabled - The Block at First Sight setting is turned off. 

This feature requires these Group Policy settings to be set as follows: 
MAPS >> The ""Join Microsoft MAPS"" must be enabled or the ""Block at First Sight"" feature will not function. 
MAPS >> The ""Send file samples when further analysis is required"" should be set to 1 (Send safe samples) or 3 (Send all samples). Setting to 0 (Always Prompt) will lower the protection state of the device. Setting to 2 (Never send) means the ""Block at First Sight"" feature will not function. 
Real-time Protection >> The ""Scan all downloaded files and attachments"" policy must be enabled or the ""Block at First Sight"" feature will not function. 
Real-time Protection >> Do not enable the ""Turn off real-time protection"" policy or the ""Block at First Sight"" feature will not function.","","","false","","","","","","","","This is applicable to unclassified systems. For other systems this is NA.

Verify the policy value for Computer Configuration >> Administrative Templates >> Windows Components >> Microsoft Defender Antivirus >> MAPS >> ""Configure the 'Block at First Sight' feature"" is set to ""Enabled"".
     
Procedure: Use the Windows Registry Editor to navigate to the following key: 
HKLM\Software\Policies\Microsoft\Windows Defender\Spynet

Criteria: If the value ""DisableBlockAtFirstSeen"" is REG_DWORD = 0, this is not a finding.","This is applicable to unclassified systems. For other systems this is NA.

Set the policy value for Computer Configuration >> Administrative Templates >> Windows Components >> Microsoft  Defender Antivirus >> MAPS >> ""Configure the 'Block at First Sight' feature"" to ""Enabled"".","SV-89843,V-75163,CCI-001242"
"Microsoft Defender Antivirus Security Technical Implementation Guide","This Security Technical Implementation Guide is published as a tool to improve the security of Department of Defense (DoD) information systems. The requirements are derived from the National Institute of Standards and Technology (NIST) 800-53 and related documents. Comments or proposed revisions to this document should be sent via email to the following address: disa.stig_spt@mail.mil.","2","4 ","31 May 2022","Release: 4 Benchmark Date: 31 May 2022","STIG.DOD.MIL","terms-of-use","V-213434","SV-213434r823040_rule","WNDF-AV-000010","medium","CAT II","","SRG-APP-000210","Microsoft Defender AV must be configured to join Microsoft MAPS.","<VulnDiscussion>This policy setting allows joining Microsoft MAPS. Microsoft MAPS is the online community that helps in choosing how to respond to potential threats. The community also helps stop the spread of new malicious software infections. You can choose to send basic or additional information about detected software. Additional information helps Microsoft create new definitions and protect your computer. This information can include things like location of detected items on your computer if harmful software was removed. The information will be automatically collected and sent. In some instances personal information might unintentionally be sent to Microsoft. However Microsoft will not use this information to identify you or contact you. 

Possible options are: 
(0x0) Disabled (default) 
(0x1) Basic membership 
(0x2) Advanced membership 

Basic membership will send basic information to Microsoft about software that has been detected, including where the software came from, the actions that you apply or that are applied automatically, and whether the actions were successful. Advanced membership will send, in addition to basic information, more information to Microsoft about malicious software spyware and potentially unwanted software, including the location of the software file names, how the software operates, and how it has impacted your computer. 

If this setting is enabled, you will join Microsoft MAPS with the membership specified. If this setting is disabled or do not configured, you will not join Microsoft MAPS. In Windows 10, Basic membership is no longer available, so setting the value to 1 or 2 enrolls the device into Advanced membership.</VulnDiscussion><FalsePositives></FalsePositives><FalseNegatives></FalseNegatives><Documentable>false</Documentable><Mitigations></Mitigations><SeverityOverrideGuidance></SeverityOverrideGuidance><PotentialImpacts></PotentialImpacts><ThirdPartyTools></ThirdPartyTools><MitigationControl></MitigationControl><Responsibility></Responsibility><IAControls></IAControls>","This policy setting allows joining Microsoft MAPS. Microsoft MAPS is the online community that helps in choosing how to respond to potential threats. The community also helps stop the spread of new malicious software infections. You can choose to send basic or additional information about detected software. Additional information helps Microsoft create new definitions and protect your computer. This information can include things like location of detected items on your computer if harmful software was removed. The information will be automatically collected and sent. In some instances personal information might unintentionally be sent to Microsoft. However Microsoft will not use this information to identify you or contact you. 

Possible options are: 
(0x0) Disabled (default) 
(0x1) Basic membership 
(0x2) Advanced membership 

Basic membership will send basic information to Microsoft about software that has been detected, including where the software came from, the actions that you apply or that are applied automatically, and whether the actions were successful. Advanced membership will send, in addition to basic information, more information to Microsoft about malicious software spyware and potentially unwanted software, including the location of the software file names, how the software operates, and how it has impacted your computer. 

If this setting is enabled, you will join Microsoft MAPS with the membership specified. If this setting is disabled or do not configured, you will not join Microsoft MAPS. In Windows 10, Basic membership is no longer available, so setting the value to 1 or 2 enrolls the device into Advanced membership.","","","false","","","","","","","","This is applicable to unclassified systems. For other systems this is NA.

Verify the policy value for Computer Configuration >> Administrative Templates >> Windows Components >> Microsoft Defender Antivirus >> MAPS >> ""Join Microsoft MAPS"" is set to ""Enabled"" and ""Advanced MAPS"" is selected from the drop-down box.

Procedure: Use the Windows Registry Editor to navigate to the following key: 
HKLM\Software\Policies\Microsoft\Windows Defender\Spynet

Criteria: If the value ""SpynetReporting"" is REG_DWORD = 2, this is not a finding.","This is applicable to unclassified systems. For other systems this is NA.

Set the policy value for Computer Configuration >> Administrative Templates >> Windows Components >> Microsoft Defender Antivirus >> MAPS >> ""Join Microsoft MAPS"" to ""Enabled"" and select ""Advanced MAPS"" from the drop-down box.","SV-89847,V-75167,CCI-001170"
"Microsoft Defender Antivirus Security Technical Implementation Guide","This Security Technical Implementation Guide is published as a tool to improve the security of Department of Defense (DoD) information systems. The requirements are derived from the National Institute of Standards and Technology (NIST) 800-53 and related documents. Comments or proposed revisions to this document should be sent via email to the following address: disa.stig_spt@mail.mil.","2","4 ","31 May 2022","Release: 4 Benchmark Date: 31 May 2022","STIG.DOD.MIL","terms-of-use","V-213435","SV-213435r823042_rule","WNDF-AV-000011","medium","CAT II","","SRG-APP-000210","Microsoft Defender AV must be configured to only send safe samples for MAPS telemetry.","<VulnDiscussion>This policy setting configures behavior of samples submission when opt-in for MAPS telemetry is set. Possible options are:  
(0x0) Always prompt
(0x1) Send safe samples automatically 
(0x2) Never send  
(0x3) Send all samples automatically</VulnDiscussion><FalsePositives></FalsePositives><FalseNegatives></FalseNegatives><Documentable>false</Documentable><Mitigations></Mitigations><SeverityOverrideGuidance></SeverityOverrideGuidance><PotentialImpacts></PotentialImpacts><ThirdPartyTools></ThirdPartyTools><MitigationControl></MitigationControl><Responsibility></Responsibility><IAControls></IAControls>","This policy setting configures behavior of samples submission when opt-in for MAPS telemetry is set. Possible options are:  
(0x0) Always prompt
(0x1) Send safe samples automatically 
(0x2) Never send  
(0x3) Send all samples automatically","","","false","","","","","","","","This is applicable to unclassified systems. For other systems this is NA.

Verify the policy value for Computer Configuration >> Administrative Templates >> Windows Components >> Microsoft Defender Antivirus >> MAPS >> ""Send file samples when further analysis is required"" is set to ""Enabled"" and ""Send safe samples"" is selected from the drop-down box.
     
Procedure: Use the Windows Registry Editor to navigate to the following key: 
HKLM\Software\Policies\Microsoft\Windows Defender\Spynet

Criteria: If the value ""SubmitSamplesConsent"" is REG_DWORD = 1, this is not a finding.","This is applicable to unclassified systems. For other systems this is NA.

Set the policy value for Computer Configuration >> Administrative Templates >> Windows Components >> Microsoft Defender Antivirus >> MAPS >> ""Send file samples when further analysis is required"" to ""Enabled"" and select ""Send safe samples"" from the drop-down box.","SV-89887,V-75207,CCI-001170"
