"Title","Description","Version","Release","BenchmarkDate","ReleaseInfo","Source","Notice","Rule_VulnID","Rule_RuleID","Rule_StigID","Rule_Severity","Rule_Cat","Rule_Classification","Rule_GroupTitle","Rule_RuleTitle","Rule_Description","Rule_VulnDiscussion","Rule_FalsePositives","Rule_FalseNegatives","Rule_Documentable","Rule_Mitigations","Rule_SeverityOverrideGuidance","Rule_PotentialImpacts","Rule_ThirdPartyTools","Rule_MitigationControl","Rule_Responsibility","Rule_IAControls","Rule_CheckText","Rule_FixText","Rule_CCI"
"Microsoft Edge Security Technical Implementation Guide","This Security Technical Implementation Guide is published as a tool to improve the security of Department of Defense (DoD) information systems. The requirements are derived from the National Institute of Standards and Technology (NIST) 800-53 and related documents. Comments or proposed revisions to this document should be sent via email to the following address: disa.stig_spt@mail.mil.","1","6 ","27 Oct 2022","Release: 6 Benchmark Date: 27 Oct 2022","STIG.DOD.MIL","terms-of-use","V-235719","SV-235719r862946_rule","EDGE-00-000001","low","CAT III","","SRG-APP-000039","User control of proxy settings must be disabled.","<VulnDiscussion>This action configures the proxy settings for Microsoft Edge.

If this policy is enabled, Microsoft Edge ignores all proxy-related options specified from the command line.

If this policy is not configured, users can choose their own proxy settings.

This policy overrides the following individual policies:
- ProxyMode 
- ProxyPacUrl 
- ProxyServer 
- ProxyBypassList

Setting the ProxySettings policy accepts the following fields:
- ProxyMode, which allows for the proxy server used by Microsoft Edge to be specified and prevents users from changing proxy settings.
- ProxyPacUrl, a URL to a proxy .pac file.
- ProxyServer, a URL for the proxy server.
- ProxyBypassList, a list of proxy hosts that Microsoft Edge bypasses.

For ProxyMode, the following values have the noted impact:
- direct, a proxy is never used and all other fields are ignored.
- system, the system's proxy is used and all other fields are ignored.
- auto_detect, all other fields are ignored.
- fixed_servers, the ProxyServer and ProxyBypassList fields are used.
- pac_script, the ProxyPacUrl and ProxyBypassList fields are used.</VulnDiscussion><FalsePositives></FalsePositives><FalseNegatives></FalseNegatives><Documentable>false</Documentable><Mitigations></Mitigations><SeverityOverrideGuidance></SeverityOverrideGuidance><PotentialImpacts></PotentialImpacts><ThirdPartyTools></ThirdPartyTools><MitigationControl></MitigationControl><Responsibility></Responsibility><IAControls></IAControls>","This action configures the proxy settings for Microsoft Edge.

If this policy is enabled, Microsoft Edge ignores all proxy-related options specified from the command line.

If this policy is not configured, users can choose their own proxy settings.

This policy overrides the following individual policies:
- ProxyMode 
- ProxyPacUrl 
- ProxyServer 
- ProxyBypassList

Setting the ProxySettings policy accepts the following fields:
- ProxyMode, which allows for the proxy server used by Microsoft Edge to be specified and prevents users from changing proxy settings.
- ProxyPacUrl, a URL to a proxy .pac file.
- ProxyServer, a URL for the proxy server.
- ProxyBypassList, a list of proxy hosts that Microsoft Edge bypasses.

For ProxyMode, the following values have the noted impact:
- direct, a proxy is never used and all other fields are ignored.
- system, the system's proxy is used and all other fields are ignored.
- auto_detect, all other fields are ignored.
- fixed_servers, the ProxyServer and ProxyBypassList fields are used.
- pac_script, the ProxyPacUrl and ProxyBypassList fields are used.","","","false","","","","","","","","The policy value for ""Computer Configuration/Administrative Templates/Microsoft Edge/Proxy server/Proxy Settings"" must be set to one of the following options: ""ProxyMode"", ""ProxyPacUrl"", ""ProxyServer"", or ""ProxyBypassList"".

If ""ProxyMode"" is used, one of the following must be set: ""direct"", ""system"", ""auto_detect"", ""fixed_servers"", or ""pac_script"".

Use the Windows Registry Editor to navigate to the following key:
HKLM\SOFTWARE\Policies\Microsoft\Edge

If the REG_SZ value for ""ProxySettings"" is not set to one of the above selections, this is a finding.","Set the policy value for ""Computer Configuration/Administrative Templates/Microsoft Edge/Proxy server/Proxy Settings"" to ""ProxyMode"", ""ProxyPacUrl"", ""ProxyServer"", or ""ProxyBypassList"".

If ""ProxyMode"" is selected, one of the following must also be set: ""direct"", ""system"", ""auto_detect"", ""fixed_servers"", or ""pac_script"".","CCI-001414"
"Microsoft Edge Security Technical Implementation Guide","This Security Technical Implementation Guide is published as a tool to improve the security of Department of Defense (DoD) information systems. The requirements are derived from the National Institute of Standards and Technology (NIST) 800-53 and related documents. Comments or proposed revisions to this document should be sent via email to the following address: disa.stig_spt@mail.mil.","1","6 ","27 Oct 2022","Release: 6 Benchmark Date: 27 Oct 2022","STIG.DOD.MIL","terms-of-use","V-235720","SV-235720r766832_rule","EDGE-00-000002","medium","CAT II","","SRG-APP-000073","Bypassing Microsoft Defender SmartScreen prompts for sites must be disabled.","<VulnDiscussion>This policy setting allows a decision to be made on whether users can override the Microsoft Defender SmartScreen warnings about potentially malicious websites.

If this setting is enabled, users cannot ignore Microsoft Defender SmartScreen warnings, and are blocked from continuing to the site.

If this setting is disabled or not configured, users can ignore Microsoft Defender SmartScreen warnings and continue to the site.</VulnDiscussion><FalsePositives></FalsePositives><FalseNegatives></FalseNegatives><Documentable>false</Documentable><Mitigations></Mitigations><SeverityOverrideGuidance></SeverityOverrideGuidance><PotentialImpacts></PotentialImpacts><ThirdPartyTools></ThirdPartyTools><MitigationControl></MitigationControl><Responsibility></Responsibility><IAControls></IAControls>","This policy setting allows a decision to be made on whether users can override the Microsoft Defender SmartScreen warnings about potentially malicious websites.

If this setting is enabled, users cannot ignore Microsoft Defender SmartScreen warnings, and are blocked from continuing to the site.

If this setting is disabled or not configured, users can ignore Microsoft Defender SmartScreen warnings and continue to the site.","","","false","","","","","","","","The policy value for ""Computer Configuration/Administrative Templates/Microsoft Edge/SmartScreen settings/Prevent bypassing Microsoft Defender SmartScreen prompts for sites"" must be set to ""Enabled"".

Use the Windows Registry Editor to navigate to the following key:
HKLM\SOFTWARE\Policies\Microsoft\Edge

If the value for ""PreventSmartScreenPromptOverride"" is not set to ""REG_DWORD = 1"", this is a finding.

If this machine is on SIPRNet, this is Not Applicable.","Set the policy value for ""Computer Configuration/Administrative Templates/Microsoft Edge/SmartScreen settings/Prevent bypassing Microsoft Defender SmartScreen prompts for sites"" to ""Enabled"".","CCI-000870"
"Microsoft Edge Security Technical Implementation Guide","This Security Technical Implementation Guide is published as a tool to improve the security of Department of Defense (DoD) information systems. The requirements are derived from the National Institute of Standards and Technology (NIST) 800-53 and related documents. Comments or proposed revisions to this document should be sent via email to the following address: disa.stig_spt@mail.mil.","1","6 ","27 Oct 2022","Release: 6 Benchmark Date: 27 Oct 2022","STIG.DOD.MIL","terms-of-use","V-235721","SV-235721r766835_rule","EDGE-00-000003","medium","CAT II","","SRG-APP-000073","Bypassing of Microsoft Defender SmartScreen warnings about downloads must be disabled.","<VulnDiscussion>This policy setting allows a decision to be made on whether users can override Microsoft Defender SmartScreen warnings about unverified downloads.

If this setting is enabled, users cannot ignore Microsoft Defender SmartScreen warnings, and are prevented from completing the unverified downloads.

If this policy is disabled or not configured, users can ignore Microsoft Defender SmartScreen warnings and complete unverified downloads.</VulnDiscussion><FalsePositives></FalsePositives><FalseNegatives></FalseNegatives><Documentable>false</Documentable><Mitigations></Mitigations><SeverityOverrideGuidance></SeverityOverrideGuidance><PotentialImpacts></PotentialImpacts><ThirdPartyTools></ThirdPartyTools><MitigationControl></MitigationControl><Responsibility></Responsibility><IAControls></IAControls>","This policy setting allows a decision to be made on whether users can override Microsoft Defender SmartScreen warnings about unverified downloads.

If this setting is enabled, users cannot ignore Microsoft Defender SmartScreen warnings, and are prevented from completing the unverified downloads.

If this policy is disabled or not configured, users can ignore Microsoft Defender SmartScreen warnings and complete unverified downloads.","","","false","","","","","","","","The policy value for ""Computer Configuration/Administrative Templates/Microsoft Edge/SmartScreen settings/Prevent bypassing of Microsoft Defender SmartScreen warnings about downloads"" must be set to ""Enabled"".

Use the Windows Registry Editor to navigate to the following key:
HKLM\SOFTWARE\Policies\Microsoft\Edge

If the value for ""PreventSmartScreenPromptOverrideForFiles"" is not set to ""REG_DWORD = 1"", this is a finding.

If this machine is on SIPRNet, this is Not Applicable.","Set the policy value for ""Computer Configuration/Administrative Templates/Microsoft Edge/SmartScreen settings/Prevent bypassing of Microsoft Defender SmartScreen warnings about downloads"" must to ""Enabled"".","CCI-000870"
"Microsoft Edge Security Technical Implementation Guide","This Security Technical Implementation Guide is published as a tool to improve the security of Department of Defense (DoD) information systems. The requirements are derived from the National Institute of Standards and Technology (NIST) 800-53 and related documents. Comments or proposed revisions to this document should be sent via email to the following address: disa.stig_spt@mail.mil.","1","6 ","27 Oct 2022","Release: 6 Benchmark Date: 27 Oct 2022","STIG.DOD.MIL","terms-of-use","V-235722","SV-235722r863224_rule","EDGE-00-000004","low","CAT III","","SRG-APP-000073","The list of domains for which Microsoft Defender SmartScreen will not trigger warnings must be allowlisted if used.","<VulnDiscussion>Configure the list of Microsoft Defender SmartScreen trusted domains. This means Microsoft Defender SmartScreen will not check for potentially malicious resources, such as phishing software and other malware, if the source URLs match these domains. The Microsoft Defender SmartScreen download protection service will not check downloads hosted on these domains.

If this policy is enabled, Microsoft Defender SmartScreen trusts these domains. If the policy is disabled or not set, default Microsoft Defender SmartScreen protection is applied to all resources.</VulnDiscussion><FalsePositives></FalsePositives><FalseNegatives></FalseNegatives><Documentable>false</Documentable><Mitigations></Mitigations><SeverityOverrideGuidance></SeverityOverrideGuidance><PotentialImpacts></PotentialImpacts><ThirdPartyTools></ThirdPartyTools><MitigationControl></MitigationControl><Responsibility></Responsibility><IAControls></IAControls>","Configure the list of Microsoft Defender SmartScreen trusted domains. This means Microsoft Defender SmartScreen will not check for potentially malicious resources, such as phishing software and other malware, if the source URLs match these domains. The Microsoft Defender SmartScreen download protection service will not check downloads hosted on these domains.

If this policy is enabled, Microsoft Defender SmartScreen trusts these domains. If the policy is disabled or not set, default Microsoft Defender SmartScreen protection is applied to all resources.","","","false","","","","","","","","If this machine is on SIPRNet, this is Not Applicable.

This requirement for ""SmartScreenAllowListDomains"" is not required; this is optional.

The policy value for ""Computer Configuration/Administrative Templates/Microsoft Edge/SmartScreen settings/Configure the list of domains for which Microsoft Defender SmartScreen won't trigger warnings"" may be set to ""allow"" for allowlisted domains.

Use the Windows Registry Editor to navigate to the following key:
HKLM\SOFTWARE\Policies\Microsoft\Edge

SmartScreenAllowListDomains may be set as follows:
HKLM\SOFTWARE\Policies\Microsoft\Edge\SmartScreenAllowListDomains\1 = mydomain.com
HKLM\SOFTWARE\Policies\Microsoft\Edge\SmartScreenAllowListDomains\2 = myagency.mil

If configured, the list of domains for which Microsoft Defender SmartScreen will not trigger warnings may be allowlisted.","The policy value for ""Computer Configuration/Administrative Templates/Microsoft Edge/SmartScreen settings/Configure the list of domains for which Microsoft Defender SmartScreen will not trigger warnings"" may be set to ""allow"" for allowlisted domains.","CCI-000870"
"Microsoft Edge Security Technical Implementation Guide","This Security Technical Implementation Guide is published as a tool to improve the security of Department of Defense (DoD) information systems. The requirements are derived from the National Institute of Standards and Technology (NIST) 800-53 and related documents. Comments or proposed revisions to this document should be sent via email to the following address: disa.stig_spt@mail.mil.","1","6 ","27 Oct 2022","Release: 6 Benchmark Date: 27 Oct 2022","STIG.DOD.MIL","terms-of-use","V-235723","SV-235723r626523_rule","EDGE-00-000005","medium","CAT II","","SRG-APP-000080","InPrivate mode must be disabled.","<VulnDiscussion>This setting specifies whether the user can open pages in InPrivate mode in Microsoft Edge.

If this policy is not configured or set it to ""Enabled"", users can open pages in InPrivate mode.

Set this policy to ""Disabled"" to stop users from using InPrivate mode.

Set this policy to ""Forced"" to always use InPrivate mode.

Policy options mapping:
- Enabled (0) = InPrivate mode available
- Disabled (1) = InPrivate mode disabled
- Forced (2) = InPrivate mode forced</VulnDiscussion><FalsePositives></FalsePositives><FalseNegatives></FalseNegatives><Documentable>false</Documentable><Mitigations></Mitigations><SeverityOverrideGuidance></SeverityOverrideGuidance><PotentialImpacts></PotentialImpacts><ThirdPartyTools></ThirdPartyTools><MitigationControl></MitigationControl><Responsibility></Responsibility><IAControls></IAControls>","This setting specifies whether the user can open pages in InPrivate mode in Microsoft Edge.

If this policy is not configured or set it to ""Enabled"", users can open pages in InPrivate mode.

Set this policy to ""Disabled"" to stop users from using InPrivate mode.

Set this policy to ""Forced"" to always use InPrivate mode.

Policy options mapping:
- Enabled (0) = InPrivate mode available
- Disabled (1) = InPrivate mode disabled
- Forced (2) = InPrivate mode forced","","","false","","","","","","","","The policy value for ""Computer Configuration/Administrative Templates/Microsoft Edge/Configure InPrivate mode availability"" must be set to ""enabled"" with the option value set to ""InPrivate mode disabled"".

Use the Windows Registry Editor to navigate to the following key:
HKLM\SOFTWARE\Policies\Microsoft\Edge

If the value for ""InPrivateModeAvailability"" is not set to ""REG_DWORD = 1"", this is a finding.","Set the policy value for ""Computer Configuration/Administrative Templates/Microsoft Edge/Configure InPrivate mode availability"" to ""enabled"" and select ""InPrivate mode disabled"".","CCI-000166"
"Microsoft Edge Security Technical Implementation Guide","This Security Technical Implementation Guide is published as a tool to improve the security of Department of Defense (DoD) information systems. The requirements are derived from the National Institute of Standards and Technology (NIST) 800-53 and related documents. Comments or proposed revisions to this document should be sent via email to the following address: disa.stig_spt@mail.mil.","1","6 ","27 Oct 2022","Release: 6 Benchmark Date: 27 Oct 2022","STIG.DOD.MIL","terms-of-use","V-235724","SV-235724r766838_rule","EDGE-00-000006","medium","CAT II","","SRG-APP-000141","Background processing must be disabled.","<VulnDiscussion>Background processing allows Microsoft Edge processes to start at OS sign-in and keep running after the last browser window is closed. In this scenario, background apps and the current browsing session remain active, including any session cookies. An open background process displays an icon in the system tray, and can be closed from there.

If this policy is enabled, background mode is turned on.

If this policy is disabled, background mode is turned off.

If this policy is not configured, background mode is initially turned off, and the user can configure its behavior in edge://settings/system.</VulnDiscussion><FalsePositives></FalsePositives><FalseNegatives></FalseNegatives><Documentable>false</Documentable><Mitigations></Mitigations><SeverityOverrideGuidance></SeverityOverrideGuidance><PotentialImpacts></PotentialImpacts><ThirdPartyTools></ThirdPartyTools><MitigationControl></MitigationControl><Responsibility></Responsibility><IAControls></IAControls>","Background processing allows Microsoft Edge processes to start at OS sign-in and keep running after the last browser window is closed. In this scenario, background apps and the current browsing session remain active, including any session cookies. An open background process displays an icon in the system tray, and can be closed from there.

If this policy is enabled, background mode is turned on.

If this policy is disabled, background mode is turned off.

If this policy is not configured, background mode is initially turned off, and the user can configure its behavior in edge://settings/system.","","","false","","","","","","","","The policy value for ""Computer Configuration/Administrative Templates/Microsoft Edge/Continue running background apps after Microsoft Edge closes"" must be set to ""Disabled"".

Use the Windows Registry Editor to navigate to the following key:
HKLM\SOFTWARE\Policies\Microsoft\Edge

If the value for ""BackgroundModeEnabled"" is not set to ""REG_DWORD = 0"", this is a finding.","Set the policy value for ""Computer Configuration/Administrative Templates/Microsoft Edge/Continue running background apps after Microsoft Edge closes"" to ""Disabled"".","CCI-000381"
"Microsoft Edge Security Technical Implementation Guide","This Security Technical Implementation Guide is published as a tool to improve the security of Department of Defense (DoD) information systems. The requirements are derived from the National Institute of Standards and Technology (NIST) 800-53 and related documents. Comments or proposed revisions to this document should be sent via email to the following address: disa.stig_spt@mail.mil.","1","6 ","27 Oct 2022","Release: 6 Benchmark Date: 27 Oct 2022","STIG.DOD.MIL","terms-of-use","V-235725","SV-235725r626523_rule","EDGE-00-000008","medium","CAT II","","SRG-APP-000141","The ability of sites to show pop-ups must be disabled.","<VulnDiscussion>Set whether websites can show pop-up windows. Pop-ups can be allowed on all websites (""AllowPopups"") or blocked on all sites (""BlockPopups"").

If this policy is configured, pop-up windows are blocked by default, and users can change this setting.

Policy options mapping:
- AllowPopups (1) = Allow all sites to show pop-ups.
- BlockPopups (2) = Do not allow any site to show pop-ups.</VulnDiscussion><FalsePositives></FalsePositives><FalseNegatives></FalseNegatives><Documentable>false</Documentable><Mitigations></Mitigations><SeverityOverrideGuidance></SeverityOverrideGuidance><PotentialImpacts></PotentialImpacts><ThirdPartyTools></ThirdPartyTools><MitigationControl></MitigationControl><Responsibility></Responsibility><IAControls></IAControls>","Set whether websites can show pop-up windows. Pop-ups can be allowed on all websites (""AllowPopups"") or blocked on all sites (""BlockPopups"").

If this policy is configured, pop-up windows are blocked by default, and users can change this setting.

Policy options mapping:
- AllowPopups (1) = Allow all sites to show pop-ups.
- BlockPopups (2) = Do not allow any site to show pop-ups.","","","false","","","","","","","","The policy value for ""Computer Configuration/Administrative Templates/Microsoft Edge/Content settings/Default pop-up window setting"" must be set to ""Enabled"" with the option value set to ""Do not allow any site to show  pop-ups"".

Use the Windows Registry Editor to navigate to the following key:
HKLM\SOFTWARE\Policies\Microsoft\Edge

If the value for DefaultPopupsSetting is not set to ""REG_DWORD = 2"", this is a finding.","Set the policy value for ""Computer Configuration/Administrative Templates/Microsoft Edge/Content settings/Default pop-up window setting"" to ""Enabled"" with the option value set to ""Do not allow any site to show  pop-ups"".","CCI-000381"
"Microsoft Edge Security Technical Implementation Guide","This Security Technical Implementation Guide is published as a tool to improve the security of Department of Defense (DoD) information systems. The requirements are derived from the National Institute of Standards and Technology (NIST) 800-53 and related documents. Comments or proposed revisions to this document should be sent via email to the following address: disa.stig_spt@mail.mil.","1","6 ","27 Oct 2022","Release: 6 Benchmark Date: 27 Oct 2022","STIG.DOD.MIL","terms-of-use","V-235726","SV-235726r766840_rule","EDGE-00-000009","medium","CAT II","","SRG-APP-000141","The default search provider must be set to use an encrypted connection.","<VulnDiscussion>Allows a list of list of up to 10 search engines to be configured, one of which must be marked as the default search engine. The encoding does not need to be specified. Starting in Microsoft Edge 80, the suggest_url and image_search_url parameters are optional. The optional parameter, image_search_post_params (consists of comma-separated name/value pairs), is available starting in Microsoft Edge 80.

Starting in Microsoft Edge 83, search engine discovery can be enabled with the allow_search_engine_discovery optional parameter. This parameter must be the first item in the list. If allow_search_engine_discovery is not specified, search engine discovery will be disabled by default. Starting in Microsoft Edge 84, this policy can be set as a recommended policy to allow search provider discovery. The allow_search_engine_discovery optional parameter does not need to be added.

If this policy is enabled, users cannot add, remove, or change any search engine in the list. Users can set their default search engine to any search engine in the list.

If this policy is disabled or not configured, users can modify the search engines list as desired.</VulnDiscussion><FalsePositives></FalsePositives><FalseNegatives></FalseNegatives><Documentable>false</Documentable><Mitigations></Mitigations><SeverityOverrideGuidance></SeverityOverrideGuidance><PotentialImpacts></PotentialImpacts><ThirdPartyTools></ThirdPartyTools><MitigationControl></MitigationControl><Responsibility></Responsibility><IAControls></IAControls>","Allows a list of list of up to 10 search engines to be configured, one of which must be marked as the default search engine. The encoding does not need to be specified. Starting in Microsoft Edge 80, the suggest_url and image_search_url parameters are optional. The optional parameter, image_search_post_params (consists of comma-separated name/value pairs), is available starting in Microsoft Edge 80.

Starting in Microsoft Edge 83, search engine discovery can be enabled with the allow_search_engine_discovery optional parameter. This parameter must be the first item in the list. If allow_search_engine_discovery is not specified, search engine discovery will be disabled by default. Starting in Microsoft Edge 84, this policy can be set as a recommended policy to allow search provider discovery. The allow_search_engine_discovery optional parameter does not need to be added.

If this policy is enabled, users cannot add, remove, or change any search engine in the list. Users can set their default search engine to any search engine in the list.

If this policy is disabled or not configured, users can modify the search engines list as desired.","","","false","","","","","","","","The policy value for ""Computer Configuration/Administrative Templates/Microsoft Edge/Manage Search Engines"" must be configured.

Use the Windows Registry Editor to navigate to the following key:
HKLM\SOFTWARE\Policies\Microsoft\Edge

Example REG_SZ value text for ""ManagedSearchEngines"":
[{""allow_search_engine_discovery"": false},{""is_default"": true,""name"": ""Microsoft Bing"",""keyword"": ""bing"",""search_url"": ""https://www.bing.com/search?q={searchTerms}""},{""name"": ""Google"",""keyword"": ""google"",""search_url"": ""https://www.google.com/search?q={searchTerms}""}]

If any of the search URLs in the list do not begin with ""https"", this is a finding.","Configure the policy value for ""Computer Configuration/Administrative Templates/Microsoft Edge/Manage Search Engines"".","CCI-000381"
"Microsoft Edge Security Technical Implementation Guide","This Security Technical Implementation Guide is published as a tool to improve the security of Department of Defense (DoD) information systems. The requirements are derived from the National Institute of Standards and Technology (NIST) 800-53 and related documents. Comments or proposed revisions to this document should be sent via email to the following address: disa.stig_spt@mail.mil.","1","6 ","27 Oct 2022","Release: 6 Benchmark Date: 27 Oct 2022","STIG.DOD.MIL","terms-of-use","V-235727","SV-235727r766843_rule","EDGE-00-000010","low","CAT III","","SRG-APP-000141","Data Synchronization must be disabled.","<VulnDiscussion>Disables data synchronization in Microsoft Edge. This policy also prevents the sync consent prompt from appearing.

If this policy is not set or applied as recommended, users will be able to turn sync on or off. If this policy is applied as mandatory, users will not be able to turn on sync.</VulnDiscussion><FalsePositives></FalsePositives><FalseNegatives></FalseNegatives><Documentable>false</Documentable><Mitigations></Mitigations><SeverityOverrideGuidance></SeverityOverrideGuidance><PotentialImpacts></PotentialImpacts><ThirdPartyTools></ThirdPartyTools><MitigationControl></MitigationControl><Responsibility></Responsibility><IAControls></IAControls>","Disables data synchronization in Microsoft Edge. This policy also prevents the sync consent prompt from appearing.

If this policy is not set or applied as recommended, users will be able to turn sync on or off. If this policy is applied as mandatory, users will not be able to turn on sync.","","","false","","","","","","","","The policy value for ""Computer Configuration/Administrative Templates/Microsoft Edge/Disable synchronization of data using Microsoft sync services"" must be set to ""Enabled"".

Use the Windows Registry Editor to navigate to the following key:
HKLM\SOFTWARE\Policies\Microsoft\Edge

If the value for ""SyncDisabled"" is not set to ""REG_DWORD = 1"", this is a finding.","Set the policy value for ""Computer Configuration/Administrative Templates/Microsoft Edge/Disable synchronization of data using Microsoft sync services"" to ""Enabled"".","CCI-000381"
"Microsoft Edge Security Technical Implementation Guide","This Security Technical Implementation Guide is published as a tool to improve the security of Department of Defense (DoD) information systems. The requirements are derived from the National Institute of Standards and Technology (NIST) 800-53 and related documents. Comments or proposed revisions to this document should be sent via email to the following address: disa.stig_spt@mail.mil.","1","6 ","27 Oct 2022","Release: 6 Benchmark Date: 27 Oct 2022","STIG.DOD.MIL","terms-of-use","V-235728","SV-235728r766845_rule","EDGE-00-000011","medium","CAT II","","SRG-APP-000141","Network prediction must be disabled.","<VulnDiscussion>Enables network prediction and prevents users from changing this setting.

This controls DNS prefetching, TCP and SSL pre-connection, and pre-rendering of web pages.

If this policy is not configured, network prediction is enabled but the user can change it.

Policy options mapping:
- NetworkPredictionAlways (0) = Predict network actions on any network connection.
- NetworkPredictionWifiOnly (1) = Not supported; if this value is used it will be treated as if ""Predict network actions on any network connection"" (0) was set.
- NetworkPredictionNever (2) = Do not predict network actions on any network connection.</VulnDiscussion><FalsePositives></FalsePositives><FalseNegatives></FalseNegatives><Documentable>false</Documentable><Mitigations></Mitigations><SeverityOverrideGuidance></SeverityOverrideGuidance><PotentialImpacts></PotentialImpacts><ThirdPartyTools></ThirdPartyTools><MitigationControl></MitigationControl><Responsibility></Responsibility><IAControls></IAControls>","Enables network prediction and prevents users from changing this setting.

This controls DNS prefetching, TCP and SSL pre-connection, and pre-rendering of web pages.

If this policy is not configured, network prediction is enabled but the user can change it.

Policy options mapping:
- NetworkPredictionAlways (0) = Predict network actions on any network connection.
- NetworkPredictionWifiOnly (1) = Not supported; if this value is used it will be treated as if ""Predict network actions on any network connection"" (0) was set.
- NetworkPredictionNever (2) = Do not predict network actions on any network connection.","","","false","","","","","","","","The policy value for ""Computer Configuration/Administrative Templates/Microsoft Edge/Enable network prediction"" must be set to ""Enabled"" with the option value set to ""Don't predict network actions on any network connection"".

Use the Windows Registry Editor to navigate to the following key:
HKLM\SOFTWARE\Policies\Microsoft\Edge

If the value for NetworkPredictionOptions is not set to ""REG_DWORD = 2"", this is a finding.","Set the policy value for ""Computer Configuration/Administrative Templates/Microsoft Edge/Enable network prediction"" to ""Enabled"" with the option value set to ""Don't predict network actions on any network connection"".","CCI-000381"
