"Title","Description","Version","Release","BenchmarkDate","ReleaseInfo","Source","Notice","Rule_VulnID","Rule_RuleID","Rule_StigID","Rule_Severity","Rule_Cat","Rule_Classification","Rule_GroupTitle","Rule_RuleTitle","Rule_Description","Rule_VulnDiscussion","Rule_FalsePositives","Rule_FalseNegatives","Rule_Documentable","Rule_Mitigations","Rule_SeverityOverrideGuidance","Rule_PotentialImpacts","Rule_ThirdPartyTools","Rule_MitigationControl","Rule_Responsibility","Rule_IAControls","Rule_CheckText","Rule_FixText","Rule_CCI"
"Microsoft SCOM Security Technical Implementation Guide","This Security Technical Implementation Guide is published as a tool to improve the security of Department of Defense (DoD) information systems. The requirements are derived from the National Institute of Standards and Technology (NIST) 800-53 and related documents. Comments or proposed revisions to this document should be sent via email to the following address: disa.stig_spt@mail.mil.","1","1 ","09 Mar 2021","Release: 1 Benchmark Date: 09 Mar 2021","STIG.DOD.MIL","terms-of-use","V-237423","SV-237423r643915_rule","SCOM-AC-000001","medium","CAT II","","SRG-APP-000317-NDM-000282","Members of the SCOM Administrators Group must be reviewed to ensure access is still required.","<VulnDiscussion>When people leave their roles, their group memberships are often times not updated.</VulnDiscussion><FalsePositives></FalsePositives><FalseNegatives></FalseNegatives><Documentable>false</Documentable><Mitigations></Mitigations><SeverityOverrideGuidance></SeverityOverrideGuidance><PotentialImpacts></PotentialImpacts><ThirdPartyTools></ThirdPartyTools><MitigationControl></MitigationControl><Responsibility></Responsibility><IAControls></IAControls>","When people leave their roles, their group memberships are often times not updated.","","","false","","","","","","","","From Active Directory Users and Computers, search for the group containing SCOM administrators. Review the users who are listed in this group. If any user in this group is no longer with the organization, no longer requires SCOM administration rights, or is no longer in a SCOM administration role within the organization, this is a finding.","From Active Directory Users and Computers, search for the group containing SCOM administrators. Double-click on the group and select the members tab. For each user that no longer needs rights, select the account and click the Remove button. Click OK once finished.","CCI-002142"
"Microsoft SCOM Security Technical Implementation Guide","This Security Technical Implementation Guide is published as a tool to improve the security of Department of Defense (DoD) information systems. The requirements are derived from the National Institute of Standards and Technology (NIST) 800-53 and related documents. Comments or proposed revisions to this document should be sent via email to the following address: disa.stig_spt@mail.mil.","1","1 ","09 Mar 2021","Release: 1 Benchmark Date: 09 Mar 2021","STIG.DOD.MIL","terms-of-use","V-237424","SV-237424r643918_rule","SCOM-AC-000002","high","CAT I","","SRG-APP-000033-NDM-000212","Manually configured SCOM Run As accounts must be set to More Secure distribution.","<VulnDiscussion>The Microsoft SCOM privileged Run As accounts are used to execute work flow tasks on target endpoints. A SCOM Run As account creates an interactive log on session to perform its tasks. The interactive session could allow an attacker to harvest and reuse these credentials. The SCOM less-secure distribution option configures a Run As account to run on every SCOM agent within the environment, making it easier for an attacker to compromise a critical account. 

The use of the SCOM ""More Secure"" option restricts Run As accounts to specific systems. This restricts a compromised account to a specific set of systems limiting the ability of an attacker to move laterally within the network. A less secure distribution means that if any server running a SCOM agent is compromised, then the accounts credentials may be reused by an attacker.</VulnDiscussion><FalsePositives></FalsePositives><FalseNegatives></FalseNegatives><Documentable>false</Documentable><Mitigations></Mitigations><SeverityOverrideGuidance></SeverityOverrideGuidance><PotentialImpacts></PotentialImpacts><ThirdPartyTools></ThirdPartyTools><MitigationControl></MitigationControl><Responsibility></Responsibility><IAControls></IAControls>","The Microsoft SCOM privileged Run As accounts are used to execute work flow tasks on target endpoints. A SCOM Run As account creates an interactive log on session to perform its tasks. The interactive session could allow an attacker to harvest and reuse these credentials. The SCOM less-secure distribution option configures a Run As account to run on every SCOM agent within the environment, making it easier for an attacker to compromise a critical account. 

The use of the SCOM ""More Secure"" option restricts Run As accounts to specific systems. This restricts a compromised account to a specific set of systems limiting the ability of an attacker to move laterally within the network. A less secure distribution means that if any server running a SCOM agent is compromised, then the accounts credentials may be reused by an attacker.","","","false","","","","","","","","Review the account distribution settings on the SCOM Management server.

Open the Operations Console and select the Administration workspace.

Under Run As Configuration, select Accounts.

Double-click on each account listed under the Windows type and select the distribution tab (note that the network system and local system accounts do not need to be checked).

If any Run As account is set to the ""less secure"" distribution option, this is a finding.","Open the Operations Console and select the Administration workspace.

Under Run As Configuration, select Accounts.

Double-click on the account(s) in question. Click the Distribution tab. Click the ""More Secure"" radio button and then click the ""Add"" button next to the green plus sign. In the filter by section, type the computer name(s) for each computer that is required to use the Run As account and click ""Search"". Double-click on the account in the available users section to add it to the selected users section. Click OK when finished.

Note: If the Run As account in question is not assigned to any run-as profile, it is recommended that the Run As account be deleted.","CCI-000213"
"Microsoft SCOM Security Technical Implementation Guide","This Security Technical Implementation Guide is published as a tool to improve the security of Department of Defense (DoD) information systems. The requirements are derived from the National Institute of Standards and Technology (NIST) 800-53 and related documents. Comments or proposed revisions to this document should be sent via email to the following address: disa.stig_spt@mail.mil.","1","1 ","09 Mar 2021","Release: 1 Benchmark Date: 09 Mar 2021","STIG.DOD.MIL","terms-of-use","V-237425","SV-237425r643921_rule","SCOM-AC-000003","high","CAT I","","SRG-APP-000033-NDM-000212","SCOM Run As accounts used to manage Linux/UNIX endpoints must be configured for least privilege.","<VulnDiscussion>The Microsoft SCOM privileged Run As accounts are used to execute work flow tasks on target endpoints. A SCOM Run As account must only have the level of privileges required to perform the defined SCOM actions. An account with full administrative (SUDO) privileges could be used to breach security boundaries and compromise the endpoint.</VulnDiscussion><FalsePositives></FalsePositives><FalseNegatives></FalseNegatives><Documentable>false</Documentable><Mitigations></Mitigations><SeverityOverrideGuidance></SeverityOverrideGuidance><PotentialImpacts></PotentialImpacts><ThirdPartyTools></ThirdPartyTools><MitigationControl></MitigationControl><Responsibility></Responsibility><IAControls></IAControls>","The Microsoft SCOM privileged Run As accounts are used to execute work flow tasks on target endpoints. A SCOM Run As account must only have the level of privileges required to perform the defined SCOM actions. An account with full administrative (SUDO) privileges could be used to breach security boundaries and compromise the endpoint.","","","false","","","","","","","","If the Microsoft SCOM environment is not used to monitor Linux/UNIX endpoints, this check is Not Applicable.

Review the account permission settings on the SCOM Management server.

Log on to a subset of Linux or UNIX servers being monitored by SCOM and look at the Sudoers file. Verify that the SCOM account does not have Sudo all permissions. Alternatively, the following command can be run from the machine ""sudo -l -U <Run As account Name>"".

If any Run As account used for Linux\UNIX endpoint management has the SUDO ALL permissions, this is a finding.","Configure the permissions on the Run As accounts used on Linux/UNIX endpoints to remove the SUDO ALL permissions. This will be dependent on the specific versions and flavor of the Linux/UNIX operating systems in question. 

Microsoft's least privilege recommendations for supported versions can be found at the following location: https://social.technet.microsoft.com/wiki/contents/articles/7375.scom-configuring-sudo-elevation-for-UNIX-and-linux-monitoring.aspx.","CCI-000213"
"Microsoft SCOM Security Technical Implementation Guide","This Security Technical Implementation Guide is published as a tool to improve the security of Department of Defense (DoD) information systems. The requirements are derived from the National Institute of Standards and Technology (NIST) 800-53 and related documents. Comments or proposed revisions to this document should be sent via email to the following address: disa.stig_spt@mail.mil.","1","1 ","09 Mar 2021","Release: 1 Benchmark Date: 09 Mar 2021","STIG.DOD.MIL","terms-of-use","V-237426","SV-237426r643924_rule","SCOM-AC-000004","medium","CAT II","","SRG-APP-000033-NDM-000212","The Microsoft SCOM Agent Action Account must be a local system account.","<VulnDiscussion>The SCOM agent action account is the account agent used to perform tasks on an individual machine. By default, the action agent account is the local system account, but this can be configured to run as a service account. In that scenario, the account will be running locally in memory and could be used by an attacker to laterally move throughout an environment. Using the local system account limits the ability to laterally traverse within the environment if a specific endpoint is compromised.</VulnDiscussion><FalsePositives></FalsePositives><FalseNegatives></FalseNegatives><Documentable>false</Documentable><Mitigations></Mitigations><SeverityOverrideGuidance></SeverityOverrideGuidance><PotentialImpacts></PotentialImpacts><ThirdPartyTools></ThirdPartyTools><MitigationControl></MitigationControl><Responsibility></Responsibility><IAControls></IAControls>","The SCOM agent action account is the account agent used to perform tasks on an individual machine. By default, the action agent account is the local system account, but this can be configured to run as a service account. In that scenario, the account will be running locally in memory and could be used by an attacker to laterally move throughout an environment. Using the local system account limits the ability to laterally traverse within the environment if a specific endpoint is compromised.","","","false","","","","","","","","From the SCOM console, go to the administration workspace. 

Under Run As Configuration, select Profiles.

Double-click on the Default Action Account in the center pane. From the box that appears, select the Run As accounts link.

Under the Account Name column, verify that ONLY management servers are running with a specified user account. All other accounts should say Local System Action Account.

If any non-management servers have a specific user account listed, this is a finding.

Elevate to a CAT I if the specified account is a local administrator on other systems. This can be downgraded to CAT III if the agent action account has been restricted from logging on to all other systems except the monitored endpoint, as the risk of credential leakage has been sufficiently mitigated.","From the SCOM console, go to the administration workspace. Under Run As Configuration, select Profiles.

Double-click on the Default Action Account in the center pane. From the box that appears, select the Run As accounts link.

Click on each non-management server that is configured with a Run As account and click Edit. From the box that appears, select ""Local System Account"" in the Run As account drop down. Click OK. 

Click Save once finished with all systems.","CCI-000213"
"Microsoft SCOM Security Technical Implementation Guide","This Security Technical Implementation Guide is published as a tool to improve the security of Department of Defense (DoD) information systems. The requirements are derived from the National Institute of Standards and Technology (NIST) 800-53 and related documents. Comments or proposed revisions to this document should be sent via email to the following address: disa.stig_spt@mail.mil.","1","1 ","09 Mar 2021","Release: 1 Benchmark Date: 09 Mar 2021","STIG.DOD.MIL","terms-of-use","V-237427","SV-237427r643927_rule","SCOM-AC-000005","medium","CAT II","","SRG-APP-000033-NDM-000212","The Microsoft SCOM Run As accounts must only use least access permissions.","<VulnDiscussion>The Microsoft SCOM privileged Run As accounts are used to execute work flow tasks on target endpoints. Run As Accounts are interactive logon sessions on a system. An attacker who has compromised one of those systems could potentially reuse the credentials of a Run As account on another system.</VulnDiscussion><FalsePositives></FalsePositives><FalseNegatives></FalseNegatives><Documentable>false</Documentable><Mitigations></Mitigations><SeverityOverrideGuidance></SeverityOverrideGuidance><PotentialImpacts></PotentialImpacts><ThirdPartyTools></ThirdPartyTools><MitigationControl></MitigationControl><Responsibility></Responsibility><IAControls></IAControls>","The Microsoft SCOM privileged Run As accounts are used to execute work flow tasks on target endpoints. Run As Accounts are interactive logon sessions on a system. An attacker who has compromised one of those systems could potentially reuse the credentials of a Run As account on another system.","","","false","","","","","","","","Obtain the User ID(s) in SCOM:

Open the Operations Console and select the Administration workspace.

Under Run As Configuration, select Accounts. 

Double-click on each account listed under the Windows type and select the credentials tab (note that the network system and local system accounts do not need to be checked). Note the Username and domain name. Click on the Distribution tab and note the computer names that the account is distributed to.

Validate Permissions in Active Directory:

For each SCOM Run As account, open the Active Directory Users and Computers MMC and if necessary connect to the appropriate domain. Right-click on the domain and select ""Find"". In the ""Name"" field, type the User ID and click ""Find Now"". The account will appear in the results below. Double-click on the account and select the ""Member Of"" tab.

Review the groups listed. If any group listed is an administrator on any system other than the systems the account is distributed to, this is a finding.

If the account is part of Domain Administrators or Enterprise Administrators, elevate to CAT I.","Create an active directory group in which the account is a member. Assign this group the appropriate permissions on only the servers that need this account. Remove the Run As account from all additional administrative AD groups.","CCI-000213"
"Microsoft SCOM Security Technical Implementation Guide","This Security Technical Implementation Guide is published as a tool to improve the security of Department of Defense (DoD) information systems. The requirements are derived from the National Institute of Standards and Technology (NIST) 800-53 and related documents. Comments or proposed revisions to this document should be sent via email to the following address: disa.stig_spt@mail.mil.","1","1 ","09 Mar 2021","Release: 1 Benchmark Date: 09 Mar 2021","STIG.DOD.MIL","terms-of-use","V-237428","SV-237428r643930_rule","SCOM-AC-000006","low","CAT III","","SRG-APP-000033-NDM-000212","The Microsoft SCOM administration console must only be installed on Management Servers and hardened Privileged Access Workstations.","<VulnDiscussion>The Microsoft SCOM management servers are considered high value IT resources where compromise would cause a significant impact to the organization. The Operations Manager console contains APIs that an attacker can use to decrypt Run As accounts or install malicious management packs. If a SCOM console sits on a Tier 2 device, an attacker could use the administrator's alternate credentials to exploit SCOM. A Privileged Admin Workstation (PAW) device provides configuration and installation requirements for dedicated Windows workstations used exclusively for remote administrative management of designated high-value IT resources.</VulnDiscussion><FalsePositives></FalsePositives><FalseNegatives></FalseNegatives><Documentable>false</Documentable><Mitigations></Mitigations><SeverityOverrideGuidance></SeverityOverrideGuidance><PotentialImpacts></PotentialImpacts><ThirdPartyTools></ThirdPartyTools><MitigationControl></MitigationControl><Responsibility></Responsibility><IAControls></IAControls>","The Microsoft SCOM management servers are considered high value IT resources where compromise would cause a significant impact to the organization. The Operations Manager console contains APIs that an attacker can use to decrypt Run As accounts or install malicious management packs. If a SCOM console sits on a Tier 2 device, an attacker could use the administrator's alternate credentials to exploit SCOM. A Privileged Admin Workstation (PAW) device provides configuration and installation requirements for dedicated Windows workstations used exclusively for remote administrative management of designated high-value IT resources.","","","false","","","","","","","","If the SCOM console is installed on a Terminal Server within a dedicated hardened management forest, this check is Not Applicable.

If the console is installed on a general purpose device and the user is NOT a SCOM administrator, this is not a finding. Examples would be individuals in the Network Operations Center (NOC) who only respond to alerts.

From the SCOM Administrator(s) productivity workstation (i.e. it has internet, or office applications), check for the presence of the operations console. This can be done by clicking the windows button and typing ""Operations"" in the search bar. 

If the console is installed on a general purpose device and the user is NOT a SCOM administrator, this is not a finding. Examples would be individuals in the Network Operations Center (NOC) who only respond to alerts.

If the Operations console appears, this is a finding.","Remove any SCOM consoles from productivity workstations.","CCI-000213"
"Microsoft SCOM Security Technical Implementation Guide","This Security Technical Implementation Guide is published as a tool to improve the security of Department of Defense (DoD) information systems. The requirements are derived from the National Institute of Standards and Technology (NIST) 800-53 and related documents. Comments or proposed revisions to this document should be sent via email to the following address: disa.stig_spt@mail.mil.","1","1 ","09 Mar 2021","Release: 1 Benchmark Date: 09 Mar 2021","STIG.DOD.MIL","terms-of-use","V-237429","SV-237429r643933_rule","SCOM-AC-000007","high","CAT I","","SRG-APP-000033-NDM-000212","The Microsoft SCOM Service Accounts and Run As accounts must not be granted enterprise or domain level administrative privileges.","<VulnDiscussion>The Microsoft SCOM privileged Run As accounts are used to execute work flow tasks on target endpoints. A SCOM Run As account must only have the level of privileges required to perform the defined SCOM actions. An account with full administrative at the domain or enterprise level could be used to breach security boundaries and compromise the endpoint.</VulnDiscussion><FalsePositives></FalsePositives><FalseNegatives></FalseNegatives><Documentable>false</Documentable><Mitigations></Mitigations><SeverityOverrideGuidance></SeverityOverrideGuidance><PotentialImpacts></PotentialImpacts><ThirdPartyTools></ThirdPartyTools><MitigationControl></MitigationControl><Responsibility></Responsibility><IAControls></IAControls>","The Microsoft SCOM privileged Run As accounts are used to execute work flow tasks on target endpoints. A SCOM Run As account must only have the level of privileges required to perform the defined SCOM actions. An account with full administrative at the domain or enterprise level could be used to breach security boundaries and compromise the endpoint.","","","false","","","","","","","","Obtain the User ID(s) for the appropriate accounts in SCOM:

Open the Operations Console and select the Administration workspace.

Under Run As Configuration, select Accounts.

Double-click on each account listed under the Windows type and select the credentials tab (note that the network system and local system accounts do not need to be checked). Note the Username and domain name. Open Active Directory Users and Computers.

Determine rights in Active Directory:

Review the Domain Admins, Administrators (in AD), Enterprise Admins, Schema Admins groups, and any group that is a member of these groups.

If a SCOM Run-As account or Service account is a member of any of these groups, this is a finding.","Remove the service accounts from these groups and grant appropriate permissions to them. SCOM service account permission documentation can be found at this link: https://kevinholman.com/2019/03/08/scom-2016-security-account-matrix/. Run As accounts that are not being used as SCOM service accounts should be configured to least privileges as well.","CCI-000213"
"Microsoft SCOM Security Technical Implementation Guide","This Security Technical Implementation Guide is published as a tool to improve the security of Department of Defense (DoD) information systems. The requirements are derived from the National Institute of Standards and Technology (NIST) 800-53 and related documents. Comments or proposed revisions to this document should be sent via email to the following address: disa.stig_spt@mail.mil.","1","1 ","09 Mar 2021","Release: 1 Benchmark Date: 09 Mar 2021","STIG.DOD.MIL","terms-of-use","V-237430","SV-237430r643936_rule","SCOM-AC-000008","high","CAT I","","SRG-APP-000033-NDM-000212","SCOM SQL Management must be configured to use least privileges.","<VulnDiscussion>Microsoft SCOM's SQL management requires a Run as solution because the local system account will not have the required permissions to monitor SQL.

If the Run As account is created with elevated database privileges on the SQL endpoint, this can be used to modify SQL databases, breach security boundaries, or otherwise compromise the endpoint.</VulnDiscussion><FalsePositives></FalsePositives><FalseNegatives></FalseNegatives><Documentable>false</Documentable><Mitigations></Mitigations><SeverityOverrideGuidance></SeverityOverrideGuidance><PotentialImpacts></PotentialImpacts><ThirdPartyTools></ThirdPartyTools><MitigationControl></MitigationControl><Responsibility></Responsibility><IAControls></IAControls>","Microsoft SCOM's SQL management requires a Run as solution because the local system account will not have the required permissions to monitor SQL.

If the Run As account is created with elevated database privileges on the SQL endpoint, this can be used to modify SQL databases, breach security boundaries, or otherwise compromise the endpoint.","","","false","","","","","","","","If the Microsoft SQL management packs for SCOM are not imported, this check is Not Applicable.

Determine which SQL Servers are managed by SCOM:

From the Operations Console, click on the Monitoring workspace. In the left pane, expand the ""Microsoft SQL Servers folder"" and click on the Computers icon (note older versions of this management pack may be version specific). Make note of the servers listed.

Log on to SQL Server Management Studio and connect to servers being managed in SCOM. Expand the Security Tab and select Logins. 

Verify that NT System\Authority, NT Service\HealthService, or the SQL Run As account has not been granted System Admin privileges (SA rights).

If the any of these accounts have been granted SA privileges, this is a finding.","Configure the NT System\Authority or SCOM Run As accounts for least privileges as described in the documentation for the SCOM SQL management pack. The documentation can be found with the management pack download, and permissions may vary depending on the version of the SQL management pack being used. Generally speaking, the account used for monitoring will need to view server state, view any definition, and view any database.

Additional information on this topic can be found at this location along with a management pack that can automate this process: https://kevinholman.com/2016/08/25/sql-mp-run-as-accounts-no-longer-required/","CCI-000213"
"Microsoft SCOM Security Technical Implementation Guide","This Security Technical Implementation Guide is published as a tool to improve the security of Department of Defense (DoD) information systems. The requirements are derived from the National Institute of Standards and Technology (NIST) 800-53 and related documents. Comments or proposed revisions to this document should be sent via email to the following address: disa.stig_spt@mail.mil.","1","1 ","09 Mar 2021","Release: 1 Benchmark Date: 09 Mar 2021","STIG.DOD.MIL","terms-of-use","V-237431","SV-237431r643939_rule","SCOM-AU-000001","medium","CAT II","","SRG-APP-000516-NDM-000340","The Microsoft SCOM server must back up audit records at least every seven days onto a different system or system component than the system or component being audited.","<VulnDiscussion>Protection of log data includes assuring log data is not accidentally lost or deleted. Regularly backing up audit records to a different system or onto separate media than the system being audited helps to assure, in the event of a catastrophic system failure, the audit records will be retained.</VulnDiscussion><FalsePositives></FalsePositives><FalseNegatives></FalseNegatives><Documentable>false</Documentable><Mitigations></Mitigations><SeverityOverrideGuidance></SeverityOverrideGuidance><PotentialImpacts></PotentialImpacts><ThirdPartyTools></ThirdPartyTools><MitigationControl></MitigationControl><Responsibility></Responsibility><IAControls></IAControls>","Protection of log data includes assuring log data is not accidentally lost or deleted. Regularly backing up audit records to a different system or onto separate media than the system being audited helps to assure, in the event of a catastrophic system failure, the audit records will be retained.","","","false","","","","","","","","Determine if the security logs as well as the Operations Manager logs on the SCOM management server are being ingested by a tool such as Splunk, ArcSite, or Azure Log Analytics. 

If no effort is being made to retain log data on the SCOM server, this is a finding.","Establish and implement a process for keeping the Security Log as well as the Operations Manager log. Most DoD enclaves are already running tools such as Splunk or Azure Log Analytics. It is important that these logs be ingested by these tools.","CCI-000366"
"Microsoft SCOM Security Technical Implementation Guide","This Security Technical Implementation Guide is published as a tool to improve the security of Department of Defense (DoD) information systems. The requirements are derived from the National Institute of Standards and Technology (NIST) 800-53 and related documents. Comments or proposed revisions to this document should be sent via email to the following address: disa.stig_spt@mail.mil.","1","1 ","09 Mar 2021","Release: 1 Benchmark Date: 09 Mar 2021","STIG.DOD.MIL","terms-of-use","V-237432","SV-237432r643942_rule","SCOM-CM-000001","high","CAT I","","SRG-APP-000516-NDM-000351","The Microsoft SCOM server must be running Windows operating system that supports modern security features such as virtualization based security.","<VulnDiscussion>Network devices running older but supported operating systems lack modern security features that mitigate attack surfaces. Attackers face a higher level of complexity to overcome during a compromise attempt.</VulnDiscussion><FalsePositives></FalsePositives><FalseNegatives></FalseNegatives><Documentable>false</Documentable><Mitigations></Mitigations><SeverityOverrideGuidance></SeverityOverrideGuidance><PotentialImpacts></PotentialImpacts><ThirdPartyTools></ThirdPartyTools><MitigationControl></MitigationControl><Responsibility></Responsibility><IAControls></IAControls>","Network devices running older but supported operating systems lack modern security features that mitigate attack surfaces. Attackers face a higher level of complexity to overcome during a compromise attempt.","","","false","","","","","","","","Check the operating system version.

From the SCOM management servers, type winver and press enter. If the operating system is not Windows Server 2016 or later, this is a finding.","Upgrade the network device to an operating that supports modern security features such as virtualization based security.","CCI-000366"
