"Title","Description","Version","Release","BenchmarkDate","ReleaseInfo","Source","Notice","Rule_VulnID","Rule_RuleID","Rule_StigID","Rule_Severity","Rule_Cat","Rule_Classification","Rule_GroupTitle","Rule_RuleTitle","Rule_Description","Rule_VulnDiscussion","Rule_FalsePositives","Rule_FalseNegatives","Rule_Documentable","Rule_Mitigations","Rule_SeverityOverrideGuidance","Rule_PotentialImpacts","Rule_ThirdPartyTools","Rule_MitigationControl","Rule_Responsibility","Rule_IAControls","Rule_CheckText","Rule_FixText","Rule_CCI"
"Microsoft Windows Server 2012/2012 R2 Domain Controller Security Technical Implementation Guide","This Security Technical Implementation Guide is published as a tool to improve the security of Department of Defense (DoD) information systems. The requirements are derived from the National Institute of Standards and Technology (NIST) 800-53 and related documents. Comments or proposed revisions to this document should be sent via email to the following address: disa.stig_spt@mail.mil.","3","5 ","14 Nov 2022","Release: 5 Benchmark Date: 14 Nov 2022","STIG.DOD.MIL","terms-of-use","V-226029","SV-226029r794397_rule","WN12-00-000001","medium","CAT II","","SRG-OS-000480-GPOS-00229","Server systems must be located in a controlled access area, accessible only to authorized personnel.","<VulnDiscussion>Inadequate physical protection can undermine all other security precautions utilized to protect the system.  This can jeopardize the confidentiality, availability, and integrity of the system.  Physical security is the first line of protection of any system.</VulnDiscussion><FalsePositives></FalsePositives><FalseNegatives></FalseNegatives><Documentable>false</Documentable><Mitigations></Mitigations><SeverityOverrideGuidance></SeverityOverrideGuidance><PotentialImpacts></PotentialImpacts><ThirdPartyTools></ThirdPartyTools><MitigationControl></MitigationControl><Responsibility></Responsibility><IAControls></IAControls>","Inadequate physical protection can undermine all other security precautions utilized to protect the system.  This can jeopardize the confidentiality, availability, and integrity of the system.  Physical security is the first line of protection of any system.","","","false","","","","","","","","Verify servers are located in controlled access areas that are accessible only to authorized personnel.  If systems are not adequately protected, this is a finding.","Ensure servers are located in secure, access-controlled areas.","SV-52838,V-1070,CCI-000366"
"Microsoft Windows Server 2012/2012 R2 Domain Controller Security Technical Implementation Guide","This Security Technical Implementation Guide is published as a tool to improve the security of Department of Defense (DoD) information systems. The requirements are derived from the National Institute of Standards and Technology (NIST) 800-53 and related documents. Comments or proposed revisions to this document should be sent via email to the following address: disa.stig_spt@mail.mil.","3","5 ","14 Nov 2022","Release: 5 Benchmark Date: 14 Nov 2022","STIG.DOD.MIL","terms-of-use","V-226030","SV-226030r794369_rule","WN12-00-000004","medium","CAT II","","SRG-OS-000480-GPOS-00227","Users with administrative privilege must be documented.","<VulnDiscussion>Administrative accounts may perform any action on a system.  Users with administrative accounts must be documented to ensure those with this level of access are clearly identified.</VulnDiscussion><FalsePositives></FalsePositives><FalseNegatives></FalseNegatives><Documentable>false</Documentable><Mitigations></Mitigations><SeverityOverrideGuidance></SeverityOverrideGuidance><PotentialImpacts></PotentialImpacts><ThirdPartyTools></ThirdPartyTools><MitigationControl></MitigationControl><Responsibility></Responsibility><IAControls></IAControls>","Administrative accounts may perform any action on a system.  Users with administrative accounts must be documented to ensure those with this level of access are clearly identified.","","","false","","","","","","","","Review the necessary documentation that identifies the members of the Administrators group.  If a list of all users belonging to the Administrators group is not maintained with the ISSO, this is a finding.","Create the necessary documentation that identifies the members of the Administrators group.","SV-51575,V-36658,CCI-000366"
"Microsoft Windows Server 2012/2012 R2 Domain Controller Security Technical Implementation Guide","This Security Technical Implementation Guide is published as a tool to improve the security of Department of Defense (DoD) information systems. The requirements are derived from the National Institute of Standards and Technology (NIST) 800-53 and related documents. Comments or proposed revisions to this document should be sent via email to the following address: disa.stig_spt@mail.mil.","3","5 ","14 Nov 2022","Release: 5 Benchmark Date: 14 Nov 2022","STIG.DOD.MIL","terms-of-use","V-226031","SV-226031r794370_rule","WN12-00-000005","high","CAT I","","SRG-OS-000480-GPOS-00227","Users with Administrative privileges must have separate accounts for administrative duties and normal operational tasks.","<VulnDiscussion>Using a privileged account to perform routine functions makes the computer vulnerable to malicious software inadvertently introduced during a session that has been granted full privileges.</VulnDiscussion><FalsePositives></FalsePositives><FalseNegatives></FalseNegatives><Documentable>false</Documentable><Mitigations></Mitigations><SeverityOverrideGuidance></SeverityOverrideGuidance><PotentialImpacts></PotentialImpacts><ThirdPartyTools></ThirdPartyTools><MitigationControl></MitigationControl><Responsibility></Responsibility><IAControls></IAControls>","Using a privileged account to perform routine functions makes the computer vulnerable to malicious software inadvertently introduced during a session that has been granted full privileges.","","","false","","","","","","","","Verify each user with administrative privileges has been assigned a unique administrative account separate from their standard user account. 

If users with administrative privileges do not have separate accounts for administrative functions and standard user functions, this is a finding.","Ensure each user with administrative privileges has a separate account for user duties and one for privileged duties.","SV-51576,V-36659,CCI-000366"
"Microsoft Windows Server 2012/2012 R2 Domain Controller Security Technical Implementation Guide","This Security Technical Implementation Guide is published as a tool to improve the security of Department of Defense (DoD) information systems. The requirements are derived from the National Institute of Standards and Technology (NIST) 800-53 and related documents. Comments or proposed revisions to this document should be sent via email to the following address: disa.stig_spt@mail.mil.","3","5 ","14 Nov 2022","Release: 5 Benchmark Date: 14 Nov 2022","STIG.DOD.MIL","terms-of-use","V-226032","SV-226032r794371_rule","WN12-00-000006","medium","CAT II","","SRG-OS-000480-GPOS-00227","Policy must require that system administrators (SAs) be trained for the operating systems used by systems under their control.","<VulnDiscussion>If SAs are assigned to systems running operating systems for which they have no training, these systems are at additional risk of unintentional misconfiguration that may result in vulnerabilities or decreased availability of the system.</VulnDiscussion><FalsePositives></FalsePositives><FalseNegatives></FalseNegatives><Documentable>false</Documentable><Mitigations></Mitigations><SeverityOverrideGuidance></SeverityOverrideGuidance><PotentialImpacts></PotentialImpacts><ThirdPartyTools></ThirdPartyTools><MitigationControl></MitigationControl><Responsibility></Responsibility><IAControls></IAControls>","If SAs are assigned to systems running operating systems for which they have no training, these systems are at additional risk of unintentional misconfiguration that may result in vulnerabilities or decreased availability of the system.","","","false","","","","","","","","Determine whether the site has a policy that requires SAs be trained for all operating systems running on systems under their control.  If  the site does not have a policy requiring SAs be trained for all operating systems under their control, this is a finding.","Establish site policy that requires SAs be trained for all operating systems running on systems under their control.","SV-51577,V-36666,CCI-000366"
"Microsoft Windows Server 2012/2012 R2 Domain Controller Security Technical Implementation Guide","This Security Technical Implementation Guide is published as a tool to improve the security of Department of Defense (DoD) information systems. The requirements are derived from the National Institute of Standards and Technology (NIST) 800-53 and related documents. Comments or proposed revisions to this document should be sent via email to the following address: disa.stig_spt@mail.mil.","3","5 ","14 Nov 2022","Release: 5 Benchmark Date: 14 Nov 2022","STIG.DOD.MIL","terms-of-use","V-226033","SV-226033r794811_rule","WN12-00-000007","medium","CAT II","","SRG-OS-000480-GPOS-00227","Windows 2012/2012 R2 password for the built-in Administrator account must be changed at least annually or when a member of the administrative team leaves the organization.","<VulnDiscussion>The longer a password is in use, the greater the opportunity for someone to gain unauthorized knowledge of the password. The password for the built-in Administrator account must be changed at least annually or when any member of the administrative team leaves the organization.

It is highly recommended to use Microsoft's Local Administrator Password Solution (LAPS). Domain-joined systems can configure this to occur more frequently. LAPS will change the password every ""30"" days by default. The AO still has the overall authority to use another equivalent capability to accomplish the check.</VulnDiscussion><FalsePositives></FalsePositives><FalseNegatives></FalseNegatives><Documentable>false</Documentable><Mitigations></Mitigations><SeverityOverrideGuidance></SeverityOverrideGuidance><PotentialImpacts></PotentialImpacts><ThirdPartyTools></ThirdPartyTools><MitigationControl></MitigationControl><Responsibility></Responsibility><IAControls></IAControls>","The longer a password is in use, the greater the opportunity for someone to gain unauthorized knowledge of the password. The password for the built-in Administrator account must be changed at least annually or when any member of the administrative team leaves the organization.

It is highly recommended to use Microsoft's Local Administrator Password Solution (LAPS). Domain-joined systems can configure this to occur more frequently. LAPS will change the password every ""30"" days by default. The AO still has the overall authority to use another equivalent capability to accomplish the check.","","","false","","","","","","","","Review the password last set date for the built-in Administrator account.

Domain controllers:

Open ""Windows PowerShell"".

Enter ""Get-ADUser -Filter * -Properties SID, PasswordLastSet | Where SID -Like ""*-500"" | FL Name, SID, PasswordLastSet"".

If the ""PasswordLastSet"" date is greater than one year old, this is a finding.

Member servers and standalone systems:

Open ""Windows PowerShell"" or ""Command Prompt"".

Enter 'Net User [account name] | Find /i ""Password Last Set""', where [account name] is the name of the built-in administrator account.

(The name of the built-in Administrator account must be changed to something other than ""Administrator"" per STIG requirements.)

If the ""PasswordLastSet"" date is greater than one year old, this is a finding.","Change the built-in Administrator account password at least annually or whenever an administrator leaves the organization. More frequent changes are recommended.

It is highly recommended to use Microsoft's LAPS, which may be used on domain-joined member servers to accomplish this.","SV-52942,V-14225,CCI-000366"
"Microsoft Windows Server 2012/2012 R2 Domain Controller Security Technical Implementation Guide","This Security Technical Implementation Guide is published as a tool to improve the security of Department of Defense (DoD) information systems. The requirements are derived from the National Institute of Standards and Technology (NIST) 800-53 and related documents. Comments or proposed revisions to this document should be sent via email to the following address: disa.stig_spt@mail.mil.","3","5 ","14 Nov 2022","Release: 5 Benchmark Date: 14 Nov 2022","STIG.DOD.MIL","terms-of-use","V-226034","SV-226034r794692_rule","WN12-00-000008","high","CAT I","","SRG-OS-000480-GPOS-00227","Administrative accounts must not be used with applications that access the Internet, such as web browsers, or with potential Internet sources, such as email.","<VulnDiscussion>Using applications that access the Internet or have potential Internet sources using administrative privileges exposes a system to compromise.  If a flaw in an application is exploited while running as a privileged user, the entire system could be compromised.  Web browsers and email are common attack vectors for introducing malicious code and must not be run with an administrative account.

Since administrative accounts may generally change or work around technical restrictions for running a web browser or other applications, it is essential that policy requires administrative accounts to not access the Internet or use applications, such as email.

The policy should define specific exceptions for local service administration.  These exceptions may include HTTP(S)-based tools that are used for the administration of the local system, services, or attached devices.

Technical means such as application whitelisting can be used to enforce the policy to ensure compliance.</VulnDiscussion><FalsePositives></FalsePositives><FalseNegatives></FalseNegatives><Documentable>false</Documentable><Mitigations></Mitigations><SeverityOverrideGuidance></SeverityOverrideGuidance><PotentialImpacts></PotentialImpacts><ThirdPartyTools></ThirdPartyTools><MitigationControl></MitigationControl><Responsibility></Responsibility><IAControls></IAControls>","Using applications that access the Internet or have potential Internet sources using administrative privileges exposes a system to compromise.  If a flaw in an application is exploited while running as a privileged user, the entire system could be compromised.  Web browsers and email are common attack vectors for introducing malicious code and must not be run with an administrative account.

Since administrative accounts may generally change or work around technical restrictions for running a web browser or other applications, it is essential that policy requires administrative accounts to not access the Internet or use applications, such as email.

The policy should define specific exceptions for local service administration.  These exceptions may include HTTP(S)-based tools that are used for the administration of the local system, services, or attached devices.

Technical means such as application whitelisting can be used to enforce the policy to ensure compliance.","","","false","","","","","","","","Determine whether administrative accounts are prevented from using applications that access the Internet, such as web browsers, or with potential Internet sources, such as email, except as necessary for local service administration.

The organization must have a policy that prohibits administrative accounts from using applications that access the Internet, such as web browsers, or with potential Internet sources, such as email, except as necessary for local service administration.  The policy should define specific exceptions for local service administration. These exceptions may include HTTP(S)-based tools that are used for the administration of the local system, services, or attached devices.

Technical measures such as the removal of applications or application whitelisting must be used where feasible to prevent the use of applications that access the Internet.  

If accounts with administrative privileges are not prevented from using applications that access the Internet or with potential Internet sources, this is a finding.","Establish and enforce a policy that prohibits administrative accounts from using applications that access the Internet, such as web browsers, or with potential Internet sources, such as email.  Define specific exceptions for local service administration. These exceptions may include HTTP(S)-based tools that are used for the administration of the local system, services, or attached devices.

Implement technical measures where feasible such as removal of applications or use of application whitelisting to restrict the use of applications that can access the Internet.","SV-51578,V-36451,CCI-000366"
"Microsoft Windows Server 2012/2012 R2 Domain Controller Security Technical Implementation Guide","This Security Technical Implementation Guide is published as a tool to improve the security of Department of Defense (DoD) information systems. The requirements are derived from the National Institute of Standards and Technology (NIST) 800-53 and related documents. Comments or proposed revisions to this document should be sent via email to the following address: disa.stig_spt@mail.mil.","3","5 ","14 Nov 2022","Release: 5 Benchmark Date: 14 Nov 2022","STIG.DOD.MIL","terms-of-use","V-226035","SV-226035r794374_rule","WN12-00-000009-01","medium","CAT II","","SRG-OS-000480-GPOS-00227","Members of the Backup Operators group must be documented.","<VulnDiscussion>Backup Operators are able to read and write to any file in the system, regardless of the rights assigned to it.  Backup and restore rights permit users to circumvent the file access restrictions present on NTFS disk drives for backup and restore purposes.  Visibility of members of the Backup Operators group must be maintained.</VulnDiscussion><FalsePositives></FalsePositives><FalseNegatives></FalseNegatives><Documentable>false</Documentable><Mitigations></Mitigations><SeverityOverrideGuidance></SeverityOverrideGuidance><PotentialImpacts></PotentialImpacts><ThirdPartyTools></ThirdPartyTools><MitigationControl></MitigationControl><Responsibility></Responsibility><IAControls></IAControls>","Backup Operators are able to read and write to any file in the system, regardless of the rights assigned to it.  Backup and restore rights permit users to circumvent the file access restrictions present on NTFS disk drives for backup and restore purposes.  Visibility of members of the Backup Operators group must be maintained.","","","false","","","","","","","","If no accounts are members of the Backup Operators group, this is NA.

Any accounts that are members of the Backup Operators group, including application accounts, must be documented with the ISSO.  If documentation of accounts that are members of the Backup Operators group is not maintained this is a finding.","Create the necessary documentation that identifies the members of the Backup Operators group.","SV-52156,V-1168,CCI-000366"
"Microsoft Windows Server 2012/2012 R2 Domain Controller Security Technical Implementation Guide","This Security Technical Implementation Guide is published as a tool to improve the security of Department of Defense (DoD) information systems. The requirements are derived from the National Institute of Standards and Technology (NIST) 800-53 and related documents. Comments or proposed revisions to this document should be sent via email to the following address: disa.stig_spt@mail.mil.","3","5 ","14 Nov 2022","Release: 5 Benchmark Date: 14 Nov 2022","STIG.DOD.MIL","terms-of-use","V-226036","SV-226036r794375_rule","WN12-00-000009-02","medium","CAT II","","SRG-OS-000480-GPOS-00227","Members of the Backup Operators group must have separate accounts for backup duties and normal operational tasks.","<VulnDiscussion>Backup Operators are able to read and write to any file in the system, regardless of the rights assigned to it.  Backup and restore rights permit users to circumvent the file access restrictions present on NTFS disk drives for backup and restore purposes.  Members of the Backup Operators group must have separate logon accounts for performing backup duties.</VulnDiscussion><FalsePositives></FalsePositives><FalseNegatives></FalseNegatives><Documentable>false</Documentable><Mitigations></Mitigations><SeverityOverrideGuidance></SeverityOverrideGuidance><PotentialImpacts></PotentialImpacts><ThirdPartyTools></ThirdPartyTools><MitigationControl></MitigationControl><Responsibility></Responsibility><IAControls></IAControls>","Backup Operators are able to read and write to any file in the system, regardless of the rights assigned to it.  Backup and restore rights permit users to circumvent the file access restrictions present on NTFS disk drives for backup and restore purposes.  Members of the Backup Operators group must have separate logon accounts for performing backup duties.","","","false","","","","","","","","If no accounts are members of the Backup Operators group, this is NA.

Verify users with accounts in the Backup Operators group have a separate user account for backup functions and for performing normal user tasks.  If users with accounts in the Backup Operators group do not have separate accounts for backup functions and standard user functions, this is a finding.","Ensure each member of the Backup Operators group has separate accounts for backup functions and standard user functions.","SV-52157,V-40198,CCI-000366"
"Microsoft Windows Server 2012/2012 R2 Domain Controller Security Technical Implementation Guide","This Security Technical Implementation Guide is published as a tool to improve the security of Department of Defense (DoD) information systems. The requirements are derived from the National Institute of Standards and Technology (NIST) 800-53 and related documents. Comments or proposed revisions to this document should be sent via email to the following address: disa.stig_spt@mail.mil.","3","5 ","14 Nov 2022","Release: 5 Benchmark Date: 14 Nov 2022","STIG.DOD.MIL","terms-of-use","V-226037","SV-226037r794297_rule","WN12-00-000010","medium","CAT II","","SRG-OS-000078-GPOS-00046","Policy must require application account passwords be at least 15 characters in length.","<VulnDiscussion>Application/service account passwords must be of sufficient length to prevent being easily cracked.  Application/service accounts that are manually managed must have passwords at least 15 characters in length.</VulnDiscussion><FalsePositives></FalsePositives><FalseNegatives></FalseNegatives><Documentable>false</Documentable><Mitigations></Mitigations><SeverityOverrideGuidance></SeverityOverrideGuidance><PotentialImpacts></PotentialImpacts><ThirdPartyTools></ThirdPartyTools><MitigationControl></MitigationControl><Responsibility></Responsibility><IAControls></IAControls>","Application/service account passwords must be of sufficient length to prevent being easily cracked.  Application/service accounts that are manually managed must have passwords at least 15 characters in length.","","","false","","","","","","","","Verify the site has a policy to ensure passwords for manually managed application/service accounts are at least 15 characters in length.  If such a policy does not exist or has not been implemented, this is a finding.","Establish a site policy that requires application/service account passwords that are manually managed to be at least 15 characters in length.  Ensure the policy is enforced.","V-36661,SV-51579,CCI-000205"
"Microsoft Windows Server 2012/2012 R2 Domain Controller Security Technical Implementation Guide","This Security Technical Implementation Guide is published as a tool to improve the security of Department of Defense (DoD) information systems. The requirements are derived from the National Institute of Standards and Technology (NIST) 800-53 and related documents. Comments or proposed revisions to this document should be sent via email to the following address: disa.stig_spt@mail.mil.","3","5 ","14 Nov 2022","Release: 5 Benchmark Date: 14 Nov 2022","STIG.DOD.MIL","terms-of-use","V-226038","SV-226038r794376_rule","WN12-00-000011","medium","CAT II","","SRG-OS-000480-GPOS-00227","Windows 2012/2012 R2 manually managed application account passwords must be changed at least annually or when a system administrator with knowledge of the password leaves the organization.","<VulnDiscussion>Setting application accounts to expire may cause applications to stop functioning. However, not changing them on a regular basis exposes them to attack. If managed service accounts are used, this alleviates the need to manually change application account passwords.</VulnDiscussion><FalsePositives></FalsePositives><FalseNegatives></FalseNegatives><Documentable>false</Documentable><Mitigations></Mitigations><SeverityOverrideGuidance></SeverityOverrideGuidance><PotentialImpacts></PotentialImpacts><ThirdPartyTools></ThirdPartyTools><MitigationControl></MitigationControl><Responsibility></Responsibility><IAControls></IAControls>","Setting application accounts to expire may cause applications to stop functioning. However, not changing them on a regular basis exposes them to attack. If managed service accounts are used, this alleviates the need to manually change application account passwords.","","","false","","","","","","","","Determine if manually managed application/service accounts exist. If none exist, this is NA.

If passwords for manually managed application/service accounts are not changed at least annually or when an administrator with knowledge of the password leaves the organization, this is a finding.

Identify manually managed application/service accounts.

To determine the date a password was last changed:

Domain controllers:

Open ""Windows PowerShell"".

Enter ""Get-ADUser -Identity [application account name] -Properties PasswordLastSet | FL Name, PasswordLastSet"", where [application account name] is the name of the manually managed application/service account.

If the ""PasswordLastSet"" date is more than one year old, this is a finding.

Member servers and standalone systems:

Open ""Windows PowerShell"" or ""Command Prompt"".

Enter 'Net User [application account name] | Find /i ""Password Last Set""', where [application account name] is the name of the manually managed application/service account.

If the ""Password Last Set"" date is more than one year old, this is a finding.","Change passwords for manually managed application/service accounts at least annually or when an administrator with knowledge of the password leaves the organization.

It is recommended that system-managed service accounts be used where possible.","SV-51580,V-36662,CCI-000366"
