"Title","Description","Version","Release","BenchmarkDate","ReleaseInfo","Source","Notice","Rule_VulnID","Rule_RuleID","Rule_StigID","Rule_Severity","Rule_Cat","Rule_Classification","Rule_GroupTitle","Rule_RuleTitle","Rule_Description","Rule_VulnDiscussion","Rule_FalsePositives","Rule_FalseNegatives","Rule_Documentable","Rule_Mitigations","Rule_SeverityOverrideGuidance","Rule_PotentialImpacts","Rule_ThirdPartyTools","Rule_MitigationControl","Rule_Responsibility","Rule_IAControls","Rule_CheckText","Rule_FixText","Rule_CCI"
"Riverbed SteelHead CX v8 NDM Security Technical Implementation Guide","This Security Technical Implementation Guide is published as a tool to improve the security of Department of Defense (DoD) information systems. The requirements are derived from the National Institute of Standards and Technology (NIST) 800-53 and related documents. Comments or proposed revisions to this document should be sent via e-mail to the following address: disa.stig_spt@mail.mil.","1","2 ","25 Oct 2019","Release: 2 Benchmark Date: 25 Oct 2019","STIG.DOD.MIL","terms-of-use","V-62789","SV-77279r1_rule","RICX-DM-000001","medium","CAT II","","SRG-APP-000023-NDM-000205","Riverbed Optimization System (RiOS) must provide automated support for account management functions.","<VulnDiscussion>Account management functions include: assignment of group or role membership; identifying account type; specifying user access authorizations (i.e., privileges); account removal, update, or termination; and administrative alerts. The network device must be configured to automatically provide account management functions, and these functions must immediately enforce the organization's current account policy.

All accounts used for access to the network device are privileged or system-level accounts. Therefore, if account management functions are not automatically enforced, an attacker could gain privileged access to a vital element of the network security architecture.

This control does not include emergency administration accounts that provide access to the network device components in case of network failure. There must be only one such locally defined account.

All other accounts must be defined. All other accounts must be created and managed on the site's authentication server (e.g., RADIUS, LDAP, or Active Directory). This requirement is applicable to account management functions provided by the network device application. If the function is provided by the underlying OS or an authentication server, it must be secured using the applicable security guide or STIG.</VulnDiscussion><FalsePositives></FalsePositives><FalseNegatives></FalseNegatives><Documentable>false</Documentable><Mitigations></Mitigations><SeverityOverrideGuidance></SeverityOverrideGuidance><PotentialImpacts></PotentialImpacts><ThirdPartyTools></ThirdPartyTools><MitigationControl></MitigationControl><Responsibility></Responsibility><IAControls></IAControls>","Account management functions include: assignment of group or role membership; identifying account type; specifying user access authorizations (i.e., privileges); account removal, update, or termination; and administrative alerts. The network device must be configured to automatically provide account management functions, and these functions must immediately enforce the organization's current account policy.

All accounts used for access to the network device are privileged or system-level accounts. Therefore, if account management functions are not automatically enforced, an attacker could gain privileged access to a vital element of the network security architecture.

This control does not include emergency administration accounts that provide access to the network device components in case of network failure. There must be only one such locally defined account.

All other accounts must be defined. All other accounts must be created and managed on the site's authentication server (e.g., RADIUS, LDAP, or Active Directory). This requirement is applicable to account management functions provided by the network device application. If the function is provided by the underlying OS or an authentication server, it must be secured using the applicable security guide or STIG.","","","false","","","","","","","","Verify that RiOS provides automated support for account management.

Navigate to the device Management Console
Navigate to:
Configure >> Security >> User Permissions

Verify user permissions are defined here.

If the account management is not set, this is a finding.","Configure RiOS account management functions.

Navigate to the device Management Console, then
Navigate to:
Configure >> Security >> User Permissions

Set values for the user account.

Click ""Save"" to save these settings permanently.","CCI-000015"
"Riverbed SteelHead CX v8 NDM Security Technical Implementation Guide","This Security Technical Implementation Guide is published as a tool to improve the security of Department of Defense (DoD) information systems. The requirements are derived from the National Institute of Standards and Technology (NIST) 800-53 and related documents. Comments or proposed revisions to this document should be sent via e-mail to the following address: disa.stig_spt@mail.mil.","1","2 ","25 Oct 2019","Release: 2 Benchmark Date: 25 Oct 2019","STIG.DOD.MIL","terms-of-use","V-62835","SV-77325r1_rule","RICX-DM-000002","medium","CAT II","","SRG-APP-000317-NDM-000282","Riverbed Optimization System (RiOS) must terminate local shared/group account credentials, such as the Admin account is used, when members who know the account password leave the group.","<VulnDiscussion>If shared/group account credentials are not terminated when individuals leave the group, the user that left the group can still gain access even though they are no longer authorized. 

A shared/group account credential is a shared form of authentication that allows multiple individuals to access the network device using a single account. There may also be instances when specific user actions need to be performed on the network device without unique administrator identification or authentication. Examples include system accounts, account of last resort, accounts used for testing/maintenance, and shared secrets that are configured on the administrator's workstation.

When users with knowledge of the account of last resort or default accounts are no longer authorized, account credentials must be changed in accordance with DoD policy.</VulnDiscussion><FalsePositives></FalsePositives><FalseNegatives></FalseNegatives><Documentable>false</Documentable><Mitigations></Mitigations><SeverityOverrideGuidance></SeverityOverrideGuidance><PotentialImpacts></PotentialImpacts><ThirdPartyTools></ThirdPartyTools><MitigationControl></MitigationControl><Responsibility></Responsibility><IAControls></IAControls>","If shared/group account credentials are not terminated when individuals leave the group, the user that left the group can still gain access even though they are no longer authorized. 

A shared/group account credential is a shared form of authentication that allows multiple individuals to access the network device using a single account. There may also be instances when specific user actions need to be performed on the network device without unique administrator identification or authentication. Examples include system accounts, account of last resort, accounts used for testing/maintenance, and shared secrets that are configured on the administrator's workstation.

When users with knowledge of the account of last resort or default accounts are no longer authorized, account credentials must be changed in accordance with DoD policy.","","","false","","","","","","","","Verify RiOS is configured to protect the confidentiality and integrity of system information at rest.

Navigate to the Device Management Console
Set the ""Username"" to ""admin""
Set the ""Password"" to ""password""
Click ""Log In""

If login occurs and administrative access is allowed, this is a finding.","Configure RiOS to protect the confidentiality and integrity of system information at rest.

Navigate to the Device Management Console
Set the ""Username"" to ""admin""
Set the ""Password"" to ""password""
Click ""Log In""

Navigate to Configure >> My Account
Select ""Change Password""
Enter new password in ""New Password:""
Enter new password in ""Confirm New Password""
Click ""Apply""
Navigate to the top right of the screen and click ""Logout"" to exit the current session

Navigate to the Device Management Console
Set the ""Username"" to ""admin""
Set the ""Password"" to the new password
Click ""Log In""
Verify that the administrator obtains access to the Device Management Console Home Page

Navigate to the top right of the screen and click ""Logout"" to exit the current session","CCI-002142"
"Riverbed SteelHead CX v8 NDM Security Technical Implementation Guide","This Security Technical Implementation Guide is published as a tool to improve the security of Department of Defense (DoD) information systems. The requirements are derived from the National Institute of Standards and Technology (NIST) 800-53 and related documents. Comments or proposed revisions to this document should be sent via e-mail to the following address: disa.stig_spt@mail.mil.","1","2 ","25 Oct 2019","Release: 2 Benchmark Date: 25 Oct 2019","STIG.DOD.MIL","terms-of-use","V-62837","SV-77327r1_rule","RICX-DM-000003","medium","CAT II","","SRG-APP-000317-NDM-000282","Riverbed Optimization System (RiOS) must disable the local Shark and Monitor accounts so they cannot be used as shared accounts by users.","<VulnDiscussion>The Monitor and Shark accounts which are default group accounts with shared credentials. Monitor and Shark accounts are not enabled by default, but cannot be deleted since these network tools are designed to look for that account. Monitor is a read-only account for auditor's configuration management. Shark is used to access packet captures. If the credentials for these accounts are changed, the function of the system will not be adversely impacted.</VulnDiscussion><FalsePositives></FalsePositives><FalseNegatives></FalseNegatives><Documentable>false</Documentable><Mitigations></Mitigations><SeverityOverrideGuidance></SeverityOverrideGuidance><PotentialImpacts></PotentialImpacts><ThirdPartyTools></ThirdPartyTools><MitigationControl></MitigationControl><Responsibility></Responsibility><IAControls></IAControls>","The Monitor and Shark accounts which are default group accounts with shared credentials. Monitor and Shark accounts are not enabled by default, but cannot be deleted since these network tools are designed to look for that account. Monitor is a read-only account for auditor's configuration management. Shark is used to access packet captures. If the credentials for these accounts are changed, the function of the system will not be adversely impacted.","","","false","","","","","","","","Verify that RiOS is configured to the assigned privilege level for each administrator.

Navigate to the device Management Console
Navigate to Configure >> Security >> User Permissions

Verify the privilege level values for Shark and Monitor

If all privileges for the Shark and Monitor accounts are not set to Deny, this is a finding.","Configure RiOS to enforce assigned privilege level for each administrator in accordance with site documented requirements.

Navigate to the device Management Console
Navigate to Configure >> Security >> User Permissions

Remove all values of ""Roles and Permissions"" for the Monitor and Shark accounts

Click ""Apply"" to save the changes
Navigate to the top of the web page and click ""Save"" to write changes to memory","CCI-002142"
"Riverbed SteelHead CX v8 NDM Security Technical Implementation Guide","This Security Technical Implementation Guide is published as a tool to improve the security of Department of Defense (DoD) information systems. The requirements are derived from the National Institute of Standards and Technology (NIST) 800-53 and related documents. Comments or proposed revisions to this document should be sent via e-mail to the following address: disa.stig_spt@mail.mil.","1","2 ","25 Oct 2019","Release: 2 Benchmark Date: 25 Oct 2019","STIG.DOD.MIL","terms-of-use","V-62839","SV-77329r1_rule","RICX-DM-000007","low","CAT III","","SRG-APP-000026-NDM-000208","Riverbed Optimization System (RiOS) must automatically generate a log event for account creation events.","<VulnDiscussion>Upon gaining access to a network device, an attacker will often first attempt to create a persistent method of reestablishing access. One way to accomplish this is to create a new account. Notification of account creation helps to mitigate this risk. Auditing account creation provides the necessary reconciliation that account management procedures are being followed. Without this audit trail, personnel without the proper authorization may gain access to critical network nodes.</VulnDiscussion><FalsePositives></FalsePositives><FalseNegatives></FalseNegatives><Documentable>false</Documentable><Mitigations></Mitigations><SeverityOverrideGuidance></SeverityOverrideGuidance><PotentialImpacts></PotentialImpacts><ThirdPartyTools></ThirdPartyTools><MitigationControl></MitigationControl><Responsibility></Responsibility><IAControls></IAControls>","Upon gaining access to a network device, an attacker will often first attempt to create a persistent method of reestablishing access. One way to accomplish this is to create a new account. Notification of account creation helps to mitigate this risk. Auditing account creation provides the necessary reconciliation that account management procedures are being followed. Without this audit trail, personnel without the proper authorization may gain access to critical network nodes.","","","false","","","","","","","","Verify that RiOS is configured to generate a log event for account creation events.

Create an account
Navigate to the device Management Console, then
Navigate to:
Reports >> Diagnostics >> System Logs
Enter the account name into the filter and click Go
Delete the account that was created

If no event record for the user creation action exists in the event log, this is a finding.","Configure RiOS to generate a log event for account creation events.

Navigate to the device Management Console, then
Navigate to:
Configure >> System Settings >> Logging

Under Configuration, set minimum severity to Info","CCI-000018"
"Riverbed SteelHead CX v8 NDM Security Technical Implementation Guide","This Security Technical Implementation Guide is published as a tool to improve the security of Department of Defense (DoD) information systems. The requirements are derived from the National Institute of Standards and Technology (NIST) 800-53 and related documents. Comments or proposed revisions to this document should be sent via e-mail to the following address: disa.stig_spt@mail.mil.","1","2 ","25 Oct 2019","Release: 2 Benchmark Date: 25 Oct 2019","STIG.DOD.MIL","terms-of-use","V-62841","SV-77331r1_rule","RICX-DM-000008","low","CAT III","","SRG-APP-000027-NDM-000209","Riverbed Optimization System (RiOS) must automatically log event for account modification.","<VulnDiscussion>Since the accounts in the network device are privileged or system-level accounts, account management is vital to the security of the network device. Account management by a designated authority ensures access to the network device is being controlled in a secure manner by granting access to only authorized personnel with the appropriate and necessary privileges. Auditing account modification along with an automatic notification to appropriate individuals will provide the necessary reconciliation that account management procedures are being followed. If modifications to management accounts are not audited, reconciliation of account management procedures cannot be tracked.</VulnDiscussion><FalsePositives></FalsePositives><FalseNegatives></FalseNegatives><Documentable>false</Documentable><Mitigations></Mitigations><SeverityOverrideGuidance></SeverityOverrideGuidance><PotentialImpacts></PotentialImpacts><ThirdPartyTools></ThirdPartyTools><MitigationControl></MitigationControl><Responsibility></Responsibility><IAControls></IAControls>","Since the accounts in the network device are privileged or system-level accounts, account management is vital to the security of the network device. Account management by a designated authority ensures access to the network device is being controlled in a secure manner by granting access to only authorized personnel with the appropriate and necessary privileges. Auditing account modification along with an automatic notification to appropriate individuals will provide the necessary reconciliation that account management procedures are being followed. If modifications to management accounts are not audited, reconciliation of account management procedures cannot be tracked.","","","false","","","","","","","","Verify that RiOS is configured to generate a log event for account creation events.

Create an account
Modify this user account
Navigate to the device Management Console, then
Navigate to:
Reports >> Diagnostics >> System Logs
Enter the account name into the filter and click Go
Delete the account that was created

If no event record for the user creation action exists in the event log, this is a finding.","Configure RiOS to generate a log event for account creation events.

Navigate to the device Management Console, then
Navigate to:
Configure >> System Settings >> Logging

Under Configuration, set minimum severity to Info
Click ""Save""

(The actual level for these messages is Notifications; however, other settings in this STIG call for the Info level and only one can be selected.)","CCI-001403"
"Riverbed SteelHead CX v8 NDM Security Technical Implementation Guide","This Security Technical Implementation Guide is published as a tool to improve the security of Department of Defense (DoD) information systems. The requirements are derived from the National Institute of Standards and Technology (NIST) 800-53 and related documents. Comments or proposed revisions to this document should be sent via e-mail to the following address: disa.stig_spt@mail.mil.","1","2 ","25 Oct 2019","Release: 2 Benchmark Date: 25 Oct 2019","STIG.DOD.MIL","terms-of-use","V-62843","SV-77333r1_rule","RICX-DM-000009","low","CAT III","","SRG-APP-000028-NDM-000210","Riverbed Optimization System (RiOS) must automatically generate a log event for account disabling actions.","<VulnDiscussion>Account management, as a whole, ensures access to the network device is being controlled in a secure manner by granting access to only authorized personnel. Auditing account disabling actions will support account management procedures. When device management accounts are disabled, user or service accessibility may be affected. Auditing also ensures authorized active accounts remain enabled and available for use when required.</VulnDiscussion><FalsePositives></FalsePositives><FalseNegatives></FalseNegatives><Documentable>false</Documentable><Mitigations></Mitigations><SeverityOverrideGuidance></SeverityOverrideGuidance><PotentialImpacts></PotentialImpacts><ThirdPartyTools></ThirdPartyTools><MitigationControl></MitigationControl><Responsibility></Responsibility><IAControls></IAControls>","Account management, as a whole, ensures access to the network device is being controlled in a secure manner by granting access to only authorized personnel. Auditing account disabling actions will support account management procedures. When device management accounts are disabled, user or service accessibility may be affected. Auditing also ensures authorized active accounts remain enabled and available for use when required.","","","false","","","","","","","","Verify that RiOS is configured to generate a log event for account creation events.

Create an account
To disable an account
Navigate to the device Management Console, then
Navigate to:
Configure >> Security >> User >> Permissions
Deselect Enable Account
Click ""Apply""

Navigate to the device Management Console, then
Navigate to:
Reports >> Diagnostics >> System Logs
Enter the account name into the filter and click Go
Delete the account that was created

If no event record for the user disabling action exists in the event log, this is a finding.","Configure RiOS to generate a log event for account disabling actions.

Navigate to the device Management Console, then
Navigate to:
Configure >> System Settings >> Logging

Under Configuration, set minimum severity to Info 
Click ""Save""

Under Configuration, set minimum severity to Info.","CCI-001404"
"Riverbed SteelHead CX v8 NDM Security Technical Implementation Guide","This Security Technical Implementation Guide is published as a tool to improve the security of Department of Defense (DoD) information systems. The requirements are derived from the National Institute of Standards and Technology (NIST) 800-53 and related documents. Comments or proposed revisions to this document should be sent via e-mail to the following address: disa.stig_spt@mail.mil.","1","2 ","25 Oct 2019","Release: 2 Benchmark Date: 25 Oct 2019","STIG.DOD.MIL","terms-of-use","V-62845","SV-77335r1_rule","RICX-DM-000010","low","CAT III","","SRG-APP-000029-NDM-000211","Riverbed Optimization System (RiOS) must automatically generate a log event for account removal actions.","<VulnDiscussion>Account management, as a whole, ensures access to the network device is being controlled in a secure manner by granting access to only authorized personnel. Auditing account removal actions will support account management procedures. When device management accounts are terminated, user or service accessibility may be affected. Auditing also ensures authorized active accounts remain enabled and available for use when required.</VulnDiscussion><FalsePositives></FalsePositives><FalseNegatives></FalseNegatives><Documentable>false</Documentable><Mitigations></Mitigations><SeverityOverrideGuidance></SeverityOverrideGuidance><PotentialImpacts></PotentialImpacts><ThirdPartyTools></ThirdPartyTools><MitigationControl></MitigationControl><Responsibility></Responsibility><IAControls></IAControls>","Account management, as a whole, ensures access to the network device is being controlled in a secure manner by granting access to only authorized personnel. Auditing account removal actions will support account management procedures. When device management accounts are terminated, user or service accessibility may be affected. Auditing also ensures authorized active accounts remain enabled and available for use when required.","","","false","","","","","","","","Verify that RiOS is configured to generate a log event for account creation events.

Create an account
To disable an account
Navigate to the device Management Console, then
Navigate to:
Configure >> Security >> User >> Permissions
Select the account to be removed 
Click Remove Selected Account

Navigate to the device Management Console, then
Navigate to:
Reports >> Diagnostics >> System Logs
Enter the account name into the filter and click ""Go""
Delete the account that was created.

If no event record for the user removal action exists in the event log, this is a finding.","Configure RiOS to generate a log event for account disabling actions.

Navigate to the device Management Console, then
Navigate to:
Configure >> System Settings >> Logging

Under Configuration, set minimum severity to Info 
Click ""Save""

Under Configuration, set minimum severity to Info.","CCI-001405"
"Riverbed SteelHead CX v8 NDM Security Technical Implementation Guide","This Security Technical Implementation Guide is published as a tool to improve the security of Department of Defense (DoD) information systems. The requirements are derived from the National Institute of Standards and Technology (NIST) 800-53 and related documents. Comments or proposed revisions to this document should be sent via e-mail to the following address: disa.stig_spt@mail.mil.","1","2 ","25 Oct 2019","Release: 2 Benchmark Date: 25 Oct 2019","STIG.DOD.MIL","terms-of-use","V-62847","SV-77337r2_rule","RICX-DM-000011","medium","CAT II","","SRG-APP-000291-NDM-000275","Riverbed Optimization System (RiOS) must generate alerts that can be forwarded to the administrators and ISSO when local accounts are created.","<VulnDiscussion>An authorized insider or individual who maliciously creates a local account could gain immediate access from a remote location to privileged information on a critical security device. Sending an alert to the administrators and ISSO when this action occurs greatly reduces the risk that accounts will be surreptitiously created.

RiOS can be configured to send an SNMP trap to the SNMP server. It also sends a message to the Syslog and the local log. Either of these methods results in an alert that can be forwarded to authorized accounts.</VulnDiscussion><FalsePositives></FalsePositives><FalseNegatives></FalseNegatives><Documentable>false</Documentable><Mitigations></Mitigations><SeverityOverrideGuidance></SeverityOverrideGuidance><PotentialImpacts></PotentialImpacts><ThirdPartyTools></ThirdPartyTools><MitigationControl></MitigationControl><Responsibility></Responsibility><IAControls></IAControls>","An authorized insider or individual who maliciously creates a local account could gain immediate access from a remote location to privileged information on a critical security device. Sending an alert to the administrators and ISSO when this action occurs greatly reduces the risk that accounts will be surreptitiously created.

RiOS can be configured to send an SNMP trap to the SNMP server. It also sends a message to the Syslog and the local log. Either of these methods results in an alert that can be forwarded to authorized accounts.","","","false","","","","","","","","Verify that RiOS captures an SNMP trap for user creation events that can be sent to the ISSO and designated administrators by the SNMP server.
Navigate to the device Management Console
Navigate to Configure >> System Settings >> Email

Verify that an SMTP Server is defined
Verify that an SMTP Port is defined
Verify that ""Report Events via Email"" is checked and that at least one email address is defined
Verify that ""Report Failures via Email"" is checked and that at least one email address is defined

If an email for the ISSO and the system administrator accounts are not defined, this is a finding.","Configure RiOS to capture an SNMP trap for user creation events that can be sent to the ISSO and designated administrators by the SNMP server.

Navigate to the device Management Console
Navigate to Configure >> System Settings >> Email

Enter an SMTP Server name
Enter n SMTP Port number
Check ""Report Events via Email"" and enter at least one email address
Check ""Report Failures via Email"" and enter at least one email address","CCI-001683"
"Riverbed SteelHead CX v8 NDM Security Technical Implementation Guide","This Security Technical Implementation Guide is published as a tool to improve the security of Department of Defense (DoD) information systems. The requirements are derived from the National Institute of Standards and Technology (NIST) 800-53 and related documents. Comments or proposed revisions to this document should be sent via e-mail to the following address: disa.stig_spt@mail.mil.","1","2 ","25 Oct 2019","Release: 2 Benchmark Date: 25 Oct 2019","STIG.DOD.MIL","terms-of-use","V-62849","SV-77339r1_rule","RICX-DM-000012","low","CAT III","","SRG-APP-000292-NDM-000276","Riverbed Optimization System (RiOS) must generate alerts that can be forwarded to the administrators and ISSO when accounts are modified.","<VulnDiscussion>Once an attacker establishes initial access to a system, the attacker often attempts to create a persistent method of reestablishing access. One way to accomplish this is for the attacker to simply modify an existing account. Notification of account modification is one method for mitigating this risk. A comprehensive account management process will ensure an audit trail which documents the modification of device administrator accounts and notifies administrators and Information System Security Officers (ISSO). Such a process greatly reduces the risk that accounts will be surreptitiously modified and provides logging that can be used for forensic purposes.

The network device must generate the alert. Notification may be done by a management server.</VulnDiscussion><FalsePositives></FalsePositives><FalseNegatives></FalseNegatives><Documentable>false</Documentable><Mitigations></Mitigations><SeverityOverrideGuidance></SeverityOverrideGuidance><PotentialImpacts></PotentialImpacts><ThirdPartyTools></ThirdPartyTools><MitigationControl></MitigationControl><Responsibility></Responsibility><IAControls></IAControls>","Once an attacker establishes initial access to a system, the attacker often attempts to create a persistent method of reestablishing access. One way to accomplish this is for the attacker to simply modify an existing account. Notification of account modification is one method for mitigating this risk. A comprehensive account management process will ensure an audit trail which documents the modification of device administrator accounts and notifies administrators and Information System Security Officers (ISSO). Such a process greatly reduces the risk that accounts will be surreptitiously modified and provides logging that can be used for forensic purposes.

The network device must generate the alert. Notification may be done by a management server.","","","false","","","","","","","","Verify that RiOS uses automated mechanisms to alert security personnel to threats identified by authoritative sources.

Navigate to the device Management Console
Navigate to Configure >> System Settings >> SNMP Basic

Verify that Host Servers are defined in the section ""Trap Receivers""

If there are no Host Servers defined in ""Trap Receivers"", this is a finding.","Configure RiOS to use automated mechanisms to alert security personnel to threats identified by authoritative sources.

Navigate to the device Management Console
Navigate to Configure >> System Settings >> SNMP Basic
Click ""Add a New Trap Receiver""
Set ""Receiver IP Address"" to the address of the trap receiver
Set ""Destination Port:"" to the port that the Trap Receiver is listening on
Set ""Receiver Type:"" to v3
Set ""Remote User:"" to the user name on the Trap Receiver
Set ""Authentication:"" to <Supply a key based>
Set ""Authentication Protocol:"" to SHA 
SHA Key: <enter the SHA key>
Set ""Security Level:"" to Auth/Priv
Set ""Privacy Protocol:"" to ""AES""
Set ""Privacy:"" to Select ""same as Authentication Key""
Set ""Enable Receiver""
Click ""Add""

Navigate to the top of the web page and click ""Save"" to save these settings permanently.","CCI-001684"
"Riverbed SteelHead CX v8 NDM Security Technical Implementation Guide","This Security Technical Implementation Guide is published as a tool to improve the security of Department of Defense (DoD) information systems. The requirements are derived from the National Institute of Standards and Technology (NIST) 800-53 and related documents. Comments or proposed revisions to this document should be sent via e-mail to the following address: disa.stig_spt@mail.mil.","1","2 ","25 Oct 2019","Release: 2 Benchmark Date: 25 Oct 2019","STIG.DOD.MIL","terms-of-use","V-62851","SV-77341r1_rule","RICX-DM-000013","low","CAT III","","SRG-APP-000293-NDM-000277","Riverbed Optimization System (RiOS) must generate alerts that can be forwarded to the administrators and ISSO when accounts are disabled.","<VulnDiscussion>When application accounts are disabled, administrator accessibility is affected. Accounts are utilized for identifying individual device administrators or for identifying the device processes themselves. 

In order to detect and respond to events that affect administrator accessibility and device processing, devices must audit account disabling actions and, as required, notify the appropriate individuals so they can investigate the event. Such a capability greatly reduces the risk that device accessibility will be negatively affected for extended periods of time and also provides logging that can be used for forensic purposes.</VulnDiscussion><FalsePositives></FalsePositives><FalseNegatives></FalseNegatives><Documentable>false</Documentable><Mitigations></Mitigations><SeverityOverrideGuidance></SeverityOverrideGuidance><PotentialImpacts></PotentialImpacts><ThirdPartyTools></ThirdPartyTools><MitigationControl></MitigationControl><Responsibility></Responsibility><IAControls></IAControls>","When application accounts are disabled, administrator accessibility is affected. Accounts are utilized for identifying individual device administrators or for identifying the device processes themselves. 

In order to detect and respond to events that affect administrator accessibility and device processing, devices must audit account disabling actions and, as required, notify the appropriate individuals so they can investigate the event. Such a capability greatly reduces the risk that device accessibility will be negatively affected for extended periods of time and also provides logging that can be used for forensic purposes.","","","false","","","","","","","","Verify that RiOS uses automated mechanisms to alert security personnel to threats identified by authoritative sources.

Navigate to the device Management Console
Navigate to Configure >> System Settings >> SNMP Basic

Verify that Host Servers are defined in the section ""Trap Receivers""

If there are no Host Servers defined in ""Trap Receivers"", this is a finding.","Configure RiOS to use automated mechanisms to alert security personnel to threats identified by authoritative sources.

Navigate to the device Management Console
Navigate to Configure >> System Settings >> SNMP Basic
Click ""Add a New Trap Receiver""
Set ""Receiver IP Address"" to the address of the trap receiver
Set ""Destination Port:"" to the port that the Trap Receiver is listening on
Set ""Receiver Type:"" to v3
Set ""Remote User:"" to the user name on the Trap Receiver
Set ""Authentication:"" to <Supply a key based>
Set ""Authentication Protocol:"" to SHA 
SHA Key: <enter the SHA key>
Set ""Security Level:"" to Auth/Priv
Set ""Privacy Protocol:"" to ""AES""
Set ""Privacy:"" to Select ""same as Authentication Key""
Set ""Enable Receiver""
Click ""Add""

Navigate to the top of the web page and click ""Save"" to save these settings permanently.","CCI-001685"
