"Title","Description","Version","Release","BenchmarkDate","ReleaseInfo","Source","Notice","Rule_VulnID","Rule_RuleID","Rule_StigID","Rule_Severity","Rule_Cat","Rule_Classification","Rule_GroupTitle","Rule_RuleTitle","Rule_Description","Rule_VulnDiscussion","Rule_FalsePositives","Rule_FalseNegatives","Rule_Documentable","Rule_Mitigations","Rule_SeverityOverrideGuidance","Rule_PotentialImpacts","Rule_ThirdPartyTools","Rule_MitigationControl","Rule_Responsibility","Rule_IAControls","Rule_CheckText","Rule_FixText","Rule_CCI"
"Samsung Android OS 13 with Knox 3.x COBO Security Technical Implementation Guide","This Security Technical Implementation Guide is published as a tool to improve the security of Department of Defense (DOD) information systems. The requirements are derived from the National Institute of Standards and Technology (NIST) 800-53 and related documents. Comments or proposed revisions to this document should be sent via email to the following address: disa.stig_spt@mail.mil.","1","2 ","26 Jan 2023","Release: 2 Benchmark Date: 26 Jan 2023","STIG.DOD.MIL","terms-of-use","V-255107","SV-255107r867258_rule","KNOX-13-110010","medium","CAT II","","PP-MDF-990000","Samsung Android must be enrolled as a COBO device.","<VulnDiscussion>The device is the designated application group for the COBO use case.

SFR ID: FMT_MOF_EXT.1.2 #47</VulnDiscussion><FalsePositives></FalsePositives><FalseNegatives></FalseNegatives><Documentable>false</Documentable><Mitigations></Mitigations><SeverityOverrideGuidance></SeverityOverrideGuidance><PotentialImpacts></PotentialImpacts><ThirdPartyTools></ThirdPartyTools><MitigationControl></MitigationControl><Responsibility></Responsibility><IAControls></IAControls>","The device is the designated application group for the COBO use case.

SFR ID: FMT_MOF_EXT.1.2 #47","","","false","","","","","","","","Review the configuration to determine if the Samsung Android devices are enrolled in a DOD-approved use case.

This validation procedure is performed on both the management tool Administration Console and the Samsung Android device. 

On the management tool, verify that the default enrollment is set as ""Fully managed"".

On the Samsung Android device: 
1. Open Settings >> Security and privacy >> Other security settings >> Device admin apps.
2. Verify that the management tool Agent is listed.

If on the management tool the default enrollment is not set as ""Fully managed"", or the management tool Agent is not listed, this is a finding.","Enroll the Samsung Android devices in a DOD-approved use case.

On the management tool, configure the default enrollment as ""Fully managed"".

Refer to the management tool documentation to determine how to configure the device enrollment.","CCI-000366"
"Samsung Android OS 13 with Knox 3.x COBO Security Technical Implementation Guide","This Security Technical Implementation Guide is published as a tool to improve the security of Department of Defense (DOD) information systems. The requirements are derived from the National Institute of Standards and Technology (NIST) 800-53 and related documents. Comments or proposed revisions to this document should be sent via email to the following address: disa.stig_spt@mail.mil.","1","2 ","26 Jan 2023","Release: 2 Benchmark Date: 26 Jan 2023","STIG.DOD.MIL","terms-of-use","V-255108","SV-255108r867261_rule","KNOX-13-110020","low","CAT III","","PP-MDF-323160","Samsung Android must be configured to display the DOD advisory warning message at startup or each time the user unlocks the device.","<VulnDiscussion>Before granting access to the system, the mobile operating system is required to display the DOD-approved system use notification message or banner that provides privacy and security notices consistent with applicable federal laws, Executive Orders, directives, policies, regulations, standards, and guidance. Required banners help ensure DOD can audit and monitor the activities of mobile device users without legal restriction.

System use notification messages can be displayed when individuals first access or unlock the mobile device. The banner must be implemented as a ""click-through"" banner at device unlock (to the extent permitted by the operating system). A ""click-through"" banner prevents further activity on the information system unless and until the user executes a positive action to manifest agreement by clicking on a box indicating ""OK.""

The approved DOD text must be used exactly as required in the Knowledge Service referenced in DODI 8500.01. For devices accommodating banners of 1300 characters, the banner text is: 

You are accessing a U.S. Government (USG) Information System (IS) that is provided for USG-authorized use only. 
By using this IS (which includes any device attached to this IS), you consent to the following conditions: 
-The USG routinely intercepts and monitors communications on this IS for purposes including, but not limited to, penetration testing, COMSEC monitoring, network operations and defense, personnel misconduct (PM), law enforcement (LE), and counterintelligence (CI) investigations. 
-At any time, the USG may inspect and seize data stored on this IS. 
-Communications using, or data stored on, this IS are not private, are subject to routine monitoring, interception, and search, and may be disclosed or used for any USG-authorized purpose. 
-This IS includes security measures (e.g., authentication and access controls) to protect USG interests--not for your personal benefit or privacy. 
-Notwithstanding the above, using this IS does not constitute consent to PM, LE, or CI investigative searching or monitoring of the content of privileged communications, or work product, related to personal representation or services by attorneys, psychotherapists, or clergy, and their assistants. Such communications and work product are private and confidential. See User Agreement for details.

For devices with severe character limitations, the banner text is: 

I've read & consent to terms in IS user agreem't.

The administrator must configure the banner text exactly as written without any changes.

SFR ID: FMT_SMF_EXT.1.1 #36</VulnDiscussion><FalsePositives></FalsePositives><FalseNegatives></FalseNegatives><Documentable>false</Documentable><Mitigations></Mitigations><SeverityOverrideGuidance></SeverityOverrideGuidance><PotentialImpacts></PotentialImpacts><ThirdPartyTools></ThirdPartyTools><MitigationControl></MitigationControl><Responsibility></Responsibility><IAControls></IAControls>","Before granting access to the system, the mobile operating system is required to display the DOD-approved system use notification message or banner that provides privacy and security notices consistent with applicable federal laws, Executive Orders, directives, policies, regulations, standards, and guidance. Required banners help ensure DOD can audit and monitor the activities of mobile device users without legal restriction.

System use notification messages can be displayed when individuals first access or unlock the mobile device. The banner must be implemented as a ""click-through"" banner at device unlock (to the extent permitted by the operating system). A ""click-through"" banner prevents further activity on the information system unless and until the user executes a positive action to manifest agreement by clicking on a box indicating ""OK.""

The approved DOD text must be used exactly as required in the Knowledge Service referenced in DODI 8500.01. For devices accommodating banners of 1300 characters, the banner text is: 

You are accessing a U.S. Government (USG) Information System (IS) that is provided for USG-authorized use only. 
By using this IS (which includes any device attached to this IS), you consent to the following conditions: 
-The USG routinely intercepts and monitors communications on this IS for purposes including, but not limited to, penetration testing, COMSEC monitoring, network operations and defense, personnel misconduct (PM), law enforcement (LE), and counterintelligence (CI) investigations. 
-At any time, the USG may inspect and seize data stored on this IS. 
-Communications using, or data stored on, this IS are not private, are subject to routine monitoring, interception, and search, and may be disclosed or used for any USG-authorized purpose. 
-This IS includes security measures (e.g., authentication and access controls) to protect USG interests--not for your personal benefit or privacy. 
-Notwithstanding the above, using this IS does not constitute consent to PM, LE, or CI investigative searching or monitoring of the content of privileged communications, or work product, related to personal representation or services by attorneys, psychotherapists, or clergy, and their assistants. Such communications and work product are private and confidential. See User Agreement for details.

For devices with severe character limitations, the banner text is: 

I've read & consent to terms in IS user agreem't.

The administrator must configure the banner text exactly as written without any changes.

SFR ID: FMT_SMF_EXT.1.1 #36","","","false","","","","","","","","Confirm if Method #1 or #2 is used at the Samsung device site and follow the appropriate procedure.

This validation procedure is performed on both the management tool and the Samsung Android device.

Validation procedure for method #1: Place the DOD warning banner in the user agreement signed by each Samsung Android device user (preferred method).

Review the signed user agreements for several Samsung Android device users and verify the agreement includes the required DOD warning banner text.

Validation procedure for method #2: Configure the warning banner text in the Lock screen message on each managed mobile device.

On the management tool, in the device restrictions section, verify that ""Lock Screen Message"" is set to the DOD-mandated warning banner text.

On the Samsung Android device, verify the required DOD warning banner text is displayed on the Lock screen.

If the warning text has not been placed in the signed user agreement, or if on the management tool ""Lock Screen Message"" is not set to the DOD-mandated warning banner text, or on the Samsung Android device the required DOD warning banner text is not displayed on the Lock screen, this is a finding.","Configure the DOD warning banner by either of the following methods (required text is found in the Vulnerability Description):

Method #1: Place the DOD warning banner in the user agreement signed by each Samsung Android device user (preferred method).

Method #2: Configure the warning banner text in the lock screen message on each managed mobile device.

On the management tool, in the device restrictions section, set ""Lock Screen Message"" to the DOD-mandated warning banner text.","CCI-000048"
"Samsung Android OS 13 with Knox 3.x COBO Security Technical Implementation Guide","This Security Technical Implementation Guide is published as a tool to improve the security of Department of Defense (DOD) information systems. The requirements are derived from the National Institute of Standards and Technology (NIST) 800-53 and related documents. Comments or proposed revisions to this document should be sent via email to the following address: disa.stig_spt@mail.mil.","1","2 ","26 Jan 2023","Release: 2 Benchmark Date: 26 Jan 2023","STIG.DOD.MIL","terms-of-use","V-255109","SV-255109r867264_rule","KNOX-13-110030","medium","CAT II","","PP-MDF-323025","Samsung Android must be configured to not allow passwords that include more than four repeating or sequential characters.","<VulnDiscussion>Password strength is a measure of the effectiveness of a password in resisting guessing and brute force attacks. Passwords that contain repeating or sequential characters are significantly easier to guess than those that do not contain repeating or sequential characters. Therefore, disallowing repeating or sequential characters increases password strength and decreases risk.

SFR ID: FMT_SMF_EXT.1.1 #1b</VulnDiscussion><FalsePositives></FalsePositives><FalseNegatives></FalseNegatives><Documentable>false</Documentable><Mitigations></Mitigations><SeverityOverrideGuidance></SeverityOverrideGuidance><PotentialImpacts></PotentialImpacts><ThirdPartyTools></ThirdPartyTools><MitigationControl></MitigationControl><Responsibility></Responsibility><IAControls></IAControls>","Password strength is a measure of the effectiveness of a password in resisting guessing and brute force attacks. Passwords that contain repeating or sequential characters are significantly easier to guess than those that do not contain repeating or sequential characters. Therefore, disallowing repeating or sequential characters increases password strength and decreases risk.

SFR ID: FMT_SMF_EXT.1.1 #1b","","","false","","","","","","","","Review the configuration to determine if the Samsung Android devices are disallowing passwords containing more than four repeating or sequential characters.

This validation procedure is performed on both the management tool and the Samsung Android device.

On the management tool, in the device password policies, verify ""minimum password quality"" is set to ""Numeric(Complex)"" or better.

On the Samsung Android device: 
1. Open Settings >> Lock screen >> Screen lock type. 
2. Authenticate using current method. 
3. Tap ""PIN"". 
4. Verify that PINs with more than four repeating or sequential numbers are not accepted.

If on the management tool ""minimum password quality"" is not set to ""Numeric(Complex)"" or better, or on the Samsung Android device a password with more than four repeating or sequential numbers is accepted, this is a finding.","Configure the Samsung Android devices to disallow passwords containing more than four repeating or sequential characters.

On the management tool, in the device password policies, set ""minimum password quality"" to ""Numeric(Complex)"" or better.

If the management tool does not support ""Numeric(Complex)"" but does support ""Numeric"", KPE can be used to achieve STIG compliance. In this case, configure this policy with value ""Numeric"" and use an additional KPE policy (innately by the management tool or via KSP) ""Maximum Numeric Sequence Length"" with value ""4"".","CCI-000366"
"Samsung Android OS 13 with Knox 3.x COBO Security Technical Implementation Guide","This Security Technical Implementation Guide is published as a tool to improve the security of Department of Defense (DOD) information systems. The requirements are derived from the National Institute of Standards and Technology (NIST) 800-53 and related documents. Comments or proposed revisions to this document should be sent via email to the following address: disa.stig_spt@mail.mil.","1","2 ","26 Jan 2023","Release: 2 Benchmark Date: 26 Jan 2023","STIG.DOD.MIL","terms-of-use","V-255110","SV-255110r867267_rule","KNOX-13-110040","medium","CAT II","","PP-MDF-323026","Samsung Android must be configured to enable a screen-lock policy that will lock the display after a period of inactivity.","<VulnDiscussion>The screen-lock timeout helps protect the device from unauthorized access. Devices without a screen-lock timeout provide an opportunity for adversaries who gain physical access to the mobile device through loss, theft, etc. Such devices are much more likely to be in an unlocked state when acquired by an adversary, thus granting immediate access to the data on the mobile device and possibly access to DOD networks.

SFR ID: FMT_SMF_EXT.1.1 #2a</VulnDiscussion><FalsePositives></FalsePositives><FalseNegatives></FalseNegatives><Documentable>false</Documentable><Mitigations></Mitigations><SeverityOverrideGuidance></SeverityOverrideGuidance><PotentialImpacts></PotentialImpacts><ThirdPartyTools></ThirdPartyTools><MitigationControl></MitigationControl><Responsibility></Responsibility><IAControls></IAControls>","The screen-lock timeout helps protect the device from unauthorized access. Devices without a screen-lock timeout provide an opportunity for adversaries who gain physical access to the mobile device through loss, theft, etc. Such devices are much more likely to be in an unlocked state when acquired by an adversary, thus granting immediate access to the data on the mobile device and possibly access to DOD networks.

SFR ID: FMT_SMF_EXT.1.1 #2a","","","false","","","","","","","","Verify requirement KNOX-13-110030 (minimum password quality) has been implemented.

If a ""minimum password quality"" has not been implemented, this is a finding.","Implement a ""minimum password quality"" (see requirement KNOX-13-110030).","CCI-000057"
"Samsung Android OS 13 with Knox 3.x COBO Security Technical Implementation Guide","This Security Technical Implementation Guide is published as a tool to improve the security of Department of Defense (DOD) information systems. The requirements are derived from the National Institute of Standards and Technology (NIST) 800-53 and related documents. Comments or proposed revisions to this document should be sent via email to the following address: disa.stig_spt@mail.mil.","1","2 ","26 Jan 2023","Release: 2 Benchmark Date: 26 Jan 2023","STIG.DOD.MIL","terms-of-use","V-255111","SV-255111r867270_rule","KNOX-13-110050","medium","CAT II","","PP-MDF-323024","Samsung Android must be configured to enforce a minimum password length of six characters.","<VulnDiscussion>Password strength is a measure of the effectiveness of a password in resisting guessing and brute force attacks. The ability to crack a password is a function of how many attempts an adversary is permitted, how quickly an adversary can do each attempt, and the size of the password space. The longer the minimum length of the password is, the larger the password space. Having a too-short minimum password length significantly reduces password strength, increasing the chance of password compromise and resulting device and data compromise.

SFR ID: FMT_SMF_EXT.1.1 #1a</VulnDiscussion><FalsePositives></FalsePositives><FalseNegatives></FalseNegatives><Documentable>false</Documentable><Mitigations></Mitigations><SeverityOverrideGuidance></SeverityOverrideGuidance><PotentialImpacts></PotentialImpacts><ThirdPartyTools></ThirdPartyTools><MitigationControl></MitigationControl><Responsibility></Responsibility><IAControls></IAControls>","Password strength is a measure of the effectiveness of a password in resisting guessing and brute force attacks. The ability to crack a password is a function of how many attempts an adversary is permitted, how quickly an adversary can do each attempt, and the size of the password space. The longer the minimum length of the password is, the larger the password space. Having a too-short minimum password length significantly reduces password strength, increasing the chance of password compromise and resulting device and data compromise.

SFR ID: FMT_SMF_EXT.1.1 #1a","","","false","","","","","","","","Review the configuration to determine if the Samsung Android devices are enforcing a minimum password length of six characters.

This validation procedure is performed on both the management tool and the Samsung Android device.

On the management tool, in the device password policies, verify ""minimum password length"" is set to ""6"".

On the Samsung Android device:
1. Open Settings >> Lock screen >> Screen lock type.
2. Enter current password.
3. Tap ""PIN"".
4. Verify the text ""PIN must contain at least"", followed by a value of at least ""6 digits"", appears above the PIN entry.

If on the management tool ""minimum password length"" is not set to ""6"", or on the Samsung Android device the text ""PIN must contain at least"" is followed by a value of less than ""6 digits"", this is a finding.","Configure the Samsung Android devices to enforce a minimum password length of six characters.

On the management tool, in the device password policies, set ""minimum password length"" to ""6"".","CCI-000205"
"Samsung Android OS 13 with Knox 3.x COBO Security Technical Implementation Guide","This Security Technical Implementation Guide is published as a tool to improve the security of Department of Defense (DOD) information systems. The requirements are derived from the National Institute of Standards and Technology (NIST) 800-53 and related documents. Comments or proposed revisions to this document should be sent via email to the following address: disa.stig_spt@mail.mil.","1","2 ","26 Jan 2023","Release: 2 Benchmark Date: 26 Jan 2023","STIG.DOD.MIL","terms-of-use","V-255112","SV-255112r867273_rule","KNOX-13-110060","medium","CAT II","","PP-MDF-323040","Samsung Android must be configured to not allow more than 10 consecutive failed authentication attempts.","<VulnDiscussion>The more attempts an adversary has to guess a password, the more likely the adversary will enter the correct password and gain access to resources on the device. Setting a limit on the number of attempts mitigates this risk. Setting the limit at 10 or less gives authorized users the ability to make a few mistakes when entering the password but still provides adequate protection against dictionary or brute force attacks on the password.

SFR ID: FMT_SMF_EXT.1.1 #2c, FIA_AFL_EXT.1.5</VulnDiscussion><FalsePositives></FalsePositives><FalseNegatives></FalseNegatives><Documentable>false</Documentable><Mitigations></Mitigations><SeverityOverrideGuidance></SeverityOverrideGuidance><PotentialImpacts></PotentialImpacts><ThirdPartyTools></ThirdPartyTools><MitigationControl></MitigationControl><Responsibility></Responsibility><IAControls></IAControls>","The more attempts an adversary has to guess a password, the more likely the adversary will enter the correct password and gain access to resources on the device. Setting a limit on the number of attempts mitigates this risk. Setting the limit at 10 or less gives authorized users the ability to make a few mistakes when entering the password but still provides adequate protection against dictionary or brute force attacks on the password.

SFR ID: FMT_SMF_EXT.1.1 #2c, FIA_AFL_EXT.1.5","","","false","","","","","","","","Review the configuration to determine if the Samsung Android devices are allowing only 10 or fewer consecutive failed authentication attempts.

This validation procedure is performed on both the management tool and the Samsung Android device.

On the management tool, in the device password policies, verify ""max password failures for local wipe"" is set to ""10"" attempts or less.

On the Samsung Android device: 
1. Open Settings >> Lock screen.
2. Verify ""Secure lock settings"" is present and tap it.
3. Enter current password.
4. Verify that ""Auto factory reset"" is greyed out, and cannot be configured.
Note: When ""Auto factory reset"" is greyed out, this indicates the Administrator (MDM) is in control of the setting to wipe the device after 10 or fewer consecutive failed authentication attempts.

If on the management tool ""max password failures for local wipe"" is not set to ""10"" attempts or less, or on the Samsung Android device the ""Auto factory reset"" menu can be configured, this is a finding.","Configure the Samsung Android devices to allow only 10 or fewer consecutive failed authentication attempts.

On the management tool, in the device password policies, set ""max password failures for local wipe"" to ""10"" attempts or less.

A device password must be set for ""max password failures for local wipe"" to become active.","CCI-000044"
"Samsung Android OS 13 with Knox 3.x COBO Security Technical Implementation Guide","This Security Technical Implementation Guide is published as a tool to improve the security of Department of Defense (DOD) information systems. The requirements are derived from the National Institute of Standards and Technology (NIST) 800-53 and related documents. Comments or proposed revisions to this document should be sent via email to the following address: disa.stig_spt@mail.mil.","1","2 ","26 Jan 2023","Release: 2 Benchmark Date: 26 Jan 2023","STIG.DOD.MIL","terms-of-use","V-255113","SV-255113r867276_rule","KNOX-13-110070","medium","CAT II","","PP-MDF-323030","Samsung Android must be configured to lock the display after 15 minutes (or less) of inactivity.","<VulnDiscussion>The screen lock timeout must be set to a value that helps protect the device from unauthorized access. Having a too-long timeout would increase the window of opportunity for adversaries who gain physical access to the mobile device through loss, theft, etc. Such devices are much more likely to be in an unlocked state when acquired by an adversary, thus granting immediate access to the data on the mobile device. The maximum timeout period of 15 minutes has been selected to balance functionality and security; shorter timeout periods may be appropriate depending on the risks posed to the mobile device.

SFR ID: FMT_SMF_EXT.1.1 #2b</VulnDiscussion><FalsePositives></FalsePositives><FalseNegatives></FalseNegatives><Documentable>false</Documentable><Mitigations></Mitigations><SeverityOverrideGuidance></SeverityOverrideGuidance><PotentialImpacts></PotentialImpacts><ThirdPartyTools></ThirdPartyTools><MitigationControl></MitigationControl><Responsibility></Responsibility><IAControls></IAControls>","The screen lock timeout must be set to a value that helps protect the device from unauthorized access. Having a too-long timeout would increase the window of opportunity for adversaries who gain physical access to the mobile device through loss, theft, etc. Such devices are much more likely to be in an unlocked state when acquired by an adversary, thus granting immediate access to the data on the mobile device. The maximum timeout period of 15 minutes has been selected to balance functionality and security; shorter timeout periods may be appropriate depending on the risks posed to the mobile device.

SFR ID: FMT_SMF_EXT.1.1 #2b","","","false","","","","","","","","Review the configuration to determine if the Samsung Android devices are locking the device display after 15 minutes (or less) of inactivity.

This validation procedure is performed on both the management tool and the Samsung Android device.

On the management tool, in the device password policies, verify ""max time to screen lock"" is set to ""15 minutes"" or less.

On the Samsung Android device:
1. Open Settings >> Lock screen.
2. Verify ""Secure lock settings"" is present and tap it.
3. Enter current password.
4. Tap ""Auto lock when screen turns off"".
5. Verify the listed timeout values are 15 minutes or less.

If on the management tool ""max time to screen lock"" is not set to ""15 minutes"" or less, or on the Samsung Android device ""Secure lock settings"" is not present and the listed Screen timeout values include durations of more than 15 minutes, this is a finding.","Configure the Samsung Android devices to lock the device display after 15 minutes (or less) of inactivity.

On the management tool, in the device password policies, set ""max time to screen lock"" to ""15 minutes"" or less.

A device password must be set for ""max time to screen lock"" to become active.","CCI-000057"
"Samsung Android OS 13 with Knox 3.x COBO Security Technical Implementation Guide","This Security Technical Implementation Guide is published as a tool to improve the security of Department of Defense (DOD) information systems. The requirements are derived from the National Institute of Standards and Technology (NIST) 800-53 and related documents. Comments or proposed revisions to this document should be sent via email to the following address: disa.stig_spt@mail.mil.","1","2 ","26 Jan 2023","Release: 2 Benchmark Date: 26 Jan 2023","STIG.DOD.MIL","terms-of-use","V-255114","SV-255114r867279_rule","KNOX-13-110080","medium","CAT II","","PP-MDF-323110","Samsung Android must be configured to disable authentication mechanisms providing user access to protected data other than a Password Authentication Factor, including face recognition.","<VulnDiscussion>The biometric factor can be used to authenticate the user to unlock the mobile device. Unapproved/evaluated biometric mechanisms could allow unauthorized users to have access to DOD sensitive data if compromised. By not permitting the use of unapproved/evaluated biometric authentication mechanisms, this risk is mitigated.

SFR ID: FMT_SMF_EXT.1.1 #22, FIA_UAU.5.1</VulnDiscussion><FalsePositives></FalsePositives><FalseNegatives></FalseNegatives><Documentable>false</Documentable><Mitigations></Mitigations><SeverityOverrideGuidance></SeverityOverrideGuidance><PotentialImpacts></PotentialImpacts><ThirdPartyTools></ThirdPartyTools><MitigationControl></MitigationControl><Responsibility></Responsibility><IAControls></IAControls>","The biometric factor can be used to authenticate the user to unlock the mobile device. Unapproved/evaluated biometric mechanisms could allow unauthorized users to have access to DOD sensitive data if compromised. By not permitting the use of unapproved/evaluated biometric authentication mechanisms, this risk is mitigated.

SFR ID: FMT_SMF_EXT.1.1 #22, FIA_UAU.5.1","","","false","","","","","","","","Review the configuration to determine if the Samsung Android devices are disabling Face Recognition.

This validation procedure is performed on both the management tool and the Samsung Android device.

If a KPE premium license is activated, Facial Recognition will be automatically disabled.

Otherwise, on the management tool in the device restrictions, verify ""Face recognition"" is set to ""Disable"".

On the Samsung Android device: 
1. Open Settings >> Lock screen >> Screen lock type.
2. Enter current password.
3. Verify ""Face"" is disabled and cannot be enabled.

If on the management tool a KPE premium license is not activated and ""Face recognition"" is not set to ""Disable"", or on the Samsung Android device ""Face"" can be enabled, this is a finding.","Configure the Samsung Android devices to disable Face Recognition.

This policy is included to allow a Samsung Android device to be deployed without an activated KPE premium license. If a license is activated, Facial Recognition will be automatically disabled. In this case, this policy does not need to be configured for STIG compliance, as Face as a biometric will be disabled.

On the management tool, in the device restrictions, set ""Face recognition"" to ""Disable"".","CCI-000767"
"Samsung Android OS 13 with Knox 3.x COBO Security Technical Implementation Guide","This Security Technical Implementation Guide is published as a tool to improve the security of Department of Defense (DOD) information systems. The requirements are derived from the National Institute of Standards and Technology (NIST) 800-53 and related documents. Comments or proposed revisions to this document should be sent via email to the following address: disa.stig_spt@mail.mil.","1","2 ","26 Jan 2023","Release: 2 Benchmark Date: 26 Jan 2023","STIG.DOD.MIL","terms-of-use","V-255115","SV-255115r867282_rule","KNOX-13-110090","medium","CAT II","","PP-MDF-323030","Samsung Android must be configured to enable a screen-lock policy that will lock the display after a period of inactivity - Disable trust agents.","<VulnDiscussion>The screen lock timeout must be set to a value that helps protect the device from unauthorized access. Having a too-long timeout would increase the window of opportunity for adversaries who gain physical access to the mobile device through loss, theft, etc. Such devices are much more likely to be in an unlocked state when acquired by an adversary, thus granting immediate access to the data on the mobile device. The maximum timeout period of 15 minutes has been selected to balance functionality and security; shorter timeout periods may be appropriate depending on the risks posed to the mobile device.

SFR ID: FMT_SMF_EXT.1.1 #2a</VulnDiscussion><FalsePositives></FalsePositives><FalseNegatives></FalseNegatives><Documentable>false</Documentable><Mitigations></Mitigations><SeverityOverrideGuidance></SeverityOverrideGuidance><PotentialImpacts></PotentialImpacts><ThirdPartyTools></ThirdPartyTools><MitigationControl></MitigationControl><Responsibility></Responsibility><IAControls></IAControls>","The screen lock timeout must be set to a value that helps protect the device from unauthorized access. Having a too-long timeout would increase the window of opportunity for adversaries who gain physical access to the mobile device through loss, theft, etc. Such devices are much more likely to be in an unlocked state when acquired by an adversary, thus granting immediate access to the data on the mobile device. The maximum timeout period of 15 minutes has been selected to balance functionality and security; shorter timeout periods may be appropriate depending on the risks posed to the mobile device.

SFR ID: FMT_SMF_EXT.1.1 #2a","","","false","","","","","","","","Review the configuration to determine if the Samsung Android devices are disabling Trust Agents.

This validation procedure is performed on both the management tool and the Samsung Android device.

On the management tool, in the device restrictions, verify that ""Trust Agents"" are set to ""Disable"".

On the Samsung Android device: 
1. Open Settings >> Security and privacy >> Other security settings >> Trust agents.
2. Verify all listed Trust Agents are disabled and cannot be enabled. If a Trust Agent is not disabled in the list, verify for that Trust Agent, all of its listed Trustlets are disabled and cannot be enabled.

If on the management tool ""Trust Agents"" are not set to ""Disable"", or on the Samsung Android device a ""Trust Agent"" or ""Trustlet"" can be enabled, this is a finding.

Note: If the management tool has been correctly configured but a Trust Agent is still enabled, configure the ""List of approved apps listed in managed Google Play"" to disable it; refer to KNOX-13-110190.

Exception: Trust Agents may be used if the AO allows a screen lock timeout after four hours (or more) of inactivity. This may be applicable to tactical use case.","Configure the Samsung Android devices to disable Trust Agents.

On the management tool, in the device restrictions, set ""Trust Agents"" to ""Disable"".","CCI-000767"
"Samsung Android OS 13 with Knox 3.x COBO Security Technical Implementation Guide","This Security Technical Implementation Guide is published as a tool to improve the security of Department of Defense (DOD) information systems. The requirements are derived from the National Institute of Standards and Technology (NIST) 800-53 and related documents. Comments or proposed revisions to this document should be sent via email to the following address: disa.stig_spt@mail.mil.","1","2 ","26 Jan 2023","Release: 2 Benchmark Date: 26 Jan 2023","STIG.DOD.MIL","terms-of-use","V-255116","SV-255116r867285_rule","KNOX-13-110100","medium","CAT II","","PP-MDF-323250","Samsung Android must be configured to not allow backup of all applications and configuration data to remote systems.

- Disable Backup Services.","<VulnDiscussion>Backups to remote systems (including cloud backup) can leave data vulnerable to breach on the external systems, which often offer less protection than the MOS. Where the remote backup involves a cloud-based solution, the backup capability is often used to synchronize data across multiple devices. In this case, DOD devices may synchronize DOD sensitive information to a user's personal device or other unauthorized computers vulnerable to breach. Disallowing remote backup mitigates this risk.

SFR ID: FMT_SMF_EXT.1.1 #40</VulnDiscussion><FalsePositives></FalsePositives><FalseNegatives></FalseNegatives><Documentable>false</Documentable><Mitigations></Mitigations><SeverityOverrideGuidance></SeverityOverrideGuidance><PotentialImpacts></PotentialImpacts><ThirdPartyTools></ThirdPartyTools><MitigationControl></MitigationControl><Responsibility></Responsibility><IAControls></IAControls>","Backups to remote systems (including cloud backup) can leave data vulnerable to breach on the external systems, which often offer less protection than the MOS. Where the remote backup involves a cloud-based solution, the backup capability is often used to synchronize data across multiple devices. In this case, DOD devices may synchronize DOD sensitive information to a user's personal device or other unauthorized computers vulnerable to breach. Disallowing remote backup mitigates this risk.

SFR ID: FMT_SMF_EXT.1.1 #40","","","false","","","","","","","","Review the configuration to determine if the Samsung Android devices are disabling backup to remote systems (including commercial clouds).

This validation procedure is performed on both the management tool and the Samsung Android device.

On the management tool, in the device restrictions section, verify that ""Backup service"" is set to ""Disable"".

On the Samsung Android device:
1. Open Settings >> Accounts and backup.
2. Verify that any backup service listed cannot be configured to back up data.

If on the management tool ""Backup service"" is not set to ""Disable"", or on the Samsung Android device a listed backup service can be configured to back up data, this is a finding.","Configure the Samsung Android devices to disable backup to remote systems (including commercial clouds).

On the management tool, in the device restrictions, set ""Backup service"" to ""Disable"".","CCI-001090"
