"Title","Description","Version","Release","BenchmarkDate","ReleaseInfo","Source","Notice","Rule_VulnID","Rule_RuleID","Rule_StigID","Rule_Severity","Rule_Cat","Rule_Classification","Rule_GroupTitle","Rule_RuleTitle","Rule_Description","Rule_VulnDiscussion","Rule_FalsePositives","Rule_FalseNegatives","Rule_Documentable","Rule_Mitigations","Rule_SeverityOverrideGuidance","Rule_PotentialImpacts","Rule_ThirdPartyTools","Rule_MitigationControl","Rule_Responsibility","Rule_IAControls","Rule_CheckText","Rule_FixText","Rule_CCI"
"Trend Micro TippingPoint NDM Security Technical Implementation Guide","This Security Technical Implementation Guide is published as a tool to improve the security of Department of Defense (DoD) information systems. The requirements are derived from the National Institute of Standards and Technology (NIST) 800-53 and related documents. Comments or proposed revisions to this document should be sent via email to the following address: disa.stig_spt@mail.mil.","1","1 ","08 Jun 2021","Release: 1 Benchmark Date: 08 Jun 2021","STIG.DOD.MIL","terms-of-use","V-242231","SV-242231r710700_rule","TIPP-NM-000010","low","CAT III","","SRG-APP-000001-NDM-000200","The TippingPoint SMS must limit the maximum number of concurrent active sessions to one for the account of last resort.","<VulnDiscussion>Limiting the number of allowed administrators and sessions per administrator based on account type, role, or access type is helpful in limiting risks related to DoS attacks.

This requirement addresses concurrent sessions for administrative accounts and does not address concurrent sessions by a single administrator via multiple administrative accounts. The maximum number of concurrent sessions is defined by DoD as one based on operational environment for each system.</VulnDiscussion><FalsePositives></FalsePositives><FalseNegatives></FalseNegatives><Documentable>false</Documentable><Mitigations></Mitigations><SeverityOverrideGuidance></SeverityOverrideGuidance><PotentialImpacts></PotentialImpacts><ThirdPartyTools></ThirdPartyTools><MitigationControl></MitigationControl><Responsibility></Responsibility><IAControls></IAControls>","Limiting the number of allowed administrators and sessions per administrator based on account type, role, or access type is helpful in limiting risks related to DoS attacks.

This requirement addresses concurrent sessions for administrative accounts and does not address concurrent sessions by a single administrator via multiple administrative accounts. The maximum number of concurrent sessions is defined by DoD as one based on operational environment for each system.","","","false","","","","","","","","1. Log in to the SMS client. 
2. Select >> ""Edit"" >> ""Preferences"".  Select ""Security"" under ""Session Preferences"".
3. Verify the setting for the ""limit number of total and user sessions"" option is checked.
4. Verify the active sessions allowed for a user option has a numeric value of 1.

If the TippingPoint SMS does limit the maximum number of concurrent active sessions to one for the account of last resort, this is a finding.","1. Log in to the SMS client. 
2. Select >> ""Edit"" >> ""Preferences"".  Select ""Security"" under ""Session Preferences"". Click the check box for ""Limit number of total and user sessions"". 
3. Type 1 for the number of active sessions allowed for a user. 
4. Click OK.","CCI-000054"
"Trend Micro TippingPoint NDM Security Technical Implementation Guide","This Security Technical Implementation Guide is published as a tool to improve the security of Department of Defense (DoD) information systems. The requirements are derived from the National Institute of Standards and Technology (NIST) 800-53 and related documents. Comments or proposed revisions to this document should be sent via email to the following address: disa.stig_spt@mail.mil.","1","1 ","08 Jun 2021","Release: 1 Benchmark Date: 08 Jun 2021","STIG.DOD.MIL","terms-of-use","V-242232","SV-242232r710703_rule","TIPP-NM-000011","low","CAT III","","SRG-APP-000001-NDM-000200","The TippingPoint SMS must limit total number of user sessions for privileged uses to a maximum of 10.","<VulnDiscussion>Device management includes the ability to control the number of administrators and management sessions that manage a device. Limiting the number of currently allowed administrator sessions is a best practice that lowers the risk of DoS attacks.</VulnDiscussion><FalsePositives></FalsePositives><FalseNegatives></FalseNegatives><Documentable>false</Documentable><Mitigations></Mitigations><SeverityOverrideGuidance></SeverityOverrideGuidance><PotentialImpacts></PotentialImpacts><ThirdPartyTools></ThirdPartyTools><MitigationControl></MitigationControl><Responsibility></Responsibility><IAControls></IAControls>","Device management includes the ability to control the number of administrators and management sessions that manage a device. Limiting the number of currently allowed administrator sessions is a best practice that lowers the risk of DoS attacks.","","","false","","","","","","","","1. Log in to the SMS client. 
2. Select >> ""Edit"" >> ""Preferences"". Select ""Security"" under ""Session Preferences"".
3. Verify the setting for the ""limit number of total and user sessions"" option is checked.
4. Verify the active sessions allowed on SMS option has a numeric value of 10 or less.

If the TippingPoint SMS does not limit total number of user sessions for privileged uses to a maximum of 10, this is a finding.","1. Log in to the SMS client. 
2. Select >> ""Edit"" >> ""Preferences"". Select ""Security"" under ""Session Preferences"". Click the check box for ""Limit number of total and user sessions"". 
3. Type 10 or less for the number of active sessions allowed on SMS. 
4. Click OK.","CCI-000054"
"Trend Micro TippingPoint NDM Security Technical Implementation Guide","This Security Technical Implementation Guide is published as a tool to improve the security of Department of Defense (DoD) information systems. The requirements are derived from the National Institute of Standards and Technology (NIST) 800-53 and related documents. Comments or proposed revisions to this document should be sent via email to the following address: disa.stig_spt@mail.mil.","1","1 ","08 Jun 2021","Release: 1 Benchmark Date: 08 Jun 2021","STIG.DOD.MIL","terms-of-use","V-242233","SV-242233r710706_rule","TIPP-NM-000012","low","CAT III","","SRG-APP-000001-NDM-000200","The TippingPoint SMS must disable auto reconnect after disconnect.","<VulnDiscussion>Device management includes the ability to control the number of administrators and management sessions that manage a device. Requiring authentication for auto reconnecting expired administrator sessions is a best practice that lowers the risk of DoS attacks.</VulnDiscussion><FalsePositives></FalsePositives><FalseNegatives></FalseNegatives><Documentable>false</Documentable><Mitigations></Mitigations><SeverityOverrideGuidance></SeverityOverrideGuidance><PotentialImpacts></PotentialImpacts><ThirdPartyTools></ThirdPartyTools><MitigationControl></MitigationControl><Responsibility></Responsibility><IAControls></IAControls>","Device management includes the ability to control the number of administrators and management sessions that manage a device. Requiring authentication for auto reconnecting expired administrator sessions is a best practice that lowers the risk of DoS attacks.","","","false","","","","","","","","1. Log in to the SMS client. 
2. Select >> ""Edit"" >> ""Preferences"". Select ""Security"" Under ""Client Preferences"".
3. Verify the option for ""Auto reconnect client to server after a disconnect occurs"" is unchecked.

If the TippingPoint SMS does not disable auto reconnect after disconnect, this is a finding.","1. Log in to the SMS client. 
2. Select >> ""Edit"" >> ""Preferences"". Select ""Security"" Under ""Client Preferences"". Uncheck ""Auto reconnect client to server after a disconnect occurs"". 
3. Click OK.","CCI-000054"
"Trend Micro TippingPoint NDM Security Technical Implementation Guide","This Security Technical Implementation Guide is published as a tool to improve the security of Department of Defense (DoD) information systems. The requirements are derived from the National Institute of Standards and Technology (NIST) 800-53 and related documents. Comments or proposed revisions to this document should be sent via email to the following address: disa.stig_spt@mail.mil.","1","1 ","08 Jun 2021","Release: 1 Benchmark Date: 08 Jun 2021","STIG.DOD.MIL","terms-of-use","V-242234","SV-242234r710709_rule","TIPP-NM-000040","medium","CAT II","","SRG-APP-000065-NDM-000214","The TippingPoint SMS must be configured to enforce the limit of three consecutive invalid logon attempts, after which time it must lock out the user account from accessing the device for 15 minutes.","<VulnDiscussion>By limiting the number of failed login attempts, the risk of unauthorized system access via user password guessing, otherwise known as brute-forcing, is reduced.</VulnDiscussion><FalsePositives></FalsePositives><FalseNegatives></FalseNegatives><Documentable>false</Documentable><Mitigations></Mitigations><SeverityOverrideGuidance></SeverityOverrideGuidance><PotentialImpacts></PotentialImpacts><ThirdPartyTools></ThirdPartyTools><MitigationControl></MitigationControl><Responsibility></Responsibility><IAControls></IAControls>","By limiting the number of failed login attempts, the risk of unauthorized system access via user password guessing, otherwise known as brute-forcing, is reduced.","","","false","","","","","","","","Verify the SMS client requires locking of account after three invalid login attempts. 

Navigate to Edit >> Preferences.

If the checkbox for ""Lock user after failed login attempts"" is not checked, or if the threshold is not set to 3, this is a finding.","In the Trend Micro TippingPoint system, ensure the SMS client is requiring locking of account after three invalid login attempts: 

1. Navigate to Edit >> Preferences.
2. Click the checkbox for ""Lock user after failed login attempts"".
3. Under threshold enter 3.
4. Click OK to save.","CCI-000044"
"Trend Micro TippingPoint NDM Security Technical Implementation Guide","This Security Technical Implementation Guide is published as a tool to improve the security of Department of Defense (DoD) information systems. The requirements are derived from the National Institute of Standards and Technology (NIST) 800-53 and related documents. Comments or proposed revisions to this document should be sent via email to the following address: disa.stig_spt@mail.mil.","1","1 ","08 Jun 2021","Release: 1 Benchmark Date: 08 Jun 2021","STIG.DOD.MIL","terms-of-use","V-242235","SV-242235r710712_rule","TIPP-NM-000050","low","CAT III","","SRG-APP-000068-NDM-000215","The TippingPoint SMS, TPS, and SMS client must display the Standard Mandatory DoD Notice and Consent Banner before granting access to the device.","<VulnDiscussion>Display of the DoD-approved use notification before granting access to the network device ensures privacy and security notification verbiage used is consistent with applicable federal laws, Executive Orders, directives, policies, regulations, standards, and guidance.

System use notifications are required only for access via logon interfaces with human users.

Configure banner messages to display security notices on the SMS client toolbar or when a user attempts to log in to the following interfaces: SMS client, SMS web management console, CLI, or remote SSH client. When configured, the notice and Consent Banner on the screen until the administrator acknowledges the usage conditions and takes explicit actions to log on for further access, as required by CCI-000050.

Satisfies: SRG-APP-000068-NDM-000215, SRG-APP-000069-NDM-000216</VulnDiscussion><FalsePositives></FalsePositives><FalseNegatives></FalseNegatives><Documentable>false</Documentable><Mitigations></Mitigations><SeverityOverrideGuidance></SeverityOverrideGuidance><PotentialImpacts></PotentialImpacts><ThirdPartyTools></ThirdPartyTools><MitigationControl></MitigationControl><Responsibility></Responsibility><IAControls></IAControls>","Display of the DoD-approved use notification before granting access to the network device ensures privacy and security notification verbiage used is consistent with applicable federal laws, Executive Orders, directives, policies, regulations, standards, and guidance.

System use notifications are required only for access via logon interfaces with human users.

Configure banner messages to display security notices on the SMS client toolbar or when a user attempts to log in to the following interfaces: SMS client, SMS web management console, CLI, or remote SSH client. When configured, the notice and Consent Banner on the screen until the administrator acknowledges the usage conditions and takes explicit actions to log on for further access, as required by CCI-000050.

Satisfies: SRG-APP-000068-NDM-000215, SRG-APP-000069-NDM-000216","","","false","","","","","","","","Determine if the network device is configured to present a DoD-approved banner that is formatted in accordance with DTM-08-060.

Verify the SMS client has a login banner configured by viewing the SMS client toolbar, client login, web login, console/CLI, or remote/SSH login. 

Verify the TPS login banner is enabled: 
1. Click Devices, All Devices, and the TPS Device hostname. 
2. Click Device Configuration. 
3. Click Login Banner.

If the TippingPoint SMS, TPS, and SMS client does not display the Standard Mandatory DoD Notice and Consent Banner before granting access to the device, this is a finding.","Configure banner message to display on the SMS client toolbar or when a user attempts to log in to the following interfaces: SMS client, SMS web management console, CLI, or remote SSH client.

1. Select Edit >> Preferences >> Banner Message.
2. Check ""Enable Banner Message"".
3. Add the exactly worded and formatted DoD-approved banner as presented in accordance with DTM-08-060.
4. Check all the boxes under the banner to display on check display on client toolbar, client login, web login, console/CLI, and remote/SSH login. 

To enable the TPS login banner: 
1. Select Devices >> All Devices >> <TPS Device hostname>.
2. Select Device Configuration >> Login Banner >> Enable Banner Message.
3. Add the exactly worded and formatted DoD-approved banner as presented in accordance with DTM-08-060.
4. Click OK.","CCI-000048,CCI-000050"
"Trend Micro TippingPoint NDM Security Technical Implementation Guide","This Security Technical Implementation Guide is published as a tool to improve the security of Department of Defense (DoD) information systems. The requirements are derived from the National Institute of Standards and Technology (NIST) 800-53 and related documents. Comments or proposed revisions to this document should be sent via email to the following address: disa.stig_spt@mail.mil.","1","1 ","08 Jun 2021","Release: 1 Benchmark Date: 08 Jun 2021","STIG.DOD.MIL","terms-of-use","V-242236","SV-242236r710715_rule","TIPP-NM-000200","high","CAT I","","SRG-APP-000142-NDM-000245","The TippingPoint SMS must be configured to prohibit the use of all unnecessary and/or nonsecure functions, ports, protocols, and/or services.","<VulnDiscussion>In order to prevent unauthorized connection of devices, unauthorized transfer of information, or unauthorized tunneling (i.e., embedding of data types within data types), organizations must disable unused or unnecessary physical and logical ports/protocols on information systems.

Network devices are capable of providing a wide variety of functions and services. Some of the functions and services provided by default may not be necessary to support essential organizational operations. Additionally, it is sometimes convenient to provide multiple services from a single component (e.g., email and web services); however, doing so increases risk over limiting the services provided by any one component. 

To support the requirements and principles of least functionality, the network device must support the organizational requirements providing only essential capabilities and limiting the use of ports, protocols, and/or services to only those required, authorized, and approved. Some network devices have capabilities enabled by default; if these capabilities are not necessary, they must be disabled. If a particular capability is used, then it must be documented and approved.</VulnDiscussion><FalsePositives></FalsePositives><FalseNegatives></FalseNegatives><Documentable>false</Documentable><Mitigations></Mitigations><SeverityOverrideGuidance></SeverityOverrideGuidance><PotentialImpacts></PotentialImpacts><ThirdPartyTools></ThirdPartyTools><MitigationControl></MitigationControl><Responsibility></Responsibility><IAControls></IAControls>","In order to prevent unauthorized connection of devices, unauthorized transfer of information, or unauthorized tunneling (i.e., embedding of data types within data types), organizations must disable unused or unnecessary physical and logical ports/protocols on information systems.

Network devices are capable of providing a wide variety of functions and services. Some of the functions and services provided by default may not be necessary to support essential organizational operations. Additionally, it is sometimes convenient to provide multiple services from a single component (e.g., email and web services); however, doing so increases risk over limiting the services provided by any one component. 

To support the requirements and principles of least functionality, the network device must support the organizational requirements providing only essential capabilities and limiting the use of ports, protocols, and/or services to only those required, authorized, and approved. Some network devices have capabilities enabled by default; if these capabilities are not necessary, they must be disabled. If a particular capability is used, then it must be documented and approved.","","","false","","","","","","","","In the SMS client, ensure the SMS and TPS have disabled all unnecessary and insecure protocols. 

1. For SMS, click Admin and Management. 
2. Ensure only Ping is enabled and the SMS is in FIPS Mode. If any other services are enabled or if the SMS is not in FIPS mode, this is a finding.
3. For TPS, click Devices, All Devices, and the subject device hostname.
4. Click Device Configuration and select Services. Ensure only TLS 1.2 is enabled. 
5. Under FIPS Settings ensure the FIPS Mode is selected. If any other services are enabled or if the TPS is not in FIPS mode, this is a finding.","In the SMS client, ensure the SMS and TPS have disabled all unnecessary and insecure protocols. 

1. For SMS, click Admin and Management. 
2. Uncheck SSH, HTTPS, and TAXII. Ensure only Ping is checked.
3. Click edit on FIPS Mode. 
4. Under an approved change window only, enable FIPS Crypto Core. This will cause a reboot; only do this when authorized.
5. For TPS, click Devices, All Devices, and the subject device hostname. 
6. Click Device Configuration and select Services. 
7. Uncheck SSH, TLS 1.0 and TLS 1.1. Only HTTPS should be selected. 
8. Under FIPS Settings ensure the FIPS Mode is selected. This should also be done in an approved change window, as a reboot will be triggered.","CCI-000382"
"Trend Micro TippingPoint NDM Security Technical Implementation Guide","This Security Technical Implementation Guide is published as a tool to improve the security of Department of Defense (DoD) information systems. The requirements are derived from the National Institute of Standards and Technology (NIST) 800-53 and related documents. Comments or proposed revisions to this document should be sent via email to the following address: disa.stig_spt@mail.mil.","1","1 ","08 Jun 2021","Release: 1 Benchmark Date: 08 Jun 2021","STIG.DOD.MIL","terms-of-use","V-242237","SV-242237r710718_rule","TIPP-NM-000210","medium","CAT II","","SRG-APP-000148-NDM-000346","The TippingPoint SMS must be configured with only one local account to be used as the account of last resort in the event the authentication server is unavailable.","<VulnDiscussion>Authentication for administrative (privileged level) access to the device is required at all times. An account can be created on the device's local database for use when the authentication server is down or connectivity between the device and the authentication server is not operable. This account is referred to as the account of last resort because it is intended to be used as a last resort, and when immediate administrative access is absolutely necessary.

The account of last resort logon credentials must be stored in a sealed envelope and kept in a safe. The safe must be periodically audited to verify the envelope remains sealed. The signature of the auditor and the date of the audit should be added to the envelope as a record. Administrators should secure the credentials and disable the root account (if possible) when not needed for system administration functions.</VulnDiscussion><FalsePositives></FalsePositives><FalseNegatives></FalseNegatives><Documentable>false</Documentable><Mitigations></Mitigations><SeverityOverrideGuidance></SeverityOverrideGuidance><PotentialImpacts></PotentialImpacts><ThirdPartyTools></ThirdPartyTools><MitigationControl></MitigationControl><Responsibility></Responsibility><IAControls></IAControls>","Authentication for administrative (privileged level) access to the device is required at all times. An account can be created on the device's local database for use when the authentication server is down or connectivity between the device and the authentication server is not operable. This account is referred to as the account of last resort because it is intended to be used as a last resort, and when immediate administrative access is absolutely necessary.

The account of last resort logon credentials must be stored in a sealed envelope and kept in a safe. The safe must be periodically audited to verify the envelope remains sealed. The signature of the auditor and the date of the audit should be added to the envelope as a record. Administrators should secure the credentials and disable the root account (if possible) when not needed for system administration functions.","","","false","","","","","","","","In the SMS client, ensure the SMS has only a single local account. 

Select Admin >> Authentication and Authorization >> Users.

If more than one user is enabled under user accounts, this is a finding.","In the SMS client, ensure the SMS has only a single local emergency account.

1. Select Admin >> Authentication and Authorization >> Users.
2. Delete all but the user account being used for local emergency user account/account of last resort functions.

The local emergency user account must not be disabled after 35 days of inactivity. Log in to the serial console and set the following command:

set pwd.emergency-user=<USERNAME>","CCI-001358,CCI-002111"
"Trend Micro TippingPoint NDM Security Technical Implementation Guide","This Security Technical Implementation Guide is published as a tool to improve the security of Department of Defense (DoD) information systems. The requirements are derived from the National Institute of Standards and Technology (NIST) 800-53 and related documents. Comments or proposed revisions to this document should be sent via email to the following address: disa.stig_spt@mail.mil.","1","1 ","08 Jun 2021","Release: 1 Benchmark Date: 08 Jun 2021","STIG.DOD.MIL","terms-of-use","V-242238","SV-242238r710721_rule","TIPP-NM-000240","medium","CAT II","","SRG-APP-000164-NDM-000252","The TippingPoint SMS must enforce a minimum 15-character password length.","<VulnDiscussion>Password complexity, or strength, is a measure of the effectiveness of a password in resisting attempts at guessing and brute-force attacks. Password length is one factor of several that helps to determine strength and how long it takes to crack a password.

The shorter the password, the lower the number of possible combinations that need to be tested before the password is compromised. Use of more characters in a password helps to exponentially increase the time and/or resources required to compromise the password.</VulnDiscussion><FalsePositives></FalsePositives><FalseNegatives></FalseNegatives><Documentable>false</Documentable><Mitigations></Mitigations><SeverityOverrideGuidance></SeverityOverrideGuidance><PotentialImpacts></PotentialImpacts><ThirdPartyTools></ThirdPartyTools><MitigationControl></MitigationControl><Responsibility></Responsibility><IAControls></IAControls>","Password complexity, or strength, is a measure of the effectiveness of a password in resisting attempts at guessing and brute-force attacks. Password length is one factor of several that helps to determine strength and how long it takes to crack a password.

The shorter the password, the lower the number of possible combinations that need to be tested before the password is compromised. Use of more characters in a password helps to exponentially increase the time and/or resources required to compromise the password.","","","false","","","","","","","","In the SMS client, ensure the SMS password complexity requirements are met. 

1. Under Security, click Edit and Preferences. 
2. If the security level is set to anything except ""3 - High"", this is a finding. This setting ensures a 15-character minimum, uppercase, lowercase, numbers, and symbols are used.","In the SMS client, ensure the SMS password complexity requirements are met.

1. Under Security, click Edit and Preferences. 
2. Change security level to ""3 - High"". This setting ensures a 15-character minimum, uppercase, lowercase, numbers, and symbols are used.","CCI-000205"
"Trend Micro TippingPoint NDM Security Technical Implementation Guide","This Security Technical Implementation Guide is published as a tool to improve the security of Department of Defense (DoD) information systems. The requirements are derived from the National Institute of Standards and Technology (NIST) 800-53 and related documents. Comments or proposed revisions to this document should be sent via email to the following address: disa.stig_spt@mail.mil.","1","1 ","08 Jun 2021","Release: 1 Benchmark Date: 08 Jun 2021","STIG.DOD.MIL","terms-of-use","V-242239","SV-242239r710724_rule","TIPP-NM-000250","medium","CAT II","","SRG-APP-000166-NDM-000254","The TippingPoint SMS must enforce password complexity by requiring that at least one uppercase character be used.","<VulnDiscussion>Use of a complex passwords helps to increase the time and resources required to compromise the password. Password complexity, or strength, is a measure of the effectiveness of a password in resisting attempts at guessing and brute-force attacks.

Password complexity is one factor of several that determine how long it takes to crack a password. The more complex the password is, the greater the number of possible combinations that need to be tested before the password is compromised.

Multifactor authentication (MFA) is required for all administrative and user accounts on network devices, except for an account of last resort and (where applicable) a root account. Passwords should only be used when MFA using PKI is not available, and for the account of last resort and root account.</VulnDiscussion><FalsePositives></FalsePositives><FalseNegatives></FalseNegatives><Documentable>false</Documentable><Mitigations></Mitigations><SeverityOverrideGuidance></SeverityOverrideGuidance><PotentialImpacts></PotentialImpacts><ThirdPartyTools></ThirdPartyTools><MitigationControl></MitigationControl><Responsibility></Responsibility><IAControls></IAControls>","Use of a complex passwords helps to increase the time and resources required to compromise the password. Password complexity, or strength, is a measure of the effectiveness of a password in resisting attempts at guessing and brute-force attacks.

Password complexity is one factor of several that determine how long it takes to crack a password. The more complex the password is, the greater the number of possible combinations that need to be tested before the password is compromised.

Multifactor authentication (MFA) is required for all administrative and user accounts on network devices, except for an account of last resort and (where applicable) a root account. Passwords should only be used when MFA using PKI is not available, and for the account of last resort and root account.","","","false","","","","","","","","In the SMS client, ensure the SMS password complexity requirements are met.

1. Under Security, click Edit and Preferences. 
2. If the security level is set to anything except ""3 - High"", this is a finding. This setting ensures a 15-character minimum, uppercase, lowercase, numbers, and symbols are used.","In the SMS client, ensure the SMS password complexity requirements are met. 

1. Under Security, click Edit and Preferences. 
2. Change security level to ""3 - High"". This setting ensures a 15-character minimum, uppercase, lowercase, numbers, and symbols are used.","CCI-000192"
"Trend Micro TippingPoint NDM Security Technical Implementation Guide","This Security Technical Implementation Guide is published as a tool to improve the security of Department of Defense (DoD) information systems. The requirements are derived from the National Institute of Standards and Technology (NIST) 800-53 and related documents. Comments or proposed revisions to this document should be sent via email to the following address: disa.stig_spt@mail.mil.","1","1 ","08 Jun 2021","Release: 1 Benchmark Date: 08 Jun 2021","STIG.DOD.MIL","terms-of-use","V-242240","SV-242240r710727_rule","TIPP-NM-000260","medium","CAT II","","SRG-APP-000167-NDM-000255","The TippingPoint SMS must enforce password complexity by requiring that at least one lowercase character be used.","<VulnDiscussion>Use of a complex password helps to increase the time and resources required to compromise the password. Password complexity, or strength, is a measure of the effectiveness of a password in resisting attempts at guessing and brute-force attacks.

Password complexity is one factor of several that determine how long it takes to crack a password. The more complex the password, the greater the number of possible combinations that need to be tested before the password is compromised.

Multifactor authentication (MFA) is required for all administrative and user accounts on network devices, except for an account of last resort and (where applicable) a root account. Passwords should only be used when MFA using PKI is not available, and for the account of last resort and root account.</VulnDiscussion><FalsePositives></FalsePositives><FalseNegatives></FalseNegatives><Documentable>false</Documentable><Mitigations></Mitigations><SeverityOverrideGuidance></SeverityOverrideGuidance><PotentialImpacts></PotentialImpacts><ThirdPartyTools></ThirdPartyTools><MitigationControl></MitigationControl><Responsibility></Responsibility><IAControls></IAControls>","Use of a complex password helps to increase the time and resources required to compromise the password. Password complexity, or strength, is a measure of the effectiveness of a password in resisting attempts at guessing and brute-force attacks.

Password complexity is one factor of several that determine how long it takes to crack a password. The more complex the password, the greater the number of possible combinations that need to be tested before the password is compromised.

Multifactor authentication (MFA) is required for all administrative and user accounts on network devices, except for an account of last resort and (where applicable) a root account. Passwords should only be used when MFA using PKI is not available, and for the account of last resort and root account.","","","false","","","","","","","","In the SMS client, ensure the SMS password complexity requirements are met.

1. Under Security, click Edit and Preferences. 
2. If the security level is set to anything except ""3 - High"", this is a finding. This setting ensures a 15-character minimum, uppercase, lowercase, numbers, and symbols are used.","In the SMS client, ensure the SMS password complexity requirements are met.

1. Under Security, click Edit and Preferences. 
2. Change security level to ""3 - High"". This setting ensures a 15-character minimum, uppercase, lowercase, numbers, and symbols are used.","CCI-000193"
