"Title","Description","Version","Release","BenchmarkDate","ReleaseInfo","Source","Notice","Rule_VulnID","Rule_RuleID","Rule_StigID","Rule_Severity","Rule_Cat","Rule_Classification","Rule_GroupTitle","Rule_RuleTitle","Rule_Description","Rule_VulnDiscussion","Rule_FalsePositives","Rule_FalseNegatives","Rule_Documentable","Rule_Mitigations","Rule_SeverityOverrideGuidance","Rule_PotentialImpacts","Rule_ThirdPartyTools","Rule_MitigationControl","Rule_Responsibility","Rule_IAControls","Rule_CheckText","Rule_FixText","Rule_CCI"
"Tanium 7.x Application on TanOS Security Technical Implementation Guide","This Security Technical Implementation Guide is published as a tool to improve the security of Department of Defense (DOD) information systems. The requirements are derived from the National Institute of Standards and Technology (NIST) 800-53 and related documents. Comments or proposed revisions to this document should be sent via email to the following address: disa.stig_spt@mail.mil.","1","1 ","18 Nov 2022","Release: 1 Benchmark Date: 18 Nov 2022","STIG.DOD.MIL","terms-of-use","V-254874","SV-254874r867522_rule","TANS-AP-000005","medium","CAT II","","SRG-APP-000001","The Tanium max_soap_sessions_total setting must be explicitly enabled to limit the number of simultaneous sessions.","<VulnDiscussion>Application management includes the ability to control the number of users and user sessions that utilize an application. Limiting the number of allowed users and sessions per user is helpful in limiting risks related to DoS attacks.
 
This requirement may be met via the application or by utilizing information system, session control provided by a web server with specialized session management capabilities. If it has been specified that this requirement will be handled by the application, the capability to limit the maximum number of concurrent single user sessions must be designed and built in to the application.
 
This requirement addresses concurrent sessions for information system accounts and does not address concurrent sessions by single users via multiple system accounts. The maximum number of concurrent sessions should be defined based upon mission needs and the operational environment for each system.</VulnDiscussion><FalsePositives></FalsePositives><FalseNegatives></FalseNegatives><Documentable>false</Documentable><Mitigations></Mitigations><SeverityOverrideGuidance></SeverityOverrideGuidance><PotentialImpacts></PotentialImpacts><ThirdPartyTools></ThirdPartyTools><MitigationControl></MitigationControl><Responsibility></Responsibility><IAControls></IAControls>","Application management includes the ability to control the number of users and user sessions that utilize an application. Limiting the number of allowed users and sessions per user is helpful in limiting risks related to DoS attacks.
 
This requirement may be met via the application or by utilizing information system, session control provided by a web server with specialized session management capabilities. If it has been specified that this requirement will be handled by the application, the capability to limit the maximum number of concurrent single user sessions must be designed and built in to the application.
 
This requirement addresses concurrent sessions for information system accounts and does not address concurrent sessions by single users via multiple system accounts. The maximum number of concurrent sessions should be defined based upon mission needs and the operational environment for each system.","","","false","","","","","","","","1. Using a web browser on a system that has connectivity to the Tanium Application, access the Tanium Application web user interface (UI) and log on with multi-factor authentication.
 
2. Click ""Administration"" on the top navigation banner.
 
3. Under ""Configuration,"" select ""Platform Settings"".
 
4. In the ""Filter items "" search box, type ""max_soap_sessions_total"".
 
5. Click ""Enter"".
 
If no results are returned, this is a finding.
 
If results are returned for ""max_soap_sessions_total"", but the value does not follow {(Number of Users) * 1024} formula, this is a finding.","1. Using a web browser on a system that has connectivity to the Tanium Application, access the Tanium Application web user interface (UI) and log on with multi-factor authentication.

2. Click ""Administration"" on the top navigation banner.
 
3. Under ""Configuration,"" select ""Platform Settings"".
 
4. Click ""Create Setting"". 

5. Select ""Server"" for ""Setting Type"".

6. In the ""Create Platform Setting"" dialog box, enter ""max_soap_sessions_total"" for ""Name"".

7. Select the ""Numeric"" radio button from ""Value Type"". 

8. Use this formula for determining ""Setting Value"" {(Number of Users) * 1024 = max_soap_sessions_total} 

9. Click ""Save"".
 
10. Add this setting to the system documentation for validation.","CCI-000054"
"Tanium 7.x Application on TanOS Security Technical Implementation Guide","This Security Technical Implementation Guide is published as a tool to improve the security of Department of Defense (DOD) information systems. The requirements are derived from the National Institute of Standards and Technology (NIST) 800-53 and related documents. Comments or proposed revisions to this document should be sent via email to the following address: disa.stig_spt@mail.mil.","1","1 ","18 Nov 2022","Release: 1 Benchmark Date: 18 Nov 2022","STIG.DOD.MIL","terms-of-use","V-254875","SV-254875r867525_rule","TANS-AP-000010","medium","CAT II","","SRG-APP-000001","The Tanium max_soap_sessions_per_user setting must be explicitly enabled to limit the number of simultaneous sessions.","<VulnDiscussion>Application management includes the ability to control the number of users and user sessions that utilize an application. Limiting the number of allowed users and sessions per user is helpful in limiting risks related to DoS attacks.
 
This requirement may be met via the application or by utilizing information system session control provided by a web server with specialized session management capabilities. If it has been specified that this requirement will be handled by the application, the capability to limit the maximum number of concurrent single user sessions must be designed and built in to the application.
 
This requirement addresses concurrent sessions for information system accounts and does not address concurrent sessions by single users via multiple system accounts. The maximum number of concurrent sessions should be defined based upon mission needs and the operational environment for each system.</VulnDiscussion><FalsePositives></FalsePositives><FalseNegatives></FalseNegatives><Documentable>false</Documentable><Mitigations></Mitigations><SeverityOverrideGuidance></SeverityOverrideGuidance><PotentialImpacts></PotentialImpacts><ThirdPartyTools></ThirdPartyTools><MitigationControl></MitigationControl><Responsibility></Responsibility><IAControls></IAControls>","Application management includes the ability to control the number of users and user sessions that utilize an application. Limiting the number of allowed users and sessions per user is helpful in limiting risks related to DoS attacks.
 
This requirement may be met via the application or by utilizing information system session control provided by a web server with specialized session management capabilities. If it has been specified that this requirement will be handled by the application, the capability to limit the maximum number of concurrent single user sessions must be designed and built in to the application.
 
This requirement addresses concurrent sessions for information system accounts and does not address concurrent sessions by single users via multiple system accounts. The maximum number of concurrent sessions should be defined based upon mission needs and the operational environment for each system.","","","false","","","","","","","","1. Using a web browser on a system that has connectivity to the Tanium Application, access the Tanium Application web user interface (UI) and logon with multi-factor authentication.
 
2. Click ""Administration"" on the top navigation banner.
 
3. Under ""Configuration,"" select ""Platform Settings"".
 
4. In the ""Filter items"" search box, type ""max_soap_sessions_per_user"".
 
5. Click ""Enter"".
 
If no results are returned, this is a finding.
 
If results are returned for ""max_soap_sessions_per_user"", but the value is not ""1024"", this is a finding.","1. Using a web browser on a system that has connectivity to the Tanium Application, access the Tanium Application web user interface (UI) and log on with multi-factor authentication.
 
2. Click ""Administration"" on the top navigation banner. 

3. Under ""Configuration,"" select ""Platform Settings"". 

4. Click ""Create Setting"". 

5. Select ""Server"" for ""Setting Type"".

6. In the ""Create Platform Setting"" dialog box, enter ""max_soap_sessions_per_user"" for ""Name"". 

7. Select the ""Numeric"" radio button from ""Value Type"".

8. Enter ""1024"" for the ""Value:"". 

9. Click ""Save"". 

10. Add this setting to the system documentation for validation.","CCI-000054"
"Tanium 7.x Application on TanOS Security Technical Implementation Guide","This Security Technical Implementation Guide is published as a tool to improve the security of Department of Defense (DOD) information systems. The requirements are derived from the National Institute of Standards and Technology (NIST) 800-53 and related documents. Comments or proposed revisions to this document should be sent via email to the following address: disa.stig_spt@mail.mil.","1","1 ","18 Nov 2022","Release: 1 Benchmark Date: 18 Nov 2022","STIG.DOD.MIL","terms-of-use","V-254876","SV-254876r867528_rule","TANS-AP-000020","medium","CAT II","","SRG-APP-000003","The Tanium Application Server console must be configured to initiate a session lock after a 15-minute period of inactivity.","<VulnDiscussion>The Tanium Console, when multi-factor authentication is enabled, will initiate a session lock based upon the ActivClient or other Smart Card software.
 
 By initiating the session lock, the console will be locked and not allow unauthorized access by anyone other than the original user.
 
 Although this setting does not apply when multi-factor authentication is enabled, it should be explicitly disabled in the event multi-factor authentication is ever broken or removed.</VulnDiscussion><FalsePositives></FalsePositives><FalseNegatives></FalseNegatives><Documentable>false</Documentable><Mitigations></Mitigations><SeverityOverrideGuidance></SeverityOverrideGuidance><PotentialImpacts></PotentialImpacts><ThirdPartyTools></ThirdPartyTools><MitigationControl></MitigationControl><Responsibility></Responsibility><IAControls></IAControls>","The Tanium Console, when multi-factor authentication is enabled, will initiate a session lock based upon the ActivClient or other Smart Card software.
 
 By initiating the session lock, the console will be locked and not allow unauthorized access by anyone other than the original user.
 
 Although this setting does not apply when multi-factor authentication is enabled, it should be explicitly disabled in the event multi-factor authentication is ever broken or removed.","","","false","","","","","","","","1. Using a web browser on a system that has connectivity to the Tanium Application, access the Tanium Application web user interface (UI) and log on with multi-factor authentication.
 
2. Click ""Administration"" on the top navigation banner.
 
3. Under ""Configuration,"" select ""Platform Settings"".
 
4. In the ""Filter items"" search box type ""max_console_idle_seconds"".
 
5. Click ""Enter"".
 
If no results are returned, this is a finding.
 
If results are returned for ""max_console_idle_seconds"", but the value is not between the range of ""1 - 900"", this is a finding.","1. Using a web browser on a system that has connectivity to the Tanium Application, access the Tanium Application web user interface (UI) and log on with multi-factor authentication. 

2. Click ""Administration"" on the top navigation banner. 

3. Under ""Configuration,"" select ""Platform Settings"". 

4. Click ""Create Setting"". 

5. Select ""Server"" box for ""Setting Type"".

6. In the ""Create Platform Setting"" dialog box enter ""max_console_idle_seconds"" for ""Name"".
 
7. Select the ""Numeric"" radio button from ""Value Type"".

8. Select ""Value"" and enter a value between the range of ""1 - 900"". 

9. Click ""Save"".

10. Add this setting to the system documentation for validation.","CCI-000057"
"Tanium 7.x Application on TanOS Security Technical Implementation Guide","This Security Technical Implementation Guide is published as a tool to improve the security of Department of Defense (DOD) information systems. The requirements are derived from the National Institute of Standards and Technology (NIST) 800-53 and related documents. Comments or proposed revisions to this document should be sent via email to the following address: disa.stig_spt@mail.mil.","1","1 ","18 Nov 2022","Release: 1 Benchmark Date: 18 Nov 2022","STIG.DOD.MIL","terms-of-use","V-254877","SV-254877r867531_rule","TANS-AP-000040","medium","CAT II","","SRG-APP-000015","The Tanium endpoint must have the Tanium Server's pki.db in its installation.","<VulnDiscussion>Without cryptographic integrity protections in the Tanium Client, information could be altered by unauthorized users without detection.

Cryptographic mechanisms used for protecting the integrity of Tanium communications information include signed hash functions using asymmetric cryptography enabling distribution of the public key to verify the hash information while maintaining the confidentiality of the secret key used to generate the hash.</VulnDiscussion><FalsePositives></FalsePositives><FalseNegatives></FalseNegatives><Documentable>false</Documentable><Mitigations></Mitigations><SeverityOverrideGuidance></SeverityOverrideGuidance><PotentialImpacts></PotentialImpacts><ThirdPartyTools></ThirdPartyTools><MitigationControl></MitigationControl><Responsibility></Responsibility><IAControls></IAControls>","Without cryptographic integrity protections in the Tanium Client, information could be altered by unauthorized users without detection.

Cryptographic mechanisms used for protecting the integrity of Tanium communications information include signed hash functions using asymmetric cryptography enabling distribution of the public key to verify the hash information while maintaining the confidentiality of the secret key used to generate the hash.","","","false","","","","","","","","1. Using a web browser on a system that has connectivity to the Tanium application, access the Tanium application web user interface (UI) and log on with multi-factor authentication.

2. Click ""Administration"" on the top navigation banner.

3. Under ""Configuration,"" select ""Client Status"".

4. Change ""Show systems that have reported in the last:""; enter ""7"" in the first field. 

5. Select ""Days"" from the drop-down menu in the second field to determine if any endpoints connected with an invalid key.

If any systems are listed with ""No"" in the ""Valid Key"" column, this is a finding.","For systems that do not have a valid key for the Tanium Server, redeploy the client software from Tanium using Tanium Client Management or work with the Tanium system administrator to accomplish this.

1. Configure a deployment.

2. Deploy the package or installer.

3. Target appropriate systems.","CCI-001453"
"Tanium 7.x Application on TanOS Security Technical Implementation Guide","This Security Technical Implementation Guide is published as a tool to improve the security of Department of Defense (DOD) information systems. The requirements are derived from the National Institute of Standards and Technology (NIST) 800-53 and related documents. Comments or proposed revisions to this document should be sent via email to the following address: disa.stig_spt@mail.mil.","1","1 ","18 Nov 2022","Release: 1 Benchmark Date: 18 Nov 2022","STIG.DOD.MIL","terms-of-use","V-254878","SV-254878r867534_rule","TANS-AP-000045","medium","CAT II","","SRG-APP-000015","Tanium Trusted Content providers must be documented.","<VulnDiscussion>A Tanium Sensor, also called content, enables an organization to gather real-time inventory, configuration, and compliance data elements from managed computers. Sensors gather specific information from the local device and then write the results to the computer's standard output channel. The Tanium Client captures that output and forwards the results through the platform's unique ""ring"" architecture for display in the Tanium Console.

The language used for Sensor development is based on the scripting engine available on the largest number of devices under management as well as the scripting experience and background of the people who will be responsible for creating new Sensors. VBScript and PowerShell are examples of common scripting languages used for developing sensors.

Because errors in scripting can and will provide errant feedback at best and will impact functionality of the endpoint to which the content is directed, it is imperative to ensure content is only accepted from trusted sources.</VulnDiscussion><FalsePositives></FalsePositives><FalseNegatives></FalseNegatives><Documentable>false</Documentable><Mitigations></Mitigations><SeverityOverrideGuidance></SeverityOverrideGuidance><PotentialImpacts></PotentialImpacts><ThirdPartyTools></ThirdPartyTools><MitigationControl></MitigationControl><Responsibility></Responsibility><IAControls></IAControls>","A Tanium Sensor, also called content, enables an organization to gather real-time inventory, configuration, and compliance data elements from managed computers. Sensors gather specific information from the local device and then write the results to the computer's standard output channel. The Tanium Client captures that output and forwards the results through the platform's unique ""ring"" architecture for display in the Tanium Console.

The language used for Sensor development is based on the scripting engine available on the largest number of devices under management as well as the scripting experience and background of the people who will be responsible for creating new Sensors. VBScript and PowerShell are examples of common scripting languages used for developing sensors.

Because errors in scripting can and will provide errant feedback at best and will impact functionality of the endpoint to which the content is directed, it is imperative to ensure content is only accepted from trusted sources.","","","false","","","","","","","","Note: If only using Tanium-provided content and not accepting content from any other content providers, this is Not Applicable.  

Consult with the Tanium System Administrator to review the documented list of trusted content providers along with the Hash for their respective public keys.  

If the site does not have the Tanium trusted content providers documented along with the SHA-256 Hash for their respective public keys, this is a finding.","Prepare and maintain documentation identifying the Tanium trusted content providers along with the SHA-256 Hash from their respective public keys.","CCI-001453"
"Tanium 7.x Application on TanOS Security Technical Implementation Guide","This Security Technical Implementation Guide is published as a tool to improve the security of Department of Defense (DOD) information systems. The requirements are derived from the National Institute of Standards and Technology (NIST) 800-53 and related documents. Comments or proposed revisions to this document should be sent via email to the following address: disa.stig_spt@mail.mil.","1","1 ","18 Nov 2022","Release: 1 Benchmark Date: 18 Nov 2022","STIG.DOD.MIL","terms-of-use","V-254879","SV-254879r867537_rule","TANS-AP-000050","medium","CAT II","","SRG-APP-000015","Content providers must provide their public key to the Tanium administrator to import for validating signed content.","<VulnDiscussion>A Tanium Sensor, also called content, enables an organization to gather real-time inventory, configuration, and compliance data elements from managed computers. Sensors gather specific information from the local device and then write the results to the computer's standard output channel. The Tanium Client captures that output and forwards the results through the platform's unique ""ring"" architecture for display in the Tanium Console.

The language used for Sensor development is based on the scripting engine available on the largest number of devices under management as well as the scripting experience and background of the people who will be responsible for creating new Sensors. VBScript and PowerShell are examples of common scripting languages used for developing sensors.

Because errors in scripting can and will provide errant feedback at best and will impact functionality of the endpoint to which the content is directed, it is imperative to ensure content is only accepted from trusted sources.</VulnDiscussion><FalsePositives></FalsePositives><FalseNegatives></FalseNegatives><Documentable>false</Documentable><Mitigations></Mitigations><SeverityOverrideGuidance></SeverityOverrideGuidance><PotentialImpacts></PotentialImpacts><ThirdPartyTools></ThirdPartyTools><MitigationControl></MitigationControl><Responsibility></Responsibility><IAControls></IAControls>","A Tanium Sensor, also called content, enables an organization to gather real-time inventory, configuration, and compliance data elements from managed computers. Sensors gather specific information from the local device and then write the results to the computer's standard output channel. The Tanium Client captures that output and forwards the results through the platform's unique ""ring"" architecture for display in the Tanium Console.

The language used for Sensor development is based on the scripting engine available on the largest number of devices under management as well as the scripting experience and background of the people who will be responsible for creating new Sensors. VBScript and PowerShell are examples of common scripting languages used for developing sensors.

Because errors in scripting can and will provide errant feedback at best and will impact functionality of the endpoint to which the content is directed, it is imperative to ensure content is only accepted from trusted sources.","","","false","","","","","","","","Note: If only using Tanium-provided content and not accepting content from any other content providers, this is Not Applicable.  

Obtain documentation from the Tanium System Administrator that contains the public key validation data.  

1. Access the Tanium Server interactively.  

2. Log on to the TanOS server with the tanadmin role.  

3. Press ""2"" for ""Tanium Operations Menu,"" and then press ""Enter"".  

4. Press ""5"" for ""Manage Custom Signing Keys,"" and then press ""Enter"". 

5. Press ""L"" for ""List Content Signing Keys,"" and then press ""Enter"".  

If signing keys not listed in the provided documentation are present, this is a finding.","Note: If only using Tanium-provided content and not accepting content from any other content providers, this is Not Applicable.  

Obtain documentation from the Tanium System Administrator that contains the public key validation data.  

1. Access the Tanium Server interactively.  

2. Log on to the TanOS server with the tanadmin role.  

3. Press ""2"" for ""Tanium Operations Menu,"" and then press ""Enter"".  

4. Press ""5"" for ""Manage Custom Signing Keys,"" and then press ""Enter"".  

5. Press ""A"" for ""List Content Signing Keys,"" and then press ""Enter"".  

6. Check the provided documentation and either update the document with the name and SHA-256 hash of the key or remove the key.","CCI-001453"
"Tanium 7.x Application on TanOS Security Technical Implementation Guide","This Security Technical Implementation Guide is published as a tool to improve the security of Department of Defense (DOD) information systems. The requirements are derived from the National Institute of Standards and Technology (NIST) 800-53 and related documents. Comments or proposed revisions to this document should be sent via email to the following address: disa.stig_spt@mail.mil.","1","1 ","18 Nov 2022","Release: 1 Benchmark Date: 18 Nov 2022","STIG.DOD.MIL","terms-of-use","V-254880","SV-254880r867540_rule","TANS-AP-000055","medium","CAT II","","SRG-APP-000015","Tanium public keys of content providers must be validated against documented trusted content providers.","<VulnDiscussion>A Tanium Sensor, also called content, enables an organization to gather real-time inventory, configuration, and compliance data elements from managed computers. Sensors gather specific information from the local device and then write the results to the computer's standard output channel. The Tanium Client captures that output and forwards the results through the platform's unique ""ring"" architecture for display in the Tanium Console.

The language used for Sensor development is based on the scripting engine available on the largest number of devices under management as well as the scripting experience and background of the people who will be responsible for creating new Sensors. VBScript and PowerShell are examples of common scripting languages used for developing sensors.

Because errors in scripting can and will provide errant feedback at best and will impact functionality of the endpoint to which the content is directed, it is imperative to ensure content is only accepted from trusted sources.</VulnDiscussion><FalsePositives></FalsePositives><FalseNegatives></FalseNegatives><Documentable>false</Documentable><Mitigations></Mitigations><SeverityOverrideGuidance></SeverityOverrideGuidance><PotentialImpacts></PotentialImpacts><ThirdPartyTools></ThirdPartyTools><MitigationControl></MitigationControl><Responsibility></Responsibility><IAControls></IAControls>","A Tanium Sensor, also called content, enables an organization to gather real-time inventory, configuration, and compliance data elements from managed computers. Sensors gather specific information from the local device and then write the results to the computer's standard output channel. The Tanium Client captures that output and forwards the results through the platform's unique ""ring"" architecture for display in the Tanium Console.

The language used for Sensor development is based on the scripting engine available on the largest number of devices under management as well as the scripting experience and background of the people who will be responsible for creating new Sensors. VBScript and PowerShell are examples of common scripting languages used for developing sensors.

Because errors in scripting can and will provide errant feedback at best and will impact functionality of the endpoint to which the content is directed, it is imperative to ensure content is only accepted from trusted sources.","","","false","","","","","","","","Note: If only using Tanium-provided content and not accepting content from any other content providers, this is Not Applicable.  

Obtain documentation from the Tanium System Administrator that contains the public key validation data.  

1. Access the Tanium Server interactively.  

2. Log on to the TanOS server with the tanadmin role.  

3. Press ""2"" for ""Tanium Operations Menu,"" and then press ""Enter"".  

4. Press ""5"" for ""Manage Custom Signing Keys,"" and then press ""Enter"". 

5. Press ""L"" for ""List Content Signing Keys,"" and then press ""Enter"".  

If signing keys not listed in the provided documentation are present, this is a finding.","Note: If only using Tanium-provided content and not accepting content from any other content providers, this is Not Applicable.  

Obtain documentation from the Tanium System Administrator that contains the public key validation data.  

1. Access the Tanium Server interactively.  

2. Log on to the TanOS server with the tanadmin role.  

3. Press ""2"" for ""Tanium Operations Menu,"" and then press ""Enter"".  

4. Press ""5"" for ""Manage Custom Signing Keys,"" and then press ""Enter"".  

5. Press ""A"" for ""List Content Signing Keys,"" and then press ""Enter"".  

6. Check the provided documentation and either update the document with the name and SHA-256 hash of the key or remove the key.","CCI-001453"
"Tanium 7.x Application on TanOS Security Technical Implementation Guide","This Security Technical Implementation Guide is published as a tool to improve the security of Department of Defense (DOD) information systems. The requirements are derived from the National Institute of Standards and Technology (NIST) 800-53 and related documents. Comments or proposed revisions to this document should be sent via email to the following address: disa.stig_spt@mail.mil.","1","1 ","18 Nov 2022","Release: 1 Benchmark Date: 18 Nov 2022","STIG.DOD.MIL","terms-of-use","V-254881","SV-254881r867543_rule","TANS-AP-000065","medium","CAT II","","SRG-APP-000023","The Tanium Application Server must be configured to only use LDAP for account management functions.","<VulnDiscussion>Enterprise environments make application account management challenging and complex. A manual process for account management functions adds the risk of a potential oversight or other error. 
 
To reduce risk, the Tanium Application Server must be configured to allow for LDAP to provide account management functions that immediately enforce the organization's current account policy.</VulnDiscussion><FalsePositives></FalsePositives><FalseNegatives></FalseNegatives><Documentable>false</Documentable><Mitigations></Mitigations><SeverityOverrideGuidance></SeverityOverrideGuidance><PotentialImpacts></PotentialImpacts><ThirdPartyTools></ThirdPartyTools><MitigationControl></MitigationControl><Responsibility></Responsibility><IAControls></IAControls>","Enterprise environments make application account management challenging and complex. A manual process for account management functions adds the risk of a potential oversight or other error. 
 
To reduce risk, the Tanium Application Server must be configured to allow for LDAP to provide account management functions that immediately enforce the organization's current account policy.","","","false","","","","","","","","1. Using a web browser on a system that has connectivity to the Tanium Application, access the Tanium Application web user interface (UI) and log on with multi-factor authentication.
 
2. Click ""Administration"" on the top navigation banner.
 
3. Under ""Configuration,"" select ""LDAP/AD Sync Configurations"".
 
4. Ensure LDAP sync is enabled.
 
If LDAP is not enabled, this is a finding.","Vendor documentation can be downloaded from the following URL: https://docs.tanium.com/platform_user/platform_user/console_using_ldap.html?Highlight=LDAP
 
1. Using a web browser on a system that has connectivity to the Tanium Application, access the Tanium Application web user interface (UI) and log on with multi-factor authentication. 

2. Click ""Administration"" on the top navigation banner. 

3. Under ""Configuration,"" select ""LDAP/AD Sync Configurations"". 

4. Follow the vendor documentation titled ""Integrating with LDAP Servers"" to implement correct configuration settings for this requirement.","CCI-000015"
"Tanium 7.x Application on TanOS Security Technical Implementation Guide","This Security Technical Implementation Guide is published as a tool to improve the security of Department of Defense (DOD) information systems. The requirements are derived from the National Institute of Standards and Technology (NIST) 800-53 and related documents. Comments or proposed revisions to this document should be sent via email to the following address: disa.stig_spt@mail.mil.","1","1 ","18 Nov 2022","Release: 1 Benchmark Date: 18 Nov 2022","STIG.DOD.MIL","terms-of-use","V-254882","SV-254882r867546_rule","TANS-AP-000100","medium","CAT II","","SRG-APP-000033","Tanium Computer Groups must be used to restrict console users from affecting changes to unauthorized computers.","<VulnDiscussion>Computer Groups allow a site running Tanium to assign responsibility of specific Computer Groups to specific Tanium console users. By doing so, a desktop administrator, for example, will not have the ability to enforce an action against a high visibility server.
 
For large sites, it is crucial to have the Computer Groups. While a smaller site might not seem to require Computer Groups, creating them provides for a cleaner implementation. All sites will be required to have some kind of Computer Groups configured other than the default ""All Computers"".</VulnDiscussion><FalsePositives></FalsePositives><FalseNegatives></FalseNegatives><Documentable>false</Documentable><Mitigations></Mitigations><SeverityOverrideGuidance></SeverityOverrideGuidance><PotentialImpacts></PotentialImpacts><ThirdPartyTools></ThirdPartyTools><MitigationControl></MitigationControl><Responsibility></Responsibility><IAControls></IAControls>","Computer Groups allow a site running Tanium to assign responsibility of specific Computer Groups to specific Tanium console users. By doing so, a desktop administrator, for example, will not have the ability to enforce an action against a high visibility server.
 
For large sites, it is crucial to have the Computer Groups. While a smaller site might not seem to require Computer Groups, creating them provides for a cleaner implementation. All sites will be required to have some kind of Computer Groups configured other than the default ""All Computers"".","","","false","","","","","","","","1. Using a web browser on a system that has connectivity to the Tanium Application, access the Tanium Application web user interface (UI) and log on with multi-factor authentication.
  
2. Click ""Administration"" on the top navigation banner.
  
3. Select the ""Computer Groups"" tab.
  
4. Under the ""Name"" column, verify organization-specific computer groups match the organization-defined list in the system security plan (SSP). 
  
If site- or organization-specific computer groups do not match or exist, this is a finding.","1. Using a web browser on a system that has connectivity to the Tanium Server, access the Tanium Server web user interface (UI) and log on with multi-factor authentication.
  
2. Click ""Administration"" on the top navigation banner.
  
3. Select the ""Computer Groups"" tab.
  
4. Configure specific Computer Groups to facilitate the management of computers by authorized individuals for those computers.
  
Note: Tanium offers two ways to define computer groups. Refer to documentation for explanation found here: https://docs.tanium.com/platform_user/platform_user/console_computer_groups.html#Computer_Group_types.","CCI-000213"
"Tanium 7.x Application on TanOS Security Technical Implementation Guide","This Security Technical Implementation Guide is published as a tool to improve the security of Department of Defense (DOD) information systems. The requirements are derived from the National Institute of Standards and Technology (NIST) 800-53 and related documents. Comments or proposed revisions to this document should be sent via email to the following address: disa.stig_spt@mail.mil.","1","1 ","18 Nov 2022","Release: 1 Benchmark Date: 18 Nov 2022","STIG.DOD.MIL","terms-of-use","V-254883","SV-254883r867549_rule","TANS-AP-000105","medium","CAT II","","SRG-APP-000033","Documentation identifying Tanium console users, their respective User Groups, Computer Groups, and Roles must be maintained.","<VulnDiscussion>System access must be reviewed periodically to verify all Tanium users are assigned the appropriate functional role, with the least privileged access possible to perform assigned tasks being the recommended best practice to avoid unauthorized access.</VulnDiscussion><FalsePositives></FalsePositives><FalseNegatives></FalseNegatives><Documentable>false</Documentable><Mitigations></Mitigations><SeverityOverrideGuidance></SeverityOverrideGuidance><PotentialImpacts></PotentialImpacts><ThirdPartyTools></ThirdPartyTools><MitigationControl></MitigationControl><Responsibility></Responsibility><IAControls></IAControls>","System access must be reviewed periodically to verify all Tanium users are assigned the appropriate functional role, with the least privileged access possible to perform assigned tasks being the recommended best practice to avoid unauthorized access.","","","false","","","","","","","","Consult with the Tanium System Administrator to review the documented list of Tanium users. User Groups, Roles, Computer Groups, and correlated LDAP security groups must be documented for users.

If the documentation does not exist, or is missing any Tanium users and their respective User Groups, Roles, Computer Groups, and correlated LDAP security groups documentation, this is a finding.","Prepare and maintain documentation identifying the Tanium console users and their respective User Groups, Roles, Computer Groups, and associated LDAP security groups.","CCI-000213"
