"Title","Description","Version","Release","BenchmarkDate","ReleaseInfo","Source","Notice","Rule_VulnID","Rule_RuleID","Rule_StigID","Rule_Severity","Rule_Cat","Rule_Classification","Rule_GroupTitle","Rule_RuleTitle","Rule_Description","Rule_VulnDiscussion","Rule_FalsePositives","Rule_FalseNegatives","Rule_Documentable","Rule_Mitigations","Rule_SeverityOverrideGuidance","Rule_PotentialImpacts","Rule_ThirdPartyTools","Rule_MitigationControl","Rule_Responsibility","Rule_IAControls","Rule_CheckText","Rule_FixText","Rule_CCI"
"Tanium 7.x Operating System on TanOS Security Technical Implementation Guide","This Security Technical Implementation Guide is published as a tool to improve the security of Department of Defense (DOD) information systems. The requirements are derived from the National Institute of Standards and Technology (NIST) 800-53 and related documents. Comments or proposed revisions to this document should be sent via email to the following address: disa.stig_spt@mail.mil.","1","1 ","18 Nov 2022","Release: 1 Benchmark Date: 18 Nov 2022","STIG.DOD.MIL","terms-of-use","V-254839","SV-254839r866058_rule","TANS-OS-000070","medium","CAT II","","SRG-OS-000021","The Tanium Operating System (TanOS) must enforce the limit of three consecutive invalid logon attempts by a user during a 15 minute time period.","<VulnDiscussion>By limiting the number of failed login attempts, the risk of unauthorized system access via user password guessing, otherwise known as brute forcing, is reduced. Limits are imposed by locking the account.</VulnDiscussion><FalsePositives></FalsePositives><FalseNegatives></FalseNegatives><Documentable>false</Documentable><Mitigations></Mitigations><SeverityOverrideGuidance></SeverityOverrideGuidance><PotentialImpacts></PotentialImpacts><ThirdPartyTools></ThirdPartyTools><MitigationControl></MitigationControl><Responsibility></Responsibility><IAControls></IAControls>","By limiting the number of failed login attempts, the risk of unauthorized system access via user password guessing, otherwise known as brute forcing, is reduced. Limits are imposed by locking the account.","","","false","","","","","","","","1. Access the Tanium Server interactively.

2. Log on to the TanOS server with the tanadmin role.

3. Press ""C"" for ""User Administration Menu,"" and then press ""Enter"".

4. Press L for ""Local Tanium User Management,"" and then press ""Enter"".

5. Press ""B"" for ""Security Policy Local Authentication Service,"" and then press ""Enter"".

If the value of ""Maximum Password Attempts:"" is greater than ""3"", this is a finding.","1. Access the Tanium Server interactively.

2. Log on to the TanOS server with the tanadmin role.

3. Press ""C"" for ""User Administration Menu,"" and then press ""Enter"".

4. Press ""L"" for ""Local Tanium User Management,"" and then press ""Enter"".

5. Press B for ""Security Policy Local Authentication Service,"" and then press ""Enter"".

6. Type ""yes,"" and then press ""Enter"".

7. Input the following settings pressing ""Enter"" after every value:
    a) Minimum Password Lifetime: Configure an appropriate value
    b) Maximum Password Lifetime: Configure an appropriate value
    c) Minimum Password Length: Configure an appropriate value
    d) Minimum Password History: Configure an appropriate value
    e) Password Lockout: Configure an appropriate value
    f) Maximum Password Attempts: 3

8. Type ""yes"" to accept the new password policy.","CCI-000044"
"Tanium 7.x Operating System on TanOS Security Technical Implementation Guide","This Security Technical Implementation Guide is published as a tool to improve the security of Department of Defense (DOD) information systems. The requirements are derived from the National Institute of Standards and Technology (NIST) 800-53 and related documents. Comments or proposed revisions to this document should be sent via email to the following address: disa.stig_spt@mail.mil.","1","1 ","18 Nov 2022","Release: 1 Benchmark Date: 18 Nov 2022","STIG.DOD.MIL","terms-of-use","V-254840","SV-254840r870367_rule","TANS-OS-000075","medium","CAT II","","SRG-OS-000023","The Tanium Operating System (TanOS) must display the Standard Mandatory DOD Notice and Consent Banner before granting access to the system.","<VulnDiscussion>Display of a standardized and approved use notification before granting access to the operating system ensures privacy and security notification verbiage used is consistent with applicable federal laws, Executive Orders, directives, policies, regulations, standards, and guidance.

System use notifications are required only for access via logon interfaces with human users and are not required when such human interfaces do not exist.

The banner must be formatted in accordance with DTM-08-060. Use the following verbiage for operating system that can accommodate banners of 1300 characters:
""You are accessing a U.S. Government (USG) Information System (IS) that is provided for USG-authorized use only.

By using this IS (which includes any device attached to this IS), you consent to the following conditions:
-The USG routinely intercepts and monitors communications on this IS for purposes including, but not limited to, penetration testing, COMSEC monitoring, network operations and defense, personnel misconduct (PM), law enforcement (LE), and counterintelligence (CI) investigations.
-At any time, the USG may inspect and seize data stored on this IS.
-Communications using, or data stored on, this IS are not private, are subject to routine monitoring, interception, and search, and may be disclosed or used for any USG-authorized purpose.
-This IS includes security measures (e.g., authentication and access controls) to protect USG interests--not for your personal benefit or privacy.
-Notwithstanding the above, using this IS does not constitute consent to PM, LE or CI investigative searching or monitoring of the content of privileged communications, or work product, related to personal representation or services by attorneys, psychotherapists, or clergy, and their assistants. Such communications and work product are private and confidential. See User Agreement for details.""
 
Use the following verbiage for operating systems that have severe limitations on the number of characters that can be displayed in the banner:
""I've read & consent to terms in IS user agreem't.""</VulnDiscussion><FalsePositives></FalsePositives><FalseNegatives></FalseNegatives><Documentable>false</Documentable><Mitigations></Mitigations><SeverityOverrideGuidance></SeverityOverrideGuidance><PotentialImpacts></PotentialImpacts><ThirdPartyTools></ThirdPartyTools><MitigationControl></MitigationControl><Responsibility></Responsibility><IAControls></IAControls>","Display of a standardized and approved use notification before granting access to the operating system ensures privacy and security notification verbiage used is consistent with applicable federal laws, Executive Orders, directives, policies, regulations, standards, and guidance.

System use notifications are required only for access via logon interfaces with human users and are not required when such human interfaces do not exist.

The banner must be formatted in accordance with DTM-08-060. Use the following verbiage for operating system that can accommodate banners of 1300 characters:
""You are accessing a U.S. Government (USG) Information System (IS) that is provided for USG-authorized use only.

By using this IS (which includes any device attached to this IS), you consent to the following conditions:
-The USG routinely intercepts and monitors communications on this IS for purposes including, but not limited to, penetration testing, COMSEC monitoring, network operations and defense, personnel misconduct (PM), law enforcement (LE), and counterintelligence (CI) investigations.
-At any time, the USG may inspect and seize data stored on this IS.
-Communications using, or data stored on, this IS are not private, are subject to routine monitoring, interception, and search, and may be disclosed or used for any USG-authorized purpose.
-This IS includes security measures (e.g., authentication and access controls) to protect USG interests--not for your personal benefit or privacy.
-Notwithstanding the above, using this IS does not constitute consent to PM, LE or CI investigative searching or monitoring of the content of privileged communications, or work product, related to personal representation or services by attorneys, psychotherapists, or clergy, and their assistants. Such communications and work product are private and confidential. See User Agreement for details.""
 
Use the following verbiage for operating systems that have severe limitations on the number of characters that can be displayed in the banner:
""I've read & consent to terms in IS user agreem't.""","","","false","","","","","","","","1. Access the Tanium Server interactively. 

2. Verify DOD use notification displayed prior to login. 

""You are accessing a U.S. Government (USG) Information System (IS) that is provided for USG-authorized use only.

By using this IS (which includes any device attached to this IS), you consent to the following conditions:
-The USG routinely intercepts and monitors communications on this IS for purposes including, but not limited to, penetration testing, COMSEC monitoring, network operations and defense, personnel misconduct (PM), law enforcement (LE), and counterintelligence (CI) investigations.
-At any time, the USG may inspect and seize data stored on this IS.
-Communications using, or data stored on, this IS are not private, are subject to routine monitoring, interception, and search, and may be disclosed or used for any USG-authorized purpose.
-This IS includes security measures (e.g., authentication and access controls) to protect USG interests--not for your personal benefit or privacy.
-Notwithstanding the above, using this IS does not constitute consent to PM, LE or CI investigative searching or monitoring of the content of privileged communications, or work product, related to personal representation or services by attorneys, psychotherapists, or clergy, and their assistants. Such communications and work product are private and confidential. See User Agreement for details.""

If a DOD-approved use notification banner does not display prior to logon, this is a finding.","1. Create a .txt file composed of the DOD-authorized warning banner verbiage.

""You are accessing a U.S. Government (USG) Information System (IS) that is provided for USG-authorized use only.

By using this IS (which includes any device attached to this IS), you consent to the following conditions:
-The USG routinely intercepts and monitors communications on this IS for purposes including, but not limited to, penetration testing, COMSEC monitoring, network operations and defense, personnel misconduct (PM), law enforcement (LE), and counterintelligence (CI) investigations.
-At any time, the USG may inspect and seize data stored on this IS.
-Communications using, or data stored on, this IS are not private, are subject to routine monitoring, interception, and search, and may be disclosed or used for any USG-authorized purpose.
-This IS includes security measures (e.g., authentication and access controls) to protect USG interests--not for your personal benefit or privacy.
-Notwithstanding the above, using this IS does not constitute consent to PM, LE or CI investigative searching or monitoring of the content of privileged communications, or work product, related to personal representation or services by attorneys, psychotherapists, or clergy, and their assistants. Such communications and work product are private and confidential. See User Agreement for details.""

2. Name the file ""banner_ssh.txt"".

3. Use SFTP to upload the HTML banner file to the /incoming folder.

4. Access the Tanium Server interactively.
 
5. Log on to the TanOS server with the tanadmin role, or any additional user with administrative privileges.

6. Enter A: Appliance Configuration Menu >> A: Security >> 3: Configure SSH Banner and follow the prompts.

7. Log off and back on to the Tanium Server to confirm application.","CCI-000048"
"Tanium 7.x Operating System on TanOS Security Technical Implementation Guide","This Security Technical Implementation Guide is published as a tool to improve the security of Department of Defense (DOD) information systems. The requirements are derived from the National Institute of Standards and Technology (NIST) 800-53 and related documents. Comments or proposed revisions to this document should be sent via email to the following address: disa.stig_spt@mail.mil.","1","1 ","18 Nov 2022","Release: 1 Benchmark Date: 18 Nov 2022","STIG.DOD.MIL","terms-of-use","V-254841","SV-254841r866064_rule","TANS-OS-000095","medium","CAT II","","SRG-OS-000027","The Tanium Operating System (TanOS) must limit the number of concurrent sessions to an organization-defined number for all accounts and/or account types.","<VulnDiscussion>Operating system management includes the ability to control the number of users and user sessions that utilize an operating system. Limiting the number of allowed users and sessions per user is helpful in limiting risks related to DoS attacks.

This requirement addresses concurrent sessions for information system accounts and does not address concurrent sessions by single users via multiple system accounts. The maximum number of concurrent sessions should be defined based upon mission needs and the operational environment for each system.</VulnDiscussion><FalsePositives></FalsePositives><FalseNegatives></FalseNegatives><Documentable>false</Documentable><Mitigations></Mitigations><SeverityOverrideGuidance></SeverityOverrideGuidance><PotentialImpacts></PotentialImpacts><ThirdPartyTools></ThirdPartyTools><MitigationControl></MitigationControl><Responsibility></Responsibility><IAControls></IAControls>","Operating system management includes the ability to control the number of users and user sessions that utilize an operating system. Limiting the number of allowed users and sessions per user is helpful in limiting risks related to DoS attacks.

This requirement addresses concurrent sessions for information system accounts and does not address concurrent sessions by single users via multiple system accounts. The maximum number of concurrent sessions should be defined based upon mission needs and the operational environment for each system.","","","false","","","","","","","","1. Access the Tanium Server interactively.

2. Log on to the TanOS server with the tanadmin role.

3. Press ""A"" for ""Appliance Configuration Menu,"" and then press ""Enter"".

4. Press ""A"" for ""Security,"" and then press ""Enter"".

5. Press ""P"" for ""Security Policy,"" and then press ""Enter"".

6. Press ""M"" for ""Maximum Concurrent Logins,"" and then press ""Enter"".

7. Work with the Tanium Administrator to confirm the number of maximum concurrent users.

If the value of ""Maximum Concurrent Logins:"" is greater than the approved value, this is a finding.","1. Access the Tanium Server interactively.

2. Log on to the TanOS server with the tanadmin role.

3. Press ""A"" for ""Appliance Configuration Menu,"" and press ""Enter"".

4. Press ""A"" for ""Security,"" and then press ""Enter"".

5. Press P for ""Security Policy,"" and then press ""Enter"".

6. Press ""M"" for ""Maximum Concurrent Logins,"" and then press ""Enter"".

7. Work with the Tanium Administrator to set the number of maximum concurrent users.","CCI-000054"
"Tanium 7.x Operating System on TanOS Security Technical Implementation Guide","This Security Technical Implementation Guide is published as a tool to improve the security of Department of Defense (DOD) information systems. The requirements are derived from the National Institute of Standards and Technology (NIST) 800-53 and related documents. Comments or proposed revisions to this document should be sent via email to the following address: disa.stig_spt@mail.mil.","1","1 ","18 Nov 2022","Release: 1 Benchmark Date: 18 Nov 2022","STIG.DOD.MIL","terms-of-use","V-254842","SV-254842r870377_rule","TANS-OS-000165","medium","CAT II","","SRG-OS-000046","The Tanium operating system (TanOS) must alert the ISSO and SA (at a minimum) in the event of an audit processing failure.","<VulnDiscussion>It is critical for the appropriate personnel to be aware if a system is at risk of failing to process audit logs as required. Without this notification, the security personnel may be unaware of an impending failure of the audit capability and system operation may be adversely affected. 

Audit processing failures include software/hardware errors, failures in the audit capturing mechanisms, and audit storage capacity being reached or exceeded.

This requirement applies to each audit data storage repository (i.e., distinct information system component where audit records are stored), the centralized audit storage capacity of organizations (i.e., all audit data storage repositories combined), or both.</VulnDiscussion><FalsePositives></FalsePositives><FalseNegatives></FalseNegatives><Documentable>false</Documentable><Mitigations></Mitigations><SeverityOverrideGuidance></SeverityOverrideGuidance><PotentialImpacts></PotentialImpacts><ThirdPartyTools></ThirdPartyTools><MitigationControl></MitigationControl><Responsibility></Responsibility><IAControls></IAControls>","It is critical for the appropriate personnel to be aware if a system is at risk of failing to process audit logs as required. Without this notification, the security personnel may be unaware of an impending failure of the audit capability and system operation may be adversely affected. 

Audit processing failures include software/hardware errors, failures in the audit capturing mechanisms, and audit storage capacity being reached or exceeded.

This requirement applies to each audit data storage repository (i.e., distinct information system component where audit records are stored), the centralized audit storage capacity of organizations (i.e., all audit data storage repositories combined), or both.","","","false","","","","","","","","1. Access the TanOS interactively.

2. Press ""A"" for ""Appliance Configuration Menu,"" and then press ""Enter"".

3. Press 4 for ""Syslog Configuration,"" and then press ""Enter"".

4. Press ""1"" for ""Check current status,"" and then press Enter.

If the syslog status page states, ""No existing TanOS syslog forwarding configuration found"", this is a finding.

If the syslog status page states, ""Syslog forwarding configuration"" and the SIEM administrator verifies SIEM is receiving the events correctly and generating notifications for audit processing failure events, this is not a finding.","1. Access the TanOS interactively.

2. Press A for ""Appliance Configuration Menu,"" and then press ""Enter"".

3. Press ""4"" for ""Syslog Configuration,"" and then press ""Enter"".

4. Press 5 for ""Configure syslog forwarding,"" and then press ""Enter"".

5. Enter the destination host (IP address or hostname) provided by the SIEM administrator, and then press ""Enter"".

6. Enter the destination port number and press ""Enter"".

7. If TLS is required for this syslog destination, enter ""Yes"", otherwise enter ""No"", and then press ""Enter"".

8. Enter the destination protocol, ""udp"" or ""tcp"", and then press ""Enter"".

9. Work with the SIEM administrator to validate events are being received, and to configure notifications for audit processing failure events.","CCI-000139"
"Tanium 7.x Operating System on TanOS Security Technical Implementation Guide","This Security Technical Implementation Guide is published as a tool to improve the security of Department of Defense (DOD) information systems. The requirements are derived from the National Institute of Standards and Technology (NIST) 800-53 and related documents. Comments or proposed revisions to this document should be sent via email to the following address: disa.stig_spt@mail.mil.","1","1 ","18 Nov 2022","Release: 1 Benchmark Date: 18 Nov 2022","STIG.DOD.MIL","terms-of-use","V-254843","SV-254843r866070_rule","TANS-OS-000270","medium","CAT II","","SRG-OS-000075","The Tanium Operating System (TanOS) must enforce 24 hours/1 day as the maximum password lifetime.","<VulnDiscussion>Enforcing a minimum password lifetime helps to prevent repeated password changes to defeat the password reuse or history enforcement requirement. If users are allowed to immediately and continually change their password, then the password could be repeatedly changed in a short period of time to defeat the organization's policy regarding password reuse.</VulnDiscussion><FalsePositives></FalsePositives><FalseNegatives></FalseNegatives><Documentable>false</Documentable><Mitigations></Mitigations><SeverityOverrideGuidance></SeverityOverrideGuidance><PotentialImpacts></PotentialImpacts><ThirdPartyTools></ThirdPartyTools><MitigationControl></MitigationControl><Responsibility></Responsibility><IAControls></IAControls>","Enforcing a minimum password lifetime helps to prevent repeated password changes to defeat the password reuse or history enforcement requirement. If users are allowed to immediately and continually change their password, then the password could be repeatedly changed in a short period of time to defeat the organization's policy regarding password reuse.","","","false","","","","","","","","1. Access the Tanium Server interactively.

2. Log on to the TanOS server with the tanadmin role.

3. Press ""C"" for ""User Administration Menu"".

4. Press ""L"" for ""Local Tanium User Management"".

5. Press ""B"" for ""Security Policy Local Authentication Service"".

If the ""Password Minimum Age (days)"" is not set to ""1"", this is a finding.","1. Access the Tanium Server interactively.

2. Log on to the TanOS server with the tanadmin role.

3. Press ""C"" for ""User Administration Menu"".

4. Press ""L"" for ""Local Tanium User Management"".

5. Press ""B"" for ""Security Policy Local Authentication Service"".

6. Type ""Yes"".

7. Set the value for ""Define the minimum password in days [0 - 20]"" to ""1"".

8. Press ""Enter"" to accept the current values for the rest of the options.

9. Type ""Yes"" to apply the new security policy.","CCI-000198"
"Tanium 7.x Operating System on TanOS Security Technical Implementation Guide","This Security Technical Implementation Guide is published as a tool to improve the security of Department of Defense (DOD) information systems. The requirements are derived from the National Institute of Standards and Technology (NIST) 800-53 and related documents. Comments or proposed revisions to this document should be sent via email to the following address: disa.stig_spt@mail.mil.","1","1 ","18 Nov 2022","Release: 1 Benchmark Date: 18 Nov 2022","STIG.DOD.MIL","terms-of-use","V-254844","SV-254844r866073_rule","TANS-OS-000275","medium","CAT II","","SRG-OS-000076","The Tanium Operating System (TanOS) must enforce a 60-day maximum password lifetime restriction.","<VulnDiscussion>Any password, no matter how complex, can eventually be cracked. Therefore, passwords need to be changed periodically. 

One method of minimizing this risk is to use complex passwords and periodically change them. If the operating system does not limit the lifetime of passwords and force users to change their passwords, there is the risk that the operating system passwords could be compromised.</VulnDiscussion><FalsePositives></FalsePositives><FalseNegatives></FalseNegatives><Documentable>false</Documentable><Mitigations></Mitigations><SeverityOverrideGuidance></SeverityOverrideGuidance><PotentialImpacts></PotentialImpacts><ThirdPartyTools></ThirdPartyTools><MitigationControl></MitigationControl><Responsibility></Responsibility><IAControls></IAControls>","Any password, no matter how complex, can eventually be cracked. Therefore, passwords need to be changed periodically. 

One method of minimizing this risk is to use complex passwords and periodically change them. If the operating system does not limit the lifetime of passwords and force users to change their passwords, there is the risk that the operating system passwords could be compromised.","","","false","","","","","","","","1. Access the Tanium Server interactively.

2. Log on to the TanOS server with the tanadmin role.

3. Press ""C"" for ""User Administration Menu"".

4. Press ""L"" for ""Local Tanium User Management"".

5. Press ""B"" for ""Security Policy Local Authentication Service"".

If the ""Password Maximum Age (days)"" is not set to ""60"", this is a finding.","1. Access the Tanium Server interactively.

2. Log on to the TanOS server with the tanadmin role.

3. Press ""C"" for ""User Administration Menu"".

4. Press ""L"" for ""Local Tanium User Management"".

5. Press ""B"" for ""Security Policy Local Authentication Service"".

6. Type ""Yes"".

7. Press ""Enter"" to accept the current value for ""Define the minimum password in days [0 - 20]"".

8. Set the value of ""Define the maximum password lifetime in days [0-300]"" to ""60"".

9. Press ""Enter"" to accept the current values for the rest of the options.

10. Type ""Yes"" to apply the new security policy.","CCI-000199"
"Tanium 7.x Operating System on TanOS Security Technical Implementation Guide","This Security Technical Implementation Guide is published as a tool to improve the security of Department of Defense (DOD) information systems. The requirements are derived from the National Institute of Standards and Technology (NIST) 800-53 and related documents. Comments or proposed revisions to this document should be sent via email to the following address: disa.stig_spt@mail.mil.","1","1 ","18 Nov 2022","Release: 1 Benchmark Date: 18 Nov 2022","STIG.DOD.MIL","terms-of-use","V-254845","SV-254845r866076_rule","TANS-OS-000280","medium","CAT II","","SRG-OS-000077","The Tanium Operating System (TanOS) must prohibit password reuse for a minimum of five generations.","<VulnDiscussion>Password complexity, or strength, is a measure of the effectiveness of a password in resisting attempts at guessing and brute-force attacks. If the information system or application allows the user to consecutively reuse their password when that password has exceeded its defined lifetime, the end result is a password that is not changed as per policy requirements.</VulnDiscussion><FalsePositives></FalsePositives><FalseNegatives></FalseNegatives><Documentable>false</Documentable><Mitigations></Mitigations><SeverityOverrideGuidance></SeverityOverrideGuidance><PotentialImpacts></PotentialImpacts><ThirdPartyTools></ThirdPartyTools><MitigationControl></MitigationControl><Responsibility></Responsibility><IAControls></IAControls>","Password complexity, or strength, is a measure of the effectiveness of a password in resisting attempts at guessing and brute-force attacks. If the information system or application allows the user to consecutively reuse their password when that password has exceeded its defined lifetime, the end result is a password that is not changed as per policy requirements.","","","false","","","","","","","","1. Access the Tanium Server interactively.

2. Log on to the TanOS server with the tanadmin role.

3. Press ""C"" for ""User Administration Menu"".

4. Press ""L"" for ""Local Tanium User Management"".

5. Press ""B"" for ""Security Policy Local Authentication Service"".

If ""Password History"" is not set to ""5"", this is a finding.","1. Access the Tanium Server interactively.

2. Log on to the TanOS server with the tanadmin role.

3. Press ""C"" for ""User Administration Menu"".

4. Press ""L"" for ""Local Tanium User Management"".

5. Press ""B"" for ""Security Policy Local Authentication Service"".

6. Type ""Yes"".

7. Press ""Enter"" to accept the current value for ""Define the minimum password in days [0 - 20]"".

8. Press ""Enter"" to accept the current value for ""Define the maximum password lifetime in days [0-300]"".

9. Press ""Enter"" to accept the current value for ""Define the maximum password length (characters) [0-30]"".

10. Set the value for ""Define the minimum password history counter [0-10]"" to ""5"".

11. Press ""Enter"" to accept the current values for the rest of the options.

12. Type ""Yes"" to apply the new security policy.","CCI-000200"
"Tanium 7.x Operating System on TanOS Security Technical Implementation Guide","This Security Technical Implementation Guide is published as a tool to improve the security of Department of Defense (DOD) information systems. The requirements are derived from the National Institute of Standards and Technology (NIST) 800-53 and related documents. Comments or proposed revisions to this document should be sent via email to the following address: disa.stig_spt@mail.mil.","1","1 ","18 Nov 2022","Release: 1 Benchmark Date: 18 Nov 2022","STIG.DOD.MIL","terms-of-use","V-254846","SV-254846r866079_rule","TANS-OS-000285","medium","CAT II","","SRG-OS-000078","The Tanium Operating System (TanOS) must enforce a minimum 15-character password length.","<VulnDiscussion>The shorter the password, the lower the number of possible combinations that need to be tested before the password is compromised.

Password complexity, or strength, is a measure of the effectiveness of a password in resisting attempts at guessing and brute-force attacks. Password length is one factor of several that helps to determine strength and how long it takes to crack a password. Use of more characters in a password helps to exponentially increase the time and/or resources required to compromise the password.</VulnDiscussion><FalsePositives></FalsePositives><FalseNegatives></FalseNegatives><Documentable>false</Documentable><Mitigations></Mitigations><SeverityOverrideGuidance></SeverityOverrideGuidance><PotentialImpacts></PotentialImpacts><ThirdPartyTools></ThirdPartyTools><MitigationControl></MitigationControl><Responsibility></Responsibility><IAControls></IAControls>","The shorter the password, the lower the number of possible combinations that need to be tested before the password is compromised.

Password complexity, or strength, is a measure of the effectiveness of a password in resisting attempts at guessing and brute-force attacks. Password length is one factor of several that helps to determine strength and how long it takes to crack a password. Use of more characters in a password helps to exponentially increase the time and/or resources required to compromise the password.","","","false","","","","","","","","1. Access the Tanium Server interactively.

2. Log on to the TanOS server with the tanadmin role.

3. Press ""C"" for ""User Administration Menu"".

4. Press ""L"" for ""Local Tanium User Management"".

5. Press ""B"" for ""Security Policy Local Authentication Service"".

If ""Password Minimum Length"" is not set to 15, this is a finding.","1. Access the Tanium Server interactively.

2. Log on to the TanOS server with the tanadmin role.

3. Press ""C"" for ""User Administration Menu"".

4. Press ""L"" for ""Local Tanium User Management"".

5. Press ""B"" for ""Security Policy Local Authentication Service"".

6. Type ""Yes"".

7. Press ""Enter"" to accept the current value for ""Define the minimum password in days [0 - 20]"".

8. Press ""Enter"" to accept the current value for ""Define the maximum password lifetime in days [0-300]"".

9. Set the value for ""Define the maximum password length (characters) [0-30]"" to ""15"".

11. Press ""Enter"" to accept the current values for the rest of the options.

12. Type ""Yes"" to apply the new security policy.","CCI-000205"
"Tanium 7.x Operating System on TanOS Security Technical Implementation Guide","This Security Technical Implementation Guide is published as a tool to improve the security of Department of Defense (DOD) information systems. The requirements are derived from the National Institute of Standards and Technology (NIST) 800-53 and related documents. Comments or proposed revisions to this document should be sent via email to the following address: disa.stig_spt@mail.mil.","1","1 ","18 Nov 2022","Release: 1 Benchmark Date: 18 Nov 2022","STIG.DOD.MIL","terms-of-use","V-254847","SV-254847r870368_rule","TANS-OS-000325","high","CAT I","","SRG-OS-000105","The Tanium Operating System (TanOS) must use multifactor authentication for network access to privileged accounts.","<VulnDiscussion>Without the use of multifactor authentication, the ease of access to privileged functions is greatly increased. 

Multifactor authentication requires using two or more factors to achieve authentication. 

Factors include: (i) Something a user knows (e.g., password/PIN); (ii) Something a user has (e.g., cryptographic identification device, token); or (iii) Something a user is (e.g., biometric). 

A privileged account is defined as an information system account with authorizations of a privileged user. 

Network access is defined as access to an information system by a user (or a process acting on behalf of a user) communicating through a network (e.g., local area network, wide area network, or the internet). 

The DOD CAC with DOD-approved PKI is an example of multifactor authentication.</VulnDiscussion><FalsePositives></FalsePositives><FalseNegatives></FalseNegatives><Documentable>false</Documentable><Mitigations></Mitigations><SeverityOverrideGuidance></SeverityOverrideGuidance><PotentialImpacts></PotentialImpacts><ThirdPartyTools></ThirdPartyTools><MitigationControl></MitigationControl><Responsibility></Responsibility><IAControls></IAControls>","Without the use of multifactor authentication, the ease of access to privileged functions is greatly increased. 

Multifactor authentication requires using two or more factors to achieve authentication. 

Factors include: (i) Something a user knows (e.g., password/PIN); (ii) Something a user has (e.g., cryptographic identification device, token); or (iii) Something a user is (e.g., biometric). 

A privileged account is defined as an information system account with authorizations of a privileged user. 

Network access is defined as access to an information system by a user (or a process acting on behalf of a user) communicating through a network (e.g., local area network, wide area network, or the internet). 

The DOD CAC with DOD-approved PKI is an example of multifactor authentication.","","","false","","","","","","","","1. Sign in to the TanOS console as a user with the tanadmin role.

2. Enter ""C"" to go to the ""User Administration"" menu.

3. Enter ""M"" to go to the ""Multi-Factor Global Settings"" menu.

4. If the status shows ""Multi-Factor: Optional"", this is a finding.","1. Sign in to the TanOS console as a user with the tanadmin role.

2. Enter ""C"" to go to the ""User Administration"" menu.

3. Enter ""M"" to go to the ""Multi-Factor Global Settings"" menu.

4. Enter ""M"" to ""Require Multi-Factor Authentication"".

5. Enter ""E"" to ""Enable Require Multi-factor Authentication"".","CCI-000765"
"Tanium 7.x Operating System on TanOS Security Technical Implementation Guide","This Security Technical Implementation Guide is published as a tool to improve the security of Department of Defense (DOD) information systems. The requirements are derived from the National Institute of Standards and Technology (NIST) 800-53 and related documents. Comments or proposed revisions to this document should be sent via email to the following address: disa.stig_spt@mail.mil.","1","1 ","18 Nov 2022","Release: 1 Benchmark Date: 18 Nov 2022","STIG.DOD.MIL","terms-of-use","V-254848","SV-254848r866085_rule","TANS-OS-000330","medium","CAT II","","SRG-OS-000106","The Tanium Operating System (TanOS) must use multifactor authentication for network access to nonprivileged accounts.","<VulnDiscussion>To assure accountability and prevent unauthenticated access, nonprivileged users must utilize multifactor authentication to prevent potential misuse and compromise of the system. 

Multifactor authentication uses two or more factors to achieve authentication. 

Factors include:(i) Something you know (e.g., password/PIN); (ii) Something you have (e.g., cryptographic identification device, token); or (iii) Something you are (e.g., biometric). 

A nonprivileged account is any information system account with authorizations of a nonprivileged user. 

Network access is any access to an application by a user (or process acting on behalf of a user) where said access is obtained through a network connection.

The DoD CAC with DoD-approved PKI is an example of multifactor authentication.</VulnDiscussion><FalsePositives></FalsePositives><FalseNegatives></FalseNegatives><Documentable>false</Documentable><Mitigations></Mitigations><SeverityOverrideGuidance></SeverityOverrideGuidance><PotentialImpacts></PotentialImpacts><ThirdPartyTools></ThirdPartyTools><MitigationControl></MitigationControl><Responsibility></Responsibility><IAControls></IAControls>","To assure accountability and prevent unauthenticated access, nonprivileged users must utilize multifactor authentication to prevent potential misuse and compromise of the system. 

Multifactor authentication uses two or more factors to achieve authentication. 

Factors include:(i) Something you know (e.g., password/PIN); (ii) Something you have (e.g., cryptographic identification device, token); or (iii) Something you are (e.g., biometric). 

A nonprivileged account is any information system account with authorizations of a nonprivileged user. 

Network access is any access to an application by a user (or process acting on behalf of a user) where said access is obtained through a network connection.

The DoD CAC with DoD-approved PKI is an example of multifactor authentication.","","","false","","","","","","","","1. Sign in to the TanOS console as a user with the tanadmin role.

2. Enter ""C"" to go to the ""User Administration"" menu.

3. Enter ""M"" to go to the ""Multi-Factor Global Settings"" menu.

4. If the status shows ""Multi-Factor: Optional"", this is a finding.","1. Sign in to the TanOS console as a user with the tanadmin role.

2. Enter ""C"" to go to the ""User Administration"" menu.

3. Enter ""M"" to go to the ""Multi-Factor Global Settings"" menu.

4. Enter ""M"" to ""Require Multi-Factor Authentication"".

5. Enter ""E"" to ""Enable Require Multi-factor Authentication"".","CCI-000766"
