"Title","Description","Version","Release","BenchmarkDate","ReleaseInfo","Source","Notice","Rule_VulnID","Rule_RuleID","Rule_StigID","Rule_Severity","Rule_Cat","Rule_Classification","Rule_GroupTitle","Rule_RuleTitle","Rule_Description","Rule_VulnDiscussion","Rule_FalsePositives","Rule_FalseNegatives","Rule_Documentable","Rule_Mitigations","Rule_SeverityOverrideGuidance","Rule_PotentialImpacts","Rule_ThirdPartyTools","Rule_MitigationControl","Rule_Responsibility","Rule_IAControls","Rule_CheckText","Rule_FixText","Rule_CCI"
"VMware Horizon 7.13 Agent Security Technical Implementation Guide","This Security Technical Implementation Guide is published as a tool to improve the security of Department of Defense (DoD) information systems. The requirements are derived from the National Institute of Standards and Technology (NIST) 800-53 and related documents. Comments or proposed revisions to this document should be sent via email to the following address: disa.stig_spt@mail.mil.","1","1 ","13 Jul 2021","Release: 1 Benchmark Date: 13 Jul 2021","STIG.DOD.MIL","terms-of-use","V-246860","SV-246860r768540_rule","HRZA-7X-000001","medium","CAT II","","SRG-APP-000516-AS-000237","The Horizon Agent must require TLS connections.","<VulnDiscussion>The Horizon Agent has the capability to be backward compatible with legacy clients, circa View 5.2, which do not support newer TLS connections. By default, the agent can fall back to this non-TLS mode when being accessed by a legacy client. The Horizon Agent must be configured to not support these legacy clients and enforce TLS connections as mandatory.</VulnDiscussion><FalsePositives></FalsePositives><FalseNegatives></FalseNegatives><Documentable>false</Documentable><Mitigations></Mitigations><SeverityOverrideGuidance></SeverityOverrideGuidance><PotentialImpacts></PotentialImpacts><ThirdPartyTools></ThirdPartyTools><MitigationControl></MitigationControl><Responsibility></Responsibility><IAControls></IAControls>","The Horizon Agent has the capability to be backward compatible with legacy clients, circa View 5.2, which do not support newer TLS connections. By default, the agent can fall back to this non-TLS mode when being accessed by a legacy client. The Horizon Agent must be configured to not support these legacy clients and enforce TLS connections as mandatory.","","","false","","","","","","","","Ensure the vdm_agent*.admx templates are added. Open the ""Group Policy Management"" MMC snap-in. Open the site-specific GPO applying Horizon settings to the VDI desktops or RDS hosts.

Navigate to Computer Configuration >> Policies >> Administrative Templates >> VMware View Agent Configuration >> Agent Security. Double-click the ""Accept SSL encrypted framework channel"" setting.

If ""Accept SSL encrypted framework channel"" is not ""Enabled"" and set to ""Enforce"", this is a finding.","Ensure the vdm_agent*.admx templates are added. Open the ""Group Policy Management"" MMC snap-in. Open the site-specific GPO applying Horizon settings to the VDI desktops or RDS hosts.

Navigate to Computer Configuration >> Policies >> Administrative Templates >> VMware View Agent Configuration >> Agent Security. Double-click the ""Accept SSL encrypted framework channel"" policy.

Make sure the policy is ""Enabled"". Choose ""Enforce"" from the drop-down. Click ""OK"".","CCI-000366"
"VMware Horizon 7.13 Agent Security Technical Implementation Guide","This Security Technical Implementation Guide is published as a tool to improve the security of Department of Defense (DoD) information systems. The requirements are derived from the National Institute of Standards and Technology (NIST) 800-53 and related documents. Comments or proposed revisions to this document should be sent via email to the following address: disa.stig_spt@mail.mil.","1","1 ","13 Jul 2021","Release: 1 Benchmark Date: 13 Jul 2021","STIG.DOD.MIL","terms-of-use","V-246861","SV-246861r768543_rule","HRZA-7X-000002","medium","CAT II","","SRG-APP-000516-AS-000237","The Horizon Agent must only run allowed scripts on user connect.","<VulnDiscussion>The Horizon Agent has the capability to run scripts on user connect, disconnect, and reconnect. While this can be useful in setting up a user environment, in certain circumstances, the running of such scripts should be delegated to native windows capabilities where possible. These settings are powerful and can serve as a potential space for a privileged attacker to persist. By default, this setting is unconfigured. Should the site require this setting, ensure it is audited and its configuration valid at all times.</VulnDiscussion><FalsePositives></FalsePositives><FalseNegatives></FalseNegatives><Documentable>false</Documentable><Mitigations></Mitigations><SeverityOverrideGuidance></SeverityOverrideGuidance><PotentialImpacts></PotentialImpacts><ThirdPartyTools></ThirdPartyTools><MitigationControl></MitigationControl><Responsibility></Responsibility><IAControls></IAControls>","The Horizon Agent has the capability to run scripts on user connect, disconnect, and reconnect. While this can be useful in setting up a user environment, in certain circumstances, the running of such scripts should be delegated to native windows capabilities where possible. These settings are powerful and can serve as a potential space for a privileged attacker to persist. By default, this setting is unconfigured. Should the site require this setting, ensure it is audited and its configuration valid at all times.","","","false","","","","","","","","Ensure the vdm_agent*.admx templates are added. Open the ""Group Policy Management"" MMC snap-in. Open the site-specific GPO applying Horizon settings to the VDI desktops or RDS hosts.

Navigate to Computer Configuration >> Policies >> Administrative Templates >> VMware View Agent Configuration >> Agent Configuration. Double-click the ""CommandsToRunOnConnect"" setting.

If ""CommandsToRunOnConnect"" is ""Not Configured"" or ""Disabled"", this is not a finding.

Click the ""Show..."" button next to ""Commands"". If any of the listed commands are not expected, approved, and required, this is a finding.","Ensure the vdm_agent*.admx templates are added. Open the ""Group Policy Management"" MMC snap-in. Open the site-specific GPO applying Horizon settings to the VDI desktops or RDS hosts.

Navigate to Computer Configuration >> Policies >> Administrative Templates >> VMware View Agent Configuration >> Agent Configuration. Double-click the ""CommandsToRunOnConnect"" setting.

Option 1:

Click the radio button next to ""Disabled"". Click ""OK"".

Option 2:

Make sure the setting is ""Enabled"".

Click the ""Show..."" button next to ""Commands"". Highlight the unneeded command and press the ""delete"" key. Click ""OK"". Click ""OK"".","CCI-000366"
"VMware Horizon 7.13 Agent Security Technical Implementation Guide","This Security Technical Implementation Guide is published as a tool to improve the security of Department of Defense (DoD) information systems. The requirements are derived from the National Institute of Standards and Technology (NIST) 800-53 and related documents. Comments or proposed revisions to this document should be sent via email to the following address: disa.stig_spt@mail.mil.","1","1 ","13 Jul 2021","Release: 1 Benchmark Date: 13 Jul 2021","STIG.DOD.MIL","terms-of-use","V-246862","SV-246862r768546_rule","HRZA-7X-000003","medium","CAT II","","SRG-APP-000516-AS-000237","The Horizon Agent must only run allowed scripts on user disconnect.","<VulnDiscussion>The Horizon Agent has the capability to run scripts on user connect, disconnect, and reconnect. While this can be useful in setting up a user environment, in certain circumstances, the running of such scripts should be delegated to native windows capabilities where possible. These settings are powerful and can serve as a potential space for a privileged attacker to persist. By default, this setting is unconfigured. Should site require this setting, ensure it is audited and its configuration valid at all times.</VulnDiscussion><FalsePositives></FalsePositives><FalseNegatives></FalseNegatives><Documentable>false</Documentable><Mitigations></Mitigations><SeverityOverrideGuidance></SeverityOverrideGuidance><PotentialImpacts></PotentialImpacts><ThirdPartyTools></ThirdPartyTools><MitigationControl></MitigationControl><Responsibility></Responsibility><IAControls></IAControls>","The Horizon Agent has the capability to run scripts on user connect, disconnect, and reconnect. While this can be useful in setting up a user environment, in certain circumstances, the running of such scripts should be delegated to native windows capabilities where possible. These settings are powerful and can serve as a potential space for a privileged attacker to persist. By default, this setting is unconfigured. Should site require this setting, ensure it is audited and its configuration valid at all times.","","","false","","","","","","","","Ensure the vdm_agent*.admx templates are added. Open the ""Group Policy Management"" MMC snap-in. Open the site-specific GPO applying Horizon settings to the VDI desktops or RDS hosts.

Navigate to Computer Configuration >> Policies >> Administrative Templates >> VMware View Agent Configuration >> Agent Configuration. Double-click the ""CommandsToRunOnDisconnect"" setting.

If ""CommandsToRunOnDisconnect"" is ""Not Configured"" or ""Disabled"", this is not a finding.

Click the ""Show..."" button next to ""Commands"". If any of the listed commands are not expected, approved, and required, this is a finding.","Ensure the vdm_agent*.admx templates are added. Open the ""Group Policy Management"" MMC snap-in. Open the site-specific GPO applying Horizon settings to the VDI desktops or RDS hosts.

Navigate to Computer Configuration >> Policies >> Administrative Templates >> VMware View Agent Configuration >> Agent Configuration. Double-click the ""CommandsToRunOnDisconnect"" setting.

Option 1:

Click the radio button next to ""Disabled"". Click ""OK"".

Option 2:

Click the ""Show..."" button next to ""Commands"". Highlight the unneeded command and press the ""delete"" key. Click ""OK"". Click ""OK"".","CCI-000366"
"VMware Horizon 7.13 Agent Security Technical Implementation Guide","This Security Technical Implementation Guide is published as a tool to improve the security of Department of Defense (DoD) information systems. The requirements are derived from the National Institute of Standards and Technology (NIST) 800-53 and related documents. Comments or proposed revisions to this document should be sent via email to the following address: disa.stig_spt@mail.mil.","1","1 ","13 Jul 2021","Release: 1 Benchmark Date: 13 Jul 2021","STIG.DOD.MIL","terms-of-use","V-246863","SV-246863r768549_rule","HRZA-7X-000004","medium","CAT II","","SRG-APP-000516-AS-000237","The Horizon Agent must only run allowed scripts on user reconnect.","<VulnDiscussion>The Horizon Agent has the capability to run scripts on user connect, disconnect, and reconnect. While this can be useful in setting up a user environment, in certain circumstances, the running of such scripts should be delegated to native windows capabilities where possible. These settings are powerful and can serve as a potential space for a privileged attacker to persist. By default, this setting is unconfigured. Should a site require this setting, ensure it is audited and the configuration valid at all times.</VulnDiscussion><FalsePositives></FalsePositives><FalseNegatives></FalseNegatives><Documentable>false</Documentable><Mitigations></Mitigations><SeverityOverrideGuidance></SeverityOverrideGuidance><PotentialImpacts></PotentialImpacts><ThirdPartyTools></ThirdPartyTools><MitigationControl></MitigationControl><Responsibility></Responsibility><IAControls></IAControls>","The Horizon Agent has the capability to run scripts on user connect, disconnect, and reconnect. While this can be useful in setting up a user environment, in certain circumstances, the running of such scripts should be delegated to native windows capabilities where possible. These settings are powerful and can serve as a potential space for a privileged attacker to persist. By default, this setting is unconfigured. Should a site require this setting, ensure it is audited and the configuration valid at all times.","","","false","","","","","","","","Ensure the vdm_agent*.admx templates are added. Open the ""Group Policy Management"" MMC snap-in. Open the site-specific GPO applying Horizon settings to the VDI desktops or RDS hosts.

Navigate to Computer Configuration >> Policies >> Administrative Templates >> VMware View Agent Configuration >> Agent Configuration. Double-click the ""CommandsToRunOnReconnect"" setting.

If ""CommandsToRunOnReconnect"" is ""Not Configured"" or ""Disabled"", this is not a finding.

Click the ""Show..."" button next to ""Commands"". If any of the listed commands are not expected, approved, and required, this is a finding.","Ensure the vdm_agent*.admx templates are added. Open the ""Group Policy Management"" MMC snap-in. Open the site-specific GPO applying Horizon settings to the VDI desktops or RDS hosts.

Navigate to Computer Configuration >> Policies >> Administrative Templates >> VMware View Agent Configuration >> Agent Configuration. Double-click the ""CommandsToRunOnReconnect"" setting.

Option 1:

Click the radio button next to ""Disabled"". Click ""OK"".

Option 2:

Click the ""Show..."" button next to ""Commands"". Highlight the unneeded command and press the ""delete"" key. Click ""OK"". Click ""OK"".","CCI-000366"
"VMware Horizon 7.13 Agent Security Technical Implementation Guide","This Security Technical Implementation Guide is published as a tool to improve the security of Department of Defense (DoD) information systems. The requirements are derived from the National Institute of Standards and Technology (NIST) 800-53 and related documents. Comments or proposed revisions to this document should be sent via email to the following address: disa.stig_spt@mail.mil.","1","1 ","13 Jul 2021","Release: 1 Benchmark Date: 13 Jul 2021","STIG.DOD.MIL","terms-of-use","V-246864","SV-246864r768552_rule","HRZA-7X-000005","medium","CAT II","","SRG-APP-000516-AS-000237","The Horizon Agent must check the entire chain when validating certificates.","<VulnDiscussion>Any time the Horizon Agent establishes an outgoing TLS connection, it verifies the server certificate revocation status. By default, it verifies all intermediates but not the root. DoD policy requires full path validation, thus this default behavior needs to be changed.</VulnDiscussion><FalsePositives></FalsePositives><FalseNegatives></FalseNegatives><Documentable>false</Documentable><Mitigations></Mitigations><SeverityOverrideGuidance></SeverityOverrideGuidance><PotentialImpacts></PotentialImpacts><ThirdPartyTools></ThirdPartyTools><MitigationControl></MitigationControl><Responsibility></Responsibility><IAControls></IAControls>","Any time the Horizon Agent establishes an outgoing TLS connection, it verifies the server certificate revocation status. By default, it verifies all intermediates but not the root. DoD policy requires full path validation, thus this default behavior needs to be changed.","","","false","","","","","","","","Ensure the vdm_agent*.admx templates are added. Open the ""Group Policy Management"" MMC snap-in. Open the site-specific GPO applying Horizon settings to the VDI desktops or RDS hosts.

Navigate to Computer Configuration >> Policies >> Administrative Templates >> VMware View Common Configuration >> Security Configuration. Double-click the ""Type of certificate revocation check"" setting.

If ""Type of certificate revocation check"" is ""Not Configured"" or ""Disabled"", this is a finding.

In the drop-down under ""Type of certificate revocation check"", if ""WholeChain"" is not selected, this is a finding.","Ensure the vdm_agent*.admx templates are added. Open the ""Group Policy Management"" MMC snap-in. Open the site-specific GPO applying Horizon settings to the VDI desktops or RDS hosts.

Navigate to Computer Configuration >> Policies >> Administrative Templates >> VMware View Common Configuration >> Security Configuration. Double-click the ""Type of certificate revocation check"" setting.

Make sure the setting is ""Enabled"".

In the drop-down under ""Type of certificate revocation check"", select ""WholeChain"". Click ""OK"".","CCI-000366"
"VMware Horizon 7.13 Agent Security Technical Implementation Guide","This Security Technical Implementation Guide is published as a tool to improve the security of Department of Defense (DoD) information systems. The requirements are derived from the National Institute of Standards and Technology (NIST) 800-53 and related documents. Comments or proposed revisions to this document should be sent via email to the following address: disa.stig_spt@mail.mil.","1","1 ","13 Jul 2021","Release: 1 Benchmark Date: 13 Jul 2021","STIG.DOD.MIL","terms-of-use","V-246865","SV-246865r768555_rule","HRZA-7X-000006","medium","CAT II","","SRG-APP-000516-AS-000237","The Horizon Agent must set an idle timeout.","<VulnDiscussion>Idle sessions are at increased risk of being hijacked. If a user has stepped away from their desk and is no long in positive control of their session, that session is in danger of being assumed by an attacker. Idle sessions also waste valuable datacenter resources and could potentially lead to a lack of resources for new, active users. As such, an organizationally defined idle timeout must be supplied to override the Horizon default of ""never"".</VulnDiscussion><FalsePositives></FalsePositives><FalseNegatives></FalseNegatives><Documentable>false</Documentable><Mitigations></Mitigations><SeverityOverrideGuidance></SeverityOverrideGuidance><PotentialImpacts></PotentialImpacts><ThirdPartyTools></ThirdPartyTools><MitigationControl></MitigationControl><Responsibility></Responsibility><IAControls></IAControls>","Idle sessions are at increased risk of being hijacked. If a user has stepped away from their desk and is no long in positive control of their session, that session is in danger of being assumed by an attacker. Idle sessions also waste valuable datacenter resources and could potentially lead to a lack of resources for new, active users. As such, an organizationally defined idle timeout must be supplied to override the Horizon default of ""never"".","","","false","","","","","","","","Ensure the vdm_agent*.admx templates are added. Open the ""Group Policy Management"" MMC snap-in. Open the site-specific GPO applying Horizon settings to the VDI desktops or RDS hosts.

Navigate to Computer Configuration >> Policies >> Administrative Templates >> VMware View Agent Configuration >> Agent Configuration. Double-click the ""Idle Time Until Disconnect (VDI)"" setting.

If ""Idle Time Until Disconnect (VDI)"" is ""Not Configured"" or ""Disabled"", this is a finding.

In the drop-down next to ""Idle Timeout"", if ""Never"" is selected, this is a finding.","Ensure the vdm_agent*.admx templates are added. Open the ""Group Policy Management"" MMC snap-in. Open the site-specific GPO applying Horizon settings to the VDI desktops or RDS hosts.

Navigate to Computer Configuration >> Policies >> Administrative Templates >> VMware View Agent Configuration >> Agent Configuration. Double-click the ""Idle Time Until Disconnect (VDI)"" setting.

Click the radio button next to ""Enabled"". 

In the drop-down next to ""Idle Timeout"", select an appropriate, site-specific timeout that is not ""Never"". This is typically two hours but your configuration may vary. Click ""OK"".","CCI-000366"
"VMware Horizon 7.13 Agent Security Technical Implementation Guide","This Security Technical Implementation Guide is published as a tool to improve the security of Department of Defense (DoD) information systems. The requirements are derived from the National Institute of Standards and Technology (NIST) 800-53 and related documents. Comments or proposed revisions to this document should be sent via email to the following address: disa.stig_spt@mail.mil.","1","1 ","13 Jul 2021","Release: 1 Benchmark Date: 13 Jul 2021","STIG.DOD.MIL","terms-of-use","V-246866","SV-246866r768558_rule","HRZA-7X-000007","medium","CAT II","","SRG-APP-000516-AS-000237","The Horizon Agent must block server to client clipboard actions for Blast.","<VulnDiscussion>Data loss prevention is a primary concern for the DoD, maintaining positive control of data at all times and only allowing flows over channels that are for that explicit purpose and monitored appropriately. By default, the Blast protocol on the Horizon Agent will block clipboard ""copy/paste"" actions from the desktop to the client but allow actions from the client to the desktop. This configuration must be validated and maintained over time.</VulnDiscussion><FalsePositives></FalsePositives><FalseNegatives></FalseNegatives><Documentable>false</Documentable><Mitigations></Mitigations><SeverityOverrideGuidance></SeverityOverrideGuidance><PotentialImpacts></PotentialImpacts><ThirdPartyTools></ThirdPartyTools><MitigationControl></MitigationControl><Responsibility></Responsibility><IAControls></IAControls>","Data loss prevention is a primary concern for the DoD, maintaining positive control of data at all times and only allowing flows over channels that are for that explicit purpose and monitored appropriately. By default, the Blast protocol on the Horizon Agent will block clipboard ""copy/paste"" actions from the desktop to the client but allow actions from the client to the desktop. This configuration must be validated and maintained over time.","","","false","","","","","","","","Ensure the vdm_blast.admx template is added. Open the ""Group Policy Management"" MMC snap-in. Open the site-specific GPO applying Horizon settings to the VDI desktops or RDS hosts.

Navigate to Computer Configuration >> Policies >> Administrative Templates >> VMware Blast. Double-click the ""Configure clipboard redirection"" setting.

If ""Configure clipboard redirection"" is ""Not Configured"" or ""Disabled"", this is not a finding.

In the drop-down under ""Configure clipboard redirection"", if ""Enabled server to client only"" or ""Enabled in both directions"" is selected, this is a finding.","Ensure the vdm_blast.admx template is added. Open the ""Group Policy Management"" MMC snap-in. Open the site-specific GPO applying Horizon settings to the VDI desktops or RDS hosts.

Navigate to Computer Configuration >> Policies >> Administrative Templates >> VMware View Agent Configuration >> VMware Blast. Double-click the ""Configure clipboard redirection"" setting.

Click the radio button next to ""Disabled"". Click ""OK"".","CCI-000366"
"VMware Horizon 7.13 Agent Security Technical Implementation Guide","This Security Technical Implementation Guide is published as a tool to improve the security of Department of Defense (DoD) information systems. The requirements are derived from the National Institute of Standards and Technology (NIST) 800-53 and related documents. Comments or proposed revisions to this document should be sent via email to the following address: disa.stig_spt@mail.mil.","1","1 ","13 Jul 2021","Release: 1 Benchmark Date: 13 Jul 2021","STIG.DOD.MIL","terms-of-use","V-246867","SV-246867r768561_rule","HRZA-7X-000008","medium","CAT II","","SRG-APP-000516-AS-000237","The Horizon Agent must block server to client clipboard actions for PCoIP.","<VulnDiscussion>Data loss prevention is a primary concern for the DoD, maintaining positive control of data at all times and only allowing flows over channels that are for that explicit purpose and monitored appropriately. By default, the PCoIP protocol on the Horizon Agent will block clipboard ""copy/paste"" actions from the desktop to the client but allow actions from the client to the desktop. This configuration must be validated and maintained over time.</VulnDiscussion><FalsePositives></FalsePositives><FalseNegatives></FalseNegatives><Documentable>false</Documentable><Mitigations></Mitigations><SeverityOverrideGuidance></SeverityOverrideGuidance><PotentialImpacts></PotentialImpacts><ThirdPartyTools></ThirdPartyTools><MitigationControl></MitigationControl><Responsibility></Responsibility><IAControls></IAControls>","Data loss prevention is a primary concern for the DoD, maintaining positive control of data at all times and only allowing flows over channels that are for that explicit purpose and monitored appropriately. By default, the PCoIP protocol on the Horizon Agent will block clipboard ""copy/paste"" actions from the desktop to the client but allow actions from the client to the desktop. This configuration must be validated and maintained over time.","","","false","","","","","","","","Ensure the pcoip.admx template is added. Open the ""Group Policy Management"" MMC snap-in. Open the site-specific GPO applying Horizon settings to the VDI desktops or RDS hosts.

Navigate to Computer Configuration >> Policies >> Administrative Templates >> PCoIP Session Variables >> Not Overridable Administrator Settings. Double-click the ""Configure clipboard redirection"" setting.

If ""Configure clipboard redirection"" is ""Not Configured"" or ""Disabled"", this is not a finding.

In the drop-down under ""Configure clipboard redirection"", if ""Enabled server to client only"" or ""Enabled in both directions"" is  selected, this is a finding.","Ensure the vdm_agent*.admx templates are added. Open the ""Group Policy Management"" MMC snap-in. Open the site-specific GPO applying Horizon settings to the VDI desktops or RDS hosts.

Navigate to Computer Configuration >> Policies >> Administrative Templates >> PCoIP Session Variables >> Not Overridable Administrator Settings. Double-click the ""Configure clipboard redirection"" setting.

Click the radio button next to ""Disabled"". Click ""OK"".","CCI-000366"
"VMware Horizon 7.13 Agent Security Technical Implementation Guide","This Security Technical Implementation Guide is published as a tool to improve the security of Department of Defense (DoD) information systems. The requirements are derived from the National Institute of Standards and Technology (NIST) 800-53 and related documents. Comments or proposed revisions to this document should be sent via email to the following address: disa.stig_spt@mail.mil.","1","1 ","13 Jul 2021","Release: 1 Benchmark Date: 13 Jul 2021","STIG.DOD.MIL","terms-of-use","V-246868","SV-246868r768564_rule","HRZA-7X-000009","medium","CAT II","","SRG-APP-000516-AS-000237","The Horizon Agent must not allow file transfers through HTML Access.","<VulnDiscussion>Data loss prevention is a primary concern for the DoD, maintaining positive control of data at all times and only allowing flows over channels that are for that explicit purpose and monitored appropriately. Additionally, data coming into the environment must be through allowed channels and inspected appropriately. By default, the Blast protocol on the Horizon Agent will allow file transfers through HTML Access only from the client to the desktop. This must be configured to disabled in both directions.</VulnDiscussion><FalsePositives></FalsePositives><FalseNegatives></FalseNegatives><Documentable>false</Documentable><Mitigations></Mitigations><SeverityOverrideGuidance></SeverityOverrideGuidance><PotentialImpacts></PotentialImpacts><ThirdPartyTools></ThirdPartyTools><MitigationControl></MitigationControl><Responsibility></Responsibility><IAControls></IAControls>","Data loss prevention is a primary concern for the DoD, maintaining positive control of data at all times and only allowing flows over channels that are for that explicit purpose and monitored appropriately. Additionally, data coming into the environment must be through allowed channels and inspected appropriately. By default, the Blast protocol on the Horizon Agent will allow file transfers through HTML Access only from the client to the desktop. This must be configured to disabled in both directions.","","","false","","","","","","","","Ensure the vdm_blast.admx template is added. Open the ""Group Policy Management"" MMC snap-in. Open the site-specific GPO applying Horizon settings to the VDI desktops or RDS hosts. 

Navigate to Computer Configuration >> Policies >> Administrative Templates >> VMware Blast. Double-click the ""Configure file transfer"" setting. 

If ""Configure file transfer"" is not ""Enabled"", this is a finding. 

In the drop-down under ""Configure file transfer"", if ""Disabled both upload and download"" is not selected, this is a finding.","Ensure the vdm_blast.admx template is added. Open the ""Group Policy Management"" MMC snap-in. Open the site-specific GPO applying Horizon settings to the VDI desktops or RDS hosts. 

Navigate to Computer Configuration >> Policies >> Administrative Templates >> VMware Blast. Double-click the ""Configure file transfer"" setting. 

Click the radio button next to ""Enabled"". 

In the drop-down under ""Configure file transfer"", select ""Disabled both upload and download"". Click ""OK"".","CCI-000366"
"VMware Horizon 7.13 Agent Security Technical Implementation Guide","This Security Technical Implementation Guide is published as a tool to improve the security of Department of Defense (DoD) information systems. The requirements are derived from the National Institute of Standards and Technology (NIST) 800-53 and related documents. Comments or proposed revisions to this document should be sent via email to the following address: disa.stig_spt@mail.mil.","1","1 ","13 Jul 2021","Release: 1 Benchmark Date: 13 Jul 2021","STIG.DOD.MIL","terms-of-use","V-246869","SV-246869r768567_rule","HRZA-7X-000010","medium","CAT II","","SRG-APP-000516-AS-000237","The Horizon Agent must not allow drag and drop for Blast.","<VulnDiscussion>Data loss prevention is a primary concern for the DoD, maintaining positive control of data at all times and only allowing flows over channels that are for that explicit purpose and monitored appropriately. Additionally, data coming into the environment must be through allowed channels and inspected appropriately. By default, the Blast protocol on the Horizon Agent will allow drag and drop actions from the client to the desktop. This must be configured to disabled in both directions.</VulnDiscussion><FalsePositives></FalsePositives><FalseNegatives></FalseNegatives><Documentable>false</Documentable><Mitigations></Mitigations><SeverityOverrideGuidance></SeverityOverrideGuidance><PotentialImpacts></PotentialImpacts><ThirdPartyTools></ThirdPartyTools><MitigationControl></MitigationControl><Responsibility></Responsibility><IAControls></IAControls>","Data loss prevention is a primary concern for the DoD, maintaining positive control of data at all times and only allowing flows over channels that are for that explicit purpose and monitored appropriately. Additionally, data coming into the environment must be through allowed channels and inspected appropriately. By default, the Blast protocol on the Horizon Agent will allow drag and drop actions from the client to the desktop. This must be configured to disabled in both directions.","","","false","","","","","","","","Ensure the vdm_blast.admx template is added. Open the ""Group Policy Management"" MMC snap-in. Open the site-specific GPO applying Horizon settings to the VDI desktops or RDS hosts.

Navigate to Computer Configuration >> Policies >> Administrative Templates >> VMware Blast. Double-click the ""Configure drag and drop direction"" setting.

If ""Configure drag and drop direction"" is not ""Enabled"", this is a finding.

In the drop-down under ""Configure drag and drop"", if ""Disabled in both directions"" is not selected, this is a finding.","Ensure the vdm_blast.admx template is added. Open the ""Group Policy Management"" MMC snap-in. Open the site-specific GPO applying Horizon settings to the VDI desktops or RDS hosts.

Navigate to Computer Configuration >> Policies >> Administrative Templates >> VMware Blast. Double-click the ""Configure drag and drop"" setting.

Click the radio button next to ""Enabled"".

In the drop-down under ""Configure drag and drop"", select ""Disabled in both directions"". Click ""OK"".","CCI-000366"
