"Title","Description","Version","Release","BenchmarkDate","ReleaseInfo","Source","Notice","Rule_VulnID","Rule_RuleID","Rule_StigID","Rule_Severity","Rule_Cat","Rule_Classification","Rule_GroupTitle","Rule_RuleTitle","Rule_Description","Rule_VulnDiscussion","Rule_FalsePositives","Rule_FalseNegatives","Rule_Documentable","Rule_Mitigations","Rule_SeverityOverrideGuidance","Rule_PotentialImpacts","Rule_ThirdPartyTools","Rule_MitigationControl","Rule_Responsibility","Rule_IAControls","Rule_CheckText","Rule_FixText","Rule_CCI"
"VMW vSphere 6.5 vCenter Server for Windows Security Technical Implementation Guide","This Security Technical Implementation Guide is published as a tool to improve the security of Department of Defense (DoD) information systems. The requirements are derived from the National Institute of Standards and Technology (NIST) 800-53 and related documents. Comments or proposed revisions to this document should be sent via email to the following address: disa.stig_spt@mail.mil.","2","2 ","23 Jul 2021","Release: 2 Benchmark Date: 23 Jul 2021","STIG.DOD.MIL","terms-of-use","V-216825","SV-216825r612237_rule","VCWN-65-000001","medium","CAT II","","SRG-APP-000165","The vCenter Server for Windows must prohibit password reuse for a minimum of five generations.","<VulnDiscussion>Password complexity, or strength, is a measure of the effectiveness of a password in resisting attempts at guessing and brute-force attacks. 

To meet password policy requirements, passwords need to be changed at specific policy-based intervals. 

If the information system or application allows the user to consecutively reuse their password when that password has exceeded its defined lifetime, the end result is a password that is not changed as per policy requirements.</VulnDiscussion><FalsePositives></FalsePositives><FalseNegatives></FalseNegatives><Documentable>false</Documentable><Mitigations></Mitigations><SeverityOverrideGuidance></SeverityOverrideGuidance><PotentialImpacts></PotentialImpacts><ThirdPartyTools></ThirdPartyTools><MitigationControl></MitigationControl><Responsibility></Responsibility><IAControls></IAControls>","Password complexity, or strength, is a measure of the effectiveness of a password in resisting attempts at guessing and brute-force attacks. 

To meet password policy requirements, passwords need to be changed at specific policy-based intervals. 

If the information system or application allows the user to consecutively reuse their password when that password has exceeded its defined lifetime, the end result is a password that is not changed as per policy requirements.","","","false","","","","","","","","From the vSphere Web Client go to Administration >> Single Sign-On >> Configuration >> Policies >> Password Policy.  View the value of the ""Restrict reuse"" setting.

If the ""Restrict reuse"" policy is not set to ""5"" or more, this is a finding.","From the vSphere Web Client go to Administration >> Single Sign-On >> Configuration >> Policies >> Password Policy.  Click Edit and enter ""5"" into the ""Restrict reuse"" setting and click ""OK"".","SV-104545,V-94715,CCI-000200"
"VMW vSphere 6.5 vCenter Server for Windows Security Technical Implementation Guide","This Security Technical Implementation Guide is published as a tool to improve the security of Department of Defense (DoD) information systems. The requirements are derived from the National Institute of Standards and Technology (NIST) 800-53 and related documents. Comments or proposed revisions to this document should be sent via email to the following address: disa.stig_spt@mail.mil.","2","2 ","23 Jul 2021","Release: 2 Benchmark Date: 23 Jul 2021","STIG.DOD.MIL","terms-of-use","V-216826","SV-216826r612237_rule","VCWN-65-000002","medium","CAT II","","SRG-APP-000190","The vCenter Server for Windows must not automatically refresh client sessions.","<VulnDiscussion>Terminating an idle session within a short time period reduces the window of opportunity for unauthorized personnel to take control of a management session enabled on the console or console port that has been left unattended. In addition, quickly terminating an idle session will also free up resources committed by the managed network element. Automatic client session refreshes keep unused sessions online, blocking session timeouts.</VulnDiscussion><FalsePositives></FalsePositives><FalseNegatives></FalseNegatives><Documentable>false</Documentable><Mitigations></Mitigations><SeverityOverrideGuidance></SeverityOverrideGuidance><PotentialImpacts></PotentialImpacts><ThirdPartyTools></ThirdPartyTools><MitigationControl></MitigationControl><Responsibility></Responsibility><IAControls></IAControls>","Terminating an idle session within a short time period reduces the window of opportunity for unauthorized personnel to take control of a management session enabled on the console or console port that has been left unattended. In addition, quickly terminating an idle session will also free up resources committed by the managed network element. Automatic client session refreshes keep unused sessions online, blocking session timeouts.","","","false","","","","","","","","On the system where vCenter is installed locate the ""webclient.properties"" file. 

Appliance: 
/etc/vmware/vsphere-client/ 

Windows: 
C:\ProgramData\VMware\vCenterServer\cfg\vsphere-client 

Find the ""refresh.rate ="" line in the ""webclient.properties"" file. 

If the refresh rate is not set to ""-1"" in the ""webclient.properties"" file, this is a finding.","Change the refresh rate value by editing the ""webclient.properties"" file. 

On the system where vCenter is installed locate the ""webclient.properties"" file. 

Appliance: 
/etc/vmware/vsphere-client/ 

Windows: 
C:\ProgramData\VMware\vCenterServer\cfg\vsphere-client 

Edit the file to include the line ""refresh.rate = -1"" where ""-1"" indicates sessions are not automatically refreshed. Uncomment the line if necessary. 

After editing the file the vSphere Web Client service must be restarted.","SV-104547,V-94717,CCI-001133"
"VMW vSphere 6.5 vCenter Server for Windows Security Technical Implementation Guide","This Security Technical Implementation Guide is published as a tool to improve the security of Department of Defense (DoD) information systems. The requirements are derived from the National Institute of Standards and Technology (NIST) 800-53 and related documents. Comments or proposed revisions to this document should be sent via email to the following address: disa.stig_spt@mail.mil.","2","2 ","23 Jul 2021","Release: 2 Benchmark Date: 23 Jul 2021","STIG.DOD.MIL","terms-of-use","V-216827","SV-216827r612237_rule","VCWN-65-000003","medium","CAT II","","SRG-APP-000174","The vCenter Server for Windows must enforce a 60-day maximum password lifetime restriction.","<VulnDiscussion>Any password, no matter how complex, can eventually be cracked. Therefore, passwords need to be changed at specific intervals. 

One method of minimizing this risk is to use complex passwords and periodically change them. If the application does not limit the lifetime of passwords and force users to change their passwords, there is the risk that the system and/or application passwords could be compromised. 

This requirement does not include emergency administration accounts which are meant for access to the application in case of failure. These accounts are not required to have maximum password lifetime restrictions.</VulnDiscussion><FalsePositives></FalsePositives><FalseNegatives></FalseNegatives><Documentable>false</Documentable><Mitigations></Mitigations><SeverityOverrideGuidance></SeverityOverrideGuidance><PotentialImpacts></PotentialImpacts><ThirdPartyTools></ThirdPartyTools><MitigationControl></MitigationControl><Responsibility></Responsibility><IAControls></IAControls>","Any password, no matter how complex, can eventually be cracked. Therefore, passwords need to be changed at specific intervals. 

One method of minimizing this risk is to use complex passwords and periodically change them. If the application does not limit the lifetime of passwords and force users to change their passwords, there is the risk that the system and/or application passwords could be compromised. 

This requirement does not include emergency administration accounts which are meant for access to the application in case of failure. These accounts are not required to have maximum password lifetime restrictions.","","","false","","","","","","","","From the vSphere Web Client go to Administration >> Single Sign-On >> Configuration >> Policies >> Password Policy.  View the value of the ""Maximum lifetime"" setting.

If the ""Maximum lifetime"" policy is not set to ""60"", this is a finding.","From the vSphere Web Client go to Administration >> Single Sign-On >> Configuration >> Policies >> Password Policy.  Click Edit and enter ""60"" into the ""Maximum lifetime"" setting and click ""OK"".","SV-104551,V-94721,CCI-000199"
"VMW vSphere 6.5 vCenter Server for Windows Security Technical Implementation Guide","This Security Technical Implementation Guide is published as a tool to improve the security of Department of Defense (DoD) information systems. The requirements are derived from the National Institute of Standards and Technology (NIST) 800-53 and related documents. Comments or proposed revisions to this document should be sent via email to the following address: disa.stig_spt@mail.mil.","2","2 ","23 Jul 2021","Release: 2 Benchmark Date: 23 Jul 2021","STIG.DOD.MIL","terms-of-use","V-216828","SV-216828r612237_rule","VCWN-65-000004","medium","CAT II","","SRG-APP-000190","The vCenter Server for Windows must terminate management sessions after 10 minutes of inactivity.","<VulnDiscussion>Terminating an idle session within a short time period reduces the window of opportunity for unauthorized personnel to take control of a management session enabled on the console or console port that has been left unattended. In addition, quickly terminating an idle session will also free up resources committed by the managed network element. 

Terminating network connections associated with communications sessions includes, for example, de-allocating associated TCP/IP address/port pairs at the operating system level, or de-allocating networking assignments at the application level if multiple application sessions are using a single, operating system level network connection. This does not mean that the application terminates all sessions or network access; it only ends the inactive session and releases the resources associated with that session.</VulnDiscussion><FalsePositives></FalsePositives><FalseNegatives></FalseNegatives><Documentable>false</Documentable><Mitigations></Mitigations><SeverityOverrideGuidance></SeverityOverrideGuidance><PotentialImpacts></PotentialImpacts><ThirdPartyTools></ThirdPartyTools><MitigationControl></MitigationControl><Responsibility></Responsibility><IAControls></IAControls>","Terminating an idle session within a short time period reduces the window of opportunity for unauthorized personnel to take control of a management session enabled on the console or console port that has been left unattended. In addition, quickly terminating an idle session will also free up resources committed by the managed network element. 

Terminating network connections associated with communications sessions includes, for example, de-allocating associated TCP/IP address/port pairs at the operating system level, or de-allocating networking assignments at the application level if multiple application sessions are using a single, operating system level network connection. This does not mean that the application terminates all sessions or network access; it only ends the inactive session and releases the resources associated with that session.","","","false","","","","","","","","By default, vSphere Web Client sessions terminate after ""120"" minutes of idle time, requiring the user to log in again to resume using the client. You can view the timeout value by viewing the ""webclient.properties"" file.

On the system where vCenter is installed locate the ""webclient.properties"" file.

Appliance: 
/etc/vmware/vsphere-client/

Windows: 
C:\ProgramData\VMware\vCenterServer\cfg\vsphere-client

Find the ""session.timeout ="" line in the ""webclient.properties"" file.

If the session timeout is not set to ""10"" in the ""webclient.properties"" file, this is a finding.","Change the timeout value by editing the ""webclient.properties"" file.

On the system where vCenter is installed locate the ""webclient.properties"" file.

Appliance: 
/etc/vmware/vsphere-client/

Windows: 
C:\ProgramData\VMware\vCenterServer\cfg\vsphere-client

Edit the file to include the line ""session.timeout = 10"" where ""10"" is the timeout value in minutes.  Uncomment the line if necessary.

After editing the file the vSphere Web Client service must be restarted.","SV-104553,V-94723,CCI-001133"
"VMW vSphere 6.5 vCenter Server for Windows Security Technical Implementation Guide","This Security Technical Implementation Guide is published as a tool to improve the security of Department of Defense (DoD) information systems. The requirements are derived from the National Institute of Standards and Technology (NIST) 800-53 and related documents. Comments or proposed revisions to this document should be sent via email to the following address: disa.stig_spt@mail.mil.","2","2 ","23 Jul 2021","Release: 2 Benchmark Date: 23 Jul 2021","STIG.DOD.MIL","terms-of-use","V-216829","SV-216829r612237_rule","VCWN-65-000005","medium","CAT II","","SRG-APP-000211","The vCenter Server for Windows users must have the correct roles assigned.","<VulnDiscussion>Users and service accounts must only be assigned privileges they require. Least Privilege requires that these privileges must only be assigned if needed, to reduce risk of confidentiality, availability or integrity loss.</VulnDiscussion><FalsePositives></FalsePositives><FalseNegatives></FalseNegatives><Documentable>false</Documentable><Mitigations></Mitigations><SeverityOverrideGuidance></SeverityOverrideGuidance><PotentialImpacts></PotentialImpacts><ThirdPartyTools></ThirdPartyTools><MitigationControl></MitigationControl><Responsibility></Responsibility><IAControls></IAControls>","Users and service accounts must only be assigned privileges they require. Least Privilege requires that these privileges must only be assigned if needed, to reduce risk of confidentiality, availability or integrity loss.","","","false","","","","","","","","From the vSphere Web Client go to Administration >> Access Control >> Roles.  View each role and verify the users and/or groups assigned to it.

or

From a PowerCLI command prompt while connected to the vCenter server run the following command:

Get-VIPermission | Sort Role | Select Role,Principal,Entity,Propagate,IsGroup | FT -Auto

Application service account and user required privileges should be documented.

If any user or service account has more privileges than required, this is a finding.","To update a user or groups permissions to an existing role with reduced permissions do the following:

From the vSphere Web Client go to Administration >> Access Control >> Global Permissions.  Select the user or group and click ""Edit"" and change the assigned role and click ""OK"".  If permissions are assigned on a specific object then the role must be updated where it is assigned for example at the cluster level.

To create a new role with reduced permissions do the following:

From the vSphere Web Client go to Administration >> Access Control >> Roles. Click the green plus sign and enter a name for the role and select only the specific permissions required.  Users can then be assigned to the newly created role.","SV-104555,V-94725,CCI-001082"
"VMW vSphere 6.5 vCenter Server for Windows Security Technical Implementation Guide","This Security Technical Implementation Guide is published as a tool to improve the security of Department of Defense (DoD) information systems. The requirements are derived from the National Institute of Standards and Technology (NIST) 800-53 and related documents. Comments or proposed revisions to this document should be sent via email to the following address: disa.stig_spt@mail.mil.","2","2 ","23 Jul 2021","Release: 2 Benchmark Date: 23 Jul 2021","STIG.DOD.MIL","terms-of-use","V-216830","SV-216830r612237_rule","VCWN-65-000007","medium","CAT II","","SRG-APP-000516","The vCenter Server for Windows must manage excess capacity, bandwidth, or other redundancy to limit the effects of information-flooding types of Denial of Service (DoS) attacks by enabling Network I/O Control (NIOC).","<VulnDiscussion>DoS is a condition when a resource is not available for legitimate users. When this occurs, the organization either cannot accomplish its mission or must operate at degraded capacity.

Managing excess capacity ensures that sufficient capacity is available to counter flooding attacks. Employing increased capacity and service redundancy may reduce the susceptibility to some DoS attacks. Managing excess capacity may include, for example, establishing selected usage priorities, quotas, or partitioning.</VulnDiscussion><FalsePositives></FalsePositives><FalseNegatives></FalseNegatives><Documentable>false</Documentable><Mitigations></Mitigations><SeverityOverrideGuidance></SeverityOverrideGuidance><PotentialImpacts></PotentialImpacts><ThirdPartyTools></ThirdPartyTools><MitigationControl></MitigationControl><Responsibility></Responsibility><IAControls></IAControls>","DoS is a condition when a resource is not available for legitimate users. When this occurs, the organization either cannot accomplish its mission or must operate at degraded capacity.

Managing excess capacity ensures that sufficient capacity is available to counter flooding attacks. Employing increased capacity and service redundancy may reduce the susceptibility to some DoS attacks. Managing excess capacity may include, for example, establishing selected usage priorities, quotas, or partitioning.","","","false","","","","","","","","From the vSphere Web Client go to Networking >> Select a distributed switch >> Configure >> Settings >> Properties. View the Properties pane and verify Network I/O Control is enabled.

or

From a PowerCLI command prompt while connected to the vCenter server run the following command:

Get-VDSwitch | select Name,@{N=""NIOC Enabled"";E={$_.ExtensionData.config.NetworkResourceManagementEnabled}}

If Network I/O Control is disabled, this is a finding.","From the vSphere Web Client go to Networking >> Select a distributed switch >> Configure >> Settings >> Properties. In the Properties pane click ""Edit"" and change Network I/O Control to enabled.

or

From a PowerCLI command prompt while connected to the vCenter server run the following command:

(Get-VDSwitch ""DVSwitch Name"" | Get-View).EnableNetworkResourceManagement($true)","SV-104557,V-94727,CCI-000366"
"VMW vSphere 6.5 vCenter Server for Windows Security Technical Implementation Guide","This Security Technical Implementation Guide is published as a tool to improve the security of Department of Defense (DoD) information systems. The requirements are derived from the National Institute of Standards and Technology (NIST) 800-53 and related documents. Comments or proposed revisions to this document should be sent via email to the following address: disa.stig_spt@mail.mil.","2","2 ","23 Jul 2021","Release: 2 Benchmark Date: 23 Jul 2021","STIG.DOD.MIL","terms-of-use","V-216831","SV-216831r612237_rule","VCWN-65-000008","low","CAT III","","SRG-APP-000108","The vCenter Server for Windows must provide an immediate real-time alert to the SA and ISSO, at a minimum, of all audit failure events.","<VulnDiscussion>It is critical for the appropriate personnel to be aware if an ESXi host is at risk of failing to process audit logs as required. Without a real-time alert, security personnel may be unaware of an impending failure of the audit capability, and system operation may be adversely affected.

To ensure the appropriate personnel are alerted if an audit failure occurs a vCenter alarm can be created to trigger when an ESXi host can no longer reach its syslog server.</VulnDiscussion><FalsePositives></FalsePositives><FalseNegatives></FalseNegatives><Documentable>false</Documentable><Mitigations></Mitigations><SeverityOverrideGuidance></SeverityOverrideGuidance><PotentialImpacts></PotentialImpacts><ThirdPartyTools></ThirdPartyTools><MitigationControl></MitigationControl><Responsibility></Responsibility><IAControls></IAControls>","It is critical for the appropriate personnel to be aware if an ESXi host is at risk of failing to process audit logs as required. Without a real-time alert, security personnel may be unaware of an impending failure of the audit capability, and system operation may be adversely affected.

To ensure the appropriate personnel are alerted if an audit failure occurs a vCenter alarm can be created to trigger when an ESXi host can no longer reach its syslog server.","","","false","","","","","","","","From the vSphere Web Client go to Host and Clusters >> Select a vCenter Server >> Monitor >> Issues >> Alarm Definitions. Verify there is an alarm created to alert when an ESXi host can no longer reach its syslog server.

or

From a PowerCLI command prompt while connected to the vCenter server run the following command:

Get-AlarmDefinition | Where {$_.ExtensionData.Info.Expression.Expression.EventTypeId -eq ""esx.problem.vmsyslogd.remote.failure""} | Select Name,Enabled,@{N=""EventTypeId"";E={$_.ExtensionData.Info.Expression.Expression.EventTypeId}}

If an alarm is not created to alert when syslog failures occur, this is a finding.","From the vSphere Web Client go to Host and Clusters >> Select a vCenter Server >> Monitor >> Issues >> Alarm Definitions >> Click the green plus icon. Provide an alarm name and description, Select ""Hosts"" from the ""Monitor"" dropdown menu. Select ""specific event"" next to ""Monitor for"". Enable the alarm. Click ""Next"". Add a new Trigger and paste in ""esx.problem.vmsyslogd.remote.failure"" for the Event. Select ""Alert"" for the Status. Click ""Next"". Add an action to send an email or a trap for ""green to yellow"" and ""yellow to red"" categories, configure appropriately. Click ""Finish"".

Note - This alarm will only trigger if syslog is configured for TCP or SSL connections and not UDP.","SV-104559,V-94729,CCI-000139"
"VMW vSphere 6.5 vCenter Server for Windows Security Technical Implementation Guide","This Security Technical Implementation Guide is published as a tool to improve the security of Department of Defense (DoD) information systems. The requirements are derived from the National Institute of Standards and Technology (NIST) 800-53 and related documents. Comments or proposed revisions to this document should be sent via email to the following address: disa.stig_spt@mail.mil.","2","2 ","23 Jul 2021","Release: 2 Benchmark Date: 23 Jul 2021","STIG.DOD.MIL","terms-of-use","V-216832","SV-216832r612237_rule","VCWN-65-000009","medium","CAT II","","SRG-APP-000153","The vCenter Server for Windows must use Active Directory authentication.","<VulnDiscussion>The vCenter Server for Windows must ensure users are authenticated with an individual authenticator prior to using a group authenticator.  Using Active Directory for authentication provides more robust account management capabilities.</VulnDiscussion><FalsePositives></FalsePositives><FalseNegatives></FalseNegatives><Documentable>false</Documentable><Mitigations></Mitigations><SeverityOverrideGuidance></SeverityOverrideGuidance><PotentialImpacts></PotentialImpacts><ThirdPartyTools></ThirdPartyTools><MitigationControl></MitigationControl><Responsibility></Responsibility><IAControls></IAControls>","The vCenter Server for Windows must ensure users are authenticated with an individual authenticator prior to using a group authenticator.  Using Active Directory for authentication provides more robust account management capabilities.","","","false","","","","","","","","If Active Directory is not used in the environment, this is not applicable.

Verify the Windows server hosting vCenter is joined to the domain and access to the server and to vCenter is done using Active Directory accounts.

If the vCenter server is not joined to an Active Directory domain, this is a finding.

If Active Directory-based accounts are not used for daily operations of the vCenter server, this is a finding.","If the server hosting vCenter is not joined to the domain follow the OS specific procedures to join it to Active Directory.

If local accounts are used for normal operations then Active Directory accounts should be created and used.","SV-104561,V-94731,CCI-000770"
"VMW vSphere 6.5 vCenter Server for Windows Security Technical Implementation Guide","This Security Technical Implementation Guide is published as a tool to improve the security of Department of Defense (DoD) information systems. The requirements are derived from the National Institute of Standards and Technology (NIST) 800-53 and related documents. Comments or proposed revisions to this document should be sent via email to the following address: disa.stig_spt@mail.mil.","2","2 ","23 Jul 2021","Release: 2 Benchmark Date: 23 Jul 2021","STIG.DOD.MIL","terms-of-use","V-216833","SV-216833r612237_rule","VCWN-65-000010","medium","CAT II","","SRG-APP-000153","The vCenter Server for Windows must limit the use of the built-in SSO administrative account.","<VulnDiscussion>Use of the SSO administrator account should be limited as it is a shared account and individual accounts must be used wherever possible.</VulnDiscussion><FalsePositives></FalsePositives><FalseNegatives></FalseNegatives><Documentable>false</Documentable><Mitigations></Mitigations><SeverityOverrideGuidance></SeverityOverrideGuidance><PotentialImpacts></PotentialImpacts><ThirdPartyTools></ThirdPartyTools><MitigationControl></MitigationControl><Responsibility></Responsibility><IAControls></IAControls>","Use of the SSO administrator account should be limited as it is a shared account and individual accounts must be used wherever possible.","","","false","","","","","","","","Verify the built-in SSO administrator account is only used for emergencies and situations where it is the only option due to permissions.

If the built-in SSO administrator account is used for daily operations or there is no policy restricting its use, this is a finding.","A policy should be developed to limit the use of the built-in SSO administrator account.","SV-104563,V-94733,CCI-000770"
"VMW vSphere 6.5 vCenter Server for Windows Security Technical Implementation Guide","This Security Technical Implementation Guide is published as a tool to improve the security of Department of Defense (DoD) information systems. The requirements are derived from the National Institute of Standards and Technology (NIST) 800-53 and related documents. Comments or proposed revisions to this document should be sent via email to the following address: disa.stig_spt@mail.mil.","2","2 ","23 Jul 2021","Release: 2 Benchmark Date: 23 Jul 2021","STIG.DOD.MIL","terms-of-use","V-216834","SV-216834r612237_rule","VCWN-65-000012","low","CAT III","","SRG-APP-000516","The vCenter Server for Windows must disable the distributed virtual switch health check.","<VulnDiscussion>Network Healthcheck is disabled by default. Once enabled, the healthcheck packets contain information on host#, vds#, port#, which an attacker would find useful. It is recommended that network healthcheck be used for troubleshooting, and turned off when troubleshooting is finished.</VulnDiscussion><FalsePositives></FalsePositives><FalseNegatives></FalseNegatives><Documentable>false</Documentable><Mitigations></Mitigations><SeverityOverrideGuidance></SeverityOverrideGuidance><PotentialImpacts></PotentialImpacts><ThirdPartyTools></ThirdPartyTools><MitigationControl></MitigationControl><Responsibility></Responsibility><IAControls></IAControls>","Network Healthcheck is disabled by default. Once enabled, the healthcheck packets contain information on host#, vds#, port#, which an attacker would find useful. It is recommended that network healthcheck be used for troubleshooting, and turned off when troubleshooting is finished.","","","false","","","","","","","","From the vSphere Web Client go to Networking >> Select a distributed switch >> Configure >> Settings >> Health Check. View the health check pane and verify both checks are disabled.

or

From a PowerCLI command prompt while connected to the vCenter server run the following commands:
$vds = Get-VDSwitch
$vds.ExtensionData.Config.HealthCheckConfig

If the health check feature is enabled on distributed switches and is not on temporarily for troubleshooting purposes, this is a finding.","From the vSphere Web Client go to Networking >> Select a distributed switch >> Configure >> Settings >> Health Check. Click the ""Edit"" button and disable both health checks.

or

From a PowerCLI command prompt while connected to the vCenter server run the following command:
Get-View -ViewType DistributedVirtualSwitch | ?{($_.config.HealthCheckConfig | ?{$_.enable -notmatch ""False""})}| %{$_.UpdateDVSHealthCheckConfig(@((New-Object Vmware.Vim.VMwareDVSVlanMtuHealthCheckConfig -property @{enable=0}),(New-Object Vmware.Vim.VMwareDVSTeamingHealthCheckConfig -property @{enable=0})))}","SV-104565,V-94735,CCI-000366"
