"Title","Description","Version","Release","BenchmarkDate","ReleaseInfo","Source","Notice","Rule_VulnID","Rule_RuleID","Rule_StigID","Rule_Severity","Rule_Cat","Rule_Classification","Rule_GroupTitle","Rule_RuleTitle","Rule_Description","Rule_VulnDiscussion","Rule_FalsePositives","Rule_FalseNegatives","Rule_Documentable","Rule_Mitigations","Rule_SeverityOverrideGuidance","Rule_PotentialImpacts","Rule_ThirdPartyTools","Rule_MitigationControl","Rule_Responsibility","Rule_IAControls","Rule_CheckText","Rule_FixText","Rule_CCI"
"VMware vSphere 6.7 STS Tomcat Security Technical Implementation Guide","This Security Technical Implementation Guide is published as a tool to 
improve the security of Department of Defense (DoD) information systems. The requirements are derived from the National Institute of Standards and Technology (NIST) 800-53 and related documents. Comments or proposed revisions to this document should be sent via email to the following address: disa.stig_spt@mail.mil.","1","2 ","08 Feb 2022","Release: 2 Benchmark Date: 08 Feb 2022","STIG.DOD.MIL","terms-of-use","V-239652","SV-239652r816681_rule","VCST-67-000001","medium","CAT II","","SRG-APP-000001-WSR-000001","The Security Token Service must limit the amount of time that each TCP connection is kept alive.","<VulnDiscussion>Denial of service (DoS) is one threat against web servers. Many DoS attacks attempt to consume web server resources in such a way that no more resources are available to satisfy legitimate requests. 

In Tomcat, the ""connectionTimeout"" attribute sets the number of milliseconds the server will wait after accepting a connection for the request URI line to be presented. This timeout will also be used when reading the request body (if any). This prevents idle sockets that are not sending HTTP requests from consuming system resources and potentially denying new connections.</VulnDiscussion><FalsePositives></FalsePositives><FalseNegatives></FalseNegatives><Documentable>false</Documentable><Mitigations></Mitigations><SeverityOverrideGuidance></SeverityOverrideGuidance><PotentialImpacts></PotentialImpacts><ThirdPartyTools></ThirdPartyTools><MitigationControl></MitigationControl><Responsibility></Responsibility><IAControls></IAControls>","Denial of service (DoS) is one threat against web servers. Many DoS attacks attempt to consume web server resources in such a way that no more resources are available to satisfy legitimate requests. 

In Tomcat, the ""connectionTimeout"" attribute sets the number of milliseconds the server will wait after accepting a connection for the request URI line to be presented. This timeout will also be used when reading the request body (if any). This prevents idle sockets that are not sending HTTP requests from consuming system resources and potentially denying new connections.","","","false","","","","","","","","Connect to the PSC, whether external or embedded.

At the command prompt, execute the following command:

# xmllint --format /usr/lib/vmware-sso/vmware-sts/conf/server.xml | sed '2 s/xmlns="".*""//g' | xmllint --xpath '/Server/Service/Connector[@port=""${bio-custom.http.port}""]/@connectionTimeout' -

Expected result:

connectionTimeout=""60000""

If the output does not match the expected result, this is a finding.","Connect to the PSC, whether external or embedded.

Navigate to and open /usr/lib/vmware-sso/vmware-sts/conf/server.xml.

Navigate to each of the <Connector> nodes.

Configure each <Connector> node with the value:

connectionTimeout=""60000""","CCI-000054"
"VMware vSphere 6.7 STS Tomcat Security Technical Implementation Guide","This Security Technical Implementation Guide is published as a tool to 
improve the security of Department of Defense (DoD) information systems. The requirements are derived from the National Institute of Standards and Technology (NIST) 800-53 and related documents. Comments or proposed revisions to this document should be sent via email to the following address: disa.stig_spt@mail.mil.","1","2 ","08 Feb 2022","Release: 2 Benchmark Date: 08 Feb 2022","STIG.DOD.MIL","terms-of-use","V-239653","SV-239653r816684_rule","VCST-67-000002","medium","CAT II","","SRG-APP-000001-WSR-000001","The Security Token Service must limit the number of concurrent connections permitted.","<VulnDiscussion>Resource exhaustion can occur when an unlimited number of concurrent requests are allowed on a website, facilitating a denial-of-service attack. Unless the number of requests is controlled, the web server can consume enough system resources to cause a system crash.

Mitigating this kind of attack will include limiting the number of concurrent HTTP/HTTPS requests. In Tomcat, each incoming request requires a thread for the duration of that request. If more simultaneous requests are received than can be handled by the currently available request processing threads, additional threads will be created up to the value of the ""maxThreads"" attribute.</VulnDiscussion><FalsePositives></FalsePositives><FalseNegatives></FalseNegatives><Documentable>false</Documentable><Mitigations></Mitigations><SeverityOverrideGuidance></SeverityOverrideGuidance><PotentialImpacts></PotentialImpacts><ThirdPartyTools></ThirdPartyTools><MitigationControl></MitigationControl><Responsibility></Responsibility><IAControls></IAControls>","Resource exhaustion can occur when an unlimited number of concurrent requests are allowed on a website, facilitating a denial-of-service attack. Unless the number of requests is controlled, the web server can consume enough system resources to cause a system crash.

Mitigating this kind of attack will include limiting the number of concurrent HTTP/HTTPS requests. In Tomcat, each incoming request requires a thread for the duration of that request. If more simultaneous requests are received than can be handled by the currently available request processing threads, additional threads will be created up to the value of the ""maxThreads"" attribute.","","","false","","","","","","","","Connect to the PSC, whether external or embedded.

At the command prompt, execute the following command:

# xmllint --format /usr/lib/vmware-sso/vmware-sts/conf/server.xml | sed '2 s/xmlns="".*""//g' | xmllint --xpath '/Server/Service/Executor[@name=""tomcatThreadPool""]/@maxThreads' -

Expected result:

maxThreads=""300""

If the output does not match the expected result, this is a finding.","Connect to the PSC, whether external or embedded.

Navigate to and open /usr/lib/vmware-sso/vmware-sts/conf/server.xml.

Navigate to the <Executor> mode with the name of ""tomcatThreadPool"" and configure with the value:

'maxThreads=""300""'

Note: The <Executor> node should be configured as follows:

<Executor maxThreads=""300"" minSpareThreads=""50"" name=""tomcatThreadPool"" namePrefix=""tomcat-http--"" />","CCI-000054"
"VMware vSphere 6.7 STS Tomcat Security Technical Implementation Guide","This Security Technical Implementation Guide is published as a tool to 
improve the security of Department of Defense (DoD) information systems. The requirements are derived from the National Institute of Standards and Technology (NIST) 800-53 and related documents. Comments or proposed revisions to this document should be sent via email to the following address: disa.stig_spt@mail.mil.","1","2 ","08 Feb 2022","Release: 2 Benchmark Date: 08 Feb 2022","STIG.DOD.MIL","terms-of-use","V-239654","SV-239654r816687_rule","VCST-67-000003","medium","CAT II","","SRG-APP-000001-WSR-000001","The Security Token Service must limit the maximum size of a POST request.","<VulnDiscussion>The ""maxPostSize"" value is the maximum size in bytes of the POST that will be handled by the container FORM URL parameter parsing. Limit its size to reduce exposure to a denial-of-service attack. 

If ""maxPostSize"" is not set, the default value of 2097152 (2MB) is used. Security Token Service is configured in its shipping state to not set a value for ""maxPostSize"".</VulnDiscussion><FalsePositives></FalsePositives><FalseNegatives></FalseNegatives><Documentable>false</Documentable><Mitigations></Mitigations><SeverityOverrideGuidance></SeverityOverrideGuidance><PotentialImpacts></PotentialImpacts><ThirdPartyTools></ThirdPartyTools><MitigationControl></MitigationControl><Responsibility></Responsibility><IAControls></IAControls>","The ""maxPostSize"" value is the maximum size in bytes of the POST that will be handled by the container FORM URL parameter parsing. Limit its size to reduce exposure to a denial-of-service attack. 

If ""maxPostSize"" is not set, the default value of 2097152 (2MB) is used. Security Token Service is configured in its shipping state to not set a value for ""maxPostSize"".","","","false","","","","","","","","Connect to the PSC, whether external or embedded.

At the command prompt, execute the following command:

# xmllint --format /usr/lib/vmware-sso/vmware-sts/conf/server.xml | sed '2 s/xmlns="".*""//g' | xmllint --xpath '/Server/Service/Connector[@port=""${bio-custom.http.port}""]/@maxPostSize' -

Expected result:

XPath set is empty

If the output does not match the expected result, this is a finding.","Connect to the PSC, whether external or embedded.

Navigate to and open /usr/lib/vmware-sso/vmware-sts/conf/server.xml.

Navigate to each of the <Connector> nodes.

Remove any configuration for ""maxPostSize"".","CCI-000054"
"VMware vSphere 6.7 STS Tomcat Security Technical Implementation Guide","This Security Technical Implementation Guide is published as a tool to 
improve the security of Department of Defense (DoD) information systems. The requirements are derived from the National Institute of Standards and Technology (NIST) 800-53 and related documents. Comments or proposed revisions to this document should be sent via email to the following address: disa.stig_spt@mail.mil.","1","2 ","08 Feb 2022","Release: 2 Benchmark Date: 08 Feb 2022","STIG.DOD.MIL","terms-of-use","V-239655","SV-239655r816690_rule","VCST-67-000004","medium","CAT II","","SRG-APP-000001-WSR-000002","The Security Token Service must protect cookies from XSS.","<VulnDiscussion>Cookies are a common way to save session state over the HTTP(S) protocol. If an attacker can compromise session data stored in a cookie, they are better able to launch an attack against the server and its applications. When a cookie is tagged with the ""HttpOnly"" flag, it tells the browser that this particular cookie should only be accessed by the originating server. Any attempt to access the cookie from client script is strictly forbidden.

Satisfies: SRG-APP-000001-WSR-000002, SRG-APP-000223-WSR-000011, SRG-APP-000439-WSR-000154</VulnDiscussion><FalsePositives></FalsePositives><FalseNegatives></FalseNegatives><Documentable>false</Documentable><Mitigations></Mitigations><SeverityOverrideGuidance></SeverityOverrideGuidance><PotentialImpacts></PotentialImpacts><ThirdPartyTools></ThirdPartyTools><MitigationControl></MitigationControl><Responsibility></Responsibility><IAControls></IAControls>","Cookies are a common way to save session state over the HTTP(S) protocol. If an attacker can compromise session data stored in a cookie, they are better able to launch an attack against the server and its applications. When a cookie is tagged with the ""HttpOnly"" flag, it tells the browser that this particular cookie should only be accessed by the originating server. Any attempt to access the cookie from client script is strictly forbidden.

Satisfies: SRG-APP-000001-WSR-000002, SRG-APP-000223-WSR-000011, SRG-APP-000439-WSR-000154","","","false","","","","","","","","Connect to the PSC, whether external or embedded.

At the command prompt, execute the following command:

# xmllint --format /usr/lib/vmware-sso/vmware-sts/conf/web.xml | sed '2 s/xmlns="".*""//g' | xmllint --xpath '/web-app/session-config/cookie-config/http-only' -

Expected result:

<http-only>true</http-only>

If the output does not match the expected result, this is a finding.","Connect to the PSC, whether external or embedded.

Navigate to and open /usr/lib/vmware-sso/vmware-sts/conf/web.xml.

Navigate to the <session-config> node and configure it as follows:

<session-config>
        <session-timeout>30</session-timeout>
        <cookie-config>
            <http-only>true</http-only>
            <secure>true</secure>
        </cookie-config>
    </session-config>","CCI-000054,CCI-001664,CCI-002418"
"VMware vSphere 6.7 STS Tomcat Security Technical Implementation Guide","This Security Technical Implementation Guide is published as a tool to 
improve the security of Department of Defense (DoD) information systems. The requirements are derived from the National Institute of Standards and Technology (NIST) 800-53 and related documents. Comments or proposed revisions to this document should be sent via email to the following address: disa.stig_spt@mail.mil.","1","2 ","08 Feb 2022","Release: 2 Benchmark Date: 08 Feb 2022","STIG.DOD.MIL","terms-of-use","V-239656","SV-239656r816693_rule","VCST-67-000005","medium","CAT II","","SRG-APP-000016-WSR-000005","The Security Token Service must record user access in a format that enables monitoring of remote access.","<VulnDiscussion>Remote access can be exploited by an attacker to compromise the server. By recording all remote access activities, it will be possible to determine the attacker's location, intent, and degree of success.

Tomcat can be configured with an ""AccessLogValve"", a component that can be inserted into the request processing pipeline to provide robust access logging. The AccessLogValve creates log files in the same format as those created by standard web servers. When AccessLogValve is properly configured, log files will contain all the forensic information necessary in the case of a security incident.

Satisfies: SRG-APP-000016-WSR-000005, SRG-APP-000089-WSR-000047, SRG-APP-000095-WSR-000056, SRG-APP-000096-WSR-000057, SRG-APP-000097-WSR-000058, SRG-APP-000098-WSR-000059, SRG-APP-000098-WSR-000060, SRG-APP-000099-WSR-000061, SRG-APP-000100-WSR-000064, SRG-APP-000092-WSR-000055, SRG-APP-000374-WSR-000172, SRG-APP-000375-WSR-000171</VulnDiscussion><FalsePositives></FalsePositives><FalseNegatives></FalseNegatives><Documentable>false</Documentable><Mitigations></Mitigations><SeverityOverrideGuidance></SeverityOverrideGuidance><PotentialImpacts></PotentialImpacts><ThirdPartyTools></ThirdPartyTools><MitigationControl></MitigationControl><Responsibility></Responsibility><IAControls></IAControls>","Remote access can be exploited by an attacker to compromise the server. By recording all remote access activities, it will be possible to determine the attacker's location, intent, and degree of success.

Tomcat can be configured with an ""AccessLogValve"", a component that can be inserted into the request processing pipeline to provide robust access logging. The AccessLogValve creates log files in the same format as those created by standard web servers. When AccessLogValve is properly configured, log files will contain all the forensic information necessary in the case of a security incident.

Satisfies: SRG-APP-000016-WSR-000005, SRG-APP-000089-WSR-000047, SRG-APP-000095-WSR-000056, SRG-APP-000096-WSR-000057, SRG-APP-000097-WSR-000058, SRG-APP-000098-WSR-000059, SRG-APP-000098-WSR-000060, SRG-APP-000099-WSR-000061, SRG-APP-000100-WSR-000064, SRG-APP-000092-WSR-000055, SRG-APP-000374-WSR-000172, SRG-APP-000375-WSR-000171","","","false","","","","","","","","Connect to the PSC, whether external or embedded.

At the command prompt, execute the following command:

# xmllint --format /usr/lib/vmware-sso/vmware-sts/conf/server.xml | sed '2 s/xmlns="".*""//g' | xmllint --xpath '/Server/Service/Engine/Host/Valve[@className=""org.apache.catalina.valves.AccessLogValve""]'/@pattern -

Expected result:

pattern=""%h %{X-Forwarded-For}i %l %u %t &quot;%r&quot; %s %b &quot;%{User-Agent}i&quot;""

If the output does not match the expected result, this is a finding.","Connect to the PSC, whether external or embedded.

Navigate to and open /usr/lib/vmware-sso/vmware-sts/conf/server.xml.

Inside the <Host> node, add the ""AccessLogValve"" <Valve> node entirely if it does not exist or update the existing pattern to match the following line: 

<Valve className=""org.apache.catalina.valves.AccessLogValve"" directory=""logs"" pattern=""%h %{X-Forwarded-For}i %l %u %t &quot;%r&quot; %s %b &quot;%{User-Agent}i&quot;"" resolveHosts=""false"" prefix=""localhost_access_log"" suffix="".txt"" />","CCI-000067,CCI-000130,CCI-000131,CCI-000132,CCI-000133,CCI-000134,CCI-000169,CCI-001462,CCI-001464,CCI-001487,CCI-001889,CCI-001890"
"VMware vSphere 6.7 STS Tomcat Security Technical Implementation Guide","This Security Technical Implementation Guide is published as a tool to 
improve the security of Department of Defense (DoD) information systems. The requirements are derived from the National Institute of Standards and Technology (NIST) 800-53 and related documents. Comments or proposed revisions to this document should be sent via email to the following address: disa.stig_spt@mail.mil.","1","2 ","08 Feb 2022","Release: 2 Benchmark Date: 08 Feb 2022","STIG.DOD.MIL","terms-of-use","V-239657","SV-239657r816696_rule","VCST-67-000006","medium","CAT II","","SRG-APP-000089-WSR-000047","The Security Token Service must generate log records during Java startup and shutdown.","<VulnDiscussion>Logging must be started as soon as possible when a service starts and as late as possible when a service is stopped. Many forms of suspicious actions can be detected by analyzing logs for unexpected service starts and stops. Also, by starting to log immediately after a service starts, it becomes more difficult for suspicious activity to go unlogged.</VulnDiscussion><FalsePositives></FalsePositives><FalseNegatives></FalseNegatives><Documentable>false</Documentable><Mitigations></Mitigations><SeverityOverrideGuidance></SeverityOverrideGuidance><PotentialImpacts></PotentialImpacts><ThirdPartyTools></ThirdPartyTools><MitigationControl></MitigationControl><Responsibility></Responsibility><IAControls></IAControls>","Logging must be started as soon as possible when a service starts and as late as possible when a service is stopped. Many forms of suspicious actions can be detected by analyzing logs for unexpected service starts and stops. Also, by starting to log immediately after a service starts, it becomes more difficult for suspicious activity to go unlogged.","","","false","","","","","","","","Connect to the PSC, whether external or embedded.

At the command prompt, execute the following command:

# grep ""1catalina.org.apache.juli.FileHandler"" /usr/lib/vmware-sso/vmware-sts/conf/logging.properties

Expected result:

handlers = 1catalina.org.apache.juli.FileHandler, 2localhost.org.apache.juli.FileHandler, 3manager.org.apache.juli.FileHandler, 4host-manager.org.apache.juli.FileHandler, java.util.logging.ConsoleHandler
.handlers = 1catalina.org.apache.juli.FileHandler
1catalina.org.apache.juli.FileHandler.level = FINE
1catalina.org.apache.juli.FileHandler.directory = ${catalina.base}/logs
1catalina.org.apache.juli.FileHandler.prefix = catalina.
1catalina.org.apache.juli.FileHandler.bufferSize = -1

If the output does not match the expected result, this is a finding.","Connect to the PSC, whether external or embedded.

Navigate to and open /usr/lib/vmware-sso/vmware-sts/conf/logging.properties.

Ensure that the ""handlers"" and "".handlers"" lines are configured as follows:

handlers = 1catalina.org.apache.juli.FileHandler, 2localhost.org.apache.juli.FileHandler, 3manager.org.apache.juli.FileHandler, 4host-manager.org.apache.juli.FileHandler, java.util.logging.ConsoleHandler

.handlers = 1catalina.org.apache.juli.FileHandler

Ensure that the following lines are present:

1catalina.org.apache.juli.FileHandler.level = FINE
1catalina.org.apache.juli.FileHandler.directory = ${catalina.base}/logs
1catalina.org.apache.juli.FileHandler.prefix = catalina.
1catalina.org.apache.juli.FileHandler.bufferSize = -1","CCI-000169"
"VMware vSphere 6.7 STS Tomcat Security Technical Implementation Guide","This Security Technical Implementation Guide is published as a tool to 
improve the security of Department of Defense (DoD) information systems. The requirements are derived from the National Institute of Standards and Technology (NIST) 800-53 and related documents. Comments or proposed revisions to this document should be sent via email to the following address: disa.stig_spt@mail.mil.","1","2 ","08 Feb 2022","Release: 2 Benchmark Date: 08 Feb 2022","STIG.DOD.MIL","terms-of-use","V-239658","SV-239658r816699_rule","VCST-67-000007","medium","CAT II","","SRG-APP-000119-WSR-000069","Security Token Service log files must only be modifiable by privileged users.","<VulnDiscussion>Log data is essential in the investigation of events. The accuracy of the information is always pertinent. One of the first steps an attacker will undertake is the modification or deletion of log records to cover tracks and prolong discovery. The web server must protect the log data from unauthorized modification. Security Token Service restricts all modification of log files by default, but this configuration must be verified.

Satisfies: SRG-APP-000119-WSR-000069, SRG-APP-000120-WSR-000070</VulnDiscussion><FalsePositives></FalsePositives><FalseNegatives></FalseNegatives><Documentable>false</Documentable><Mitigations></Mitigations><SeverityOverrideGuidance></SeverityOverrideGuidance><PotentialImpacts></PotentialImpacts><ThirdPartyTools></ThirdPartyTools><MitigationControl></MitigationControl><Responsibility></Responsibility><IAControls></IAControls>","Log data is essential in the investigation of events. The accuracy of the information is always pertinent. One of the first steps an attacker will undertake is the modification or deletion of log records to cover tracks and prolong discovery. The web server must protect the log data from unauthorized modification. Security Token Service restricts all modification of log files by default, but this configuration must be verified.

Satisfies: SRG-APP-000119-WSR-000069, SRG-APP-000120-WSR-000070","","","false","","","","","","","","Connect to the PSC, whether external or embedded.

At the command prompt, execute the following command:

# find /storage/log/vmware/sso/ -xdev -type f -a '(' -perm -o+w -o -not -user root -o -not -group root ')' -exec ls -ld {} \;

If any files are returned, this is a finding.","Connect to the PSC, whether external or embedded.

At the command prompt, execute the following commands:

# chmod o-w <file>
# chown root:root <file>

Note: Substitute <file> with the listed file.","CCI-000163,CCI-000164"
"VMware vSphere 6.7 STS Tomcat Security Technical Implementation Guide","This Security Technical Implementation Guide is published as a tool to 
improve the security of Department of Defense (DoD) information systems. The requirements are derived from the National Institute of Standards and Technology (NIST) 800-53 and related documents. Comments or proposed revisions to this document should be sent via email to the following address: disa.stig_spt@mail.mil.","1","2 ","08 Feb 2022","Release: 2 Benchmark Date: 08 Feb 2022","STIG.DOD.MIL","terms-of-use","V-239659","SV-239659r816702_rule","VCST-67-000008","medium","CAT II","","SRG-APP-000131-WSR-000051","The Security Token Service application files must be verified for their integrity.","<VulnDiscussion>Verifying that the Security Token Service application code is unchanged from its shipping state is essential for file validation and non-repudiation of the Security Token Service. There is no reason the MD5 hash of the rpm original files should be changed after installation, excluding configuration files.

Satisfies: SRG-APP-000131-WSR-000051, SRG-APP-000357-WSR-000150</VulnDiscussion><FalsePositives></FalsePositives><FalseNegatives></FalseNegatives><Documentable>false</Documentable><Mitigations></Mitigations><SeverityOverrideGuidance></SeverityOverrideGuidance><PotentialImpacts></PotentialImpacts><ThirdPartyTools></ThirdPartyTools><MitigationControl></MitigationControl><Responsibility></Responsibility><IAControls></IAControls>","Verifying that the Security Token Service application code is unchanged from its shipping state is essential for file validation and non-repudiation of the Security Token Service. There is no reason the MD5 hash of the rpm original files should be changed after installation, excluding configuration files.

Satisfies: SRG-APP-000131-WSR-000051, SRG-APP-000357-WSR-000150","","","false","","","","","","","","Connect to the PSC, whether external or embedded.

At the command prompt, execute the following command:

# rpm -V vmware-identity-sts|grep ""^..5......""|grep -E ""\.war|\.jar|\.sh|\.py""

If there is any output, this is a finding.","Connect to the PSC, whether external or embedded.

Reinstall the VCSA or roll back to a snapshot. 

Modifying the Security Token Service installation files manually is not supported by VMware.","CCI-001749,CCI-001849"
"VMware vSphere 6.7 STS Tomcat Security Technical Implementation Guide","This Security Technical Implementation Guide is published as a tool to 
improve the security of Department of Defense (DoD) information systems. The requirements are derived from the National Institute of Standards and Technology (NIST) 800-53 and related documents. Comments or proposed revisions to this document should be sent via email to the following address: disa.stig_spt@mail.mil.","1","2 ","08 Feb 2022","Release: 2 Benchmark Date: 08 Feb 2022","STIG.DOD.MIL","terms-of-use","V-239660","SV-239660r816705_rule","VCST-67-000009","medium","CAT II","","SRG-APP-000131-WSR-000073","The Security Token Service must only run one web app.","<VulnDiscussion>VMware ships the Security Token Service on the VCSA with one web app, in ROOT.war. Any other .war file is potentially malicious and must be removed.</VulnDiscussion><FalsePositives></FalsePositives><FalseNegatives></FalseNegatives><Documentable>false</Documentable><Mitigations></Mitigations><SeverityOverrideGuidance></SeverityOverrideGuidance><PotentialImpacts></PotentialImpacts><ThirdPartyTools></ThirdPartyTools><MitigationControl></MitigationControl><Responsibility></Responsibility><IAControls></IAControls>","VMware ships the Security Token Service on the VCSA with one web app, in ROOT.war. Any other .war file is potentially malicious and must be removed.","","","false","","","","","","","","Connect to the PSC, whether external or embedded.

At the command prompt, execute the following command:

# ls /usr/lib/vmware-sso/vmware-sts/webapps/*.war

Expected result:

/usr/lib/vmware-sso/vmware-sts/webapps/ROOT.war

If the result of this command does not match the expected result, this is a finding.","Connect to the PSC, whether external or embedded.

For each unexpected file returned in the check, run the following command:

# rm /usr/lib/vmware-sso/vmware-sts/webapps/<NAME>.war

Restart the service with the following command:

# service-control --restart vmware-stsd","CCI-001749"
"VMware vSphere 6.7 STS Tomcat Security Technical Implementation Guide","This Security Technical Implementation Guide is published as a tool to 
improve the security of Department of Defense (DoD) information systems. The requirements are derived from the National Institute of Standards and Technology (NIST) 800-53 and related documents. Comments or proposed revisions to this document should be sent via email to the following address: disa.stig_spt@mail.mil.","1","2 ","08 Feb 2022","Release: 2 Benchmark Date: 08 Feb 2022","STIG.DOD.MIL","terms-of-use","V-239661","SV-239661r816708_rule","VCST-67-000010","medium","CAT II","","SRG-APP-000141-WSR-000015","The Security Token Service must not be configured with unused realms.","<VulnDiscussion>The Security Token Service performs user authentication at the application level and not through Tomcat. To eliminate unnecessary features and ensure that the Security Token Service remains in its shipping state, the lack of a ""UserDatabaseRealm"" configuration must be confirmed.</VulnDiscussion><FalsePositives></FalsePositives><FalseNegatives></FalseNegatives><Documentable>false</Documentable><Mitigations></Mitigations><SeverityOverrideGuidance></SeverityOverrideGuidance><PotentialImpacts></PotentialImpacts><ThirdPartyTools></ThirdPartyTools><MitigationControl></MitigationControl><Responsibility></Responsibility><IAControls></IAControls>","The Security Token Service performs user authentication at the application level and not through Tomcat. To eliminate unnecessary features and ensure that the Security Token Service remains in its shipping state, the lack of a ""UserDatabaseRealm"" configuration must be confirmed.","","","false","","","","","","","","Connect to the PSC, whether external or embedded.

At the command prompt, execute the following command:

# grep UserDatabase /usr/lib/vmware-sso/vmware-sts/conf/server.xml

If the command produces any output, this is a finding.","Connect to the PSC, whether external or embedded.

Navigate to and open /usr/lib/vmware-sso/vmware-sts/conf/server.xml. 

Remove the <Realm> nodes returned in the check.","CCI-000381"
