"Title","Description","Version","Release","BenchmarkDate","ReleaseInfo","Source","Notice","Rule_VulnID","Rule_RuleID","Rule_StigID","Rule_Severity","Rule_Cat","Rule_Classification","Rule_GroupTitle","Rule_RuleTitle","Rule_Description","Rule_VulnDiscussion","Rule_FalsePositives","Rule_FalseNegatives","Rule_Documentable","Rule_Mitigations","Rule_SeverityOverrideGuidance","Rule_PotentialImpacts","Rule_ThirdPartyTools","Rule_MitigationControl","Rule_Responsibility","Rule_IAControls","Rule_CheckText","Rule_FixText","Rule_CCI"
"VMware vSphere 6.7 UI Tomcat Security Technical Implementation Guide","This Security Technical Implementation Guide is published as a tool to improve the security of Department of Defense (DoD) information systems. The requirements are derived from the National Institute of Standards and Technology (NIST) 800-53 and related documents. Comments or proposed revisions to this document should be sent via email to the following address: disa.stig_spt@mail.mil.","1","2 ","08 Feb 2022","Release: 2 Benchmark Date: 08 Feb 2022","STIG.DOD.MIL","terms-of-use","V-239682","SV-239682r816771_rule","VCUI-67-000001","medium","CAT II","","SRG-APP-000001-WSR-000001","vSphere UI must limit the amount of time that each TCP connection is kept alive.","<VulnDiscussion>Denial of service (DoS) is one threat against web servers. Many DoS attacks attempt to consume web server resources in such a way that no more resources are available to satisfy legitimate requests. 

In Tomcat, the ""connectionTimeout"" attribute sets the number of milliseconds the server will wait after accepting a connection for the request URI line to be presented. This timeout will also be used when reading the request body (if any). This prevents idle sockets that are not sending HTTP requests from consuming system resources and potentially denying new connections.</VulnDiscussion><FalsePositives></FalsePositives><FalseNegatives></FalseNegatives><Documentable>false</Documentable><Mitigations></Mitigations><SeverityOverrideGuidance></SeverityOverrideGuidance><PotentialImpacts></PotentialImpacts><ThirdPartyTools></ThirdPartyTools><MitigationControl></MitigationControl><Responsibility></Responsibility><IAControls></IAControls>","Denial of service (DoS) is one threat against web servers. Many DoS attacks attempt to consume web server resources in such a way that no more resources are available to satisfy legitimate requests. 

In Tomcat, the ""connectionTimeout"" attribute sets the number of milliseconds the server will wait after accepting a connection for the request URI line to be presented. This timeout will also be used when reading the request body (if any). This prevents idle sockets that are not sending HTTP requests from consuming system resources and potentially denying new connections.","","","false","","","","","","","","At the command prompt, execute the following command:

# xmllint --format /usr/lib/vmware-vsphere-ui/server/conf/server.xml | sed '2 s/xmlns="".*""//g' |  xmllint --xpath '/Server/Service/Connector[@port=""${http.port}""]/@connectionTimeout' -

Expected result:

connectionTimeout=""300000""

If the output does not match the expected result, this is a finding.","Navigate to and open /usr/lib/vmware-vsphere-ui/server/conf/server.xml.

Configure the http <Connector> node with the value:

'connectionTimeout=""300000""'

Example:

<Connector .. connectionTimeout=""300000"" ..>","CCI-000054"
"VMware vSphere 6.7 UI Tomcat Security Technical Implementation Guide","This Security Technical Implementation Guide is published as a tool to improve the security of Department of Defense (DoD) information systems. The requirements are derived from the National Institute of Standards and Technology (NIST) 800-53 and related documents. Comments or proposed revisions to this document should be sent via email to the following address: disa.stig_spt@mail.mil.","1","2 ","08 Feb 2022","Release: 2 Benchmark Date: 08 Feb 2022","STIG.DOD.MIL","terms-of-use","V-239683","SV-239683r679155_rule","VCUI-67-000002","medium","CAT II","","SRG-APP-000001-WSR-000001","vSphere UI must limit the number of concurrent connections permitted.","<VulnDiscussion>Resource exhaustion can occur when an unlimited number of concurrent requests are allowed on a website, facilitating a denial-of-service attack. Unless the number of requests is controlled, the web server can consume enough system resources to cause a system crash.

Mitigating this kind of attack will include limiting the number of concurrent HTTP/HTTPS requests. Each incoming request requires a thread for the duration of that request. If more simultaneous requests are received than can be handled by the currently available request processing threads, additional threads will be created up to the value of the ""maxThreads"" attribute.</VulnDiscussion><FalsePositives></FalsePositives><FalseNegatives></FalseNegatives><Documentable>false</Documentable><Mitigations></Mitigations><SeverityOverrideGuidance></SeverityOverrideGuidance><PotentialImpacts></PotentialImpacts><ThirdPartyTools></ThirdPartyTools><MitigationControl></MitigationControl><Responsibility></Responsibility><IAControls></IAControls>","Resource exhaustion can occur when an unlimited number of concurrent requests are allowed on a website, facilitating a denial-of-service attack. Unless the number of requests is controlled, the web server can consume enough system resources to cause a system crash.

Mitigating this kind of attack will include limiting the number of concurrent HTTP/HTTPS requests. Each incoming request requires a thread for the duration of that request. If more simultaneous requests are received than can be handled by the currently available request processing threads, additional threads will be created up to the value of the ""maxThreads"" attribute.","","","false","","","","","","","","At the command prompt, execute the following command:

# xmllint --format /usr/lib/vmware-vsphere-ui/server/conf/server.xml | sed '2 s/xmlns="".*""//g' |  xmllint --xpath '/Server/Service/Connector[@port=""${http.port}""]/@maxThreads' -

Expected result:

maxThreads=""800""

If the output does not match the expected result, this is a finding.","Navigate to and open /usr/lib/vmware-vsphere-ui/server/conf/server.xml.

Configure each <Connector> node with the value:

 'maxThreads=""800""'

Example:

<Connector .. maxThreads=""800"" ..>","CCI-000054"
"VMware vSphere 6.7 UI Tomcat Security Technical Implementation Guide","This Security Technical Implementation Guide is published as a tool to improve the security of Department of Defense (DoD) information systems. The requirements are derived from the National Institute of Standards and Technology (NIST) 800-53 and related documents. Comments or proposed revisions to this document should be sent via email to the following address: disa.stig_spt@mail.mil.","1","2 ","08 Feb 2022","Release: 2 Benchmark Date: 08 Feb 2022","STIG.DOD.MIL","terms-of-use","V-239684","SV-239684r679158_rule","VCUI-67-000003","medium","CAT II","","SRG-APP-000001-WSR-000001","vSphere UI must limit the maximum size of a POST request.","<VulnDiscussion>The ""maxPostSize"" value is the maximum size in bytes of the POST that will be handled by the container FORM URL parameter parsing. Limit its size to reduce exposure to a denial-of-service attack.

 If ""maxPostSize"" is not set, the default value of 2097152 (2MB) is used. Security Token Service is configured in its shipping state to not set a value for ""maxPostSize""'.</VulnDiscussion><FalsePositives></FalsePositives><FalseNegatives></FalseNegatives><Documentable>false</Documentable><Mitigations></Mitigations><SeverityOverrideGuidance></SeverityOverrideGuidance><PotentialImpacts></PotentialImpacts><ThirdPartyTools></ThirdPartyTools><MitigationControl></MitigationControl><Responsibility></Responsibility><IAControls></IAControls>","The ""maxPostSize"" value is the maximum size in bytes of the POST that will be handled by the container FORM URL parameter parsing. Limit its size to reduce exposure to a denial-of-service attack.

 If ""maxPostSize"" is not set, the default value of 2097152 (2MB) is used. Security Token Service is configured in its shipping state to not set a value for ""maxPostSize""'.","","","false","","","","","","","","At the command prompt, execute the following command:

# xmllint --format /usr/lib/vmware-vsphere-ui/server/conf/server.xml | sed '2 s/xmlns="".*""//g' |  xmllint --xpath '/Server/Service/Connector[@port=""${http.port}""]/@maxPostSize' -

Expected result:

XPath set is empty

If the output does not match the expected result, this is a finding.","Navigate to and open /usr/lib/vmware-vsphere-ui/server/conf/server.xml.

Navigate to each of the <Connector> nodes.

Remove any configuration for ""maxPostSize"".","CCI-000054"
"VMware vSphere 6.7 UI Tomcat Security Technical Implementation Guide","This Security Technical Implementation Guide is published as a tool to improve the security of Department of Defense (DoD) information systems. The requirements are derived from the National Institute of Standards and Technology (NIST) 800-53 and related documents. Comments or proposed revisions to this document should be sent via email to the following address: disa.stig_spt@mail.mil.","1","2 ","08 Feb 2022","Release: 2 Benchmark Date: 08 Feb 2022","STIG.DOD.MIL","terms-of-use","V-239685","SV-239685r679161_rule","VCUI-67-000004","medium","CAT II","","SRG-APP-000001-WSR-000002","vSphere UI must protect cookies from XSS.","<VulnDiscussion>Cookies are a common way to save session state over the HTTP(S) protocol. If an attacker can compromise session data stored in a cookie, they are better able to launch an attack against the server and its applications. When a cookie is tagged with the ""HttpOnly"" flag, it tells the browser that this particular cookie should only be accessed by the originating server. Any attempt to access the cookie from client script is strictly forbidden.

Satisfies: SRG-APP-000001-WSR-000002, SRG-APP-000439-WSR-000154</VulnDiscussion><FalsePositives></FalsePositives><FalseNegatives></FalseNegatives><Documentable>false</Documentable><Mitigations></Mitigations><SeverityOverrideGuidance></SeverityOverrideGuidance><PotentialImpacts></PotentialImpacts><ThirdPartyTools></ThirdPartyTools><MitigationControl></MitigationControl><Responsibility></Responsibility><IAControls></IAControls>","Cookies are a common way to save session state over the HTTP(S) protocol. If an attacker can compromise session data stored in a cookie, they are better able to launch an attack against the server and its applications. When a cookie is tagged with the ""HttpOnly"" flag, it tells the browser that this particular cookie should only be accessed by the originating server. Any attempt to access the cookie from client script is strictly forbidden.

Satisfies: SRG-APP-000001-WSR-000002, SRG-APP-000439-WSR-000154","","","false","","","","","","","","At the command prompt, execute the following command:

# xmllint --format /usr/lib/vmware-vsphere-ui/server/conf/context.xml | xmllint --xpath '/Context/@useHttpOnly' -

Expected result:

useHttpOnly=""true""

If the output does not match the expected result, this is a finding.","Navigate to and open /usr/lib/vmware-vsphere-ui/server/conf/context.xml. 

Add the following configuration to the <Context> node:

useHttpOnly=""true""

Example:

<Context useHttpOnly=""true"" sessionCookieName=""VSPHERE-UI-JSESSIONID"" sessionCookiePath=""/ui"">","CCI-000054,CCI-002418"
"VMware vSphere 6.7 UI Tomcat Security Technical Implementation Guide","This Security Technical Implementation Guide is published as a tool to improve the security of Department of Defense (DoD) information systems. The requirements are derived from the National Institute of Standards and Technology (NIST) 800-53 and related documents. Comments or proposed revisions to this document should be sent via email to the following address: disa.stig_spt@mail.mil.","1","2 ","08 Feb 2022","Release: 2 Benchmark Date: 08 Feb 2022","STIG.DOD.MIL","terms-of-use","V-239686","SV-239686r816774_rule","VCUI-67-000005","medium","CAT II","","SRG-APP-000016-WSR-000005","vSphere UI must record user access in a format that enables monitoring of remote access.","<VulnDiscussion>Remote access can be exploited by an attacker to compromise the server. By recording all remote access activities, it will be possible to determine the attacker's location, intent, and degree of success.

Tomcat can be configured with an ""AccessLogValve"", a component that can be inserted into the request processing pipeline to provide robust access logging. The AccessLogValve creates log files in the same format as those created by standard web servers. When AccessLogValve is properly configured, log files will contain all the forensic information necessary in the case of a security incident.

Satisfies: SRG-APP-000016-WSR-000005, SRG-APP-000089-WSR-000047, SRG-APP-000095-WSR-000056, SRG-APP-000096-WSR-000057, SRG-APP-000097-WSR-000058, SRG-APP-000098-WSR-000059, SRG-APP-000098-WSR-000060, SRG-APP-000099-WSR-000061, SRG-APP-000100-WSR-000064, SRG-APP-000374-WSR-000172, SRG-APP-000375-WSR-000171</VulnDiscussion><FalsePositives></FalsePositives><FalseNegatives></FalseNegatives><Documentable>false</Documentable><Mitigations></Mitigations><SeverityOverrideGuidance></SeverityOverrideGuidance><PotentialImpacts></PotentialImpacts><ThirdPartyTools></ThirdPartyTools><MitigationControl></MitigationControl><Responsibility></Responsibility><IAControls></IAControls>","Remote access can be exploited by an attacker to compromise the server. By recording all remote access activities, it will be possible to determine the attacker's location, intent, and degree of success.

Tomcat can be configured with an ""AccessLogValve"", a component that can be inserted into the request processing pipeline to provide robust access logging. The AccessLogValve creates log files in the same format as those created by standard web servers. When AccessLogValve is properly configured, log files will contain all the forensic information necessary in the case of a security incident.

Satisfies: SRG-APP-000016-WSR-000005, SRG-APP-000089-WSR-000047, SRG-APP-000095-WSR-000056, SRG-APP-000096-WSR-000057, SRG-APP-000097-WSR-000058, SRG-APP-000098-WSR-000059, SRG-APP-000098-WSR-000060, SRG-APP-000099-WSR-000061, SRG-APP-000100-WSR-000064, SRG-APP-000374-WSR-000172, SRG-APP-000375-WSR-000171","","","false","","","","","","","","At the command prompt, execute the following command:

# xmllint --format /usr/lib/vmware-vsphere-ui/server/conf/server.xml | xmllint --xpath '/Server/Service/Engine/Host/Valve[@className=""org.apache.catalina.valves.AccessLogValve""]'/@pattern -

Expected result:

pattern=""%h %{x-forwarded-for}i %l %u %t %r %s %b %{#hashedSessionId#}s %I %D""

If the output does not match the expected result, this is a finding.","Navigate to and open /usr/lib/vmware-vsphere-ui/server/conf/server.xml.

Ensure the log pattern in the ""org.apache.catalina.valves.AccessLogValve"" node is set to the following:

pattern=""pattern=""%h %{x-forwarded-for}i %l %u %t %r %s %b %{#hashedSessionId#}s %I %D""""","CCI-000067,CCI-000130,CCI-000131,CCI-000132,CCI-000133,CCI-000134,CCI-000213,CCI-001462,CCI-001464,CCI-001487,CCI-001889,CCI-001890"
"VMware vSphere 6.7 UI Tomcat Security Technical Implementation Guide","This Security Technical Implementation Guide is published as a tool to improve the security of Department of Defense (DoD) information systems. The requirements are derived from the National Institute of Standards and Technology (NIST) 800-53 and related documents. Comments or proposed revisions to this document should be sent via email to the following address: disa.stig_spt@mail.mil.","1","2 ","08 Feb 2022","Release: 2 Benchmark Date: 08 Feb 2022","STIG.DOD.MIL","terms-of-use","V-239687","SV-239687r679167_rule","VCUI-67-000006","medium","CAT II","","SRG-APP-000089-WSR-000047","vSphere UI must generate log records for system startup and shutdown.","<VulnDiscussion>Logging must be started as soon as possible when a service starts and when a service is stopped. Many forms of suspicious actions can be detected by analyzing logs for unexpected service starts and stops. Also, by starting to log immediately after a service starts, it becomes more difficult for suspicious activity to go unlogged.

On the VCSA, the ""vmware-vmon"" service starts up the JVMs for various vCenter processes, including vSphere UI, and the individual ""json config"" files control the early jvm logging. Ensuring these json files are configured correctly enable early Java stdout and stderr logging.

Satisfies: SRG-APP-000089-WSR-000047, SRG-APP-000092-WSR-000055</VulnDiscussion><FalsePositives></FalsePositives><FalseNegatives></FalseNegatives><Documentable>false</Documentable><Mitigations></Mitigations><SeverityOverrideGuidance></SeverityOverrideGuidance><PotentialImpacts></PotentialImpacts><ThirdPartyTools></ThirdPartyTools><MitigationControl></MitigationControl><Responsibility></Responsibility><IAControls></IAControls>","Logging must be started as soon as possible when a service starts and when a service is stopped. Many forms of suspicious actions can be detected by analyzing logs for unexpected service starts and stops. Also, by starting to log immediately after a service starts, it becomes more difficult for suspicious activity to go unlogged.

On the VCSA, the ""vmware-vmon"" service starts up the JVMs for various vCenter processes, including vSphere UI, and the individual ""json config"" files control the early jvm logging. Ensuring these json files are configured correctly enable early Java stdout and stderr logging.

Satisfies: SRG-APP-000089-WSR-000047, SRG-APP-000092-WSR-000055","","","false","","","","","","","","At the command prompt, execute the following command:

# grep StreamRedirectFile /etc/vmware/vmware-vmon/svcCfgfiles/vsphere-ui.json

Expected result:

""StreamRedirectFile"": ""%VMWARE_LOG_DIR%/vmware/vsphere-ui/logs/vsphere-ui-runtime.log"",

If no log file is specified for the ""StreamRedirectFile"" setting, this is a finding.","Navigate to and open /etc/vmware/vmware-vmon/svcCfgfiles/vsphere-ui.json. 

Below the last line of the ""PreStartCommandArg"" block, add or reconfigure the following line:

""StreamRedirectFile"": ""%VMWARE_LOG_DIR%/vmware/vsphere-ui/logs/vsphere-ui-runtime.log"",

Restart the appliance for changes to take effect.","CCI-000169"
"VMware vSphere 6.7 UI Tomcat Security Technical Implementation Guide","This Security Technical Implementation Guide is published as a tool to improve the security of Department of Defense (DoD) information systems. The requirements are derived from the National Institute of Standards and Technology (NIST) 800-53 and related documents. Comments or proposed revisions to this document should be sent via email to the following address: disa.stig_spt@mail.mil.","1","2 ","08 Feb 2022","Release: 2 Benchmark Date: 08 Feb 2022","STIG.DOD.MIL","terms-of-use","V-239688","SV-239688r679170_rule","VCUI-67-000007","medium","CAT II","","SRG-APP-000118-WSR-000068","vSphere UI log files must only be accessible by privileged users.","<VulnDiscussion>Log data is essential in the investigation of events. If log data were to become compromised, competent forensic analysis and discovery of the true source of potentially malicious system activity would be difficult, if not impossible, to achieve.

In addition, access to log records provides information an attacker could potentially use to their advantage since each event record might contain communication ports, protocols, services, trust relationships, user names, etc. The vSphere UI restricts all access to log file by default, but this configuration must be verified.

Satisfies: SRG-APP-000118-WSR-000068, SRG-APP-000119-WSR-000069, SRG-APP-000120-WSR-000070</VulnDiscussion><FalsePositives></FalsePositives><FalseNegatives></FalseNegatives><Documentable>false</Documentable><Mitigations></Mitigations><SeverityOverrideGuidance></SeverityOverrideGuidance><PotentialImpacts></PotentialImpacts><ThirdPartyTools></ThirdPartyTools><MitigationControl></MitigationControl><Responsibility></Responsibility><IAControls></IAControls>","Log data is essential in the investigation of events. If log data were to become compromised, competent forensic analysis and discovery of the true source of potentially malicious system activity would be difficult, if not impossible, to achieve.

In addition, access to log records provides information an attacker could potentially use to their advantage since each event record might contain communication ports, protocols, services, trust relationships, user names, etc. The vSphere UI restricts all access to log file by default, but this configuration must be verified.

Satisfies: SRG-APP-000118-WSR-000068, SRG-APP-000119-WSR-000069, SRG-APP-000120-WSR-000070","","","false","","","","","","","","At the command prompt, execute the following command:

# find /storage/log/vmware/vsphere-ui/logs/ -xdev -type f -a '(' -not -perm 600 -o -not -user vsphere-ui ')' -exec ls -ld {} \;

If any files are returned, this is a finding.","At the command prompt, execute the following commands:

# chmod 600 /storage/log/vmware/vsphere-ui/logs/<file>

# chown vsphere-ui:users /storage/log/vmware/vsphere-ui/logs/<file>

Note: Substitute <file> with the listed file.","CCI-000162,CCI-000163,CCI-000164"
"VMware vSphere 6.7 UI Tomcat Security Technical Implementation Guide","This Security Technical Implementation Guide is published as a tool to improve the security of Department of Defense (DoD) information systems. The requirements are derived from the National Institute of Standards and Technology (NIST) 800-53 and related documents. Comments or proposed revisions to this document should be sent via email to the following address: disa.stig_spt@mail.mil.","1","2 ","08 Feb 2022","Release: 2 Benchmark Date: 08 Feb 2022","STIG.DOD.MIL","terms-of-use","V-239689","SV-239689r679173_rule","VCUI-67-000008","medium","CAT II","","SRG-APP-000131-WSR-000051","vSphere UI application files must be verified for their integrity.","<VulnDiscussion>Verifying that the vSphere UI application code is unchanged from its shipping state is essential for file validation and non-repudiation of the vSphere UI. There is no reason that the MD5 hash of the rpm original files should be changed after installation, excluding configuration files.</VulnDiscussion><FalsePositives></FalsePositives><FalseNegatives></FalseNegatives><Documentable>false</Documentable><Mitigations></Mitigations><SeverityOverrideGuidance></SeverityOverrideGuidance><PotentialImpacts></PotentialImpacts><ThirdPartyTools></ThirdPartyTools><MitigationControl></MitigationControl><Responsibility></Responsibility><IAControls></IAControls>","Verifying that the vSphere UI application code is unchanged from its shipping state is essential for file validation and non-repudiation of the vSphere UI. There is no reason that the MD5 hash of the rpm original files should be changed after installation, excluding configuration files.","","","false","","","","","","","","At the command prompt, execute the following command:

# rpm -V vsphere-ui|grep ""^..5......""|grep -E ""\.war|\.jar|\.sh|\.py""

If is any output, this is a finding.","Reinstall the VCSA or roll back to a snapshot. 

Modifying the vSphere UI installation files manually is not supported by VMware.","CCI-001749"
"VMware vSphere 6.7 UI Tomcat Security Technical Implementation Guide","This Security Technical Implementation Guide is published as a tool to improve the security of Department of Defense (DoD) information systems. The requirements are derived from the National Institute of Standards and Technology (NIST) 800-53 and related documents. Comments or proposed revisions to this document should be sent via email to the following address: disa.stig_spt@mail.mil.","1","2 ","08 Feb 2022","Release: 2 Benchmark Date: 08 Feb 2022","STIG.DOD.MIL","terms-of-use","V-239690","SV-239690r679176_rule","VCUI-67-000009","medium","CAT II","","SRG-APP-000131-WSR-000073","vSphere UI plugins must be authorized before use.","<VulnDiscussion>The vSphere UI ships with a number of plugins out of the box. Any additional plugins may affect the availability and integrity of the system and must be approved and documented by the ISSO before deployment.</VulnDiscussion><FalsePositives></FalsePositives><FalseNegatives></FalseNegatives><Documentable>false</Documentable><Mitigations></Mitigations><SeverityOverrideGuidance></SeverityOverrideGuidance><PotentialImpacts></PotentialImpacts><ThirdPartyTools></ThirdPartyTools><MitigationControl></MitigationControl><Responsibility></Responsibility><IAControls></IAControls>","The vSphere UI ships with a number of plugins out of the box. Any additional plugins may affect the availability and integrity of the system and must be approved and documented by the ISSO before deployment.","","","false","","","","","","","","At the command prompt, execute the following command:

# diff <(find /usr/lib/vmware-vsphere-ui/plugin-packages/vsphere-client/plugins -type f|sort) <(rpm -ql vsphere-ui|grep ""/usr/lib/vmware-vsphere-ui/plugin-packages/vsphere-client/plugins/""|sort)

If there is any output, this indicates a vSphere UI plugin is present that does not ship with the VCSA. 

If this plugin is not known and approved, this is a finding.","For every unauthorized plugin returned by the check, run the following command.

# rm <file>","CCI-001749"
"VMware vSphere 6.7 UI Tomcat Security Technical Implementation Guide","This Security Technical Implementation Guide is published as a tool to improve the security of Department of Defense (DoD) information systems. The requirements are derived from the National Institute of Standards and Technology (NIST) 800-53 and related documents. Comments or proposed revisions to this document should be sent via email to the following address: disa.stig_spt@mail.mil.","1","2 ","08 Feb 2022","Release: 2 Benchmark Date: 08 Feb 2022","STIG.DOD.MIL","terms-of-use","V-239691","SV-239691r679179_rule","VCUI-67-000010","medium","CAT II","","SRG-APP-000141-WSR-000075","vSphere UI must be configured to limit access to internal packages.","<VulnDiscussion>The ""package.access"" entry in the ""catalina.properties"" file implements access control at the package level. When properly configured, a Security Exception will be reported if an errant or malicious web app attempts to access the listed internal classes directly or if a new class is defined under the protected packages. The vSphere UI comes preconfigured with the appropriate packages defined in ""package.access"", and this configuration must be maintained.</VulnDiscussion><FalsePositives></FalsePositives><FalseNegatives></FalseNegatives><Documentable>false</Documentable><Mitigations></Mitigations><SeverityOverrideGuidance></SeverityOverrideGuidance><PotentialImpacts></PotentialImpacts><ThirdPartyTools></ThirdPartyTools><MitigationControl></MitigationControl><Responsibility></Responsibility><IAControls></IAControls>","The ""package.access"" entry in the ""catalina.properties"" file implements access control at the package level. When properly configured, a Security Exception will be reported if an errant or malicious web app attempts to access the listed internal classes directly or if a new class is defined under the protected packages. The vSphere UI comes preconfigured with the appropriate packages defined in ""package.access"", and this configuration must be maintained.","","","false","","","","","","","","At the command prompt, execute the following command:

# grep ""package.access"" /usr/lib/vmware-vsphere-ui/server/conf/catalina.properties

Expected result:

package.access=sun.,org.apache.catalina.,org.apache.coyote.,org.apache.jasper.,org.apache.tomcat.

If the output of the command does not match the expected result, this is a finding.","Navigate to and open /usr/lib/vmware-sso/vmware-sts/conf/catalina.properties.

Ensure that the ""package.access"" line is configured as follows:

package.access=sun.,org.apache.catalina.,org.apache.coyote.,org.apache.jasper.,org.apache.tomcat.","CCI-000381"
